timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 03:34:49.209,2026-03-04 03:34:42.678,N5000-J0DC,55.721
2026-03-04 03:34:49.210,2026-03-04 03:34:42.699,N5001-173H,35.721
2026-03-04 03:34:49.255,2026-03-04 03:34:42.720,N5002-72EG,59.721
2026-03-04 03:34:49.255,2026-03-04 03:34:42.741,N5003-I2AF,38.721
2026-03-04 03:34:49.255,2026-03-04 03:34:42.762,N5004-16C9,17.721
2026-03-04 03:34:49.276,2026-03-04 03:34:42.783,N5005-5HF7,17.721
2026-03-04 03:34:49.297,2026-03-04 03:34:42.804,N5006-8FDA,17.721
2026-03-04 03:34:49.305,2026-03-04 03:34:42.825,N5007-995B,4.721
2026-03-04 03:34:49.372,2026-03-04 03:34:42.846,N5008-5DAD,50.721
2026-03-04 03:34:49.376,2026-03-04 03:34:42.867,N5009-72I1,33.721
2026-03-04 03:34:49.455,2026-03-04 03:34:42.929,N5012-GDB5,50.721
2026-03-04 03:34:49.505,2026-03-04 03:34:42.992,N5015-FFDJ,37.721
2026-03-04 03:34:49.538,2026-03-04 03:34:43.013,N5016-A3IC,49.721
2026-03-04 03:34:49.605,2026-03-04 03:34:43.096,N5020-76AB,33.721
2026-03-04 03:34:49.616,2026-03-04 03:34:43.117,N5021-D8J5,23.721
2026-03-04 03:34:49.626,2026-03-04 03:34:43.138,N5022-01IG,12.721
2026-03-04 03:34:49.656,2026-03-04 03:34:43.159,N5023-3H3F,21.721
2026-03-04 03:34:49.656,2026-03-04 03:34:43.180,N5024-HA4F,0.721
2026-03-04 03:34:49.706,2026-03-04 03:34:43.201,N5025-09FI,29.721
2026-03-04 03:34:49.706,2026-03-04 03:34:43.222,N5026-B082,8.721
2026-03-04 03:34:49.756,2026-03-04 03:34:43.243,N5027-JDFJ,37.721
2026-03-04 03:34:49.756,2026-03-04 03:34:43.263,N5028-0J60,17.721
2026-03-04 03:34:49.806,2026-03-04 03:34:43.284,N5029-GGD4,46.721
2026-03-04 03:34:49.806,2026-03-04 03:34:43.305,N5030-0J47,25.721
2026-03-04 03:34:49.817,2026-03-04 03:34:43.326,N5031-1875,15.721
2026-03-04 03:34:49.837,2026-03-04 03:34:43.347,N5032-2BA2,14.721
2026-03-04 03:34:49.856,2026-03-04 03:34:43.368,N5033-19C7,12.721
2026-03-04 03:34:49.906,2026-03-04 03:34:43.389,N5034-5FHC,41.721
2026-03-04 03:34:49.907,2026-03-04 03:34:43.410,N5035-31G0,21.721
2026-03-04 03:34:49.956,2026-03-04 03:34:43.431,N5036-BC5E,49.721
2026-03-04 03:34:49.957,2026-03-04 03:34:43.451,N5037-87D9,30.721
2026-03-04 03:34:49.979,2026-03-04 03:34:43.472,N5038-387C,31.721
2026-03-04 03:34:50.006,2026-03-04 03:34:43.494,N5039-D0BF,36.721
2026-03-04 03:34:50.007,2026-03-04 03:34:43.515,N5040-7EFB,16.721
2026-03-04 03:34:50.028,2026-03-04 03:34:43.537,N5041-FE30,15.721
2026-03-04 03:34:50.056,2026-03-04 03:34:43.558,N5042-3BDC,22.721
2026-03-04 03:34:50.057,2026-03-04 03:34:43.579,N5043-8ID7,2.721
2026-03-04 03:34:50.107,2026-03-04 03:34:43.601,N5044-78B2,30.721
2026-03-04 03:34:50.107,2026-03-04 03:34:43.622,N5045-4E86,9.721
2026-03-04 03:34:50.138,2026-03-04 03:34:43.644,N5046-E161,18.721
2026-03-04 03:34:50.158,2026-03-04 03:34:43.665,N5047-209C,17.721
2026-03-04 03:34:50.267,2026-03-04 03:34:43.772,N5052-IE84,19.721
2026-03-04 03:34:50.287,2026-03-04 03:34:43.793,N5053-JJ97,18.721
2026-03-04 03:34:50.307,2026-03-04 03:34:43.815,N5054-H568,16.721
2026-03-04 03:34:50.357,2026-03-04 03:34:43.836,N5055-AG5E,45.721
2026-03-04 03:34:50.357,2026-03-04 03:34:43.858,N5056-91GI,23.721
2026-03-04 03:34:50.407,2026-03-04 03:34:43.879,N5057-ID1D,52.721
2026-03-04 03:34:50.407,2026-03-04 03:34:43.900,N5058-AB2C,31.721
2026-03-04 03:34:50.408,2026-03-04 03:34:43.922,N5059-I3CI,10.721
2026-03-04 03:34:50.434,2026-03-04 03:34:43.943,N5060-DE60,15.721
2026-03-04 03:34:50.457,2026-03-04 03:34:43.965,N5061-7GDF,16.721
2026-03-04 03:34:50.508,2026-03-04 03:34:44.008,N5063-D6FA,24.721
2026-03-04 03:34:50.528,2026-03-04 03:34:44.029,N5064-5DB2,23.721
2026-03-04 03:34:50.557,2026-03-04 03:34:44.050,N5065-CG01,31.721
2026-03-04 03:34:50.558,2026-03-04 03:34:44.072,N5066-4BC3,10.721
2026-03-04 03:34:50.608,2026-03-04 03:34:44.093,N5067-HHHJ,39.721
2026-03-04 03:34:50.658,2026-03-04 03:34:44.136,N5069-6BG8,46.721
2026-03-04 03:34:50.658,2026-03-04 03:34:44.157,N5070-FJJ0,25.721
2026-03-04 03:34:50.708,2026-03-04 03:34:44.179,N5071-EABG,53.721
2026-03-04 03:34:50.709,2026-03-04 03:34:44.200,N5072-J431,33.721
2026-03-04 03:34:50.719,2026-03-04 03:34:44.222,N5073-5872,21.721
2026-03-04 03:34:50.758,2026-03-04 03:34:44.243,N5074-52I2,39.721
2026-03-04 03:34:50.759,2026-03-04 03:34:44.264,N5075-8815,19.721
2026-03-04 03:34:50.779,2026-03-04 03:34:44.286,N5076-72EF,17.721
2026-03-04 03:34:50.808,2026-03-04 03:34:44.307,N5077-DJD8,25.721
