timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 03:27:00.543,2026-03-04 03:26:54.028,N8001-1IG3,39.721
2026-03-04 03:27:00.544,2026-03-04 03:26:54.046,N8005-77E0,22.721
2026-03-04 03:27:00.572,2026-03-04 03:26:54.052,N8007-AE4B,44.721
2026-03-04 03:27:00.583,2026-03-04 03:26:54.059,N8010-00B9,48.721
2026-03-04 03:27:01.023,2026-03-04 03:26:54.390,N8109-8885,157.721
2026-03-04 03:27:01.023,2026-03-04 03:26:54.392,N8110-EDH7,155.721
2026-03-04 03:27:01.023,2026-03-04 03:26:54.401,N8111-4HI1,146.721
2026-03-04 03:27:01.034,2026-03-04 03:26:54.414,N8114-E53D,144.721
2026-03-04 03:27:01.034,2026-03-04 03:26:54.416,N8115-64I4,142.721
2026-03-04 03:27:01.073,2026-03-04 03:26:54.451,N8124-E6JI,146.721
2026-03-04 03:27:01.083,2026-03-04 03:26:54.462,N8125-G807,145.721
2026-03-04 03:27:01.084,2026-03-04 03:26:54.464,N8126-2J3H,144.721
2026-03-04 03:27:01.084,2026-03-04 03:26:54.466,N8127-C30J,142.721
2026-03-04 03:27:01.374,2026-03-04 03:26:54.754,N8194-3H73,144.721
2026-03-04 03:27:01.424,2026-03-04 03:26:54.756,N8195-I8HE,192.721
2026-03-04 03:27:01.425,2026-03-04 03:26:54.771,N8196-H6FA,178.721
2026-03-04 03:27:01.425,2026-03-04 03:26:54.772,N8197-G983,177.721
2026-03-04 03:27:01.425,2026-03-04 03:26:54.774,N8198-0579,175.721
2026-03-04 03:27:01.426,2026-03-04 03:26:54.783,N8199-1FCB,167.721
