timestamp_sink,timestamp_node,payload,delay_ms
2026-03-14 03:10:28.868,2026-03-14 03:10:28.836,N4001-9IJH,32.000
2026-03-14 03:10:28.969,2026-03-14 03:10:28.927,N4002-IGC3,42.000
2026-03-14 03:10:29.692,2026-03-14 03:10:29.657,N4010-5I67,35.000
2026-03-14 03:10:30.074,2026-03-14 03:10:30.023,N4014-2G34,51.000
2026-03-14 03:10:32.093,2026-03-14 03:10:32.040,N4036-G928,53.000
2026-03-14 03:10:32.183,2026-03-14 03:10:32.132,N4037-JJC2,51.000
2026-03-14 03:10:32.245,2026-03-14 03:10:32.223,N4038-H3J3,22.000
2026-03-14 03:10:32.384,2026-03-14 03:10:32.314,N4039-CB07,70.000
2026-03-14 03:10:32.434,2026-03-14 03:10:32.406,N4040-7BGE,28.000
2026-03-14 03:10:32.549,2026-03-14 03:10:32.497,N4041-D2A3,52.000
2026-03-14 03:10:32.635,2026-03-14 03:10:32.588,N4042-0I60,47.000
2026-03-14 03:10:32.736,2026-03-14 03:10:32.680,N4043-7F9C,56.000
2026-03-14 03:10:32.807,2026-03-14 03:10:32.772,N4044-579C,35.000
2026-03-14 03:10:32.886,2026-03-14 03:10:32.863,N4045-B152,23.000
2026-03-14 03:10:33.004,2026-03-14 03:10:32.954,N4046-3C93,50.000
2026-03-14 03:10:33.087,2026-03-14 03:10:33.046,N4047-9967,41.000
2026-03-14 03:10:33.157,2026-03-14 03:10:33.137,N4048-H407,20.000
2026-03-14 03:10:33.288,2026-03-14 03:10:33.228,N4049-5C57,60.000
2026-03-14 03:10:33.349,2026-03-14 03:10:33.320,N4050-5GBG,29.000
2026-03-14 03:10:33.448,2026-03-14 03:10:33.411,N4051-HHF7,37.000
2026-03-14 03:10:33.539,2026-03-14 03:10:33.503,N4052-H306,36.000
2026-03-14 03:10:33.639,2026-03-14 03:10:33.594,N4053-61H9,45.000
2026-03-14 03:10:33.740,2026-03-14 03:10:33.685,N4054-5G6D,55.000
2026-03-14 03:10:33.812,2026-03-14 03:10:33.777,N4055-55H0,35.000
2026-03-14 03:10:33.891,2026-03-14 03:10:33.868,N4056-D377,23.000
2026-03-14 03:10:33.991,2026-03-14 03:10:33.960,N4057-4BC0,31.000
2026-03-14 03:10:34.091,2026-03-14 03:10:34.051,N4058-C48I,40.000
2026-03-14 03:10:34.192,2026-03-14 03:10:34.142,N4059-9EDH,50.000
2026-03-14 03:10:34.292,2026-03-14 03:10:34.234,N4060-DHDF,58.000
2026-03-14 03:10:34.370,2026-03-14 03:10:34.325,N4061-HJC3,45.000
2026-03-14 03:10:34.453,2026-03-14 03:10:34.416,N4062-DFAH,37.000
2026-03-14 03:10:34.644,2026-03-14 03:10:34.599,N4064-C111,45.000
2026-03-14 03:10:34.824,2026-03-14 03:10:34.782,N4066-92C0,42.000
2026-03-14 03:10:34.895,2026-03-14 03:10:34.873,N4067-DGB4,22.000
2026-03-14 03:10:34.995,2026-03-14 03:10:34.965,N4068-9C4F,30.000
2026-03-14 03:10:35.096,2026-03-14 03:10:35.056,N4069-8842,40.000
2026-03-14 03:10:35.196,2026-03-14 03:10:35.147,N4070-8AB6,49.000
2026-03-14 03:10:35.281,2026-03-14 03:10:35.238,N4071-DB7H,43.000
2026-03-14 03:10:35.357,2026-03-14 03:10:35.330,N4072-3377,27.000
2026-03-14 03:10:35.446,2026-03-14 03:10:35.421,N4073-BJHF,25.000
2026-03-14 03:10:35.548,2026-03-14 03:10:35.512,N4074-54F4,36.000
2026-03-14 03:10:35.647,2026-03-14 03:10:35.604,N4075-FF18,43.000
2026-03-14 03:10:35.748,2026-03-14 03:10:35.695,N4076-AID5,53.000
2026-03-14 03:10:35.809,2026-03-14 03:10:35.786,N4077-9HD6,23.000
2026-03-14 03:10:35.899,2026-03-14 03:10:35.878,N4078-2912,21.000
2026-03-14 03:10:36.000,2026-03-14 03:10:35.969,N4079-E3EH,31.000
2026-03-14 03:10:36.100,2026-03-14 03:10:36.060,N4080-14CE,40.000
2026-03-14 03:10:36.200,2026-03-14 03:10:36.151,N4081-8811,49.000
2026-03-14 03:10:36.301,2026-03-14 03:10:36.242,N4082-6A23,59.000
2026-03-14 03:10:36.371,2026-03-14 03:10:36.334,N4083-4DAD,37.000
2026-03-14 03:10:36.451,2026-03-14 03:10:36.425,N4084-F884,26.000
2026-03-14 03:10:36.552,2026-03-14 03:10:36.516,N4085-DAC8,36.000
2026-03-14 03:10:36.652,2026-03-14 03:10:36.607,N4086-DFE9,45.000
2026-03-14 03:10:36.745,2026-03-14 03:10:36.699,N4087-G8G6,46.000
2026-03-14 03:10:36.853,2026-03-14 03:10:36.790,N4088-CG0F,63.000
2026-03-14 03:10:36.904,2026-03-14 03:10:36.881,N4089-A3GG,23.000
2026-03-14 03:10:37.004,2026-03-14 03:10:36.972,N4090-G5AD,32.000
2026-03-14 03:10:37.104,2026-03-14 03:10:37.064,N4091-6FJF,40.000
2026-03-14 03:10:37.205,2026-03-14 03:10:37.155,N4092-073J,50.000
2026-03-14 03:10:37.305,2026-03-14 03:10:37.246,N4093-4E9A,59.000
2026-03-14 03:10:37.356,2026-03-14 03:10:37.337,N4094-CBHH,19.000
2026-03-14 03:10:37.456,2026-03-14 03:10:37.429,N4095-3121,27.000
2026-03-14 03:10:37.561,2026-03-14 03:10:37.520,N4096-0H5B,41.000
2026-03-14 03:10:37.657,2026-03-14 03:10:37.611,N4097-F80J,46.000
2026-03-14 03:10:37.727,2026-03-14 03:10:37.702,N4098-6E05,25.000
2026-03-14 03:10:37.818,2026-03-14 03:10:37.793,N4099-80JB,25.000
2026-03-14 03:10:37.958,2026-03-14 03:10:37.885,N4100-8437,73.000
2026-03-14 03:10:38.017,2026-03-14 03:10:37.976,N4101-682G,41.000
2026-03-14 03:10:38.108,2026-03-14 03:10:38.067,N4102-1EA8,41.000
2026-03-14 03:10:38.209,2026-03-14 03:10:38.158,N4103-HI5H,51.000
2026-03-14 03:10:38.321,2026-03-14 03:10:38.250,N4104-28F2,71.000
2026-03-14 03:10:38.380,2026-03-14 03:10:38.341,N4105-130D,39.000
2026-03-14 03:10:38.474,2026-03-14 03:10:38.432,N4106-A269,42.000
2026-03-14 03:10:38.560,2026-03-14 03:10:38.523,N4107-G6F3,37.000
2026-03-14 03:10:38.660,2026-03-14 03:10:38.614,N4108-71E5,46.000
2026-03-14 03:10:38.742,2026-03-14 03:10:38.706,N4109-9IIG,36.000
2026-03-14 03:10:38.822,2026-03-14 03:10:38.797,N4110-182G,25.000
2026-03-14 03:10:38.930,2026-03-14 03:10:38.888,N4111-0AIA,42.000
2026-03-14 03:10:39.012,2026-03-14 03:10:38.979,N4112-3A2F,33.000
2026-03-14 03:10:39.113,2026-03-14 03:10:39.070,N4113-I0BG,43.000
2026-03-14 03:10:39.234,2026-03-14 03:10:39.162,N4114-DC4F,72.000
2026-03-14 03:10:39.313,2026-03-14 03:10:39.253,N4115-JI9H,60.000
2026-03-14 03:10:39.385,2026-03-14 03:10:39.344,N4116-II6A,41.000
2026-03-14 03:10:39.476,2026-03-14 03:10:39.435,N4117-B800,41.000
2026-03-14 03:10:39.565,2026-03-14 03:10:39.526,N4118-501B,39.000
2026-03-14 03:10:39.665,2026-03-14 03:10:39.618,N4119-FF2G,47.000
2026-03-14 03:10:39.766,2026-03-14 03:10:39.709,N4120-C0FA,57.000
2026-03-14 03:10:39.846,2026-03-14 03:10:39.800,N4121-7G40,46.000
2026-03-14 03:10:39.927,2026-03-14 03:10:39.891,N4122-IA81,36.000
2026-03-14 03:10:40.017,2026-03-14 03:10:39.983,N4123-3BFC,34.000
2026-03-14 03:10:40.117,2026-03-14 03:10:40.074,N4124-D1DH,43.000
2026-03-14 03:10:40.218,2026-03-14 03:10:40.165,N4125-4BBG,53.000
2026-03-14 03:10:40.298,2026-03-14 03:10:40.256,N4126-7C36,42.000
2026-03-14 03:10:40.369,2026-03-14 03:10:40.347,N4127-G0CB,22.000
2026-03-14 03:10:40.469,2026-03-14 03:10:40.439,N4128-8J48,30.000
2026-03-14 03:10:40.570,2026-03-14 03:10:40.530,N4129-JDF8,40.000
2026-03-14 03:10:40.651,2026-03-14 03:10:40.621,N4130-B511,30.000
2026-03-14 03:10:40.761,2026-03-14 03:10:40.712,N4131-615J,49.000
2026-03-14 03:10:40.871,2026-03-14 03:10:40.805,N4132-B0J4,66.000
2026-03-14 03:10:40.921,2026-03-14 03:10:40.896,N4133-1FDB,25.000
2026-03-14 03:10:41.022,2026-03-14 03:10:40.987,N4134-8F55,35.000
2026-03-14 03:10:41.103,2026-03-14 03:10:41.079,N4135-BE88,24.000
2026-03-14 03:10:41.222,2026-03-14 03:10:41.170,N4136-61A5,52.000
2026-03-14 03:10:41.303,2026-03-14 03:10:41.261,N4137-8422,42.000
2026-03-14 03:10:41.373,2026-03-14 03:10:41.352,N4138-J6BG,21.000
2026-03-14 03:10:41.473,2026-03-14 03:10:41.444,N4139-BJAJ,29.000
2026-03-14 03:10:41.574,2026-03-14 03:10:41.535,N4140-2BGC,39.000
2026-03-14 03:10:41.673,2026-03-14 03:10:41.626,N4141-G8E1,47.000
2026-03-14 03:10:41.735,2026-03-14 03:10:41.717,N4142-1F09,18.000
2026-03-14 03:10:41.835,2026-03-14 03:10:41.809,N4143-282E,26.000
2026-03-14 03:10:41.936,2026-03-14 03:10:41.900,N4144-A5J4,36.000
2026-03-14 03:10:42.026,2026-03-14 03:10:41.991,N4145-CGHJ,35.000
2026-03-14 03:10:42.125,2026-03-14 03:10:42.082,N4146-3A94,43.000
2026-03-14 03:10:42.227,2026-03-14 03:10:42.173,N4147-C950,54.000
2026-03-14 03:10:42.327,2026-03-14 03:10:42.265,N4148-4058,62.000
2026-03-14 03:10:42.378,2026-03-14 03:10:42.356,N4149-0FB3,22.000
2026-03-14 03:10:42.478,2026-03-14 03:10:42.447,N4150-14FC,31.000
2026-03-14 03:10:42.580,2026-03-14 03:10:42.538,N4151-4D96,42.000
2026-03-14 03:10:42.679,2026-03-14 03:10:42.630,N4152-4F21,49.000
2026-03-14 03:10:42.779,2026-03-14 03:10:42.721,N4153-7AHE,58.000
2026-03-14 03:10:42.841,2026-03-14 03:10:42.812,N4154-4GJ9,29.000
2026-03-14 03:10:42.940,2026-03-14 03:10:42.903,N4155-90F8,37.000
2026-03-14 03:10:43.036,2026-03-14 03:10:42.995,N4156-6ADA,41.000
2026-03-14 03:10:43.131,2026-03-14 03:10:43.086,N4157-4096,45.000
2026-03-14 03:10:43.211,2026-03-14 03:10:43.177,N4158-GDHJ,34.000
2026-03-14 03:10:43.341,2026-03-14 03:10:43.268,N4159-JEI9,73.000
2026-03-14 03:10:43.492,2026-03-14 03:10:43.451,N4161-F1GJ,41.000
2026-03-14 03:10:43.583,2026-03-14 03:10:43.542,N4162-8J4I,41.000
2026-03-14 03:10:43.754,2026-03-14 03:10:43.725,N4164-14HG,29.000
2026-03-14 03:10:43.844,2026-03-14 03:10:43.816,N4165-3IJE,28.000
2026-03-14 03:10:43.948,2026-03-14 03:10:43.907,N4166-JEA9,41.000
2026-03-14 03:10:44.134,2026-03-14 03:10:44.090,N4168-CDHH,44.000
2026-03-14 03:10:44.226,2026-03-14 03:10:44.181,N4169-HFCG,45.000
2026-03-14 03:10:44.306,2026-03-14 03:10:44.272,N4170-D917,34.000
2026-03-14 03:10:44.404,2026-03-14 03:10:44.363,N4171-EFJ1,41.000
2026-03-14 03:10:44.486,2026-03-14 03:10:44.455,N4172-J346,31.000
2026-03-14 03:10:44.587,2026-03-14 03:10:44.546,N4173-0AI5,41.000
2026-03-14 03:10:44.679,2026-03-14 03:10:44.637,N4174-5H6C,42.000
2026-03-14 03:10:44.748,2026-03-14 03:10:44.728,N4175-G681,20.000
2026-03-14 03:10:44.888,2026-03-14 03:10:44.820,N4176-CB62,68.000
2026-03-14 03:10:44.939,2026-03-14 03:10:44.911,N4177-7J4A,28.000
2026-03-14 03:10:45.040,2026-03-14 03:10:44.002,N4178-59G3,1038.000
2026-03-14 03:10:45.140,2026-03-14 03:10:45.093,N4179-JF34,47.000
2026-03-14 03:10:45.241,2026-03-14 03:10:45.185,N4180-2D73,56.000
2026-03-14 03:10:45.341,2026-03-14 03:10:45.276,N4181-667A,65.000
2026-03-14 03:10:45.442,2026-03-14 03:10:45.367,N4182-G187,75.000
2026-03-14 03:10:45.493,2026-03-14 03:10:45.459,N4183-3567,34.000
2026-03-14 03:10:45.593,2026-03-14 03:10:45.550,N4184-4JHG,43.000
