timestamp_sink,timestamp_node,payload,delay_ms
2026-03-14 03:24:12.475,2026-03-14 03:24:12.394,N2005-37J2,81.000
2026-03-14 03:24:12.925,2026-03-14 03:24:12.839,N2115-II30,86.000
2026-03-14 03:24:12.996,2026-03-14 03:24:12.841,N2116-6A4C,155.000
2026-03-14 03:24:12.997,2026-03-14 03:24:12.852,N2117-65G6,145.000
2026-03-14 03:24:12.997,2026-03-14 03:24:12.854,N2118-0H87,143.000
2026-03-14 03:24:12.997,2026-03-14 03:24:12.855,N2119-G5FG,142.000
2026-03-14 03:24:12.998,2026-03-14 03:24:12.866,N2120-CI9F,132.000
2026-03-14 03:24:12.998,2026-03-14 03:24:12.868,N2121-5F1G,130.000
2026-03-14 03:24:13.178,2026-03-14 03:24:12.000,N2152-EH7G,1178.000
2026-03-14 03:24:13.178,2026-03-14 03:24:13.009,N2153-765A,169.000
2026-03-14 03:24:13.179,2026-03-14 03:24:13.011,N2154-I56H,168.000
2026-03-14 03:24:13.179,2026-03-14 03:24:13.013,N2155-1484,166.000
2026-03-14 03:24:13.179,2026-03-14 03:24:13.014,N2156-8C96,165.000
2026-03-14 03:24:13.180,2026-03-14 03:24:13.027,N2157-8AHB,153.000
2026-03-14 03:24:13.231,2026-03-14 03:24:13.074,N2168-40E0,157.000
2026-03-14 03:24:13.231,2026-03-14 03:24:13.076,N2169-CJ3A,155.000
2026-03-14 03:24:13.231,2026-03-14 03:24:13.078,N2170-74E3,153.000
2026-03-14 03:24:13.232,2026-03-14 03:24:13.079,N2171-C0HD,153.000
2026-03-14 03:24:13.347,2026-03-14 03:24:13.174,N2192-CB06,173.000
2026-03-14 03:24:13.348,2026-03-14 03:24:13.174,N2192-CB06,174.000
2026-03-14 03:24:13.370,2026-03-14 03:24:13.176,N2193-68D5,194.000
2026-03-14 03:24:13.371,2026-03-14 03:24:13.189,N2195-D065,182.000
2026-03-14 03:24:13.371,2026-03-14 03:24:13.191,N2196-65B7,180.000
2026-03-14 03:24:13.371,2026-03-14 03:24:13.201,N2197-FCA7,170.000
2026-03-14 03:24:13.371,2026-03-14 03:24:13.203,N2198-AHED,168.000
2026-03-14 03:24:13.371,2026-03-14 03:24:13.204,N2199-EDJ4,167.000
