timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 00:58:20.888,2026-03-04 00:58:14.401,N8003-C725,11.721
2026-03-04 00:58:20.948,2026-03-04 00:58:14.462,N8004-E9B0,10.721
2026-03-04 00:58:21.038,2026-03-04 00:58:14.523,N8005-DEJ9,39.721
2026-03-04 00:58:21.097,2026-03-04 00:58:14.584,N8006-AD9J,37.721
2026-03-04 00:58:21.138,2026-03-04 00:58:14.645,N8007-J9D7,17.721
2026-03-04 00:58:21.188,2026-03-04 00:58:14.706,N8008-J536,6.721
2026-03-04 00:58:21.248,2026-03-04 00:58:14.767,N8009-G16J,5.721
2026-03-04 00:58:21.338,2026-03-04 00:58:14.828,N8010-2961,34.721
2026-03-04 00:58:21.394,2026-03-04 00:58:14.889,N8011-E211,29.721
2026-03-04 00:58:21.439,2026-03-04 00:58:14.950,N8012-A063,13.721
2026-03-04 00:58:21.489,2026-03-04 00:58:15.011,N8013-3E4B,2.721
2026-03-04 00:58:21.559,2026-03-04 00:58:15.072,N8014-8BC9,11.721
2026-03-04 00:58:21.639,2026-03-04 00:58:15.134,N8015-J0D2,29.721
2026-03-04 00:58:21.696,2026-03-04 00:58:15.196,N8016-A030,24.721
2026-03-04 00:58:21.940,2026-03-04 00:58:15.443,N8020-F8AE,21.721
2026-03-04 00:58:21.998,2026-03-04 00:58:15.505,N8021-GBE3,17.721
2026-03-04 00:58:22.050,2026-03-04 00:58:15.567,N8022-GH39,7.721
2026-03-04 00:58:22.150,2026-03-04 00:58:15.629,N8023-G71I,45.721
2026-03-04 00:58:22.190,2026-03-04 00:58:15.690,N8024-EA2E,24.721
2026-03-04 00:58:22.240,2026-03-04 00:58:15.752,N8025-DIJF,12.721
2026-03-04 00:58:22.300,2026-03-04 00:58:15.814,N8026-85D4,10.721
2026-03-04 00:58:22.390,2026-03-04 00:58:15.876,N8027-HF8E,38.721
2026-03-04 00:58:22.453,2026-03-04 00:58:15.937,N8028-GG80,40.721
2026-03-04 00:58:22.491,2026-03-04 00:58:15.999,N8029-GCBE,16.721
2026-03-04 00:58:22.541,2026-03-04 00:58:16.061,N8030-9JG2,4.721
2026-03-04 00:58:22.603,2026-03-04 00:58:16.122,N8031-ADHF,5.721
2026-03-04 00:58:22.691,2026-03-04 00:58:16.184,N8032-5DCA,31.721
2026-03-04 00:58:22.741,2026-03-04 00:58:16.246,N8033-B3E2,19.721
2026-03-04 00:58:22.791,2026-03-04 00:58:16.308,N8034-0J7D,7.721
2026-03-04 00:58:22.851,2026-03-04 00:58:16.369,N8035-H43D,6.721
2026-03-04 00:58:22.942,2026-03-04 00:58:16.431,N8036-97A0,35.721
2026-03-04 00:58:22.992,2026-03-04 00:58:16.493,N8037-3FHB,23.721
2026-03-04 00:58:23.042,2026-03-04 00:58:16.554,N8038-485F,12.721
2026-03-04 00:58:23.095,2026-03-04 00:58:16.616,N8039-J16G,3.721
2026-03-04 00:58:23.152,2026-03-04 00:58:16.678,N8040-F09H,-1.279
2026-03-04 00:58:23.242,2026-03-04 00:58:16.739,N8041-7I2E,27.721
