timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 01:00:28.261,2026-03-04 01:00:21.720,N7001-1947,6541.000
2026-03-04 01:00:28.362,2026-03-04 01:00:21.822,N7002-IIF6,6540.000
2026-03-04 01:00:28.473,2026-03-04 01:00:21.923,N7003-1B70,6550.000
2026-03-04 01:00:28.563,2026-03-04 01:00:22.025,N7004-04I7,6538.000
2026-03-04 01:00:28.662,2026-03-04 01:00:22.127,N7005-64JA,6535.000
2026-03-04 01:00:28.763,2026-03-04 01:00:22.228,N7006-1GCC,6535.000
2026-03-04 01:00:28.874,2026-03-04 01:00:22.330,N7007-6GC5,6544.000
2026-03-04 01:00:28.966,2026-03-04 01:00:22.432,N7008-D1I2,6534.000
2026-03-04 01:00:29.066,2026-03-04 01:00:22.534,N7009-GBC4,6532.000
2026-03-04 01:00:29.177,2026-03-04 01:00:22.635,N7010-2B93,6542.000
2026-03-04 01:00:29.267,2026-03-04 01:00:22.737,N7011-0194,6530.000
2026-03-04 01:00:29.367,2026-03-04 01:00:22.838,N7012-178J,6529.000
2026-03-04 01:00:29.477,2026-03-04 01:00:22.940,N7013-BFAD,6537.000
2026-03-04 01:00:29.617,2026-03-04 01:00:23.042,N7014-5875,6575.000
2026-03-04 01:00:29.669,2026-03-04 01:00:23.143,N7015-88DA,6526.000
2026-03-04 01:00:29.818,2026-03-04 01:00:23.245,N7016-B544,6573.000
2026-03-04 01:00:29.918,2026-03-04 01:00:23.347,N7017-26II,6571.000
2026-03-04 01:00:30.018,2026-03-04 01:00:23.448,N7018-2A1C,6570.000
2026-03-04 01:00:30.118,2026-03-04 01:00:23.550,N7019-DBHE,6568.000
2026-03-04 01:00:30.218,2026-03-04 01:00:23.651,N7020-184G,6567.000
2026-03-04 01:00:30.318,2026-03-04 01:00:23.753,N7021-I662,6565.000
2026-03-04 01:00:30.419,2026-03-04 01:00:23.855,N7022-CAHI,6564.000
2026-03-04 01:00:30.519,2026-03-04 01:00:23.956,N7023-G023,6563.000
2026-03-04 01:00:30.619,2026-03-04 01:00:24.058,N7024-441E,6561.000
2026-03-04 01:00:30.720,2026-03-04 01:00:24.160,N7025-I02I,6560.000
2026-03-04 01:00:30.820,2026-03-04 01:00:24.261,N7026-33I3,6559.000
2026-03-04 01:00:30.920,2026-03-04 01:00:24.363,N7027-FED5,6557.000
2026-03-04 01:00:31.020,2026-03-04 01:00:24.464,N7028-C2JH,6556.000
2026-03-04 01:00:31.121,2026-03-04 01:00:24.566,N7029-1371,6555.000
2026-03-04 01:00:31.221,2026-03-04 01:00:24.668,N7030-H9CB,6553.000
2026-03-04 01:00:31.321,2026-03-04 01:00:24.769,N7031-DGE7,6552.000
2026-03-04 01:00:31.422,2026-03-04 01:00:24.871,N7032-G4EE,6551.000
2026-03-04 01:00:31.521,2026-03-04 01:00:24.973,N7033-0II2,6548.000
2026-03-04 01:00:31.622,2026-03-04 01:00:25.074,N7034-FEDJ,6548.000
2026-03-04 01:00:31.722,2026-03-04 01:00:25.176,N7035-J7AF,6546.000
2026-03-04 01:00:31.822,2026-03-04 01:00:25.277,N7036-F35H,6545.000
2026-03-04 01:00:31.922,2026-03-04 01:00:25.379,N7037-35E9,6543.000
2026-03-04 01:00:32.022,2026-03-04 01:00:25.481,N7038-I3D0,6541.000
2026-03-04 01:00:32.123,2026-03-04 01:00:25.582,N7039-8EA2,6541.000
2026-03-04 01:00:32.223,2026-03-04 01:00:25.684,N7040-75I6,6539.000
