5,0.53,0.48,0.51,0.475
10,0.71,0.67,0.76,0.75
15,0.7,0.7,0.82,0.84
20,0.85,0.81,0.85,0.845
25,0.88,0.84,0.88,0.876
30,0.9,0.89,0.896,0.91
40,0.91,0.9,0.93,0.94
50,0.94,0.94,0.94,0.943
60,0.944,0.943,0.944,0.956
80,0.96,0.96,0.956,0.96
100,0.96,0.96,0.96,0.975
120,0.97,0.96,0.97,0.973
160,0.97,0.97,0.974,0.974
200,0.98,0.97,0.97,0.98
250,0.97,0.985,0.973,0.975
300,0.985,0.98,0.98,0.982
350,0.99,0.98,0.98,0.986
400,0.99,0.97,0.99,0.99
600,0.98,0.98,0.99,0.99
800,0.99,0.99,0.995,0.995
800,0.998,0.994,0.995,0.995
