05-04-2025 19:46:33.485,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:45:17.584,0,RECV,7E000F8100001B024E343030302D4942565AE7
05-04-2025 19:45:17.585,1,RECV,7E000F8100001C024E323030302D5935414F05
05-04-2025 19:45:17.586,2,RECV,7E000F81000019024E343030312D3139494B25
05-04-2025 19:45:17.611,3,RECV,7E000F81000023024E333030322D594E393801
05-04-2025 19:45:17.612,4,RECV,7E000F81000019024E343030322D5332424D0E
05-04-2025 19:45:17.612,5,RECV,7E000F81000023024E333030332D374953327D33
05-04-2025 19:45:17.612,6,RECV,7E007D338100001B000CFFFFFFFFFFFFFFFF0000005348C4
05-04-2025 19:45:17.612,7,RECV,7E000F8100001C024E323030332D37415A57F7
05-04-2025 19:45:17.612,8,RECV,7E000F8100001B024E343030332D32315A3131
05-04-2025 19:45:17.612,9,RECV,7E000F81000023024E333030352D584B304DF6
05-04-2025 19:45:17.612,10,RECV,7E000F8100001B024E343030342D4237453030
05-04-2025 19:45:17.612,11,RECV,7E000F8100001C024E323030342D3656434F01
05-04-2025 19:45:17.612,12,RECV,7E000F81000023024E333030382D56574B45D6
05-04-2025 19:45:17.612,13,RECV,7E000F81000019024E343030362D5A493554F2
05-04-2025 19:45:17.613,14,RECV,7E000F81000023024E333030392D54485655CB
05-04-2025 19:45:17.613,15,RECV,7E000F8100001A024E343030372D5735453714
05-04-2025 19:45:17.613,16,RECV,7E000F8100001B024E343030382D4F32434B0B
05-04-2025 19:45:17.613,17,RECV,7E000F8100001C024E323030372D46555544E8
05-04-2025 19:45:17.613,18,RECV,7E000F8100001A024E343030392D3759315306
05-04-2025 19:45:17.613,19,RECV,7E000F8100001C024E323030382D4231314235
05-04-2025 19:45:17.613,20,RECV,7E000F8100001B024E343031302D4A4F5943EC
05-04-2025 19:45:17.613,21,RECV,7E000F8100001A024E343031312D4F53463108
05-04-2025 19:45:17.613,22,RECV,7E000F8100001A024E343031342D464155370B
05-04-2025 19:45:17.613,23,RECV,7E000F8100001A024E343031352D5358344DF1
05-04-2025 19:45:17.613,24,RECV,7E000F8100001C024E323031312D384F313633
05-04-2025 19:45:17.681,25,RECV,7E000F8100001B024E343031362D3934335427
05-04-2025 19:45:17.681,26,RECV,7E000F8100001C024E323031322D54595939E1
05-04-2025 19:45:17.681,27,RECV,7E000F8100001A024E343031372D4330425610
05-04-2025 19:45:17.681,28,RECV,7E000F81000023024E333032302D353154441B
05-04-2025 19:45:17.682,29,RECV,7E000F8100001C024E323031332D32474A4C10
05-04-2025 19:45:17.682,30,RECV,7E000F8100001A024E343031382D3152423520
05-04-2025 19:45:17.682,31,RECV,7E000F8100001A024E343031392D4B344D4EFF
05-04-2025 19:45:17.682,32,RECV,7E000F8100001B024E343032302D304846550D
05-04-2025 19:45:17.682,33,RECV,7E000F8100001A024E343032312D5155315AEF
05-04-2025 19:45:17.682,34,RECV,7E000F8100001C024E323031342D55444C5ADF
05-04-2025 19:45:17.683,35,RECV,7E000F8100001C024E323031362D393831304A
05-04-2025 19:45:17.683,36,RECV,7E000F8100001B024E343032332D58374D43FE
05-04-2025 19:45:17.683,37,RECV,7E000F81000023024E333032372D53344E49F4
05-04-2025 19:45:17.683,38,RECV,7E000F8100001B024E343032342D5A424646F4
05-04-2025 19:45:17.683,39,RECV,7E000F8100001B024E343032352D4D43434DFB
05-04-2025 19:45:17.683,40,RECV,7E000F8100001B024E343032362D4F43574CE5
05-04-2025 19:45:17.683,41,RECV,7E000F81000023024E333032382D544A5A53C6
05-04-2025 19:45:17.683,42,RECV,7E000F8100001B024E343032372D5346305000
05-04-2025 19:45:17.683,43,RECV,7E000F8100001C024E323031382D4D3145447D33
05-04-2025 19:45:17.684,44,RECV,7E000F8100001C024E323031392D55465041ED
05-04-2025 19:45:17.684,45,RECV,7E000F8100001C024E323032302D4E54434CF0
05-04-2025 19:45:17.684,46,RECV,7E000F81000023024E333033312D4B334F301A
05-04-2025 19:45:17.684,47,RECV,7E000F81000023024E333033322D37595452E0
05-04-2025 19:45:17.684,48,RECV,7E000F8100001B024E343032382D4B365456ED
05-04-2025 19:45:17.684,49,RECV,7E000F8100001A024E343032392D484B3256FD
05-04-2025 19:45:17.684,50,RECV,7E000F81000023024E333033352D54345458DF
05-04-2025 19:45:17.776,51,RECV,7E000F8100001C024E323032312D594E4742F0
05-04-2025 19:45:17.801,52,RECV,7E000F8100001B024E343033302D354738501B
05-04-2025 19:45:17.802,53,RECV,7E000F8100001A024E343033312D5436354A16
05-04-2025 19:45:17.802,54,RECV,7E000F8100001C024E323032322D4D574452E5
05-04-2025 19:45:17.802,55,RECV,7E000F8100001B024E343033322D4A4F4652EC
05-04-2025 19:45:17.802,56,RECV,7E000F8100001B024E343033332D4B31583216
05-04-2025 19:45:17.802,57,RECV,7E000F8100001A024E343033342D3732383348
05-04-2025 19:45:17.802,58,RECV,7E000F81000023024E333034302D41564959DE
05-04-2025 19:45:17.802,59,RECV,7E000F8100001A024E343033352D39494A4C03
05-04-2025 19:45:17.802,60,RECV,7E000F81000023024E333034312D3959344B05
05-04-2025 19:45:17.802,61,RECV,7E000F81000019024E343033362D52444542FE
05-04-2025 19:45:17.802,62,RECV,7E000F8100001A024E343033372D33304C3337
05-04-2025 19:45:17.803,63,RECV,7E000F81000023024E333034322D5431384F09
05-04-2025 19:45:17.803,64,RECV,7E000F8100001C024E323032342D55374450FD
05-04-2025 19:45:17.803,65,RECV,7E000F81000023024E333034332D364B324B16
05-04-2025 19:45:17.803,66,RECV,7E000F81000023024E333034342D3936454D12
05-04-2025 19:45:17.803,67,RECV,7E000F8100001C024E323032362D374E334B18
05-04-2025 19:45:17.803,68,RECV,7E000F8100001A024E343033392D51543657E5
05-04-2025 19:45:17.803,69,RECV,7E000F8100001C024E323032372D4E4249330E
05-04-2025 19:45:17.803,70,RECV,7E000F8100001C024E323032382D3250345A09
05-04-2025 19:45:17.803,71,RECV,7E000F81000023024E333034372D53415553D4
05-04-2025 19:45:17.803,72,RECV,7E000F8100001C024E323032392D3431373349
05-04-2025 19:45:17.803,73,RECV,7E000F8100001C024E323033312D334D51430B
05-04-2025 19:45:17.803,74,RECV,7E000F8100001A024E343034312D45465A47F2
05-04-2025 19:45:17.803,75,RECV,7E000F8100001C024E323033322D363048452B
05-04-2025 19:45:17.803,76,RECV,7E000F8100001A024E343034322D503049371D
05-04-2025 19:45:17.803,77,RECV,7E000F8100001C024E323033332D51425951E0
05-04-2025 19:45:17.808,78,RECV,7E000F8100001A024E343034332D484646390F
05-04-2025 19:45:17.818,79,RECV,7E000F8100001C024E323033342D4F38414410
05-04-2025 19:45:17.818,80,RECV,7E000F8100001C024E323033352D45544459E5
05-04-2025 19:45:17.818,81,RECV,7E000F81000019024E343034342D4F4545390A
05-04-2025 19:45:17.819,82,RECV,7E000F81000019024E343034352D4C554B41EE
05-04-2025 19:45:17.819,83,RECV,7E000F81000019024E343034382D3337414E1F
05-04-2025 19:45:17.899,84,RECV,7E000F8100001A024E343035302D32364E4A1E
05-04-2025 19:45:17.947,85,RECV,7E000F8100001C024E323034322D50484C59E0
05-04-2025 19:45:17.947,86,RECV,7E000F8100001A024E343035312D3139564A7D33
05-04-2025 19:45:17.947,87,RECV,7E000F8100001C024E323034332D58425236FA
05-04-2025 19:45:17.947,88,RECV,7E000F8100001A024E343035322D39505151F1
05-04-2025 19:45:17.947,89,RECV,7E000F8100001C024E323034342D4437364D1D
05-04-2025 19:45:17.948,90,RECV,7E000F8100001A024E343035332D3334574D10
05-04-2025 19:45:17.948,91,RECV,7E000F8100001C024E323034362D31364F382B
05-04-2025 19:45:17.948,92,RECV,7E000F8100001B024E343035352D394238382D
05-04-2025 19:45:17.948,93,RECV,7E000F8100001B024E343035362D56455243E7
05-04-2025 19:45:17.948,94,RECV,7E000F8100001C024E323034372D354C55360C
05-04-2025 19:45:17.948,95,RECV,7E000F8100001B024E343035372D534E4F48DE
05-04-2025 19:45:17.948,96,RECV,7E000F8100001C024E323034382D5131474707
05-04-2025 19:45:17.948,97,RECV,7E000F8100001B024E343035382D5936333122
05-04-2025 19:45:17.948,98,RECV,7E000F8100001C024E323034392D5938355AF6
05-04-2025 19:45:17.948,99,RECV,7E000F8100001B024E343035392D4B5A4C46DD
05-04-2025 19:45:17.948,100,RECV,7E000F8100001C024E323035302D3736454923
05-04-2025 19:45:17.948,101,RECV,7E000F81000023024E333037302D37564D56E4
05-04-2025 19:45:17.948,102,RECV,7E000F8100001D024E323035312D3343444C16
05-04-2025 19:45:17.948,103,RECV,7E000F8100001C024E323035322D4F44335AFC
05-04-2025 19:45:17.948,104,RECV,7E000F81000023024E333037322D394B373522
05-04-2025 19:45:17.948,105,RECV,7E000F8100001D024E323035332D4A38305A0E
05-04-2025 19:45:17.948,106,RECV,7E000F81000023024E333037332D3243543315
05-04-2025 19:45:17.948,107,RECV,7E000F8100001C024E323035342D43544449F6
05-04-2025 19:45:17.948,108,RECV,7E000F8100001B024E343036302D58523055ED
05-04-2025 19:45:17.948,109,RECV,7E000F8100001C024E323035352D534D5156D2
05-04-2025 19:45:17.996,110,RECV,7E000F8100001B024E343036312D58385342F6
05-04-2025 19:45:17.996,111,RECV,7E000F81000023024E333037362D454438420B
05-04-2025 19:45:17.996,112,RECV,7E000F81000023024E333037372D36485244F9
05-04-2025 19:45:17.996,113,RECV,7E000F8100001A024E343036332D51554832FA
05-04-2025 19:45:17.996,114,RECV,7E000F8100001C024E323035382D58355253E4
05-04-2025 19:45:17.996,115,RECV,7E000F8100001B024E343036342D4E434E3504
05-04-2025 19:45:17.997,116,RECV,7E000F81000023024E333038302D30555846F0
05-04-2025 19:45:17.997,117,RECV,7E000F81000023024E333038312D48464D53E4
05-04-2025 19:45:17.997,118,RECV,7E000F8100001B024E343036352D58324854F1
05-04-2025 19:45:17.997,119,RECV,7E000F81000023024E333038322D4E50505AC9
05-04-2025 19:45:17.997,120,RECV,7E000F81000019024E343036362D5743354DFC
05-04-2025 19:45:17.997,121,RECV,7E000F8100001A024E343036372D45384559FB
