05-04-2025 19:49:35.064,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:48:55.450,0,RECV,7E000F8100001B024E343030302D444A5941FA
05-04-2025 19:48:55.532,1,RECV,7E000F8100001C024E323030302D50594954DD
05-04-2025 19:48:55.532,2,RECV,7E007D3181F9DF200207004E313030312D37495A382E
05-04-2025 19:48:55.532,3,RECV,7E000F8100001C024E343030322D49465551EA
05-04-2025 19:48:55.533,4,RECV,7E000F8100001C024E323030322D394D57370D
05-04-2025 19:48:55.533,5,RECV,7E000F8100001C024E343030332D33505853F0
05-04-2025 19:48:55.533,6,RECV,7E000F81000022024E333030322D5848384CF6
05-04-2025 19:48:55.533,7,RECV,7E000F8100001C024E343030342D354745510B
05-04-2025 19:48:55.533,8,RECV,7E000F81000022024E333030332D43515052E3
05-04-2025 19:48:55.533,9,RECV,7E007D3181F9DF200208004E313030322D545147331F
05-04-2025 19:48:55.534,10,RECV,7E000F8100001C024E343030352D4D51504BE3
05-04-2025 19:48:55.534,11,RECV,7E000F81000022024E333030342D5944304FFC
05-04-2025 19:48:55.534,12,RECV,7E000F8100001C024E323030332D3547365A14
05-04-2025 19:48:55.534,13,RECV,7E000F8100001B024E343030362D49495843EF
05-04-2025 19:48:55.535,14,RECV,7E000F8100001C024E323030342D4648385900
05-04-2025 19:48:55.535,15,RECV,7E000F81000023024E333030352D454A5857D8
05-04-2025 19:48:55.535,16,RECV,7E000F8100001C024E323030382D3349425409
05-04-2025 19:48:55.535,17,RECV,7E000F8100001C024E343031302D41534E5AE4
05-04-2025 19:48:55.536,18,RECV,7E000F8100001B024E343031312D4256315502
05-04-2025 19:48:55.536,19,RECV,7E007D338100001A0017FFFFFFFFFFFFFFFF0000005348BA
05-04-2025 19:48:55.536,20,RECV,7E000F8100001B024E343031342D53513454F1
05-04-2025 19:48:55.536,21,RECV,7E000F8100001C024E323031312D30364D5717
05-04-2025 19:48:55.536,22,RECV,7E000F8100001B024E343031352D464F4F46F2
05-04-2025 19:48:55.537,23,RECV,7E000F8100001E024E323031322D4A4C503701
05-04-2025 19:48:55.537,24,RECV,7E000F8100001B024E343031362D355A464303
05-04-2025 19:48:55.537,25,RECV,7E007D3181F9DF20027D31004E313031312D5849385903
05-04-2025 19:48:55.628,26,RECV,7E000F8100001C024E323031332D5939564EE9
05-04-2025 19:48:55.628,27,RECV,7E000F8100001B024E343031372D394C564FF0
05-04-2025 19:48:55.629,28,RECV,7E007D3181F9DF200212004E313031322D5839524A06
05-04-2025 19:48:55.629,29,RECV,7E000F8100001C024E323031342D524F4F42EC
05-04-2025 19:48:55.629,30,RECV,7E000F8100001B024E343031382D59484E37F3
05-04-2025 19:48:55.629,31,RECV,7E007D3181F9DF20027D33004E313031332D314649571A
05-04-2025 19:48:55.629,32,RECV,7E000F8100001B024E343031392D4E314B420C
05-04-2025 19:48:55.629,33,RECV,7E000F8100001C024E323031352D4C3538590B
05-04-2025 19:48:55.629,34,RECV,7E000F8100001A024E343032302D3445514A0D
