05-04-2025 19:57:27.092,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-04-2025 19:55:09.743,0,RECV,7E000F8100003E024E353030302D4D44304AF3
05-04-2025 19:55:09.743,1,RECV,7E000F8100003F024E353030312D4E374156E0
05-04-2025 19:55:09.763,2,RECV,7E000F8100003E024E353030322D52544F37D0
05-04-2025 19:55:09.768,3,RECV,7E000F8100003D024E353030332D49543348E4
05-04-2025 19:55:09.768,4,RECV,7E000F8100003D024E353030342D59544531D8
05-04-2025 19:55:09.769,5,RECV,7E000F8100003D024E353030352D37304A57F2
05-04-2025 19:55:09.769,6,RECV,7E000F8100003D024E353030362D42485336E6
05-04-2025 19:55:09.770,7,RECV,7E000F8100003D024E353030372D41534758C5
05-04-2025 19:55:09.771,8,RECV,7E000F8100003D024E353030382D41504255CF
05-04-2025 19:55:09.771,9,RECV,7E000F8100003E024E353030392D51515559A5
05-04-2025 19:55:09.771,10,RECV,7E000F8100003E024E353031302D37385353E8
05-04-2025 19:55:09.786,11,RECV,7E000F8100003D024E353031312D41335854DD
05-04-2025 19:55:09.786,12,RECV,7E000F8100003E024E353031322D42504834ED
05-04-2025 19:55:09.786,13,RECV,7E000F8100003E024E353031332D5250334CD9
05-04-2025 19:55:09.843,14,RECV,7E000F8100003E024E353031342D57413335F9
05-04-2025 19:55:09.843,15,RECV,7E000F8100003E024E353031352D5A5A474CB1
05-04-2025 19:55:09.843,16,RECV,7E000F8100003E024E353031362D42445745D5
05-04-2025 19:55:09.844,17,RECV,7E000F8100003F024E353031372D484B494DCC
05-04-2025 19:55:09.849,18,RECV,7E000F8100003E024E353031382D343649370B
05-04-2025 19:55:09.849,19,RECV,7E000F8100003E024E353031392D30494D37F7
05-04-2025 19:55:09.849,20,RECV,7E000F8100003D024E353032302D36463459F4
05-04-2025 19:55:09.850,21,RECV,7E000F8100003E024E353032312D33474F57DB
05-04-2025 19:55:09.850,22,RECV,7E000F8100003E024E353032322D44314D54E4
05-04-2025 19:55:09.850,23,RECV,7E000F8100003E024E353032332D46315A47E1
05-04-2025 19:55:09.866,24,RECV,7E000F8100003D024E353032342D56573537E0
05-04-2025 19:55:09.925,25,RECV,7E000F8100003D024E353032352D38584D4FCC
05-04-2025 19:55:09.925,26,RECV,7E000F8100003E024E353032362D41334B4CEB
