05-03-2025 17:49:43.434,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 17:49:18.897,0,RECV,7E000F81000042024E383030302D35525A50C6
05-03-2025 17:49:18.948,1,RECV,7E000F81000041024E383030312D58585A33BA
05-03-2025 17:49:18.948,2,RECV,7E000F81000042024E383030322D48364C4FDC
05-03-2025 17:49:18.948,3,RECV,7E000F81000042024E383030332D47324B35FB
05-03-2025 17:49:18.948,4,RECV,7E000F81000042024E383030342D4947374FDD
05-03-2025 17:49:18.949,5,RECV,7E000F81000042024E383030352D445A305ACA
05-03-2025 17:49:18.949,6,RECV,7E000F81000042024E383030362D4F334150DE
05-03-2025 17:49:18.949,7,RECV,7E000F81000041024E383030372D4F544850B6
05-03-2025 17:49:18.950,8,RECV,7E000F81000041024E383030382D5456555A97
05-03-2025 17:49:18.998,9,RECV,7E000F81000041024E383030392D57494157B7
05-03-2025 17:49:18.998,10,RECV,7E000F81000041024E383031302D494F3551D9
05-03-2025 17:49:18.999,11,RECV,7E000F81000041024E383031312D4F553850CA
05-03-2025 17:49:19.000,12,RECV,7E000F81000041024E383031322D464D3632FA
05-03-2025 17:49:19.000,13,RECV,7E000F81000041024E383031332D315A5A52BD
05-03-2025 17:49:19.000,14,RECV,7E000F81000041024E383031342D5356504BAF
05-03-2025 17:49:19.000,15,RECV,7E000F81000041024E383031352D58553339D9
05-03-2025 17:49:19.001,16,RECV,7E000F81000041024E383031362D52335941D2
05-03-2025 17:49:19.068,17,RECV,7E000F81000041024E383031372D44373249FA
05-03-2025 17:49:19.068,18,RECV,7E000F81000041024E383031382D4B334542EA
05-03-2025 17:49:19.068,19,RECV,7E000F81000041024E383031392D5357554FA0
05-03-2025 17:49:19.068,20,RECV,7E000F81000041024E383032302D3048484AEC
05-03-2025 17:49:19.068,21,RECV,7E000F81000041024E383032312D454E5838D2
05-03-2025 17:49:19.068,22,RECV,7E000F81000041024E383032322D32574350D8
05-03-2025 17:49:19.068,23,RECV,7E000F81000041024E383032332D364E3453E8
05-03-2025 17:49:19.068,24,RECV,7E000F81000041024E383032342D4E424932E7
05-03-2025 17:49:19.068,25,RECV,7E000F81000042024E383032352D31385A38F5
05-03-2025 17:49:19.069,26,RECV,7E000F81000042024E383032362D4A525941B9
05-03-2025 17:49:19.069,27,RECV,7E000F81000041024E383032372D3541514EDA
05-03-2025 17:49:19.069,28,RECV,7E000F81000041024E383032382D49474738DF
05-03-2025 17:49:19.098,29,RECV,7E000F81000042024E383032392D4F413338F1
05-03-2025 17:49:19.098,30,RECV,7E000F81000041024E383033302D4B474E33E2
05-03-2025 17:49:19.098,31,RECV,7E000F81000042024E383033312D57554E55A4
05-03-2025 17:49:19.100,32,RECV,7E000F81000041024E383033322D58453951CC
05-03-2025 17:49:19.100,33,RECV,7E000F81000042024E383033332D35305951E2
05-03-2025 17:49:19.148,34,RECV,7E000F81000041024E383033342D4E4F4E4EB8
05-03-2025 17:49:19.148,35,RECV,7E000F81000041024E383033352D4B493234F6
05-03-2025 17:49:19.148,36,RECV,7E000F81000041024E383033362D4F463346E1
05-03-2025 17:49:19.148,37,RECV,7E000F81000041024E383033372D55313752DF
05-03-2025 17:49:19.148,38,RECV,7E000F81000041024E383033382D3251355ADB
05-03-2025 17:49:19.148,39,RECV,7E000F81000042024E383033392D3739564ED7
05-03-2025 17:49:19.149,40,RECV,7E000F81000041024E383034302D514E545AA7
05-03-2025 17:49:19.149,41,RECV,7E000F81000042024E383034312D554C3041E0
05-03-2025 17:49:19.198,42,RECV,7E000F81000041024E383034322D43563449DC
05-03-2025 17:49:19.239,43,RECV,7E000F81000041024E383034332D5956564BA1
05-03-2025 17:49:19.239,44,RECV,7E000F81000041024E383034342D49364B42E4
05-03-2025 17:49:19.240,45,RECV,7E000F81000041024E383034352D57304B32EB
05-03-2025 17:49:19.240,46,RECV,7E000F81000042024E383034362D454E5250B8
05-03-2025 17:49:19.240,47,RECV,7E000F81000042024E383034372D4D394642DE
05-03-2025 17:49:19.240,48,RECV,7E000F81000042024E383034382D4A51554AB1
05-03-2025 17:49:19.240,49,RECV,7E000F81000042024E383034392D5450594BA2
05-03-2025 17:49:19.240,50,RECV,7E000F81000042024E383035302D5053545AA1
05-03-2025 17:49:19.240,51,RECV,7E000F81000042024E383035312D49324841ED
05-03-2025 17:49:19.240,52,RECV,7E000F81000042024E383035322D5636514BC8
05-03-2025 17:49:19.240,53,RECV,7E000F81000042024E383035332D535A4450AE
05-03-2025 17:49:19.240,54,RECV,7E000F81000042024E383035342D3143343214
05-03-2025 17:49:19.240,55,RECV,7E000F81000042024E383035352D4F43594DB5
05-03-2025 17:49:19.240,56,RECV,7E000F81000042024E383035362D4430414AED
05-03-2025 17:49:19.240,57,RECV,7E000F81000040024E383035372D4F354545DF
05-03-2025 17:49:19.240,58,RECV,7E000F81000042024E383035382D4848334ED9
05-03-2025 17:49:19.240,59,RECV,7E000F81000042024E383035392D45565158A5
05-03-2025 17:49:19.248,60,RECV,7E000F81000041024E383036302D4A394B47DD
05-03-2025 17:49:19.248,61,RECV,7E000F81000042024E383036312D4F543447D2
05-03-2025 17:49:19.251,62,RECV,7E000F81000042024E383036322D46384633F8
05-03-2025 17:49:19.398,63,RECV,7E000F81000042024E383036332D53555344AF
05-03-2025 17:49:19.399,64,RECV,7E000F81000042024E383036342D33394650EB
05-03-2025 17:49:19.399,65,RECV,7E000F81000042024E383036352D49395252C6
05-03-2025 17:49:19.399,66,RECV,7E000F81000042024E383036362D54464D57AD
05-03-2025 17:49:19.400,67,RECV,7E000F81000041024E383036372D35574F45CB
05-03-2025 17:49:19.400,68,RECV,7E000F81000042024E383036382D444B4A45CB
05-03-2025 17:49:19.400,69,RECV,7E000F81000041024E383036392D4F4D5A32C1
05-03-2025 17:49:19.400,70,RECV,7E000F81000042024E383037302D324A4658D6
05-03-2025 17:49:19.400,71,RECV,7E000F81000042024E383037312D38383655F4
05-03-2025 17:49:19.400,72,RECV,7E000F81000042024E383037322D575A3841C4
05-03-2025 17:49:19.400,73,RECV,7E000F81000042024E383037332D4E415749BE
05-03-2025 17:49:19.400,74,RECV,7E000F81000042024E383037342D36564834E4
05-03-2025 17:49:19.400,75,RECV,7E000F81000042024E383037352D4634395ADE
05-03-2025 17:49:19.400,76,RECV,7E000F81000042024E383037362D37473041FB
05-03-2025 17:49:19.400,77,RECV,7E000F81000042024E383037372D41375A46D1
05-03-2025 17:49:19.400,78,RECV,7E000F81000042024E383037382D32494858CD
05-03-2025 17:49:19.400,79,RECV,7E000F81000040024E383037392D3634354FFB
05-03-2025 17:49:19.400,80,RECV,7E000F81000041024E383038302D55503545D1
05-03-2025 17:49:19.400,81,RECV,7E000F81000042024E383038312D394E4839E6
05-03-2025 17:49:19.400,82,RECV,7E000F81000041024E383038322D4B34355AE0
05-03-2025 17:49:19.400,83,RECV,7E000F81000042024E383038332D49455044CA
05-03-2025 17:49:19.400,84,RECV,7E000F81000042024E383038342D54445A4AAF
05-03-2025 17:49:19.400,85,RECV,7E000F81000041024E383038352D5A5455598F
05-03-2025 17:49:19.400,86,RECV,7E000F81000042024E383038362D4B563842CE
05-03-2025 17:49:19.400,87,RECV,7E000F81000042024E383038372D4D423337EF
05-03-2025 17:49:19.400,88,RECV,7E000F81000042024E383038382D45493046E3
05-03-2025 17:49:19.400,89,RECV,7E000F81000042024E383038392D49525638BD
05-03-2025 17:49:19.400,90,RECV,7E000F81000041024E383039302D534C5432CA
05-03-2025 17:49:19.410,91,RECV,7E000F81000042024E383039312D585A3552B4
05-03-2025 17:49:19.410,92,RECV,7E000F81000042024E383039322D35445834E7
05-03-2025 17:49:19.410,93,RECV,7E000F81000042024E383039332D4C4D5343BC
05-03-2025 17:49:19.411,94,RECV,7E000F81000041024E383039342D58544F559B
05-03-2025 17:49:19.411,95,RECV,7E000F81000041024E383039352D44445A57B1
05-03-2025 17:49:19.411,96,RECV,7E000F81000041024E383039362D414E4D37D6
05-03-2025 17:49:19.449,97,RECV,7E000F81000042024E383039372D33494D34EA
05-03-2025 17:49:19.450,98,RECV,7E000F81000041024E383039382D4A363550E2
05-03-2025 17:49:19.451,99,RECV,7E000F81000042024E383039392D5A57304BB9
