05-03-2025 18:02:00.545,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:01:26.120,0,RECV,7E000F81000035024E363030302D4B4B5139E6
05-03-2025 18:01:26.147,1,RECV,7E000F81000035024E363030312D5A575639C5
05-03-2025 18:01:26.157,2,RECV,7E000F8100004A024E373030312D37374D35FF
05-03-2025 18:01:26.158,3,RECV,7E000F81000035024E363030322D4A524357CE
05-03-2025 18:01:26.158,4,RECV,7E000F81000035024E363030332D4F59484FC4
05-03-2025 18:01:26.158,5,RECV,7E000F81000036024E363030342D4B544338E7
05-03-2025 18:01:26.159,6,RECV,7E000F8100004A024E373030332D32485048DB
05-03-2025 18:01:26.159,7,RECV,7E007D3381000036000EFFFFFFFFFFFFFFFF0000005348A7
05-03-2025 18:01:26.159,8,RECV,7E007D338100004B000EFFFFFFFFFFFFFFFF000000534892
05-03-2025 18:01:26.159,9,RECV,7E000F81000036024E363030352D4143344BFD
05-03-2025 18:01:26.159,10,RECV,7E000F81000035024E363030362D3753564CD4
05-03-2025 18:01:26.159,11,RECV,7E000F81000037024E363030372D394D3745FB
05-03-2025 18:01:26.249,12,RECV,7E000F81000037024E363030382D5331394EF1
05-03-2025 18:01:26.262,13,RECV,7E000F8100004C024E373030372D56575433B3
05-03-2025 18:01:26.262,14,RECV,7E000F8100004B024E373030382D51344E55BF
05-03-2025 18:01:26.262,15,RECV,7E000F8100004B024E373030392D47325555C3
05-03-2025 18:01:26.262,16,RECV,7E000F81000036024E363030392D4E55464FC4
05-03-2025 18:01:26.262,17,RECV,7E000F8100004B024E373031302D43363050F5
05-03-2025 18:01:26.262,18,RECV,7E000F81000037024E363031302D54345932F0
05-03-2025 18:01:26.262,19,RECV,7E000F8100004B024E373031312D50464936D8
05-03-2025 18:01:26.262,20,RECV,7E000F81000037024E363031312D57414D46D7
05-03-2025 18:01:26.262,21,RECV,7E000F8100004B024E373031332D3232454FF3
05-03-2025 18:01:26.262,22,RECV,7E000F81000037024E363031322D53474B4ECE
05-03-2025 18:01:26.262,23,RECV,7E000F81000037024E363031332D3652584ED2
05-03-2025 18:01:26.262,24,RECV,7E000F81000036024E363031342D4C413251F0
05-03-2025 18:01:26.262,25,RECV,7E000F81000035024E363031352D31565250D7
05-03-2025 18:01:26.262,26,RECV,7E000F8100004B024E373031382D514A584BA8
05-03-2025 18:01:26.262,27,RECV,7E000F81000036024E363031362D454C4D41DF
05-03-2025 18:01:26.262,28,RECV,7E000F81000035024E363031372D4E4D4F33E1
05-03-2025 18:01:26.262,29,RECV,7E000F8100004B024E373032302D4E415743C4
05-03-2025 18:01:26.262,30,RECV,7E000F81000036024E363031382D4C574951BF
05-03-2025 18:01:26.262,31,RECV,7E000F8100004B024E373032312D595A5338AE
05-03-2025 18:01:26.262,32,RECV,7E000F81000036024E363031392D45313855F8
05-03-2025 18:01:26.262,33,RECV,7E000F8100004B024E373032322D50544B4DAF
05-03-2025 18:01:26.262,34,RECV,7E000F81000035024E363032302D35444456F1
05-03-2025 18:01:26.262,35,RECV,7E000F8100004B024E373032332D3335343915
05-03-2025 18:01:26.262,36,RECV,7E000F81000035024E363032312D3033465703
05-03-2025 18:01:26.262,37,RECV,7E000F8100004C024E373032342D574C3936D6
05-03-2025 18:01:26.342,38,RECV,7E000F81000035024E363032322D4233474204
05-03-2025 18:01:26.347,39,RECV,7E000F8100004A024E373032352D3932304509
05-03-2025 18:01:26.347,40,RECV,7E000F81000035024E363032332D58474243DD
05-03-2025 18:01:26.347,41,RECV,7E000F8100004B024E373032362D5A345658AB
05-03-2025 18:01:26.347,42,RECV,7E000F8100004B024E373032382D4553344ACF
05-03-2025 18:01:26.347,43,RECV,7E000F81000036024E363032342D503031311D
05-03-2025 18:01:26.348,44,RECV,7E000F81000035024E363032352D42393556F9
05-03-2025 18:01:26.348,45,RECV,7E000F81000036024E363032362D58494C41CF
05-03-2025 18:01:26.348,46,RECV,7E000F81000035024E363032372D4D324955E0
05-03-2025 18:01:26.348,47,RECV,7E000F81000036024E363032382D36375652E6
05-03-2025 18:01:26.348,48,RECV,7E000F81000035024E363032392D4A4F4543DA
05-03-2025 18:01:26.348,49,RECV,7E000F81000036024E363033302D42384C5AE2
05-03-2025 18:01:26.348,50,RECV,7E000F81000035024E363033312D57454244E0
05-03-2025 18:01:26.348,51,RECV,7E000F81000035024E363033322D51584945CA
05-03-2025 18:01:26.348,52,RECV,7E000F81000036024E363033332D4438394BFF
05-03-2025 18:01:26.349,53,RECV,7E000F8100004B024E373033392D414A5554AF
05-03-2025 18:01:26.349,54,RECV,7E000F81000035024E363033342D30585445DE
05-03-2025 18:01:26.349,55,RECV,7E000F81000036024E363033352D53465A4CBE
05-03-2025 18:01:26.349,56,RECV,7E000F81000036024E363033362D344F4E51DA
05-03-2025 18:01:26.349,57,RECV,7E000F8100004C024E373034302D36494833F0
05-03-2025 18:01:26.350,58,RECV,7E000F81000036024E363033372D44314B41FA
05-03-2025 18:01:26.350,59,RECV,7E000F81000036024E363033382D53415831DD
05-03-2025 18:01:26.350,60,RECV,7E000F81000036024E363033392D59545053A9
05-03-2025 18:01:26.350,61,RECV,7E000F81000036024E363034302D5531363015
05-03-2025 18:01:26.350,62,RECV,7E000F81000036024E363034312D47574F36DD
05-03-2025 18:01:26.351,63,RECV,7E000F81000036024E363034322D534C3956D1
05-03-2025 18:01:26.399,64,RECV,7E000F81000036024E363034332D304A4F50E5
05-03-2025 18:01:26.448,65,RECV,7E000F81000036024E363034342D4349534CD2
05-03-2025 18:01:26.448,66,RECV,7E000F8100004B024E373034352D33494250D8
05-03-2025 18:01:26.448,67,RECV,7E000F81000036024E363034352D34584855D3
05-03-2025 18:01:26.448,68,RECV,7E000F8100004B024E373034362D55505248A6
05-03-2025 18:01:26.448,69,RECV,7E000F8100004B024E373034372D454E4243CC
05-03-2025 18:01:26.449,70,RECV,7E000F81000036024E363034362D48473645F1
05-03-2025 18:01:26.449,71,RECV,7E000F8100004B024E373034392D4642314DDC
05-03-2025 18:01:26.449,72,RECV,7E000F81000036024E363034372D4D454B58C5
05-03-2025 18:01:26.449,73,RECV,7E000F81000035024E363034382D534C5532D4
05-03-2025 18:01:26.449,74,RECV,7E000F81000036024E363034392D59335A32E0
05-03-2025 18:01:26.449,75,RECV,7E000F81000036024E363035302D43453355F0
05-03-2025 18:01:26.449,76,RECV,7E000F81000036024E363035312D41385051E5
05-03-2025 18:01:26.449,77,RECV,7E000F8100004B024E373035342D32425357C8
05-03-2025 18:01:26.449,78,RECV,7E000F8100004B024E373035352D3752414AD1
05-03-2025 18:01:26.449,79,RECV,7E000F81000036024E363035322D4C36354FF8
05-03-2025 18:01:26.449,80,RECV,7E000F8100004B024E373035362D43414944D3
05-03-2025 18:01:26.449,81,RECV,7E000F81000036024E363035332D36464A44F3
05-03-2025 18:01:26.449,82,RECV,7E000F81000036024E363035342D3733593207
05-03-2025 18:01:26.449,83,RECV,7E000F81000036024E363035352D55355048D9
05-03-2025 18:01:26.539,84,RECV,7E000F81000038024E363035362D47394C49E3
