05-03-2025 18:33:33.212,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:33:09.033,0,RECV,7E000F8100003E024E383030302D4D4F5237D6
05-03-2025 18:33:09.034,1,RECV,7E000F81000043024E353030302D4454454BD1
05-03-2025 18:33:09.054,2,RECV,7E000F81000040024E383030312D5A563857B9
05-03-2025 18:33:09.055,3,RECV,7E000F81000045024E353030312D48374434FF
05-03-2025 18:33:09.055,4,RECV,7E000F81000045024E353030322D48454E58C2
05-03-2025 18:33:09.055,5,RECV,7E000F81000045024E353030332D4D31454AE7
05-03-2025 18:33:09.055,6,RECV,7E000F81000045024E353030352D4D55324CD2
05-03-2025 18:33:09.055,7,RECV,7E000F8100004D024E373030352D515450589B
05-03-2025 18:33:09.064,8,RECV,7E000F8100004D024E373030362D34324A3106
05-03-2025 18:33:09.064,9,RECV,7E000F81000043024E383031302D32455832F4
05-03-2025 18:33:09.084,10,RECV,7E000F81000045024E353030392D3255335ADA
05-03-2025 18:33:09.088,11,RECV,7E000F81000043024E383031322D4A555051B3
05-03-2025 18:33:09.088,12,RECV,7E007D33810000460014FFFFFFFFFFFFFFFF000000534891
05-03-2025 18:33:09.133,13,RECV,7E000F81000046024E353031312D39305539FD
05-03-2025 18:33:09.134,14,RECV,7E000F81000043024E383031362D4745474ECE
05-03-2025 18:33:09.134,15,RECV,7E000F81000043024E383031372D32515848CB
05-03-2025 18:33:09.184,16,RECV,7E000F8100003D024E383032322D59323748EE
05-03-2025 18:33:09.207,17,RECV,7E000F8100003F024E353031382D554C5139C9
05-03-2025 18:33:09.207,18,RECV,7E000F8100003D024E383032332D42354458E4
05-03-2025 18:33:09.207,19,RECV,7E000F8100003C024E383032342D45425437E5
05-03-2025 18:33:09.208,20,RECV,7E000F8100004A024E373032322D4B574257B1
05-03-2025 18:33:09.208,21,RECV,7E000F8100003F024E383032352D304C5135F1
05-03-2025 18:33:09.208,22,RECV,7E000F81000041024E353032302D4F584747C4
05-03-2025 18:33:09.208,23,RECV,7E000F8100003F024E383032362D5932454CD6
05-03-2025 18:33:09.208,24,RECV,7E000F8100003F024E383032372D384C454BDD
05-03-2025 18:33:09.208,25,RECV,7E000F8100003E024E383032382D474D574EB8
05-03-2025 18:33:09.208,26,RECV,7E000F81000041024E353032312D58355739DB
05-03-2025 18:33:09.208,27,RECV,7E000F8100003F024E383032392D4D4B3752CE
05-03-2025 18:33:09.266,28,RECV,7E000F8100003D024E383033332D41565A50B5
05-03-2025 18:33:09.266,29,RECV,7E000F81000040024E353032352D4F393157E5
05-03-2025 18:33:09.267,30,RECV,7E000F8100003D024E383033342D4C315947D8
05-03-2025 18:33:09.267,31,RECV,7E000F81000040024E353032362D4F565434C7
05-03-2025 18:33:09.267,32,RECV,7E000F8100003D024E383033352D4D585835C2
05-03-2025 18:33:09.267,33,RECV,7E000F81000040024E353032372D49575139C9
05-03-2025 18:33:09.268,34,RECV,7E000F8100003D024E383033362D55474645CC
05-03-2025 18:33:09.268,35,RECV,7E000F8100003E024E353032382D30375555E3
05-03-2025 18:33:09.268,36,RECV,7E000F8100003E024E383033372D594E5548AD
05-03-2025 18:33:09.268,37,RECV,7E000F8100003E024E383033392D42364C5AD1
05-03-2025 18:33:09.269,38,RECV,7E000F8100003F024E353033302D35495346E3
05-03-2025 18:33:09.269,39,RECV,7E000F8100003D024E383034302D31543858E3
05-03-2025 18:33:09.269,40,RECV,7E000F8100003E024E383034312D59573632DE
05-03-2025 18:33:09.269,41,RECV,7E000F8100003F024E353033312D36473954EF
05-03-2025 18:33:09.269,42,RECV,7E000F8100003E024E383034322D4D585331CC
05-03-2025 18:33:09.271,43,RECV,7E000F8100003F024E353033322D534A5243C6
05-03-2025 18:33:09.271,44,RECV,7E000F8100003D024E383034332D43474A53CE
05-03-2025 18:33:09.271,45,RECV,7E000F8100003E024E353033332D5230554CD5
05-03-2025 18:33:09.271,46,RECV,7E000F81000049024E373034302D38555441CB
05-03-2025 18:33:09.279,47,RECV,7E000F81000040024E353033342D59575741AD
05-03-2025 18:33:09.279,48,RECV,7E000F81000048024E373034322D3931493009
05-03-2025 18:33:09.279,49,RECV,7E000F8100003E024E383034362D42524451C8
05-03-2025 18:33:09.279,50,RECV,7E000F81000049024E373034332D41573739E2
05-03-2025 18:33:09.279,51,RECV,7E000F8100003D024E383034372D4D433056DB
05-03-2025 18:33:09.279,52,RECV,7E000F81000048024E373034342D47445031DE
05-03-2025 18:33:09.279,53,RECV,7E000F81000049024E373034352D4A574C4DAE
05-03-2025 18:33:09.363,54,RECV,7E000F8100003E024E353033372D444E5636D6
05-03-2025 18:33:09.365,55,RECV,7E000F8100003E024E383034392D38304356ED
05-03-2025 18:33:09.366,56,RECV,7E000F81000048024E373034362D424C4855BD
05-03-2025 18:33:09.366,57,RECV,7E000F8100003D024E353033382D504E4249CB
05-03-2025 18:33:09.366,58,RECV,7E000F8100003E024E383035302D5548364DD6
05-03-2025 18:33:09.366,59,RECV,7E000F8100003F024E353033392D42554D43CA
05-03-2025 18:33:09.366,60,RECV,7E000F8100003E024E383035312D58443034F5
05-03-2025 18:33:09.366,61,RECV,7E000F8100003E024E353034302D4F493843E7
05-03-2025 18:33:09.366,62,RECV,7E000F8100003E024E383035322D4731313516
05-03-2025 18:33:09.366,63,RECV,7E000F8100003D024E353034312D48583631F3
05-03-2025 18:33:09.366,64,RECV,7E000F8100003D024E383035332D5949344BD3
05-03-2025 18:33:09.366,65,RECV,7E000F8100003D024E353034322D30394E43FF
05-03-2025 18:33:09.366,66,RECV,7E000F8100003E024E383035342D4A5A5934C1
05-03-2025 18:33:09.366,67,RECV,7E000F8100003E024E353034332D4D4F494DC5
05-03-2025 18:33:09.366,68,RECV,7E000F8100003F024E353034342D4B45494BD1
05-03-2025 18:33:09.366,69,RECV,7E000F8100003E024E383035362D59475537C4
05-03-2025 18:33:09.366,70,RECV,7E000F8100003F024E353034352D4E514B32D8
05-03-2025 18:33:09.366,71,RECV,7E000F8100003E024E383035372D30395857D7
05-03-2025 18:33:09.366,72,RECV,7E000F8100003F024E353034362D50394749DA
05-03-2025 18:33:09.366,73,RECV,7E000F8100003E024E383035382D4F314758CF
05-03-2025 18:33:09.366,74,RECV,7E000F8100003F024E353034372D33444342F6
05-03-2025 18:33:09.366,75,RECV,7E000F8100003E024E383035392D4E4E3230EF
05-03-2025 18:33:09.366,76,RECV,7E000F81000040024E353034382D4A5A4257B3
05-03-2025 18:33:09.366,77,RECV,7E000F81000040024E353034392D45354B41E9
05-03-2025 18:33:09.366,78,RECV,7E000F8100003E024E383036312D5237334FE9
05-03-2025 18:33:09.366,79,RECV,7E000F8100003F024E353035302D42385553D6
05-03-2025 18:33:09.456,80,RECV,7E000F8100003F024E383036322D45363752EE
05-03-2025 18:33:09.456,81,RECV,7E000F81000040024E353035312D41574741D6
05-03-2025 18:33:09.456,82,RECV,7E000F8100004A024E373036302D4438363305
05-03-2025 18:33:09.457,83,RECV,7E000F8100003F024E353035322D544A4157C0
05-03-2025 18:33:09.457,84,RECV,7E000F8100003E024E383036332D5244574CB9
05-03-2025 18:33:09.457,85,RECV,7E000F81000040024E353035332D3357454ED7
05-03-2025 18:33:09.457,86,RECV,7E000F8100003E024E383036342D4D545741B8
05-03-2025 18:33:09.458,87,RECV,7E000F8100003E024E383036352D574C4233D8
05-03-2025 18:33:09.458,88,RECV,7E000F8100003E024E383036362D48574148C7
05-03-2025 18:33:09.458,89,RECV,7E000F8100003F024E353035342D5545484DC5
05-03-2025 18:33:09.458,90,RECV,7E000F8100003E024E383036372D38595A37CC
05-03-2025 18:33:09.458,91,RECV,7E000F81000049024E373036352D49494158BB
05-03-2025 18:33:09.459,92,RECV,7E000F8100004A024E373036362D4252374CCD
05-03-2025 18:33:09.459,93,RECV,7E000F81000049024E373036372D564A4A4FAB
05-03-2025 18:33:09.459,94,RECV,7E000F8100003F024E353035372D4D4C3345E0
05-03-2025 18:33:09.471,95,RECV,7E000F8100003E024E383037302D34444458E0
05-03-2025 18:33:09.529,96,RECV,7E000F81000040024E353035382D4B385756BF
05-03-2025 18:33:09.529,97,RECV,7E000F8100003E024E383037312D51334346E6
05-03-2025 18:33:09.529,98,RECV,7E000F8100003E024E353035392D51323855E0
05-03-2025 18:33:09.529,99,RECV,7E000F8100003E024E383037322D55523837DC
05-03-2025 18:33:09.529,100,RECV,7E000F81000040024E353036302D59583057BE
05-03-2025 18:33:09.529,101,RECV,7E000F81000049024E373037302D5A42554FAA
05-03-2025 18:33:09.529,102,RECV,7E000F8100003E024E353036312D374B4D45E3
05-03-2025 18:33:09.529,103,RECV,7E000F8100004A024E373037312D50455833C8
05-03-2025 18:33:09.529,104,RECV,7E000F8100003F024E353036352D30354A360D
05-03-2025 18:33:09.529,105,RECV,7E000F81000042024E353036362D41564344D0
05-03-2025 18:33:09.553,106,RECV,7E000F81000042024E353037302D5658394BC1
05-03-2025 18:33:09.557,107,RECV,7E000F81000042024E353037312D56344C34E8
05-03-2025 18:33:09.557,108,RECV,7E000F8100004A024E373038322D334B4433F1
05-03-2025 18:33:09.557,109,RECV,7E000F8100003E024E353037332D585A5349A6
05-03-2025 18:33:09.557,110,RECV,7E000F8100003E024E383038302D4A304A4DE2
05-03-2025 18:33:09.557,111,RECV,7E000F8100004A024E373038332D59464159AC
05-03-2025 18:33:09.557,112,RECV,7E000F81000040024E353037342D55314A32EF
05-03-2025 18:33:09.558,113,RECV,7E000F8100003E024E383038312D4D455845C3
05-03-2025 18:33:09.558,114,RECV,7E000F81000049024E373038342D55494751AF
05-03-2025 18:33:09.558,115,RECV,7E000F8100003D024E383038322D4C47564CBD
05-03-2025 18:33:09.558,116,RECV,7E000F8100003F024E353037352D58554B54A5
05-03-2025 18:33:09.558,117,RECV,7E000F8100003D024E383038332D4F553459C0
05-03-2025 18:33:09.558,118,RECV,7E000F8100003F024E353037362D4D554D49B8
05-03-2025 18:33:09.558,119,RECV,7E000F8100003F024E353037382D3851544EC3
05-03-2025 18:33:09.558,120,RECV,7E000F8100003D024E383038362D4B343351EB
05-03-2025 18:33:09.558,121,RECV,7E000F81000040024E353038302D56384449D9
05-03-2025 18:33:09.558,122,RECV,7E000F8100003D024E383038392D4D485151B4
05-03-2025 18:33:09.558,123,RECV,7E000F81000040024E353038312D46494959C2
05-03-2025 18:33:09.558,124,RECV,7E000F8100003D024E383039302D46575A50AC
05-03-2025 18:33:09.558,125,RECV,7E000F8100003E024E353038322D34425152DB
05-03-2025 18:33:09.558,126,RECV,7E000F8100003D024E383039312D55374B4FCC
05-03-2025 18:33:09.559,127,RECV,7E000F8100003F024E353038332D42445A57BB
05-03-2025 18:33:09.559,128,RECV,7E000F8100003D024E383039322D4C4C564EB5
05-03-2025 18:33:09.576,129,RECV,7E000F8100003F024E353038342D48514132E5
05-03-2025 18:33:09.576,130,RECV,7E000F8100003D024E383039332D48535230D3
05-03-2025 18:33:09.576,131,RECV,7E000F81000040024E353038352D47553652CB
05-03-2025 18:33:09.638,132,RECV,7E000F8100003D024E383039342D4A434D45D0
05-03-2025 18:33:09.657,133,RECV,7E000F81000040024E353038362D44593741D9
05-03-2025 18:33:09.657,134,RECV,7E000F8100003E024E383039352D41314E47E6
05-03-2025 18:33:09.657,135,RECV,7E000F81000040024E353038372D4A5559569F
05-03-2025 18:33:09.657,136,RECV,7E000F8100003D024E383039362D44594332DB
05-03-2025 18:33:09.657,137,RECV,7E000F81000040024E353038382D53525A47A6
05-03-2025 18:33:09.657,138,RECV,7E000F8100003E024E383039372D53545A48A2
05-03-2025 18:33:09.657,139,RECV,7E000F81000040024E353038392D584C4737C9
05-03-2025 18:33:09.657,140,RECV,7E000F8100003D024E383039382D4C4F4D43C0
05-03-2025 18:33:09.657,141,RECV,7E000F81000040024E353039302D47533444E1
05-03-2025 18:33:09.657,142,RECV,7E000F8100003E024E383039392D4C425856AD
05-03-2025 18:33:09.657,143,RECV,7E000F8100003E024E353039312D38504638EE
05-03-2025 18:33:09.658,144,RECV,7E000F81000040024E353039322D34593045EF
