05-03-2025 18:36:42.726,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:35:59.131,0,RECV,7E000F81000036024E363030302D353539530F
05-03-2025 18:35:59.202,1,RECV,7E000F81000036024E363030312D36504E36FA
05-03-2025 18:35:59.202,2,RECV,7E000F81000036024E363030322D42473458EE
05-03-2025 18:35:59.202,3,RECV,7E000F81000036024E363030332D4A38464CEE
05-03-2025 18:35:59.203,4,RECV,7E000F81000041024E383030332D4A515432D4
05-03-2025 18:35:59.203,5,RECV,7E000F81000036024E363030342D324D574DDE
05-03-2025 18:35:59.203,6,RECV,7E000F81000036024E363030352D4258505ABC
05-03-2025 18:35:59.203,7,RECV,7E000F81000036024E363030362D47544A49D1
05-03-2025 18:35:59.203,8,RECV,7E000F81000043024E353030362D424B334EE5
05-03-2025 18:35:59.203,9,RECV,7E000F81000036024E363030372D36485034FC
05-03-2025 18:35:59.203,10,RECV,7E000F81000043024E353030372D51565439BE
05-03-2025 18:35:59.203,11,RECV,7E007D3381000041000EFFFFFFFFFFFFFFFF00000053489C
05-03-2025 18:35:59.203,12,RECV,7E000F81000036024E363030382D4B503736F5
05-03-2025 18:35:59.203,13,RECV,7E000F81000041024E383030352D48593643D9
05-03-2025 18:35:59.203,14,RECV,7E000F81000042024E353030382D3546494FDF
05-03-2025 18:35:59.203,15,RECV,7E000F81000036024E363030392D48455A48CD
05-03-2025 18:35:59.203,16,RECV,7E000F8100004B024E373031302D43344349EB
05-03-2025 18:35:59.203,17,RECV,7E000F81000041024E383030372D385A455AC0
05-03-2025 18:35:59.203,18,RECV,7E000F81000036024E363031302D4A493552EA
05-03-2025 18:35:59.203,19,RECV,7E000F81000040024E383030382D53325A45CD
05-03-2025 18:35:59.203,20,RECV,7E000F81000036024E363031312D3130393237
05-03-2025 18:35:59.203,21,RECV,7E000F81000041024E383030392D4F335631E6
05-03-2025 18:35:59.203,22,RECV,7E000F81000043024E353031302D475A375AC6
05-03-2025 18:35:59.204,23,RECV,7E000F81000040024E383031302D454E3931FB
05-03-2025 18:35:59.204,24,RECV,7E000F81000042024E353031312D56505A35C3
05-03-2025 18:35:59.204,25,RECV,7E000F81000037024E363031322D53443950E1
05-03-2025 18:35:59.296,26,RECV,7E000F81000035024E363031332D374D5857CF
05-03-2025 18:35:59.297,27,RECV,7E000F8100004C024E373031362D4641534EBF
05-03-2025 18:35:59.297,28,RECV,7E000F81000040024E383031342D57433534F1
05-03-2025 18:35:59.297,29,RECV,7E000F81000035024E363031342D37354C4AFF
05-03-2025 18:35:59.297,30,RECV,7E000F8100004C024E373031372D56314937DF
05-03-2025 18:35:59.297,31,RECV,7E000F8100004C024E373031382D54303757D3
05-03-2025 18:35:59.297,32,RECV,7E000F81000040024E383031362D4C464E33DF
05-03-2025 18:35:59.297,33,RECV,7E000F81000043024E353031372D55494A45C4
05-03-2025 18:35:59.297,34,RECV,7E000F81000037024E363031352D54555131D3
05-03-2025 18:35:59.297,35,RECV,7E000F81000036024E363031362D45525255C0
05-03-2025 18:35:59.297,36,RECV,7E000F81000036024E363031372D44554237EB
05-03-2025 18:35:59.297,37,RECV,7E000F81000036024E363031382D52525942BD
05-03-2025 18:35:59.297,38,RECV,7E000F81000036024E363031392D50425146D2
05-03-2025 18:35:59.297,39,RECV,7E000F81000043024E353032312D38394C52E7
05-03-2025 18:35:59.297,40,RECV,7E000F8100004C024E373032332D37585636CE
05-03-2025 18:35:59.297,41,RECV,7E000F81000036024E363032302D364E4A5ADB
05-03-2025 18:35:59.297,42,RECV,7E000F81000040024E383032322D37563546ED
05-03-2025 18:35:59.297,43,RECV,7E000F81000042024E353032322D4F37574FCA
05-03-2025 18:35:59.298,44,RECV,7E000F81000037024E363032312D343758320C
05-03-2025 18:35:59.298,45,RECV,7E007D3381000035001FFFFFFFFFFFFFFFFF000000534897
05-03-2025 18:35:59.298,46,RECV,7E000F81000035024E363032322D39474C50E6
05-03-2025 18:35:59.298,47,RECV,7E000F8100004C024E373032362D52355847C0
05-03-2025 18:35:59.298,48,RECV,7E000F81000036024E363032332D54325A4ED2
05-03-2025 18:35:59.298,49,RECV,7E000F81000035024E363032342D55554E5AAE
05-03-2025 18:35:59.298,50,RECV,7E000F81000036024E363032352D4A523737F4
05-03-2025 18:35:59.298,51,RECV,7E000F81000037024E363032362D4A344739FE
05-03-2025 18:35:59.389,52,RECV,7E000F8100004B024E373033302D4E433956CC
05-03-2025 18:35:59.414,53,RECV,7E000F81000036024E363032372D49514433EB
05-03-2025 18:35:59.414,54,RECV,7E000F81000036024E363032382D484F5147CC
05-03-2025 18:35:59.414,55,RECV,7E000F8100004C024E373033322D3049384BED
05-03-2025 18:35:59.414,56,RECV,7E000F81000036024E363032392D4D594B46C3
05-03-2025 18:35:59.414,57,RECV,7E000F8100004B024E373033332D4E42574FB3
05-03-2025 18:35:59.414,58,RECV,7E000F81000037024E363033302D4E493246F2
05-03-2025 18:35:59.414,59,RECV,7E000F8100004C024E373033342D4B565544AD
05-03-2025 18:35:59.414,60,RECV,7E000F81000036024E363033312D35544157E0
05-03-2025 18:35:59.415,61,RECV,7E000F8100004B024E373033352D4D514544C0
05-03-2025 18:35:59.415,62,RECV,7E000F81000043024E353033332D304B5230F6
05-03-2025 18:35:59.415,63,RECV,7E000F81000041024E383033352D504C3332EF
05-03-2025 18:35:59.415,64,RECV,7E000F81000037024E363033322D38485330FC
05-03-2025 18:35:59.415,65,RECV,7E000F8100003F024E383033362D41545931D2
05-03-2025 18:35:59.415,66,RECV,7E000F81000036024E363033332D574D5942C0
05-03-2025 18:35:59.415,67,RECV,7E000F81000036024E363033342D50523244E6
05-03-2025 18:35:59.415,68,RECV,7E000F8100003F024E383033382D53444A58B6
05-03-2025 18:35:59.415,69,RECV,7E000F81000036024E363033352D50375644DC
05-03-2025 18:35:59.415,70,RECV,7E000F81000040024E353033362D37365355DE
05-03-2025 18:35:59.415,71,RECV,7E000F81000041024E383034302D484B4C38DD
05-03-2025 18:35:59.415,72,RECV,7E000F81000037024E363033362D5A383343F3
05-03-2025 18:35:59.415,73,RECV,7E000F81000035024E363033372D4F4A4D4ACC
05-03-2025 18:35:59.415,74,RECV,7E000F81000041024E383034322D44435942D0
05-03-2025 18:35:59.415,75,RECV,7E000F81000037024E363033382D39355151E9
05-03-2025 18:35:59.415,76,RECV,7E000F81000036024E363033392D57415356B8
05-03-2025 18:35:59.415,77,RECV,7E000F8100004B024E373034322D4A39554AC7
05-03-2025 18:35:59.482,78,RECV,7E000F81000036024E363034302D444A5939E1
05-03-2025 18:35:59.483,79,RECV,7E000F81000036024E363034312D474F4E50CC
05-03-2025 18:35:59.483,80,RECV,7E000F81000041024E353033392D344F4A33EF
05-03-2025 18:35:59.483,81,RECV,7E000F81000036024E363034322D554D5132DA
05-03-2025 18:35:59.483,82,RECV,7E000F81000037024E363034332D53515059B0
05-03-2025 18:35:59.484,83,RECV,7E000F81000037024E363034342D3448384800
05-03-2025 18:35:59.484,84,RECV,7E000F81000042024E353034312D483031420A
05-03-2025 18:35:59.484,85,RECV,7E000F8100003E024E383034392D41393356EB
05-03-2025 18:35:59.484,86,RECV,7E000F81000035024E363034352D3158504BD9
05-03-2025 18:35:59.484,87,RECV,7E000F81000040024E383035302D3930333325
05-03-2025 18:35:59.485,88,RECV,7E000F81000036024E363034362D48494E4AD2
05-03-2025 18:35:59.485,89,RECV,7E000F81000041024E383035312D5A4E3335E2
05-03-2025 18:35:59.485,90,RECV,7E000F81000036024E363034372D4E394444EB
