05-03-2025 18:11:02.408,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:09:55.961,0,RECV,7E000F81000034024E363030302D57353754F0
05-03-2025 18:09:55.962,1,RECV,7E000F8100004A024E373030322D33415A51CF
05-03-2025 18:09:55.974,2,RECV,7E000F81000040024E353030312D35464559E2
05-03-2025 18:09:56.052,3,RECV,7E000F8100004A024E373030332D59594B44AC
05-03-2025 18:09:56.055,4,RECV,7E000F81000040024E353030322D4D485449C8
05-03-2025 18:09:56.055,5,RECV,7E007D3381000035000AFFFFFFFFFFFFFFFF0000005348AC
05-03-2025 18:09:56.056,6,RECV,7E000F8100004A024E373030352D56535744A7
05-03-2025 18:09:56.056,7,RECV,7E000F81000036024E363030312D3149564DE7
05-03-2025 18:09:56.056,8,RECV,7E007D3381000040000CFFFFFFFFFFFFFFFF00000053489F
05-03-2025 18:09:56.056,9,RECV,7E000F81000035024E363030322D41375244F6
05-03-2025 18:09:56.056,10,RECV,7E000F81000040024E353030332D455A4753C0
05-03-2025 18:09:56.056,11,RECV,7E000F81000035024E363030332D5A464F41D3
05-03-2025 18:09:56.056,12,RECV,7E000F81000040024E353030342D4434333914
05-03-2025 18:09:56.056,13,RECV,7E000F81000034024E363030342D4950494CD5
05-03-2025 18:09:56.056,14,RECV,7E000F81000040024E353030352D42535856B4
05-03-2025 18:09:56.056,15,RECV,7E000F8100004A024E373030372D57305145CC
05-03-2025 18:09:56.056,16,RECV,7E000F81000035024E363030352D50533336F5
05-03-2025 18:09:56.057,17,RECV,7E000F81000040024E353030372D49543438EC
05-03-2025 18:09:56.057,18,RECV,7E000F81000040024E353030382D4E33313909
05-03-2025 18:09:56.057,19,RECV,7E000F81000034024E363030362D42464B34FA
05-03-2025 18:09:56.057,20,RECV,7E000F81000040024E353030392D37423852F0
05-03-2025 18:09:56.057,21,RECV,7E000F8100004A024E373031312D30595855B8
05-03-2025 18:09:56.057,22,RECV,7E000F81000034024E363030372D3239364619
05-03-2025 18:09:56.057,23,RECV,7E000F81000041024E353031302D4546594BCB
05-03-2025 18:09:56.057,24,RECV,7E000F81000034024E363030382D54453457DB
05-03-2025 18:09:56.057,25,RECV,7E000F81000040024E353031312D424B4C55CC
05-03-2025 18:09:56.057,26,RECV,7E000F81000041024E353031322D474B4E49CF
05-03-2025 18:09:56.057,27,RECV,7E000F81000040024E353031332D4A4B4E42D3
05-03-2025 18:09:56.057,28,RECV,7E000F81000035024E363030392D34314A4509
05-03-2025 18:09:56.147,29,RECV,7E000F81000035024E363031302D554B4D30E8
05-03-2025 18:09:56.149,30,RECV,7E000F81000035024E363031312D4231333529
05-03-2025 18:09:56.149,31,RECV,7E000F8100003F024E353031362D4843344DEA
05-03-2025 18:09:56.149,32,RECV,7E000F81000034024E363031322D51395232F6
05-03-2025 18:09:56.149,33,RECV,7E000F81000040024E353031372D4E41303005
05-03-2025 18:09:56.149,34,RECV,7E000F81000034024E363031332D31455250EB
05-03-2025 18:09:56.149,35,RECV,7E000F81000040024E353031382D55374C50CB
05-03-2025 18:09:56.149,36,RECV,7E000F81000034024E363031342D34574F5ACE
05-03-2025 18:09:56.150,37,RECV,7E000F81000040024E353031392D42314D47EB
05-03-2025 18:09:56.150,38,RECV,7E000F81000035024E363031352D46554632ED
05-03-2025 18:09:56.150,39,RECV,7E000F81000040024E353032302D34544D39EC
05-03-2025 18:09:56.150,40,RECV,7E000F81000035024E363031362D58463547E5
05-03-2025 18:09:56.150,41,RECV,7E000F81000040024E353032312D4E493143EE
05-03-2025 18:09:56.150,42,RECV,7E000F81000035024E363031372D59504153C1
05-03-2025 18:09:56.157,43,RECV,7E000F81000040024E353032322D3431484EFD
05-03-2025 18:09:56.157,44,RECV,7E000F81000035024E363031382D49304C4FE9
05-03-2025 18:09:56.158,45,RECV,7E000F81000040024E353032332D38474831FF
05-03-2025 18:09:56.158,46,RECV,7E000F81000035024E363031392D53594335D8
05-03-2025 18:09:56.158,47,RECV,7E000F81000040024E353032342D37413756F1
05-03-2025 18:09:56.158,48,RECV,7E000F81000034024E363032302D59555850AF
05-03-2025 18:09:56.158,49,RECV,7E000F81000040024E353032352D384A3759E3
05-03-2025 18:09:56.158,50,RECV,7E000F81000035024E363032312D4634305207
05-03-2025 18:09:56.158,51,RECV,7E000F81000040024E353032362D49484F31E3
05-03-2025 18:09:56.158,52,RECV,7E000F8100004A024E373032382D57303735F3
05-03-2025 18:09:56.158,53,RECV,7E000F81000034024E363032322D304C5042F5
05-03-2025 18:09:56.158,54,RECV,7E000F8100004A024E373032392D45324A36EE
05-03-2025 18:09:56.241,55,RECV,7E000F81000034024E363032332D45523748EC
05-03-2025 18:09:56.257,56,RECV,7E000F81000040024E353032372D46554552C1
05-03-2025 18:09:56.257,57,RECV,7E000F81000034024E363032342D3451594FD4
05-03-2025 18:09:56.257,58,RECV,7E000F81000040024E353032382D50364334F5
05-03-2025 18:09:56.257,59,RECV,7E000F81000035024E363032352D5638333806
05-03-2025 18:09:56.257,60,RECV,7E000F81000034024E363032362D4D535236D7
05-03-2025 18:09:56.257,61,RECV,7E000F81000034024E363032372D314635371B
05-03-2025 18:09:56.257,62,RECV,7E000F81000040024E353032392D38344345FD
05-03-2025 18:09:56.257,63,RECV,7E000F81000034024E363032382D5A474B50C1
05-03-2025 18:09:56.257,64,RECV,7E000F81000034024E363032392D35595255C7
05-03-2025 18:09:56.257,65,RECV,7E000F81000035024E363033302D57384659D5
05-03-2025 18:09:56.257,66,RECV,7E000F81000034024E363033312D504C4858C7
05-03-2025 18:09:56.257,67,RECV,7E000F81000034024E363033322D314737470C
05-03-2025 18:09:56.258,68,RECV,7E000F81000034024E363033332D5031323519
05-03-2025 18:09:56.258,69,RECV,7E000F81000034024E363033342D45505750C4
05-03-2025 18:09:56.258,70,RECV,7E000F81000034024E363033352D394131437D31
05-03-2025 18:09:56.258,71,RECV,7E000F81000034024E363033362D5349514EC3
05-03-2025 18:09:56.258,72,RECV,7E000F81000040024E353033332D354C3059EC
05-03-2025 18:09:56.258,73,RECV,7E000F81000034024E363033372D343236441D
05-03-2025 18:09:56.258,74,RECV,7E000F81000040024E353033342D51514A58B1
05-03-2025 18:09:56.258,75,RECV,7E000F81000034024E363033382D5A474635E0
05-03-2025 18:09:56.258,76,RECV,7E000F81000040024E353033352D494A3630FB
05-03-2025 18:09:56.258,77,RECV,7E000F81000034024E363033392D5249594EB9
05-03-2025 18:09:56.258,78,RECV,7E000F81000041024E353033362D54553647CC
05-03-2025 18:09:56.258,79,RECV,7E000F81000035024E363034302D484B4354D8
05-03-2025 18:09:56.258,80,RECV,7E000F81000040024E353033372D3133375205
05-03-2025 18:09:56.348,81,RECV,7E000F81000048024E373034332D55555543A9
05-03-2025 18:09:56.405,82,RECV,7E000F81000034024E363034312D54494649D6
05-03-2025 18:09:56.405,83,RECV,7E000F81000034024E363034322D554E344FDB
05-03-2025 18:09:56.405,84,RECV,7E000F81000034024E363034332D3250453108
05-03-2025 18:09:56.405,85,RECV,7E000F81000041024E353033382D4B373855E1
05-03-2025 18:09:56.405,86,RECV,7E000F81000034024E363034342D384A314606
05-03-2025 18:09:56.405,87,RECV,7E000F81000041024E353033392D4D425431DB
05-03-2025 18:09:56.405,88,RECV,7E000F8100004A024E373034362D55484B4CB2
05-03-2025 18:09:56.437,89,RECV,7E000F81000035024E363034352D3649363315
05-03-2025 18:09:56.438,90,RECV,7E000F81000040024E353034302D59454155C4
05-03-2025 18:09:56.438,91,RECV,7E000F81000034024E363034362D49594C39D6
05-03-2025 18:09:56.438,92,RECV,7E000F8100004A024E373034392D344B4157CC
05-03-2025 18:09:56.438,93,RECV,7E000F81000034024E363034372D47324B3800
05-03-2025 18:09:56.438,94,RECV,7E000F81000034024E363034382D43535359B9
05-03-2025 18:09:56.438,95,RECV,7E000F81000049024E373035322D49415736D3
05-03-2025 18:09:56.439,96,RECV,7E000F81000034024E363034392D394F4A45E3
05-03-2025 18:09:56.439,97,RECV,7E000F8100004A024E373035332D39533055D7
05-03-2025 18:09:56.439,98,RECV,7E000F81000034024E363035302D3332494F05
05-03-2025 18:09:56.440,99,RECV,7E000F81000040024E353034342D31345056E9
05-03-2025 18:09:56.440,100,RECV,7E000F8100004A024E373035342D545A3037D2
05-03-2025 18:09:56.440,101,RECV,7E000F81000041024E353034352D554D414CC3
05-03-2025 18:09:56.440,102,RECV,7E000F81000049024E373035352D574953559F
05-03-2025 18:09:56.440,103,RECV,7E000F81000034024E363035312D3055574DD8
05-03-2025 18:09:56.440,104,RECV,7E000F81000041024E353034362D50344A39EA
05-03-2025 18:09:56.440,105,RECV,7E000F81000035024E363035322D435A4E44D0
05-03-2025 18:09:56.440,106,RECV,7E000F81000040024E353034372D35545834DC
05-03-2025 18:09:56.441,107,RECV,7E000F81000034024E363035332D33414B44FC
05-03-2025 18:09:56.441,108,RECV,7E000F81000040024E353034382D4C345755C4
05-03-2025 18:09:56.441,109,RECV,7E000F81000034024E363035342D55575A5A9E
05-03-2025 18:09:56.441,110,RECV,7E000F81000040024E353034392D5A484C54AD
05-03-2025 18:09:56.441,111,RECV,7E000F81000034024E363035352D54333745FA
05-03-2025 18:09:56.441,112,RECV,7E000F81000041024E353035302D3549544ED6
05-03-2025 18:09:56.441,113,RECV,7E000F81000034024E363035362D55373144FB
05-03-2025 18:09:56.441,114,RECV,7E000F81000040024E353035312D4A47494ECE
05-03-2025 18:09:56.441,115,RECV,7E000F81000034024E363035372D4D505147C6
05-03-2025 18:09:56.441,116,RECV,7E000F81000034024E363035382D32495344E8
05-03-2025 18:09:56.441,117,RECV,7E000F81000040024E353035322D59523435E1
05-03-2025 18:09:56.441,118,RECV,7E000F81000034024E363035392D4D394B31F7
