05-03-2025 18:37:25.922,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:37:05.986,0,RECV,7E000F81000038024E363030302D55334357E1
05-03-2025 18:37:06.077,1,RECV,7E000F81000038024E363030312D44465331F4
05-03-2025 18:37:06.077,2,RECV,7E000F81000044024E353030312D5749304FD8
05-03-2025 18:37:06.077,3,RECV,7E000F8100004E024E373030322D554E464EB3
05-03-2025 18:37:06.077,4,RECV,7E000F81000043024E383030332D514C4E46C2
05-03-2025 18:37:06.077,5,RECV,7E000F8100004D024E373030332D33424B43E7
05-03-2025 18:37:06.077,6,RECV,7E000F81000045024E353030322D31585237E3
05-03-2025 18:37:06.077,7,RECV,7E000F81000043024E383030352D594C3043D9
05-03-2025 18:37:06.077,8,RECV,7E000F81000044024E353030332D3739424BF8
05-03-2025 18:37:06.078,9,RECV,7E000F81000038024E363030322D59333346FC
05-03-2025 18:37:06.078,10,RECV,7E000F81000043024E383030362D54303652E4
05-03-2025 18:37:06.078,11,RECV,7E000F8100004D024E373030362D394B414CD6
05-03-2025 18:37:06.078,12,RECV,7E000F81000044024E353030342D49433059DF
05-03-2025 18:37:06.078,13,RECV,7E000F8100004C024E373030372D4C4E544EAB
05-03-2025 18:37:06.078,14,RECV,7E007D3381000039000CFFFFFFFFFFFFFFFF0000005348A6
05-03-2025 18:37:06.078,15,RECV,7E000F8100004E024E373030382D42515942B6
05-03-2025 18:37:06.078,16,RECV,7E000F81000042024E383030372D35305959D9
05-03-2025 18:37:06.078,17,RECV,7E000F81000038024E363030332D50455341D7
05-03-2025 18:37:06.078,18,RECV,7E000F8100004D024E373030392D504B534CAA
05-03-2025 18:37:06.078,19,RECV,7E000F81000037024E363030342D50314A57DE
05-03-2025 18:37:06.078,20,RECV,7E000F81000037024E363030352D4331375400
05-03-2025 18:37:06.078,21,RECV,7E000F81000041024E383030382D42534F4EBE
05-03-2025 18:37:06.079,22,RECV,7E000F81000037024E363030362D4D385252D5
05-03-2025 18:37:06.079,23,RECV,7E000F81000042024E383030392D3341444DE9
05-03-2025 18:37:06.079,24,RECV,7E000F81000037024E363030372D46463349F5
05-03-2025 18:37:06.079,25,RECV,7E000F81000044024E353031312D49344145F3
05-03-2025 18:37:06.079,26,RECV,7E000F81000042024E383031312D4C53544AB8
05-03-2025 18:37:06.170,27,RECV,7E000F81000037024E363030382D38574231FA
05-03-2025 18:37:06.186,28,RECV,7E000F81000038024E363030392D4D525242C7
05-03-2025 18:37:06.186,29,RECV,7E000F81000041024E383031322D4B504344D3
05-03-2025 18:37:06.186,30,RECV,7E000F81000044024E353031332D38484A31F9
05-03-2025 18:37:06.186,31,RECV,7E000F81000042024E383031332D46475343D0
05-03-2025 18:37:06.186,32,RECV,7E000F81000042024E353031342D42574136E5
05-03-2025 18:37:06.187,33,RECV,7E000F81000038024E363031302D50484338EF
05-03-2025 18:37:06.187,34,RECV,7E000F81000042024E383031342D33304F310F
05-03-2025 18:37:06.187,35,RECV,7E000F81000043024E383031352D47345531EF
05-03-2025 18:37:06.187,36,RECV,7E000F81000038024E363031312D31585848D8
05-03-2025 18:37:06.187,37,RECV,7E000F81000041024E383031362D55424439DD
05-03-2025 18:37:06.187,38,RECV,7E000F81000037024E363031322D4B495742D4
05-03-2025 18:37:06.187,39,RECV,7E000F81000038024E363031332D444B5952C5
05-03-2025 18:37:06.187,40,RECV,7E000F8100003F024E383031372D30505757C4
05-03-2025 18:37:06.187,41,RECV,7E000F8100004C024E373032322D5A443339E0
05-03-2025 18:37:06.187,42,RECV,7E000F81000037024E363031342D39585733E4
05-03-2025 18:37:06.187,43,RECV,7E007D3381000044001BFFFFFFFFFFFFFFFF00000053488C
05-03-2025 18:37:06.187,44,RECV,7E000F81000042024E383031382D5A554D52A0
05-03-2025 18:37:06.187,45,RECV,7E000F81000045024E353031382D4D485633D0
05-03-2025 18:37:06.188,46,RECV,7E000F81000042024E383031392D45435252C1
05-03-2025 18:37:06.188,47,RECV,7E000F81000038024E363031352D333239530C
05-03-2025 18:37:06.188,48,RECV,7E000F81000044024E353031392D56344350D1
05-03-2025 18:37:06.188,49,RECV,7E000F81000038024E363031362D375A4A35EC
05-03-2025 18:37:06.188,50,RECV,7E000F81000042024E383032302D52533849CF
05-03-2025 18:37:06.188,51,RECV,7E000F81000037024E363031372D45504152D4
05-03-2025 18:37:06.188,52,RECV,7E000F81000041024E383032312D474D5644C7
05-03-2025 18:37:06.263,53,RECV,7E000F81000037024E363031382D384D35350C
05-03-2025 18:37:06.263,54,RECV,7E000F8100003F024E353032322D4231305600
05-03-2025 18:37:06.263,55,RECV,7E000F81000036024E363031392D48574E50BE
05-03-2025 18:37:06.263,56,RECV,7E000F8100004C024E373033302D384D494FCE
05-03-2025 18:37:06.263,57,RECV,7E000F81000037024E363032302D59334B36F5
05-03-2025 18:37:06.263,58,RECV,7E000F8100004C024E373033312D455A5A41B0
05-03-2025 18:37:06.263,59,RECV,7E000F81000037024E363032312D5946344EE0
05-03-2025 18:37:06.263,60,RECV,7E000F81000037024E363032322D4E4B504EC9
05-03-2025 18:37:06.263,61,RECV,7E000F81000044024E353032352D4C313453ED
05-03-2025 18:37:06.263,62,RECV,7E000F81000037024E363032332D484C4133F7
05-03-2025 18:37:06.263,63,RECV,7E000F81000038024E363032342D51464A32EA
05-03-2025 18:37:06.263,64,RECV,7E000F81000038024E363032352D43424B33F9
05-03-2025 18:37:06.263,65,RECV,7E000F81000037024E363032362D31594853D7
05-03-2025 18:37:06.263,66,RECV,7E000F81000038024E363032372D45514B51C8
05-03-2025 18:37:06.263,67,RECV,7E000F81000044024E353032392D4C5659569C
05-03-2025 18:37:06.263,68,RECV,7E000F81000038024E363032382D554A3333F4
05-03-2025 18:37:06.264,69,RECV,7E000F81000044024E353033302D45525245C7
05-03-2025 18:37:06.264,70,RECV,7E000F81000038024E363032392D58345851C3
05-03-2025 18:37:06.264,71,RECV,7E000F81000045024E353033312D4F4F5A53A8
05-03-2025 18:37:06.264,72,RECV,7E000F81000037024E363033302D323336392D
05-03-2025 18:37:06.265,73,RECV,7E000F81000037024E363033312D5A553451CC
05-03-2025 18:37:06.265,74,RECV,7E000F81000038024E363033322D59524658B5
05-03-2025 18:37:06.265,75,RECV,7E000F81000037024E363033332D4F475437DD
05-03-2025 18:37:06.265,76,RECV,7E000F81000037024E363033342D3844383910
05-03-2025 18:37:06.282,77,RECV,7E000F81000037024E363033352D3736353723
05-03-2025 18:37:06.288,78,RECV,7E000F81000038024E363033362D324E35347D31
05-03-2025 18:37:06.356,79,RECV,7E000F8100004C024E373034322D414B4149D2
05-03-2025 18:37:06.386,80,RECV,7E000F81000038024E363033372D503537300D
05-03-2025 18:37:06.386,81,RECV,7E000F81000038024E363033382D55423643E8
05-03-2025 18:37:06.386,82,RECV,7E000F81000038024E363033392D59414134E8
05-03-2025 18:37:06.386,83,RECV,7E000F81000038024E363034302D42475944D9
05-03-2025 18:37:06.386,84,RECV,7E000F81000038024E363034312D4F34303912
05-03-2025 18:37:06.386,85,RECV,7E000F81000038024E363034322D48463357E5
05-03-2025 18:37:06.386,86,RECV,7E000F81000043024E383033392D42395230ED
05-03-2025 18:37:06.386,87,RECV,7E000F81000038024E363034332D5A534E47BA
05-03-2025 18:37:06.386,88,RECV,7E000F8100004C024E373034362D31523743E7
05-03-2025 18:37:06.386,89,RECV,7E000F81000037024E363034342D564C5033D7
05-03-2025 18:37:06.387,90,RECV,7E000F81000042024E383034312D44494E48CF
05-03-2025 18:37:06.387,91,RECV,7E000F81000038024E363034352D424C4756CF
05-03-2025 18:37:06.387,92,RECV,7E000F81000037024E363034362D5A4E5552AB
05-03-2025 18:37:06.387,93,RECV,7E000F81000043024E353034342D38514B5AC3
05-03-2025 18:37:06.387,94,RECV,7E000F81000042024E383034332D5530313703
05-03-2025 18:37:06.387,95,RECV,7E000F81000037024E363034372D38364E310C
05-03-2025 18:37:06.387,96,RECV,7E000F81000037024E363034382D47414438F4
05-03-2025 18:37:06.387,97,RECV,7E000F81000037024E363034392D55424C54C0
05-03-2025 18:37:06.387,98,RECV,7E000F8100003E024E383034372D30335944F0
05-03-2025 18:37:06.387,99,RECV,7E000F81000043024E353034372D43414858CA
05-03-2025 18:37:06.387,100,RECV,7E000F81000037024E363035302D57305933EC
05-03-2025 18:37:06.387,101,RECV,7E000F81000036024E363035312D54545852AD
05-03-2025 18:37:06.387,102,RECV,7E000F8100004C024E373034382D4D344142DE
05-03-2025 18:37:06.387,103,RECV,7E000F81000041024E383034392D4445303200
05-03-2025 18:37:06.387,104,RECV,7E000F81000036024E363035322D4B4D3459D9
