1ms,rem_nodes_2ch_4n,29,100,32,100,0.645,0.660
2ms,rem_nodes_2ch_4n,32,100,32,100,0.660,0.660
3ms,rem_nodes_2ch_4n,37,88,32,100,0.625,0.660
4ms,rem_nodes_2ch_4n,48,100,53,100,0.740,0.765
5ms,rem_nodes_2ch_4n,60,99,49,97,0.795,0.730
10ms,rem_nodes_2ch_4n,88,100,79,100,0.940,0.895
15ms,rem_nodes_2ch_4n,92,99,85,99,0.955,0.920
20ms,rem_nodes_2ch_4n,93,99,90,100,0.960,0.950
25ms,rem_nodes_2ch_4n,92,100,92,100,0.960,0.960
30ms,rem_nodes_2ch_4n,91,100,92,100,0.955,0.960
35ms,rem_nodes_2ch_4n,91,100,91,100,0.955,0.955
40ms,rem_nodes_2ch_4n,90,98,93,100,0.940,0.965
50ms,rem_nodes_2ch_4n,95,99,98,100,0.970,0.990
60ms,rem_nodes_2ch_4n,91,100,95,100,0.955,0.975
70ms,rem_nodes_2ch_4n,91,100,95,100,0.955,0.975
80ms,rem_nodes_2ch_4n,99,100,95,100,0.995,0.975
90ms,rem_nodes_2ch_4n,93,100,94,99,0.965,0.965
100ms,rem_nodes_2ch_4n,95,100,94,100,0.000,0.970
120ms,rem_nodes_2ch_4n,99,100,96,100,0.995,0.980
150ms,rem_nodes_2ch_4n,94,100,97,100,0.970,0.985
