04-15-2025 13:48:25.474,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

04-15-2025 13:42:44.566,0,RECV,7E000F81000047024E353030302D51344530FB
04-15-2025 13:42:44.567,1,RECV,7E000F81000047024E353030312D56345349CE
04-15-2025 13:42:44.597,2,RECV,7E000F81000047024E353030322D5732534FC8
04-15-2025 13:42:44.598,3,RECV,7E000F81000047024E353030332D5A374258C7
04-15-2025 13:42:44.598,4,RECV,7E000F81000047024E353030342D4F573541D5
04-15-2025 13:42:44.598,5,RECV,7E000F81000047024E353030352D32374D3109
04-15-2025 13:42:44.599,6,RECV,7E000F81000048024E353030362D354B3249F3
04-15-2025 13:42:44.599,7,RECV,7E000F81000047024E353030372D51345954BC
04-15-2025 13:42:44.599,8,RECV,7E000F81000047024E353030382D434C4257C5
04-15-2025 13:42:44.600,9,RECV,7E000F81000048024E353030392D37423045FD
04-15-2025 13:42:44.601,10,RECV,7E000F81000047024E353031302D39325538FC
04-15-2025 13:42:44.601,11,RECV,7E000F81000047024E353031312D5A475257A9
04-15-2025 13:42:44.601,12,RECV,7E000F81000047024E353031322D42523443E7
04-15-2025 13:42:44.601,13,RECV,7E000F81000047024E353031332D53564232D4
04-15-2025 13:42:44.602,14,RECV,7E000F81000047024E353031352D49444F52C1
04-15-2025 13:42:44.667,15,RECV,7E000F81000047024E353031362D54515649AA
04-15-2025 13:42:44.667,16,RECV,7E000F81000047024E353031372D4B4C3351D2
04-15-2025 13:42:44.668,17,RECV,7E000F81000047024E353031382D494D4934D9
04-15-2025 13:42:44.668,18,RECV,7E000F81000048024E353031392D41335131F4
04-15-2025 13:42:44.727,19,RECV,7E000F81000047024E353032302D444A5136DE
04-15-2025 13:42:44.728,20,RECV,7E000F81000047024E353032312D59374C57BF
04-15-2025 13:42:44.728,21,RECV,7E000F81000047024E353032322D37503644F0
04-15-2025 13:42:44.728,22,RECV,7E000F81000047024E353032332D4F4D3059CB
04-15-2025 13:42:44.728,23,RECV,7E000F81000047024E353032342D4C454B58BB
04-15-2025 13:42:44.728,24,RECV,7E000F81000047024E353032352D56545A5991
04-15-2025 13:42:44.728,25,RECV,7E000F81000047024E353032372D4A37304CEF
04-15-2025 13:42:44.728,26,RECV,7E000F81000047024E353032382D48464A38DB
04-15-2025 13:42:44.728,27,RECV,7E000F81000047024E353032392D57434D50B3
04-15-2025 13:42:44.729,28,RECV,7E000F81000047024E353033302D5256584EA4
04-15-2025 13:42:44.729,29,RECV,7E000F81000047024E353033312D58564B49AF
04-15-2025 13:42:44.729,30,RECV,7E000F81000047024E353033322D5349594EAD
04-15-2025 13:42:44.729,31,RECV,7E000F81000047024E353033332D4B465047C7
04-15-2025 13:42:44.729,32,RECV,7E000F81000047024E353033342D50515339C1
04-15-2025 13:42:44.729,33,RECV,7E000F81000047024E353033352D3732335AF7
04-15-2025 13:42:44.729,34,RECV,7E000F81000047024E353033362D464B5159B1
04-15-2025 13:42:44.729,35,RECV,7E000F81000047024E353033372D4A545155A7
04-15-2025 13:42:44.729,36,RECV,7E000F81000047024E353033382D304E353304
04-15-2025 13:42:44.729,37,RECV,7E000F81000047024E353033392D42453251DF
04-15-2025 13:42:44.729,38,RECV,7E000F81000047024E353034312D304F364BF0
04-15-2025 13:42:44.752,39,RECV,7E000F81000047024E353034322D4455324BD9
04-15-2025 13:42:44.752,40,RECV,7E000F81000047024E353034332D58534C39BE
04-15-2025 13:42:44.753,41,RECV,7E000F81000047024E353034342D58564258A5
04-15-2025 13:42:44.753,42,RECV,7E000F81000047024E353034352D4B37554ACB
04-15-2025 13:42:44.753,43,RECV,7E000F81000047024E353034362D35395A49DA
04-15-2025 13:42:44.753,44,RECV,7E000F81000047024E353034372D47384143E7
04-15-2025 13:42:44.753,45,RECV,7E000F81000047024E353034382D5A354430E6
04-15-2025 13:42:44.753,46,RECV,7E000F81000047024E353034392D56564D549B
