05-04-2025 21:45:04.153,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 21:44:34.871,0,RECV,7E000F8100001B024E343030302D3151374227
05-04-2025 21:44:34.918,1,RECV,7E000F8100001B024E343030312D4A525045F0
05-04-2025 21:44:34.918,2,RECV,7E000F8100001F024E323030312D433448431D
05-04-2025 21:44:34.918,3,RECV,7E000F8100001B024E343030322D483342560D
05-04-2025 21:44:34.918,4,RECV,7E000F8100001B024E343030332D58344D47FF
05-04-2025 21:44:34.918,5,RECV,7E000F8100001F024E323030322D3554374B7D33
05-04-2025 21:44:34.918,6,RECV,7E000F81000023024E333030312D4A32424D0F
05-04-2025 21:44:34.918,7,RECV,7E000F81000023024E333030322D314157460A
05-04-2025 21:44:34.918,8,RECV,7E000F8100001F024E323030332D55585953C4
05-04-2025 21:44:34.918,9,RECV,7E000F81000023024E333030332D4935513217
05-04-2025 21:44:34.919,10,RECV,7E000F8100001B024E343030342D365A324616
05-04-2025 21:44:34.919,11,RECV,7E000F81000023024E333030342D52585330EA
05-04-2025 21:44:34.919,12,RECV,7E007D3181F9DF1C02F3004E313030322D584F463733
05-04-2025 21:44:34.919,13,RECV,7E000F8100001B024E343030352D5439385701
05-04-2025 21:44:34.919,14,RECV,7E007D3181F9DF1B02F4004E313030332D4A53455024
05-04-2025 21:44:34.919,15,RECV,7E007D338100001B000FFFFFFFFFFFFFFFFF0000005348C1
05-04-2025 21:44:34.919,16,RECV,7E007D3181F9DF1B02F5004E313030342D38384E484E
05-04-2025 21:44:34.919,17,RECV,7E000F8100001B024E343030362D4B314959FE
05-04-2025 21:44:34.919,18,RECV,7E000F8100001E024E323030352D555A4C44DD
05-04-2025 21:44:34.919,19,RECV,7E000F8100001B024E343030372D3842424718
05-04-2025 21:44:34.919,20,RECV,7E000F8100001A024E343030392D323341472D
05-04-2025 21:44:34.919,21,RECV,7E000F8100001A024E343031302D375A5448F5
05-04-2025 21:44:34.919,22,RECV,7E000F8100001B024E343031312D5731564DF5
05-04-2025 21:44:34.919,23,RECV,7E000F81000023024E333030372D54495455CE
05-04-2025 21:44:34.919,24,RECV,7E007D3181F9DF1C02F7004E313030362D45554A412A
05-04-2025 21:44:34.919,25,RECV,7E000F8100001F024E323030382D4E4B4D52E0
05-04-2025 21:44:35.031,26,RECV,7E000F8100001B024E343031322D5357574DD1
05-04-2025 21:44:35.100,27,RECV,7E000F8100001A024E343031332D52335357F0
05-04-2025 21:44:35.100,28,RECV,7E000F8100001A024E343031342D56565838E2
05-04-2025 21:44:35.100,29,RECV,7E000F81000023024E333030392D4745384FFF
05-04-2025 21:44:35.100,30,RECV,7E000F8100001F024E323031312D5631574FF1
05-04-2025 21:44:35.101,31,RECV,7E000F81000023024E333031302D4A4137391F
05-04-2025 21:44:35.101,32,RECV,7E007D3181F9DF1C02F8004E313030372D304634475C
05-04-2025 21:44:35.101,33,RECV,7E000F81000023024E333031312D4B4C3750FB
05-04-2025 21:44:35.101,34,RECV,7E007D3181F9DF1C02F9004E313030382D433851334C
05-04-2025 21:44:35.101,35,RECV,7E000F8100001F024E323031322D585236310C
05-04-2025 21:44:35.101,36,RECV,7E000F81000023024E333031322D444C4C47F5
05-04-2025 21:44:35.101,37,RECV,7E007D3181F9DF1C02FA004E313030392D5456454A10
05-04-2025 21:44:35.101,38,RECV,7E000F8100001F024E323031332D5939563400
05-04-2025 21:44:35.101,39,RECV,7E000F8100001F024E323031342D315348341B
05-04-2025 21:44:35.101,40,RECV,7E000F81000023024E333031332D323259302A
05-04-2025 21:44:35.101,41,RECV,7E000F8100001F024E323031352D4555305000
05-04-2025 21:44:35.101,42,RECV,7E000F81000023024E333031342D544F4456D9
05-04-2025 21:44:35.101,43,RECV,7E007D3181F9DF1B02FB004E313031302D4C54555705
05-04-2025 21:44:35.101,44,RECV,7E000F81000023024E333031352D3554325A00
05-04-2025 21:44:35.101,45,RECV,7E000F8100001F024E323031372D51355952E7
05-04-2025 21:44:35.101,46,RECV,7E000F81000023024E333031362D4A425152E5
05-04-2025 21:44:35.101,47,RECV,7E000F8100001E024E323031382D39424D430D
05-04-2025 21:44:35.101,48,RECV,7E000F81000023024E333031382D46535749D9
05-04-2025 21:44:35.101,49,RECV,7E000F8100001C024E343031352D4E4A5545E9
05-04-2025 21:44:35.101,50,RECV,7E007D3181F9DF1C02FC004E313031312D334650572E
05-04-2025 21:44:35.118,51,RECV,7E000F8100001F024E323031392D424846370F
05-04-2025 21:44:35.118,52,RECV,7E000F81000023024E333032312D33545A4DEA
05-04-2025 21:44:35.118,53,RECV,7E007D3181F9DF1C02FD004E313031322D5448434627
05-04-2025 21:44:35.118,54,RECV,7E000F8100001C024E343031362D50513753EF
05-04-2025 21:44:35.118,55,RECV,7E007D3181F9DF1C02FE004E313031332D304B345447
05-04-2025 21:44:35.118,56,RECV,7E000F8100001B024E343031372D47534443F9
05-04-2025 21:44:35.118,57,RECV,7E000F81000023024E333032332D4B56344100
05-04-2025 21:44:35.118,58,RECV,7E000F8100001C024E343031382D464F4243FE
05-04-2025 21:44:35.118,59,RECV,7E000F8100001C024E343031392D464C315004
05-04-2025 21:44:35.118,60,RECV,7E000F8100001A024E343032302D5A524E51D6
05-04-2025 21:44:35.118,61,RECV,7E000F8100001B024E343032322D32595346FA
05-04-2025 21:44:35.118,62,RECV,7E000F81000023024E333032342D4F544430FE
05-04-2025 21:44:35.118,63,RECV,7E000F8100001C024E343032332D374F5548F9
05-04-2025 21:44:35.119,64,RECV,7E000F8100001F024E323032322D3843354F1D
05-04-2025 21:44:35.119,65,RECV,7E000F8100001C024E343032342D3037383646
05-04-2025 21:44:35.119,66,RECV,7E007D3181F9DF1C0201004E313031352D4A58383338
05-04-2025 21:44:35.119,67,RECV,7E000F8100001E024E323032332D5A30484DFD
05-04-2025 21:44:35.119,68,RECV,7E007D3181F9DF1C0202004E313031362D55434B540C
05-04-2025 21:44:35.119,69,RECV,7E000F81000023024E333032362D49545751CE
05-04-2025 21:44:35.119,70,RECV,7E007D3181F9DF1C0203004E313031372D504F315021
05-04-2025 21:44:35.119,71,RECV,7E000F8100001C024E343032352D4C533452F5
05-04-2025 21:44:35.119,72,RECV,7E000F8100001F024E323032342D464D4656EB
05-04-2025 21:44:35.119,73,RECV,7E007D3181F9DF1C0204004E313031382D4553535400
05-04-2025 21:44:35.119,74,RECV,7E000F8100001F024E323032352D5A30364316
05-04-2025 21:44:35.119,75,RECV,7E000F8100001C024E343032362D48593258EE
05-04-2025 21:44:35.220,76,RECV,7E007D3181F9DF1C0205004E313031392D425638511C
05-04-2025 21:44:35.270,77,RECV,7E000F8100001B024E343032372D534E344400
05-04-2025 21:44:35.270,78,RECV,7E000F8100001C024E343032382D36544D310F
05-04-2025 21:44:35.270,79,RECV,7E007D3181F9DF1C0206004E313032302D485A55301D
05-04-2025 21:44:35.270,80,RECV,7E000F8100001F024E323032372D45583958E9
05-04-2025 21:44:35.270,81,RECV,7E000F8100001C024E343032392D5A523255E3
05-04-2025 21:44:35.270,82,RECV,7E000F8100001C024E343033302D31535646FE
05-04-2025 21:44:35.270,83,RECV,7E000F81000023024E333033302D5A3747340C
05-04-2025 21:44:35.271,84,RECV,7E000F8100001C024E343033312D413030522A
05-04-2025 21:44:35.271,85,RECV,7E000F81000024024E333033312D553238391E
05-04-2025 21:44:35.271,86,RECV,7E007D3181F9DF1B0207004E313032312D4446334C3A
05-04-2025 21:44:35.271,87,RECV,7E000F8100001F024E323032392D54384E3605
05-04-2025 21:44:35.271,88,RECV,7E000F8100001C024E343033342D5437454802
05-04-2025 21:44:35.271,89,RECV,7E000F8100001F024E323033302D49524643F9
05-04-2025 21:44:35.271,90,RECV,7E000F8100001E024E323033312D43305859F9
05-04-2025 21:44:35.271,91,RECV,7E007D3181F9DF1C0209004E313032332D57465353FB
05-04-2025 21:44:35.271,92,RECV,7E000F81000023024E333033342D4255423209
05-04-2025 21:44:35.271,93,RECV,7E007D3181F9DF1C020A004E313032342D34595A381D
05-04-2025 21:44:35.271,94,RECV,7E000F8100001F024E323033322D584A4A41EE
05-04-2025 21:44:35.271,95,RECV,7E007D3181F9DF1C020B004E313032352D46584B4908
05-04-2025 21:44:35.271,96,RECV,7E000F8100001F024E323033332D4E5534350E
05-04-2025 21:44:35.271,97,RECV,7E007D3181F9DF1C020C004E313032362D4854414714
05-04-2025 21:44:35.271,98,RECV,7E000F8100001F024E323033342D5831595ADD
05-04-2025 21:44:35.271,99,RECV,7E000F8100001C024E343033362D51325358EA
05-04-2025 21:44:35.271,100,RECV,7E000F81000023024E333033362D5753434DD8
05-04-2025 21:44:35.313,101,RECV,7E000F8100001F024E323033362D38344B4F7D31
05-04-2025 21:44:35.313,102,RECV,7E000F81000023024E333033382D3651344D08
05-04-2025 21:44:35.313,103,RECV,7E007D3181F9DF1C020F004E313032392D4C48544802
05-04-2025 21:44:35.313,104,RECV,7E000F81000023024E333033392D52504C4AD7
05-04-2025 21:44:35.313,105,RECV,7E007D3181F9DF1A0210004E313033302D4F41474C18
05-04-2025 21:44:35.314,106,RECV,7E000F8100001B024E343033382D4A524D33FB
05-04-2025 21:44:35.314,107,RECV,7E000F8100001F024E323033382D4D584455D7
05-04-2025 21:44:35.314,108,RECV,7E000F8100001B024E343033392D57513848EE
