05-04-2025 21:42:19.881,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-04-2025 21:40:42.507,0,RECV,7E000F81000038024E383030312D56315142E6
05-04-2025 21:40:42.508,1,RECV,7E000F8100002E024E363030312D55433243FF
05-04-2025 21:40:42.509,2,RECV,7E000F8100002E024E363030322D5133324D08
05-04-2025 21:40:42.509,3,RECV,7E000F81000039024E383030332D35474946F2
05-04-2025 21:40:42.509,4,RECV,7E000F81000039024E383030342D514A5638D3
05-04-2025 21:40:42.557,5,RECV,7E007D338100002E000CFFFFFFFFFFFFFFFF0000005348B1
05-04-2025 21:40:42.557,6,RECV,7E000F8100002E024E363030332D4F454957D6
05-04-2025 21:40:42.557,7,RECV,7E000F81000044024E373030342D33375150E7
05-04-2025 21:40:42.557,8,RECV,7E000F8100002E024E363030342D44445A36F1
05-04-2025 21:40:42.557,9,RECV,7E000F81000044024E373030352D584E4D50AE
05-04-2025 21:40:42.557,10,RECV,7E000F8100002E024E363030352D4A314754F2
05-04-2025 21:40:42.557,11,RECV,7E000F8100003B024E353030322D4F435857BE
05-04-2025 21:40:42.557,12,RECV,7E000F8100002E024E363030362D42455438F4
05-04-2025 21:40:42.557,13,RECV,7E000F8100003B024E353030332D494E4F38E0
05-04-2025 21:40:42.557,14,RECV,7E000F8100002F024E363030382D433537490C
05-04-2025 21:40:42.558,15,RECV,7E000F8100003A024E353030372D474C4B53CA
05-04-2025 21:40:42.628,16,RECV,7E000F8100003A024E383031312D564B5054B8
05-04-2025 21:40:42.646,17,RECV,7E000F8100002E024E363031312D41455745E9
05-04-2025 21:40:42.646,18,RECV,7E000F8100003A024E383031322D4C35394EF4
05-04-2025 21:40:42.646,19,RECV,7E000F8100002F024E363031322D454D5A34E9
05-04-2025 21:40:42.646,20,RECV,7E000F8100002E024E363031332D5132384C02
05-04-2025 21:40:42.647,21,RECV,7E000F8100003F024E373030382D58445648B9
05-04-2025 21:40:42.647,22,RECV,7E000F8100002F024E363031342D4531515AE6
05-04-2025 21:40:42.647,23,RECV,7E000F81000045024E373030392D48485437D1
05-04-2025 21:40:42.647,24,RECV,7E000F81000039024E383031362D33553551EB
05-04-2025 21:40:42.647,25,RECV,7E000F8100002F024E363031352D4C373551FD
05-04-2025 21:40:42.647,26,RECV,7E000F8100002E024E363031362D343350311E
05-04-2025 21:40:42.647,27,RECV,7E000F81000039024E383031392D464C4E4EC8
05-04-2025 21:40:42.647,28,RECV,7E000F8100003A024E353031322D344E433307
05-04-2025 21:40:42.647,29,RECV,7E000F81000039024E383032312D44435239EB
05-04-2025 21:40:42.647,30,RECV,7E000F81000039024E383032342D32464A3503
05-04-2025 21:40:42.647,31,RECV,7E000F81000039024E383032352D53464631E9
05-04-2025 21:40:42.647,32,RECV,7E000F81000044024E373031312D50444D44CF
05-04-2025 21:40:42.647,33,RECV,7E000F8100002E024E363031372D475A375AD3
05-04-2025 21:40:42.657,34,RECV,7E000F8100002E024E363031392D5841395AD7
05-04-2025 21:40:42.757,35,RECV,7E000F8100003A024E353031382D434232317D31
05-04-2025 21:40:42.819,36,RECV,7E000F81000039024E383033312D52445253C1
05-04-2025 21:40:42.851,37,RECV,7E000F8100002F024E363032332D4F47564AD1
05-04-2025 21:40:42.851,38,RECV,7E000F8100003B024E353031392D46495A44CA
05-04-2025 21:40:42.851,39,RECV,7E000F81000030024E363032342D4E584953C3
05-04-2025 21:40:42.851,40,RECV,7E000F81000044024E373031362D4B463349E2
05-04-2025 21:40:42.851,41,RECV,7E000F81000039024E383033332D38464E4FDF
05-04-2025 21:40:42.851,42,RECV,7E000F8100003B024E353032302D454F4A4ED3
05-04-2025 21:40:42.851,43,RECV,7E000F81000039024E383033342D434E4830F0
05-04-2025 21:40:42.851,44,RECV,7E000F81000039024E383033352D50385258C6
05-04-2025 21:40:42.851,45,RECV,7E000F81000039024E383033372D384A3952E9
05-04-2025 21:40:42.851,46,RECV,7E000F81000039024E383033382D315A3049F1
05-04-2025 21:40:42.851,47,RECV,7E000F8100002E024E363032352D314A563500
05-04-2025 21:40:42.851,48,RECV,7E000F8100003A024E353032312D51513841E4
05-04-2025 21:40:42.851,49,RECV,7E000F81000039024E383033392D56594432CF
05-04-2025 21:40:42.851,50,RECV,7E000F8100002E024E363032362D384F373314
05-04-2025 21:40:42.852,51,RECV,7E000F81000039024E383034302D504E3933F2
05-04-2025 21:40:42.852,52,RECV,7E000F8100002E024E363032372D474C4C58CD
05-04-2025 21:40:42.852,53,RECV,7E000F8100002E024E363032392D58304349EE
05-04-2025 21:40:42.852,54,RECV,7E000F81000044024E373032362D51595749A4
05-04-2025 21:40:42.852,55,RECV,7E000F81000044024E373032372D4B503952C7
05-04-2025 21:40:42.852,56,RECV,7E000F8100002E024E363033302D47314557F6
05-04-2025 21:40:42.852,57,RECV,7E000F8100003A024E353032342D58503256CC
05-04-2025 21:40:42.852,58,RECV,7E000F8100002E024E363033312D44575742D5
05-04-2025 21:40:42.852,59,RECV,7E000F81000038024E383034322D47304F3500
05-04-2025 21:40:42.852,60,RECV,7E000F8100002E024E363033322D363838570B
05-04-2025 21:40:42.852,61,RECV,7E000F8100003A024E353032362D46464249E3
05-04-2025 21:40:42.852,62,RECV,7E000F81000030024E363033332D33575134F6
05-04-2025 21:40:42.852,63,RECV,7E000F81000043024E373033312D444E504AC7
05-04-2025 21:40:42.852,64,RECV,7E000F8100002E024E363033342D595A3335EB
05-04-2025 21:40:42.852,65,RECV,7E000F81000034024E363033352D41335950E2
05-04-2025 21:40:42.852,66,RECV,7E000F8100002E024E363033362D365430397D31
05-04-2025 21:40:42.852,67,RECV,7E000F8100002E024E363033372D59563931EA
05-04-2025 21:40:42.852,68,RECV,7E000F81000039024E353032392D59514847BF
05-04-2025 21:40:42.852,69,RECV,7E000F8100002E024E363033382D55313257F3
05-04-2025 21:40:42.852,70,RECV,7E000F81000044024E373033332D32334B54EC
05-04-2025 21:40:42.852,71,RECV,7E000F8100003A024E353033302D54483059DA
05-04-2025 21:40:42.852,72,RECV,7E000F81000038024E383034362D4B4F534AC0
05-04-2025 21:40:42.852,73,RECV,7E000F81000043024E373033342D36444142F3
05-04-2025 21:40:42.852,74,RECV,7E000F8100002E024E363033392D4757474CD0
05-04-2025 21:40:42.852,75,RECV,7E000F81000043024E373033352D32595355BC
05-04-2025 21:40:42.852,76,RECV,7E000F81000030024E363034302D59564B43CA
05-04-2025 21:40:42.852,77,RECV,7E000F81000031024E363034312D58584659B6
05-04-2025 21:40:42.852,78,RECV,7E000F81000030024E363034332D53314949EE
05-04-2025 21:40:42.857,79,RECV,7E000F81000038024E383035302D32524956D9
05-04-2025 21:40:42.907,80,RECV,7E000F8100002F024E363034342D37375654EC
05-04-2025 21:40:42.908,81,RECV,7E000F81000044024E373033372D3145344EF4
05-04-2025 21:40:42.908,82,RECV,7E000F81000038024E383035332D33513356EC
05-04-2025 21:40:42.908,83,RECV,7E000F8100003B024E353033362D53364339F3
05-04-2025 21:40:42.908,84,RECV,7E000F8100003B024E353033372D34513745F6
05-04-2025 21:40:42.908,85,RECV,7E000F81000043024E373034322D47363646F8
05-04-2025 21:40:42.908,86,RECV,7E000F81000031024E363034372D44314C41FD
05-04-2025 21:40:42.957,87,RECV,7E000F8100003B024E353033392D4C333250F4
05-04-2025 21:40:42.998,88,RECV,7E000F8100002E024E363034382D394D4D42EC
05-04-2025 21:40:43.033,89,RECV,7E000F81000039024E383035362D39564547DA
05-04-2025 21:40:43.033,90,RECV,7E000F81000044024E373034352D384D3534FF
05-04-2025 21:40:43.033,91,RECV,7E000F8100003B024E353034312D3855323904
05-04-2025 21:40:43.033,92,RECV,7E000F8100002E024E363035302D3834414A7D31
05-04-2025 21:40:43.033,93,RECV,7E000F8100002F024E363035312D5439484EE3
05-04-2025 21:40:43.033,94,RECV,7E000F81000031024E363035322D333954340F
05-04-2025 21:40:43.033,95,RECV,7E000F8100002F024E363035332D55424831F4
05-04-2025 21:40:43.033,96,RECV,7E000F8100002F024E363035342D4855575AB5
05-04-2025 21:40:43.033,97,RECV,7E000F81000044024E373034392D39425151CC
05-04-2025 21:40:43.033,98,RECV,7E000F81000039024E383036312D48395148DF
05-04-2025 21:40:43.033,99,RECV,7E000F8100003B024E353034332D31494C4BE9
05-04-2025 21:40:43.033,100,RECV,7E000F8100002E024E363035352D514E5946C5
05-04-2025 21:40:43.033,101,RECV,7E000F81000039024E383036342D3254544FCD
05-04-2025 21:40:43.033,102,RECV,7E000F8100002E024E363035362D394230490E
05-04-2025 21:40:43.033,103,RECV,7E000F8100002F024E363035372D4C533150E0
05-04-2025 21:40:43.033,104,RECV,7E000F8100003B024E353034382D54595433C1
05-04-2025 21:40:43.033,105,RECV,7E000F81000035024E363035382D4E325256D1
05-04-2025 21:40:43.033,106,RECV,7E000F8100002E024E363035392D54475A38D2
05-04-2025 21:40:43.058,107,RECV,7E000F8100002F024E363036302D4D493249F5
05-04-2025 21:40:43.058,108,RECV,7E000F8100003B024E353035302D45593349E2
05-04-2025 21:40:43.058,109,RECV,7E000F8100003B024E353035312D37524F51D2
05-04-2025 21:40:43.058,110,RECV,7E000F8100002E024E363036322D5035463802
05-04-2025 21:40:43.058,111,RECV,7E000F8100002E024E363036332D5133514EE1
05-04-2025 21:40:43.058,112,RECV,7E000F8100003B024E353035332D4B504C38DA
05-04-2025 21:40:43.058,113,RECV,7E000F8100002F024E363036342D46553250E5
05-04-2025 21:40:43.079,114,RECV,7E000F8100003A024E353035352D5331494EDD
05-04-2025 21:40:43.132,115,RECV,7E000F81000030024E363036352D30345953F0
05-04-2025 21:40:43.132,116,RECV,7E000F81000040024E373035342D4F455131DB
05-04-2025 21:40:43.132,117,RECV,7E000F8100003A024E353035382D31484644F2
05-04-2025 21:40:43.132,118,RECV,7E000F8100003F024E373035362D38395446E5
05-04-2025 21:40:43.132,119,RECV,7E000F8100002E024E363036362D3656595AC2
05-04-2025 21:40:43.208,120,RECV,7E000F8100002E024E363036372D58353547F7
05-04-2025 21:40:43.208,121,RECV,7E000F8100002F024E363036382D583334320D
05-04-2025 21:40:43.208,122,RECV,7E000F81000034024E363036392D4F4A5952B4
05-04-2025 21:40:43.209,123,RECV,7E000F8100002E024E363037302D4E4C4738ED
05-04-2025 21:40:43.209,124,RECV,7E000F8100002E024E363037312D4457353104
05-04-2025 21:40:43.209,125,RECV,7E000F81000043024E373035372D4D51574FA7
05-04-2025 21:40:43.209,126,RECV,7E000F8100002E024E363037322D574C4F41D1
05-04-2025 21:40:43.209,127,RECV,7E000F8100002E024E363037332D424A484FE0
05-04-2025 21:40:43.209,128,RECV,7E000F81000030024E363037342D55535A38C6
05-04-2025 21:40:43.209,129,RECV,7E000F8100003A024E353036322D5135334CF5
05-04-2025 21:40:43.209,130,RECV,7E000F8100002F024E363037352D3939424EFE
05-04-2025 21:40:43.209,131,RECV,7E000F8100002E024E363037362D4C53554CC0
05-04-2025 21:40:43.209,132,RECV,7E000F8100003A024E353036332D56333356E7
05-04-2025 21:40:43.209,133,RECV,7E000F81000030024E363037372D3430473919
05-04-2025 21:40:43.209,134,RECV,7E000F8100003A024E353036342D55375146D5
05-04-2025 21:40:43.209,135,RECV,7E000F8100002E024E363037382D33464F37FF
05-04-2025 21:40:43.209,136,RECV,7E000F8100003A024E353036352D464A5841CE
05-04-2025 21:40:43.209,137,RECV,7E000F8100002E024E363037392D42543450E3
05-04-2025 21:40:43.209,138,RECV,7E000F8100003A024E353036362D4D594C36CE
05-04-2025 21:40:43.209,139,RECV,7E000F81000039024E383037362D484E3150DC
05-04-2025 21:40:43.209,140,RECV,7E000F81000030024E363038322D51344F47E6
05-04-2025 21:40:43.220,141,RECV,7E000F8100002E024E363038332D3241424FFE
05-04-2025 21:40:43.220,142,RECV,7E000F8100003A024E353037302D30424E3704
05-04-2025 21:40:43.311,143,RECV,7E000F8100003A024E353037322D5242344FE2
05-04-2025 21:40:43.322,144,RECV,7E000F8100002E024E363038342D42474D46E5
05-04-2025 21:40:43.323,145,RECV,7E000F8100002E024E363038352D494B5738DD
05-04-2025 21:40:43.323,146,RECV,7E000F8100003A024E353037342D50324456DB
05-04-2025 21:40:43.323,147,RECV,7E000F8100003A024E353037352D384E5641D9
05-04-2025 21:40:43.323,148,RECV,7E000F8100002E024E363038362D374344370A
05-04-2025 21:40:43.323,149,RECV,7E000F81000043024E373036302D36583357D9
05-04-2025 21:40:43.323,150,RECV,7E000F81000043024E373036312D4638373506
05-04-2025 21:40:43.323,151,RECV,7E000F81000038024E383038312D32524833F9
05-04-2025 21:40:43.323,152,RECV,7E000F8100002E024E363038372D47535156BD
05-04-2025 21:40:43.323,153,RECV,7E000F81000030024E363038382D4A35343117
05-04-2025 21:40:43.323,154,RECV,7E000F81000039024E383038332D55554E32CB
05-04-2025 21:40:43.323,155,RECV,7E000F8100002D024E363038392D33395452EB
05-04-2025 21:40:43.323,156,RECV,7E000F8100002E024E363039302D3130363439
05-04-2025 21:40:43.323,157,RECV,7E000F81000044024E373036342D4C465644C0
05-04-2025 21:40:43.323,158,RECV,7E000F8100002E024E363039312D4948514FD2
05-04-2025 21:40:43.323,159,RECV,7E000F8100002E024E363039322D3035564106
05-04-2025 21:40:43.323,160,RECV,7E000F8100002E024E363039332D46583252DF
05-04-2025 21:40:43.323,161,RECV,7E000F81000033024E363039342D304E4A36FD
05-04-2025 21:40:43.323,162,RECV,7E000F8100003B024E353037372D44493444EE
05-04-2025 21:40:43.323,163,RECV,7E000F8100002E024E363039352D4B464C57CB
05-04-2025 21:40:43.358,164,RECV,7E000F81000038024E383039312D324E4B49E3
05-04-2025 21:40:43.358,165,RECV,7E000F8100002E024E363039372D36434842FA
05-04-2025 21:40:43.408,166,RECV,7E000F8100002E024E363039382D4349364EEC
05-04-2025 21:40:43.423,167,RECV,7E000F8100003B024E353037392D44315758CD
05-04-2025 21:40:43.423,168,RECV,7E000F81000039024E383039322D53344959CC
05-04-2025 21:40:43.423,169,RECV,7E000F81000038024E383039332D493136347D31
05-04-2025 21:40:43.423,170,RECV,7E000F81000044024E373037342D42494C51C3
05-04-2025 21:40:43.423,171,RECV,7E000F81000038024E383039342D5541354BDE
05-04-2025 21:40:43.423,172,RECV,7E000F8100003A024E353038302D4C49335AD8
05-04-2025 21:40:43.423,173,RECV,7E000F81000038024E383039352D4631333019
05-04-2025 21:40:43.423,174,RECV,7E000F8100003A024E353038332D34443656F3
05-04-2025 21:40:43.423,175,RECV,7E000F81000044024E373037372D33364445F6
05-04-2025 21:40:43.423,176,RECV,7E000F8100003B024E353038342D3944414DEA
05-04-2025 21:40:43.423,177,RECV,7E000F8100003B024E353038362D4D584556B3
05-04-2025 21:40:43.423,178,RECV,7E000F8100003A024E353038372D44465938D8
05-04-2025 21:40:43.423,179,RECV,7E000F81000044024E373038302D335A344FDE
