06-30-2025 18:19:06.442,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-30-2025 18:18:44.829,0,RECV,7E000F8100062F024E363030302D4A4A414DE4
06-30-2025 18:18:44.929,1,RECV,7E000F8100062F024E363030322D4B56444ED1
06-30-2025 18:18:44.929,2,RECV,7E000F8100052B024E353030322D42484C45EF
06-30-2025 18:18:44.929,3,RECV,7E000F81000228024E323030322D3541544DFC
06-30-2025 18:18:44.930,4,RECV,7E000F8100062F024E363030332D51574F4DBF
06-30-2025 18:18:44.930,5,RECV,7E000F8100052B024E353030332D30585256D9
06-30-2025 18:18:44.930,6,RECV,7E000F81000228024E323030332D44523746FF
06-30-2025 18:18:44.980,7,RECV,7E000F8100062F024E363030342D4B4B313209
06-30-2025 18:18:45.006,8,RECV,7E000F8100052B024E353030342D4B455550D3
06-30-2025 18:18:45.011,9,RECV,7E000F81000229024E323030342D4A394F4BF3
06-30-2025 18:18:45.029,10,RECV,7E000F8100062F024E363030352D48474738F3
06-30-2025 18:18:45.030,11,RECV,7E000F8100052B024E353030352D35434456F5
06-30-2025 18:18:45.030,12,RECV,7E000F81000229024E323030352D4B4C5954CB
06-30-2025 18:18:45.030,13,RECV,7E000F8100062F024E363030362D54524E56B6
06-30-2025 18:18:45.080,14,RECV,7E000F8100052B024E353030362D56484252D4
06-30-2025 18:18:45.080,15,RECV,7E000F81000228024E323030362D4637573209
06-30-2025 18:18:45.080,16,RECV,7E000F81000630024E363030372D46534E4CCB
06-30-2025 18:18:45.080,17,RECV,7E000F8100052B024E353030372D524A4458CD
06-30-2025 18:18:45.080,18,RECV,7E000F81000228024E323030372D4C56574FC6
06-30-2025 18:18:45.130,19,RECV,7E000F81000630024E363030382D4C4C3057DE
06-30-2025 18:18:45.167,20,RECV,7E000F8100052B024E353030382D444C575AC3
06-30-2025 18:18:45.177,21,RECV,7E000F81000228024E323030382D344C4C3809
06-30-2025 18:18:45.180,22,RECV,7E000F8100062F024E363030392D534A4A58BE
06-30-2025 18:18:45.180,23,RECV,7E000F8100052B024E353030392D364C5159D7
06-30-2025 18:18:45.180,24,RECV,7E000F81000228024E323030392D3931353439
06-30-2025 18:18:45.190,25,RECV,7E000F81000630024E363031302D4637444DF6
06-30-2025 18:18:45.191,26,RECV,7E000F8100052B024E353031302D44434559E6
06-30-2025 18:18:45.191,27,RECV,7E000F81000228024E323031302D384730560F
06-30-2025 18:18:45.230,28,RECV,7E000F81000630024E363031312D4A3931450A
06-30-2025 18:18:45.230,29,RECV,7E000F8100052B024E353031312D5138344FFE
06-30-2025 18:18:45.230,30,RECV,7E000F81000228024E323031312D37555144F2
06-30-2025 18:18:45.280,31,RECV,7E000F8100062F024E363031322D41364D300F
06-30-2025 18:18:45.322,32,RECV,7E000F8100052B024E353031322D4B525145D6
06-30-2025 18:18:45.330,33,RECV,7E000F81000228024E323031322D3142555AF0
06-30-2025 18:18:45.330,34,RECV,7E000F8100062F024E363031332D3848483802
06-30-2025 18:18:45.330,35,RECV,7E000F8100052B024E353031332D47374E3705
06-30-2025 18:18:45.330,36,RECV,7E000F81000228024E323031332D54523545F1
06-30-2025 18:18:45.330,37,RECV,7E000F8100062F024E363031342D4A37334706
06-30-2025 18:18:45.330,38,RECV,7E000F8100052B024E353031342D56585A50AF
06-30-2025 18:18:45.330,39,RECV,7E000F81000228024E323031342D303049392E
06-30-2025 18:18:45.380,40,RECV,7E000F8100062F024E363031352D4F584D37D5
06-30-2025 18:18:45.381,41,RECV,7E000F8100052B024E353031352D484236380E
06-30-2025 18:18:45.381,42,RECV,7E000F81000228024E323031352D4735343728
06-30-2025 18:18:45.430,43,RECV,7E000F8100062F024E363031362D313436471D
06-30-2025 18:18:45.431,44,RECV,7E000F8100052B024E353031362D3037424E0E
06-30-2025 18:18:45.474,45,RECV,7E000F81000228024E323031362D4F53574DC8
06-30-2025 18:18:45.482,46,RECV,7E000F8100062F024E363031372D374844300B
06-30-2025 18:18:45.482,47,RECV,7E000F8100052B024E353031372D42465552D5
06-30-2025 18:18:45.482,48,RECV,7E000F81000228024E323031372D48315A46F4
06-30-2025 18:18:45.482,49,RECV,7E000F8100062F024E363031382D4E564147D1
06-30-2025 18:18:45.482,50,RECV,7E000F8100052B024E353031382D514F3134FE
06-30-2025 18:18:45.482,51,RECV,7E000F81000228024E323031382D46335555E9
06-30-2025 18:18:45.530,52,RECV,7E000F8100062F024E363031392D5030443503
06-30-2025 18:18:45.531,53,RECV,7E000F8100052B024E353031392D53335452D6
06-30-2025 18:18:45.531,54,RECV,7E000F81000228024E323031392D364D394A05
06-30-2025 18:18:45.581,55,RECV,7E000F81000631024E363032302D4F374143F8
06-30-2025 18:18:45.581,56,RECV,7E000F8100052B024E353032302D4C3532381F
06-30-2025 18:18:45.581,57,RECV,7E000F81000228024E323032302D4A475345EA
06-30-2025 18:18:45.592,58,RECV,7E000F81000632024E363032312D514E524DC2
06-30-2025 18:18:45.631,59,RECV,7E000F8100052B024E353032312D55565338D3
06-30-2025 18:18:45.650,60,RECV,7E000F81000228024E323032312D47464B56E4
06-30-2025 18:18:45.650,61,RECV,7E000F8100052B024E353032322D3334514C04
06-30-2025 18:18:45.650,62,RECV,7E000F81000228024E323032322D55494D52D4
06-30-2025 18:18:45.681,63,RECV,7E000F8100052E024E353032332D39515957CA
06-30-2025 18:18:45.681,64,RECV,7E000F81000228024E323032332D56355245EE
06-30-2025 18:18:45.681,65,RECV,7E000F81000633024E363032342D4C534B54BE
06-30-2025 18:18:45.702,66,RECV,7E000F8100052B024E353032342D5744584EC5
06-30-2025 18:18:45.702,67,RECV,7E000F81000228024E323032342D4C365646F1
06-30-2025 18:18:45.731,68,RECV,7E000F81000633024E363032352D51424C5AC2
06-30-2025 18:18:45.731,69,RECV,7E000F8100052E024E353032352D5A4B4545D3
06-30-2025 18:18:45.731,70,RECV,7E000F81000228024E323032352D325442380E
06-30-2025 18:18:45.781,71,RECV,7E000F81000632024E363032362D42375231FF
06-30-2025 18:18:45.781,72,RECV,7E000F8100052D024E353032362D45314D58E7
06-30-2025 18:18:45.781,73,RECV,7E000F81000228024E323032362D3443584DF1
06-30-2025 18:18:45.831,74,RECV,7E000F8100052B024E353032372D57434F4FCB
06-30-2025 18:18:45.831,75,RECV,7E000F81000228024E323032372D504D33300C
06-30-2025 18:18:45.841,76,RECV,7E000F8100052E024E353032382D3538593504
06-30-2025 18:18:45.842,77,RECV,7E000F81000228024E323032382D41445045F1
06-30-2025 18:18:45.882,78,RECV,7E000F81000633024E363032392D58575536BD
06-30-2025 18:18:45.882,79,RECV,7E000F8100052E024E353032392D32545259CD
06-30-2025 18:18:45.882,80,RECV,7E000F81000228024E323032392D5544434DE1
06-30-2025 18:18:45.932,81,RECV,7E000F81000228024E323033302D54434444F3
06-30-2025 18:18:45.982,82,RECV,7E000F8100052B024E353033312D4435563504
06-30-2025 18:18:45.982,83,RECV,7E000F81000228024E323033312D50475331F6
06-30-2025 18:18:45.992,84,RECV,7E000F8100052C024E353033322D3636544600
06-30-2025 18:18:45.993,85,RECV,7E000F81000228024E323033322D47375459E5
06-30-2025 18:18:46.032,86,RECV,7E000F8100052E024E353033332D444B3646F8
06-30-2025 18:18:46.032,87,RECV,7E000F81000228024E323033332D4A45474FEA
06-30-2025 18:18:46.082,88,RECV,7E000F8100052D024E353033342D4E4B4747DC
06-30-2025 18:18:46.082,89,RECV,7E000F81000228024E323033342D3735564804
06-30-2025 18:18:46.082,90,RECV,7E000F8100052D024E353033352D4A52313401
06-30-2025 18:18:46.133,91,RECV,7E000F81000228024E323033352D41475644EB
06-30-2025 18:18:46.133,92,RECV,7E000F8100052E024E353033362D45584344DC
06-30-2025 18:18:46.133,93,RECV,7E000F81000228024E323033362D3058364A04
06-30-2025 18:18:46.182,94,RECV,7E000F8100052D024E353033372D4B4C4953CD
06-30-2025 18:18:46.183,95,RECV,7E000F81000228024E323033372D4635484EFA
06-30-2025 18:18:46.232,96,RECV,7E000F8100052D024E353033382D3931564FF0
06-30-2025 18:18:46.232,97,RECV,7E000F81000228024E323033382D53474151DE
06-30-2025 18:18:46.232,98,RECV,7E000F8100052E024E353033392D36444C54E3
06-30-2025 18:18:46.243,99,RECV,7E000F81000632024E363033392D35535853C4
06-30-2025 18:18:46.243,100,RECV,7E000F81000228024E323033392D484A5339EB
06-30-2025 18:18:46.282,101,RECV,7E000F8100052E024E353034302D303244421D
06-30-2025 18:18:46.282,102,RECV,7E000F81000632024E363034302D4E563455D2
06-30-2025 18:18:46.282,103,RECV,7E000F81000228024E323034302D4A36315010
06-30-2025 18:18:46.333,104,RECV,7E000F8100052E024E353034312D323434577D33
06-30-2025 18:18:46.333,105,RECV,7E000F81000631024E363034312D45523545EE
06-30-2025 18:18:46.334,106,RECV,7E000F81000228024E323034312D42364F3415
06-30-2025 18:18:46.383,107,RECV,7E000F8100052E024E353034322D55453445F0
06-30-2025 18:18:46.391,108,RECV,7E000F81000632024E363034322D52483043F0
06-30-2025 18:18:46.397,109,RECV,7E000F81000228024E323034322D44505634F1
06-30-2025 18:18:46.397,110,RECV,7E000F8100052E024E353034332D58534B4AC2
06-30-2025 18:18:46.397,111,RECV,7E000F81000632024E363034332D4C463536FF
06-30-2025 18:18:46.397,112,RECV,7E000F81000228024E323034332D4932424908
06-30-2025 18:18:46.433,113,RECV,7E000F8100052E024E353034342D3930503117
06-30-2025 18:18:46.433,114,RECV,7E000F81000632024E363034342D514C4B59BA
06-30-2025 18:18:46.433,115,RECV,7E000F81000229024E323034342D52504B35EA
06-30-2025 18:18:46.483,116,RECV,7E000F8100052E024E353034352D3552584CD5
06-30-2025 18:18:46.484,117,RECV,7E000F81000632024E363034352D4A4E3937F2
06-30-2025 18:18:46.484,118,RECV,7E000F81000228024E323034352D3039515200
06-30-2025 18:18:46.484,119,RECV,7E000F8100052E024E353034362D44443158EE
06-30-2025 18:18:46.485,120,RECV,7E000F81000631024E363034362D5454544FAF
06-30-2025 18:18:46.533,121,RECV,7E000F81000228024E323034362D4C415930F5
06-30-2025 18:18:46.545,122,RECV,7E000F8100052E024E353034372D57575341BC
06-30-2025 18:18:46.556,123,RECV,7E000F81000632024E363034372D47334142FB
06-30-2025 18:18:46.556,124,RECV,7E000F81000228024E323034372D57545256B7
06-30-2025 18:18:46.583,125,RECV,7E000F8100052E024E353034382D574D494BC5
06-30-2025 18:18:46.583,126,RECV,7E000F81000632024E363034382D52574255B7
06-30-2025 18:18:46.583,127,RECV,7E000F81000228024E323034382D42433356FB
06-30-2025 18:18:46.634,128,RECV,7E000F8100052E024E353034392D4531343121
06-30-2025 18:18:46.634,129,RECV,7E000F81000632024E363034392D354D4A36F4
06-30-2025 18:18:46.634,130,RECV,7E000F81000228024E323034392D33504641FE
06-30-2025 18:18:46.634,131,RECV,7E000F8100052E024E353035302D3151504EE4
06-30-2025 18:18:46.644,132,RECV,7E000F81000632024E363035302D354F4854DE
06-30-2025 18:18:46.645,133,RECV,7E000F81000228024E323035302D50505552C9
06-30-2025 18:18:46.684,134,RECV,7E000F8100052E024E353035312D30384C450A
