06-29-2025 16:04:19.834,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-29-2025 16:03:15.549,0,RECV,7E000F8100042B024E343030302D4F535733E2
06-29-2025 16:03:15.641,1,RECV,7E000F8100042B024E343030312D445A5758C0
06-29-2025 16:03:15.642,2,RECV,7E000F81000734024E373030302D394B5457D0
06-29-2025 16:03:15.643,3,RECV,7E000F8100042B024E343030322D5541434BE8
06-29-2025 16:03:15.643,4,RECV,7E000F8100031A024E333030302D47374E5104
06-29-2025 16:03:15.643,5,RECV,7E000F81000735024E373030312D5A584131D9
06-29-2025 16:03:15.643,6,RECV,7E000F81000735024E373030322D4B414137F8
06-29-2025 16:03:15.643,7,RECV,7E000F8100031A024E333030312D5A42334110
06-29-2025 16:03:15.643,8,RECV,7E000F8100031A024E333030322D4E584F55D5
06-29-2025 16:03:15.643,9,RECV,7E000F8100042B024E343030352D565A3259CE
06-29-2025 16:03:15.643,10,RECV,7E000F8100031A024E333030332D4A314B391F
06-29-2025 16:03:15.643,11,RECV,7E000F8100042B024E343030362D4648443402
06-29-2025 16:03:15.643,12,RECV,7E000F8100031A024E333030342D3341415414
06-29-2025 16:03:15.643,13,RECV,7E000F8100042B024E343030372D4D444B4AE1
06-29-2025 16:03:15.643,14,RECV,7E000F81000834024E383030302D4D363657ED
06-29-2025 16:03:15.643,15,RECV,7E000F8100031A024E333030352D52434D59E1
06-29-2025 16:03:15.643,16,RECV,7E000F8100042B024E343030382D334F4C3800
06-29-2025 16:03:15.644,17,RECV,7E000F81000834024E383030312D4E4C4354CB
06-29-2025 16:03:15.644,18,RECV,7E000F8100031A024E333030362D59305A55E3
06-29-2025 16:03:15.644,19,RECV,7E000F81000833024E383030322D4C584736DB
06-29-2025 16:03:15.644,20,RECV,7E000F81000735024E373030362D4E4F4435E2
06-29-2025 16:03:15.644,21,RECV,7E000F8100042B024E343031302D334837312A
06-29-2025 16:03:15.644,22,RECV,7E000F8100031A024E333030372D3832483533
06-29-2025 16:03:15.644,23,RECV,7E000F8100031A024E333030382D50583939FF
06-29-2025 16:03:15.644,24,RECV,7E000F8100042B024E343031322D4847443503
06-29-2025 16:03:15.644,25,RECV,7E000F8100031A024E333030392D4842513805
06-29-2025 16:03:15.644,26,RECV,7E000F8100042B024E343031332D57465932E2
06-29-2025 16:03:15.735,27,RECV,7E000F8100031A024E333031302D38564F4201
06-29-2025 16:03:15.781,28,RECV,7E000F8100042C024E343031342D4C4E5136E7
06-29-2025 16:03:15.781,29,RECV,7E000F8100031A024E333031312D4F475549EB
06-29-2025 16:03:15.781,30,RECV,7E000F8100042C024E343031352D58583646DB
06-29-2025 16:03:15.781,31,RECV,7E000F8100031A024E333031322D314E544FFC
06-29-2025 16:03:15.781,32,RECV,7E000F8100031A024E333031332D5036514AFC
06-29-2025 16:03:15.781,33,RECV,7E000F8100042B024E343031372D4457323207
06-29-2025 16:03:15.781,34,RECV,7E000F8100031A024E333031342D32384D4520
06-29-2025 16:03:15.781,35,RECV,7E000F81000736024E373031332D53555057AA
06-29-2025 16:03:15.781,36,RECV,7E000F8100031A024E333031352D4736375116
06-29-2025 16:03:15.781,37,RECV,7E000F81000834024E383031322D4D435230E8
06-29-2025 16:03:15.781,38,RECV,7E000F81000735024E373031342D5A46524ABD
06-29-2025 16:03:15.781,39,RECV,7E000F8100031A024E333031362D4B3532491F
06-29-2025 16:03:15.781,40,RECV,7E000F8100042B024E343032312D57355253DA
06-29-2025 16:03:15.781,41,RECV,7E000F8100031A024E333031372D4A474352F3
06-29-2025 16:03:15.782,42,RECV,7E000F8100042B024E343032322D3243524EF5
06-29-2025 16:03:15.782,43,RECV,7E000F8100031A024E333031382D324F39312D
06-29-2025 16:03:15.782,44,RECV,7E000F8100031A024E333031392D4F364D49FC
06-29-2025 16:03:15.782,45,RECV,7E000F8100042B024E343032342D44505633EB
06-29-2025 16:03:15.782,46,RECV,7E000F8100031A024E333032302D3034394141
06-29-2025 16:03:15.782,47,RECV,7E000F81000735024E373031392D38375357DB
06-29-2025 16:03:15.782,48,RECV,7E000F8100031A024E333032312D4453414DF9
06-29-2025 16:03:15.782,49,RECV,7E000F8100042B024E343032362D38464B310C
06-29-2025 16:03:15.782,50,RECV,7E000F81000736024E373032302D414F333305
06-29-2025 16:03:15.782,51,RECV,7E000F8100031A024E333032322D563934302A
06-29-2025 16:03:15.782,52,RECV,7E000F81000735024E373032312D39484446F0
06-29-2025 16:03:15.831,53,RECV,7E000F8100031A024E333032332D56535648D5
06-29-2025 16:03:15.831,54,RECV,7E000F8100042B024E343032392D50493439FD
06-29-2025 16:03:15.831,55,RECV,7E000F8100031A024E333032342D523248410E
06-29-2025 16:03:15.832,56,RECV,7E000F8100042B024E343033302D463251370B
06-29-2025 16:03:15.832,57,RECV,7E000F8100031A024E333032352D3343443828
06-29-2025 16:03:15.832,58,RECV,7E000F8100031A024E333032362D514E3752F1
06-29-2025 16:03:15.832,59,RECV,7E000F81000833024E383032352D5534395ADB
06-29-2025 16:03:15.832,60,RECV,7E000F8100042B024E343033322D3352364608
06-29-2025 16:03:15.832,61,RECV,7E000F8100031A024E333032372D4A44564DE7
