06-29-2025 19:47:23.360,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-29-2025 19:45:17.562,0,RECV,7E000F8100042B024E343030302D3654483309
06-29-2025 19:45:17.563,1,RECV,7E000F8100031A024E333030302D385842420D
06-29-2025 19:45:17.612,2,RECV,7E000F81000731024E373030302D55303354F6
06-29-2025 19:45:17.612,3,RECV,7E000F81000833024E383030302D4B375330F9
06-29-2025 19:45:17.662,4,RECV,7E000F8100042B024E343030312D47544141F0
06-29-2025 19:45:17.712,5,RECV,7E000F8100031A024E333030312D593531530E
06-29-2025 19:45:17.713,6,RECV,7E000F81000731024E373030312D4F365357D2
06-29-2025 19:45:17.713,7,RECV,7E000F81000834024E383030312D4246303212
06-29-2025 19:45:17.773,8,RECV,7E000F8100042B024E343030322D4944444BF0
06-29-2025 19:45:17.778,9,RECV,7E000F8100031A024E333030322D534D5138F6
06-29-2025 19:45:17.783,10,RECV,7E000F81000735024E373030322D32514856DB
06-29-2025 19:45:17.812,11,RECV,7E000F81000834024E383030322D445A3549DF
06-29-2025 19:45:17.862,12,RECV,7E000F8100042B024E343030332D37434F57EB
06-29-2025 19:45:17.863,13,RECV,7E000F8100031A024E333030332D43554B4DEE
06-29-2025 19:45:17.913,14,RECV,7E000F81000735024E373030332D4B384452E2
06-29-2025 19:45:17.914,15,RECV,7E000F81000834024E383030332D454A5356C2
06-29-2025 19:45:17.963,16,RECV,7E000F8100042B024E343030342D4C42484CE8
06-29-2025 19:45:18.013,17,RECV,7E000F8100031A024E333030342D423748421A
06-29-2025 19:45:18.014,18,RECV,7E000F81000733024E373030342D4D553835ED
06-29-2025 19:45:18.014,19,RECV,7E000F81000833024E383030342D384F5941D9
06-29-2025 19:45:18.063,20,RECV,7E000F8100042B024E343030352D524F4F31E8
06-29-2025 19:45:18.113,21,RECV,7E000F8100031A024E333030352D53585355C9
06-29-2025 19:45:18.120,22,RECV,7E000F81000733024E373030352D3352525ACA
06-29-2025 19:45:18.120,23,RECV,7E000F81000834024E383030352D534F5A58A4
06-29-2025 19:45:18.163,24,RECV,7E000F8100042B024E343030362D48385255E1
06-29-2025 19:45:18.183,25,RECV,7E000F8100031A024E333030362D5937353026
06-29-2025 19:45:18.183,26,RECV,7E000F81000731024E373030362D4D375831EF
06-29-2025 19:45:18.213,27,RECV,7E000F81000831024E383030362D354D5455CF
06-29-2025 19:45:18.263,28,RECV,7E000F8100042B024E343030372D4C535144D3
06-29-2025 19:45:18.314,29,RECV,7E000F8100031A024E333030372D4A37455103
06-29-2025 19:45:18.326,30,RECV,7E000F81000731024E373030372D46394C59D7
06-29-2025 19:45:18.327,31,RECV,7E000F81000831024E383030372D49355235F4
06-29-2025 19:45:18.364,32,RECV,7E000F8100042B024E343030382D4C505232E6
06-29-2025 19:45:18.414,33,RECV,7E000F8100031A024E333030382D4951564EDB
06-29-2025 19:45:18.420,34,RECV,7E000F81000731024E373030382D51534358BB
06-29-2025 19:45:18.420,35,RECV,7E000F81000830024E383030382D394B5659C6
06-29-2025 19:45:18.474,36,RECV,7E000F8100042B024E343030392D434F314200
06-29-2025 19:45:18.484,37,RECV,7E000F8100031A024E333030392D4639543015
06-29-2025 19:45:18.484,38,RECV,7E000F81000730024E373030392D374C4639F8
06-29-2025 19:45:18.514,39,RECV,7E000F81000830024E383030392D55583155C5
06-29-2025 19:45:18.564,40,RECV,7E000F8100042B024E343031302D3848553602
06-29-2025 19:45:18.615,41,RECV,7E000F8100031A024E333031302D4E585555D0
06-29-2025 19:45:18.656,42,RECV,7E000F81000730024E373031302D3055314903
06-29-2025 19:45:18.656,43,RECV,7E000F8100082F024E383031302D4E36314B01
06-29-2025 19:45:18.665,44,RECV,7E000F8100042B024E343031312D3830583715
06-29-2025 19:45:18.715,45,RECV,7E000F8100031A024E333031312D4B4F4558E8
06-29-2025 19:45:18.715,46,RECV,7E000F81000731024E373031312D57524932DC
06-29-2025 19:45:18.715,47,RECV,7E000F8100082F024E383031312D38484D4EE5
06-29-2025 19:45:18.766,48,RECV,7E000F8100042B024E343031322D53425137EE
06-29-2025 19:45:18.816,49,RECV,7E000F8100031A024E333031322D42314E530A
06-29-2025 19:45:18.823,50,RECV,7E000F81000731024E373031322D584B344EDA
06-29-2025 19:45:18.823,51,RECV,7E000F81000830024E383031322D45364C3106
06-29-2025 19:45:18.866,52,RECV,7E000F8100042B024E343031332D464B314FF9
06-29-2025 19:45:18.916,53,RECV,7E000F8100031A024E333031332D384C433125
06-29-2025 19:45:18.926,54,RECV,7E000F81000731024E373031332D4D344B39F9
06-29-2025 19:45:18.926,55,RECV,7E000F81000830024E383031332D4459475ABF
06-29-2025 19:45:18.969,56,RECV,7E000F8100042B024E343031342D3451473607
06-29-2025 19:45:19.018,57,RECV,7E000F8100031A024E333031342D493450331C
06-29-2025 19:45:19.024,58,RECV,7E000F81000730024E373031342D53534751C0
06-29-2025 19:45:19.024,59,RECV,7E000F8100082F024E383031342D4150494AD9
06-29-2025 19:45:19.068,60,RECV,7E000F8100042B024E343031352D334A5846ED
06-29-2025 19:45:19.118,61,RECV,7E000F8100031A024E333031352D50305755EF
06-29-2025 19:45:19.118,62,RECV,7E000F81000730024E373031352D52464C55C4
06-29-2025 19:45:19.119,63,RECV,7E000F8100082F024E383031352D5135444CE6
06-29-2025 19:45:19.179,64,RECV,7E000F8100042B024E343031362D4E36303320
06-29-2025 19:45:19.219,65,RECV,7E000F8100031A024E333031362D444F41337D33
06-29-2025 19:45:19.219,66,RECV,7E000F81000730024E373031362D42584E4CC8
06-29-2025 19:45:19.219,67,RECV,7E000F81000830024E383031362D543731330B
06-29-2025 19:45:19.269,68,RECV,7E000F8100042B024E343031372D36584534FF
06-29-2025 19:45:19.319,69,RECV,7E000F8100031A024E333031372D3558324B0F
06-29-2025 19:45:19.328,70,RECV,7E000F81000731024E373031372D414E3243F6
06-29-2025 19:45:19.328,71,RECV,7E000F81000830024E383031372D34545A55C2
06-29-2025 19:45:19.369,72,RECV,7E000F8100042B024E343031382D46365459DC
06-29-2025 19:45:19.419,73,RECV,7E000F8100031A024E333031382D5530383229
06-29-2025 19:45:19.419,74,RECV,7E000F81000731024E373031382D334D5132F6
06-29-2025 19:45:19.419,75,RECV,7E000F81000830024E383031382D3032503016
06-29-2025 19:45:19.479,76,RECV,7E000F8100042B024E343031392D43533052EC
06-29-2025 19:45:19.519,77,RECV,7E000F8100031A024E333031392D3432433836
06-29-2025 19:45:19.520,78,RECV,7E000F81000730024E373031392D464D4636EA
06-29-2025 19:45:19.520,79,RECV,7E000F81000830024E383031392D5952345ABE
06-29-2025 19:45:19.570,80,RECV,7E000F8100042B024E343032302D3135443230
06-29-2025 19:45:19.621,81,RECV,7E000F8100031A024E333032302D493243421F
06-29-2025 19:45:19.642,82,RECV,7E000F81000730024E373032302D5630443205
06-29-2025 19:45:19.643,83,RECV,7E000F81000830024E383032302D4B475738DE
06-29-2025 19:45:19.670,84,RECV,7E000F8100042B024E343032312D4E514845DF
06-29-2025 19:45:19.721,85,RECV,7E000F8100031A024E333032312D4330525405
06-29-2025 19:45:19.721,86,RECV,7E000F81000731024E373032312D4A563553D7
06-29-2025 19:45:19.721,87,RECV,7E000F81000830024E383032312D3732354E12
06-29-2025 19:45:19.770,88,RECV,7E000F8100042B024E343032322D41374B4502
06-29-2025 19:45:19.820,89,RECV,7E000F8100031A024E333032322D5636444706
06-29-2025 19:45:19.921,90,RECV,7E000F8100042B024E343032332D34364A5500
06-29-2025 19:45:19.921,91,RECV,7E000F8100031A024E333032332D453742540A
06-29-2025 19:45:19.921,92,RECV,7E000F8100082F024E383032332D39524B4FD8
06-29-2025 19:45:19.921,93,RECV,7E000F81000730024E373032332D49373959EC
06-29-2025 19:45:19.971,94,RECV,7E000F8100042B024E343032342D5A503630F8
06-29-2025 19:45:20.021,95,RECV,7E000F8100031A024E333032342D56345446F7
06-29-2025 19:45:20.021,96,RECV,7E000F8100082F024E383032342D58445357B6
06-29-2025 19:45:20.021,97,RECV,7E000F81000731024E373032342D34515942DC
06-29-2025 19:45:20.071,98,RECV,7E000F8100042B024E343032352D3730493027
06-29-2025 19:45:20.121,99,RECV,7E000F8100031A024E333032352D5937533403
06-29-2025 19:45:20.121,100,RECV,7E000F8100082F024E383032352D51584C59AD
06-29-2025 19:45:20.122,101,RECV,7E000F81000731024E373032352D35463650FA
06-29-2025 19:45:20.182,102,RECV,7E000F8100042B024E343032362D4C563058DC
06-29-2025 19:45:20.221,103,RECV,7E000F8100031A024E333032362D313630334F
06-29-2025 19:45:20.222,104,RECV,7E000F81000830024E383032362D51503847D9
06-29-2025 19:45:20.222,105,RECV,7E000F81000731024E373032362D54444550CD
06-29-2025 19:45:20.322,106,RECV,7E000F8100042B024E343032372D33495557DD
06-29-2025 19:45:20.323,107,RECV,7E000F8100031A024E333032372D5A46494CE3
06-29-2025 19:45:20.323,108,RECV,7E000F81000731024E373032372D56585338C0
06-29-2025 19:45:20.372,109,RECV,7E000F8100042B024E343032382D56433247F2
06-29-2025 19:45:20.422,110,RECV,7E000F81000830024E383032382D4D393744F6
06-29-2025 19:45:20.422,111,RECV,7E000F8100031A024E333032382D59565146D1
06-29-2025 19:45:20.423,112,RECV,7E000F81000730024E373032382D514B4357C3
06-29-2025 19:45:20.482,113,RECV,7E000F8100042B024E343032392D3633455203
06-29-2025 19:45:20.522,114,RECV,7E000F81000830024E383032392D4C525833CD
06-29-2025 19:45:20.523,115,RECV,7E000F8100031A024E333032392D3632443238
06-29-2025 19:45:20.523,116,RECV,7E000F81000730024E373032392D35365A4AE9
06-29-2025 19:45:20.623,117,RECV,7E000F8100042B024E343033302D564E4452D1
06-29-2025 19:45:20.623,118,RECV,7E000F81000830024E383033302D48563250DE
06-29-2025 19:45:20.623,119,RECV,7E000F8100031A024E333033302D3136435222
06-29-2025 19:45:20.623,120,RECV,7E000F81000731024E373033302D4F424152DB
06-29-2025 19:45:20.673,121,RECV,7E000F8100042B024E343033312D57305939F1
06-29-2025 19:45:20.723,122,RECV,7E000F81000830024E383033312D414C5257C7
06-29-2025 19:45:20.724,123,RECV,7E000F8100031A024E333033312D474A5638FE
06-29-2025 19:45:20.724,124,RECV,7E000F81000731024E373033312D443842350B
06-29-2025 19:45:20.773,125,RECV,7E000F8100042B024E343033322D434134331E
06-29-2025 19:45:20.823,126,RECV,7E000F81000830024E383033322D304E5959CC
06-29-2025 19:45:20.827,127,RECV,7E000F8100031A024E333033322D384331432D
06-29-2025 19:45:20.827,128,RECV,7E000F81000730024E373033322D4138414400
06-29-2025 19:45:20.924,129,RECV,7E000F8100042B024E343033332D46585153C6
06-29-2025 19:45:20.925,130,RECV,7E000F81000830024E383033332D4E445350C6
06-29-2025 19:45:20.925,131,RECV,7E000F8100031A024E333033332D43475253EC
06-29-2025 19:45:20.925,132,RECV,7E000F81000731024E373033332D5A4B4835DA
06-29-2025 19:45:21.024,133,RECV,7E000F8100042B024E343033342D484F5738E1
06-29-2025 19:45:21.032,134,RECV,7E000F8100082F024E383033342D484E5A54B7
