06-29-2025 17:08:56.166,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-29-2025 17:08:21.078,0,RECV,7E000F81000632024E363030302D4649494BE0
06-29-2025 17:08:21.080,1,RECV,7E000F8100022B024E323030302D5932384E01
06-29-2025 17:08:21.083,2,RECV,7E000F81000121024E313030302D3239385A21
06-29-2025 17:08:21.084,3,RECV,7E000F81000632024E363030312D5A4C4837DD
06-29-2025 17:08:21.091,4,RECV,7E000F8100022B024E323030312D455A5A54C4
06-29-2025 17:08:21.095,5,RECV,7E000F81000121024E313030312D4850313222
06-29-2025 17:08:21.133,6,RECV,7E000F8100022A024E323030322D53423648FE
06-29-2025 17:08:21.134,7,RECV,7E000F8100052E024E353030322D38595742DD
06-29-2025 17:08:21.134,8,RECV,7E000F81000121024E313030322D4B4A5434FF
06-29-2025 17:08:21.134,9,RECV,7E000F81000633024E363030332D4B48534DCC
06-29-2025 17:08:21.134,10,RECV,7E000F8100022A024E323030332D30584150F7
06-29-2025 17:08:21.134,11,RECV,7E000F81000121024E313030332D37534A4106
06-29-2025 17:08:21.215,12,RECV,7E000F81000633024E363030342D46544844D8
06-29-2025 17:08:21.251,13,RECV,7E000F8100052E024E353030342D51315432FD
06-29-2025 17:08:21.251,14,RECV,7E000F8100022B024E323030342D35474A4503
06-29-2025 17:08:21.251,15,RECV,7E000F81000121024E313030342D55474D32FF
06-29-2025 17:08:21.251,16,RECV,7E000F81000633024E363030352D373634421A
06-29-2025 17:08:21.251,17,RECV,7E000F8100052E024E353030352D564E5757B2
06-29-2025 17:08:21.251,18,RECV,7E000F8100022A024E323030352D4132564302
06-29-2025 17:08:21.251,19,RECV,7E000F81000121024E313030352D353159477D33
06-29-2025 17:08:21.251,20,RECV,7E000F81000632024E363030362D464C3755DF
06-29-2025 17:08:21.251,21,RECV,7E000F8100052E024E353030362D4E5A5730D4
06-29-2025 17:08:21.251,22,RECV,7E000F8100022A024E323030362D54505737DB
06-29-2025 17:08:21.251,23,RECV,7E000F81000121024E313030362D5632354C0F
06-29-2025 17:08:21.251,24,RECV,7E000F81000632024E363030372D55544750BC
06-29-2025 17:08:21.252,25,RECV,7E000F8100052E024E353030372D3732425304
06-29-2025 17:08:21.252,26,RECV,7E000F8100022A024E323030372D584C5441D3
06-29-2025 17:08:21.252,27,RECV,7E000F81000121024E313030372D5132303133
06-29-2025 17:08:21.252,28,RECV,7E000F8100052E024E353030382D3151463405
06-29-2025 17:08:21.252,29,RECV,7E000F8100022A024E323030382D59523838F0
06-29-2025 17:08:21.252,30,RECV,7E000F81000121024E313030382D3238554B0C
06-29-2025 17:08:21.252,31,RECV,7E000F81000632024E363030392D413336410F
