06-29-2025 16:09:17.940,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-29-2025 16:08:41.638,0,RECV,7E000F8100022B024E323030302D4954374DF1
06-29-2025 16:08:41.648,1,RECV,7E000F8100052E024E353030302D344C464BF8
06-29-2025 16:08:41.649,2,RECV,7E000F8100022D024E323030312D38585734F4
06-29-2025 16:08:41.649,3,RECV,7E000F8100052E024E353030312D544B4259CE
06-29-2025 16:08:41.688,4,RECV,7E000F8100022B024E323030322D394636510A
06-29-2025 16:08:41.688,5,RECV,7E000F81000632024E363030322D44434B34FB
06-29-2025 16:08:41.688,6,RECV,7E000F81000121024E313030302D3539334B32
06-29-2025 16:08:41.788,7,RECV,7E000F81000121024E313030312D4345494EFE
06-29-2025 16:08:41.806,8,RECV,7E000F8100052E024E353030332D3734455402
06-29-2025 16:08:41.806,9,RECV,7E000F8100022B024E323030332D4D4B4641F0
06-29-2025 16:08:41.806,10,RECV,7E000F8100052D024E353030342D584B5350C0
06-29-2025 16:08:41.806,11,RECV,7E000F81000121024E313030322D3941493425
06-29-2025 16:08:41.806,12,RECV,7E000F8100022A024E323030342D4C543652E7
06-29-2025 16:08:41.806,13,RECV,7E000F8100052E024E353030352D4141363715
06-29-2025 16:08:41.806,14,RECV,7E000F81000121024E313030332D3347524B04
06-29-2025 16:08:41.807,15,RECV,7E000F8100022B024E323030352D54434952DB
06-29-2025 16:08:41.807,16,RECV,7E000F8100052D024E353030362D503334311C
06-29-2025 16:08:41.807,17,RECV,7E000F81000633024E363030362D53323856E9
06-29-2025 16:08:41.807,18,RECV,7E000F81000121024E313030342D4F4A374307
06-29-2025 16:08:41.807,19,RECV,7E000F8100022A024E323030362D49565343D8
06-29-2025 16:08:41.807,20,RECV,7E000F8100052D024E353030372D59414132F6
06-29-2025 16:08:41.807,21,RECV,7E000F81000632024E363030372D554D4C46C8
06-29-2025 16:08:41.807,22,RECV,7E000F81000121024E313030352D543751300D
06-29-2025 16:08:41.807,23,RECV,7E000F8100022B024E323030372D33533057FE
06-29-2025 16:08:41.807,24,RECV,7E000F8100052D024E353030382D4250305AE6
06-29-2025 16:08:41.807,25,RECV,7E000F81000632024E363030382D4C414335F6
06-29-2025 16:08:41.807,26,RECV,7E000F81000121024E313030362D45583844FF
06-29-2025 16:08:41.807,27,RECV,7E000F8100022B024E323030382D50505043D7
06-29-2025 16:08:41.807,28,RECV,7E000F8100052E024E353030392D5443313404
06-29-2025 16:08:41.807,29,RECV,7E000F81000632024E363030392D4459374DD9
06-29-2025 16:08:41.807,30,RECV,7E000F81000121024E313030372D34475A4DF5
06-29-2025 16:08:41.807,31,RECV,7E000F8100022A024E323030392D52424958D5
06-29-2025 16:08:41.807,32,RECV,7E000F8100052F024E353031302D4733364C0B
06-29-2025 16:08:41.861,33,RECV,7E000F81000632024E363031302D47355137FE
06-29-2025 16:08:41.863,34,RECV,7E000F81000121024E313030382D4F553856E4
06-29-2025 16:08:41.863,35,RECV,7E000F8100022A024E323031302D54555735DD
06-29-2025 16:08:41.863,36,RECV,7E000F8100052D024E353031312D49345537FF
06-29-2025 16:08:41.863,37,RECV,7E000F81000632024E363031312D33364D4704
06-29-2025 16:08:41.863,38,RECV,7E000F81000121024E313030392D52375852E2
06-29-2025 16:08:41.863,39,RECV,7E000F8100052D024E353031322D5A544846CB
06-29-2025 16:08:41.863,40,RECV,7E000F81000632024E363031322D54464938E5
06-29-2025 16:08:41.863,41,RECV,7E000F81000121024E313031302D504F4A38FC
06-29-2025 16:08:41.863,42,RECV,7E000F8100022A024E323031322D38565457D7
06-29-2025 16:08:41.863,43,RECV,7E000F8100052E024E353031332D564D5432DC
06-29-2025 16:08:41.864,44,RECV,7E000F81000632024E363031332D4154303109
06-29-2025 16:08:41.864,45,RECV,7E000F81000121024E313031312D553743321B
06-29-2025 16:08:41.864,46,RECV,7E000F8100022A024E323031332D57574E47CC
06-29-2025 16:08:41.864,47,RECV,7E000F8100052F024E353031342D3339524EF7
06-29-2025 16:08:41.864,48,RECV,7E000F81000632024E363031342D5A394936EC
06-29-2025 16:08:41.864,49,RECV,7E000F81000121024E313031322D4D47353022
06-29-2025 16:08:41.864,50,RECV,7E000F8100022B024E323031342D59325158D9
06-29-2025 16:08:41.864,51,RECV,7E000F8100052F024E353031352D493737311A
06-29-2025 16:08:41.864,52,RECV,7E000F81000632024E363031352D4D4F5749C1
06-29-2025 16:08:41.864,53,RECV,7E000F81000121024E313031332D4A53354BFD
06-29-2025 16:08:41.864,54,RECV,7E000F8100022A024E323031352D4852304300
06-29-2025 16:08:41.864,55,RECV,7E000F8100052F024E353031362D58593630EA
06-29-2025 16:08:41.864,56,RECV,7E000F81000632024E363031362D4B474A58C8
06-29-2025 16:08:41.864,57,RECV,7E000F81000121024E313031342D5046325100
06-29-2025 16:08:41.864,58,RECV,7E000F8100022A024E323031362D31554C56E4
06-29-2025 16:08:41.956,59,RECV,7E000F8100052F024E353031372D56465941CA
06-29-2025 16:08:41.964,60,RECV,7E000F81000632024E363031372D33504D54D7
06-29-2025 16:08:41.964,61,RECV,7E000F81000121024E313031352D36414D381C
06-29-2025 16:08:41.964,62,RECV,7E000F8100052D024E353031382D46524C33EA
06-29-2025 16:08:41.964,63,RECV,7E000F81000632024E363031382D595A5543AF
06-29-2025 16:08:41.964,64,RECV,7E000F81000121024E313031362D4F4C5342E7
06-29-2025 16:08:41.964,65,RECV,7E000F8100022A024E323031382D4E48374AF3
06-29-2025 16:08:41.964,66,RECV,7E000F8100052D024E353031392D58425941CC
06-29-2025 16:08:41.964,67,RECV,7E000F81000633024E363031392D464B4456CD
06-29-2025 16:08:41.964,68,RECV,7E000F81000121024E313031372D51444744F6
06-29-2025 16:08:41.964,69,RECV,7E000F8100022A024E323031392D5044504BDA
06-29-2025 16:08:41.964,70,RECV,7E000F8100052D024E353032302D3054483507
06-29-2025 16:08:41.965,71,RECV,7E000F81000632024E363032302D46465435EC
06-29-2025 16:08:41.965,72,RECV,7E000F81000121024E313031382D37314C332E
06-29-2025 16:08:41.965,73,RECV,7E000F8100022B024E323032302D38454F4202
06-29-2025 16:08:41.965,74,RECV,7E000F8100052D024E353032312D4A3335371E
06-29-2025 16:08:41.965,75,RECV,7E000F81000632024E363032312D41425138F4
06-29-2025 16:08:41.965,76,RECV,7E000F81000121024E313031392D58305750E5
06-29-2025 16:08:41.965,77,RECV,7E000F8100022A024E323032312D4D3051360C
06-29-2025 16:08:41.965,78,RECV,7E000F8100052D024E353032322D5231504EE5
06-29-2025 16:08:41.965,79,RECV,7E000F81000632024E363032322D46414A37F7
06-29-2025 16:08:41.965,80,RECV,7E000F81000121024E313032302D5052453203
06-29-2025 16:08:41.965,81,RECV,7E000F8100022A024E323032322D434642317D33
06-29-2025 16:08:41.965,82,RECV,7E000F8100052D024E353032332D37555848D9
06-29-2025 16:08:41.965,83,RECV,7E000F81000632024E363032332D5935484FD9
06-29-2025 16:08:41.965,84,RECV,7E000F81000121024E313032312D484C4E3801
06-29-2025 16:08:42.048,85,RECV,7E000F8100022B024E323032332D51544954CB
06-29-2025 16:08:42.049,86,RECV,7E000F8100052E024E353032342D57354547EB
06-29-2025 16:08:42.049,87,RECV,7E000F81000632024E363032342D47374758E0
06-29-2025 16:08:42.049,88,RECV,7E000F81000121024E313032322D52474A3502
06-29-2025 16:08:42.049,89,RECV,7E000F8100022A024E323032342D5A5A5251B6
06-29-2025 16:08:42.049,90,RECV,7E000F8100052E024E353032352D50463752E3
06-29-2025 16:08:42.049,91,RECV,7E000F81000632024E363032352D48555034DB
06-29-2025 16:08:42.050,92,RECV,7E000F81000121024E313032332D374A5744FD
06-29-2025 16:08:42.050,93,RECV,7E000F81000229024E323032352D59394841F2
06-29-2025 16:08:42.050,94,RECV,7E000F81000632024E363032362D34495653D5
06-29-2025 16:08:42.050,95,RECV,7E000F81000121024E313032342D543532520B
06-29-2025 16:08:42.050,96,RECV,7E000F8100022B024E323032362D53385656D3
06-29-2025 16:08:42.050,97,RECV,7E000F8100052D024E353032372D3153544ADF
06-29-2025 16:08:42.050,98,RECV,7E000F81000632024E363032372D46475339E1
06-29-2025 16:08:42.050,99,RECV,7E000F81000121024E313032352D36444B417D31
06-29-2025 16:08:42.050,100,RECV,7E000F81000631024E363032382D48505837D3
06-29-2025 16:08:42.050,101,RECV,7E000F81000121024E313032362D5745384200
06-29-2025 16:08:42.050,102,RECV,7E000F8100022A024E323032382D3030574D05
06-29-2025 16:08:42.050,103,RECV,7E000F81000632024E363032392D3130394F0F
06-29-2025 16:08:42.050,104,RECV,7E000F81000121024E313032372D414351320E
06-29-2025 16:08:42.050,105,RECV,7E000F8100022B024E323032392D4D395734F6
06-29-2025 16:08:42.050,106,RECV,7E000F81000632024E363033302D4E524C36DE
06-29-2025 16:08:42.051,107,RECV,7E000F81000121024E313032382D4346313921
06-29-2025 16:08:42.051,108,RECV,7E000F8100022B024E323033302D314C5A3800
06-29-2025 16:08:42.051,109,RECV,7E000F81000632024E363033312D30444753F1
06-29-2025 16:08:42.051,110,RECV,7E000F81000121024E313032392D3446464C07
06-29-2025 16:08:42.143,111,RECV,7E000F8100022B024E323033312D34365155FE
06-29-2025 16:08:42.145,112,RECV,7E000F81000631024E363033322D42364A3508
06-29-2025 16:08:42.145,113,RECV,7E000F81000121024E313033302D58524E42E1
06-29-2025 16:08:42.145,114,RECV,7E000F8100022B024E323033322D4430593010
06-29-2025 16:08:42.145,115,RECV,7E000F81000633024E363033332D3839325108
06-29-2025 16:08:42.145,116,RECV,7E000F81000121024E313033312D3753533805
06-29-2025 16:08:42.145,117,RECV,7E000F8100052E024E353033342D4E584347D2
06-29-2025 16:08:42.145,118,RECV,7E000F8100022B024E323033332D373251430F
06-29-2025 16:08:42.145,119,RECV,7E000F81000633024E363033342D475A574AB9
06-29-2025 16:08:42.145,120,RECV,7E000F81000121024E313033322D52523544FC
06-29-2025 16:08:42.145,121,RECV,7E000F8100052E024E353033352D4E574D41CE
06-29-2025 16:08:42.145,122,RECV,7E000F8100022B024E323033342D344B334712
06-29-2025 16:08:42.145,123,RECV,7E000F81000632024E363033352D4E363150F6
06-29-2025 16:08:42.145,124,RECV,7E000F81000121024E313033332D5643374701
06-29-2025 16:08:42.145,125,RECV,7E000F8100052E024E353033362D4742414CEA
06-29-2025 16:08:42.145,126,RECV,7E000F8100022B024E323033352D4D47365AE6
06-29-2025 16:08:42.145,127,RECV,7E000F81000632024E363033362D42384744F5
06-29-2025 16:08:42.145,128,RECV,7E000F81000121024E313033342D4A3130501C
06-29-2025 16:08:42.145,129,RECV,7E000F8100022B024E323033362D52455658C4
06-29-2025 16:08:42.145,130,RECV,7E000F81000632024E363033372D3358484FD7
06-29-2025 16:08:42.145,131,RECV,7E000F81000121024E313033352D57554B30EF
06-29-2025 16:08:42.145,132,RECV,7E000F8100052E024E353033382D444E5236E4
06-29-2025 16:08:42.145,133,RECV,7E000F8100022B024E323033372D5538344AFD
06-29-2025 16:08:42.145,134,RECV,7E000F81000632024E363033382D4A54564EB6
06-29-2025 16:08:42.146,135,RECV,7E000F81000121024E313033362D3745324621
06-29-2025 16:08:42.146,136,RECV,7E000F8100052E024E353033392D343532342E
06-29-2025 16:08:42.238,137,RECV,7E000F8100022B024E323033382D56415750C9
06-29-2025 16:08:42.238,138,RECV,7E000F81000632024E363033392D35425530FB
06-29-2025 16:08:42.238,139,RECV,7E000F81000121024E313033372D42485A44EC
06-29-2025 16:08:42.238,140,RECV,7E000F8100052E024E353034302D374137381E
06-29-2025 16:08:42.238,141,RECV,7E000F8100022B024E323033392D4C535855BA
06-29-2025 16:08:42.238,142,RECV,7E000F81000632024E363034302D35514541F3
06-29-2025 16:08:42.238,143,RECV,7E000F81000121024E313033382D55445351D6
06-29-2025 16:08:42.238,144,RECV,7E000F8100022B024E323034302D375A3657F0
06-29-2025 16:08:42.238,145,RECV,7E000F81000632024E363034312D33435045F3
06-29-2025 16:08:42.238,146,RECV,7E000F81000121024E313033392D33304F342C
06-29-2025 16:08:42.239,147,RECV,7E000F8100052E024E353034322D37515150DA
06-29-2025 16:08:42.239,148,RECV,7E000F8100022B024E323034312D30354B4419
06-29-2025 16:08:42.239,149,RECV,7E000F81000632024E363034322D5941444CD3
