06-25-2025 17:10:05.735,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-25-2025 17:08:49.408,0,RECV,7E000F81000427024E343030302D32415350FC
06-25-2025 17:08:49.411,1,RECV,7E000F8100021F024E323030302D49584C35FC
06-25-2025 17:08:49.412,2,RECV,7E000F8100011B024E313030302D3652524EFC
06-25-2025 17:08:49.412,3,RECV,7E000F81000427024E343030312D53483742FD
06-25-2025 17:08:49.412,4,RECV,7E000F8100021F024E323030312D33314F4723
06-25-2025 17:08:49.412,5,RECV,7E000F81000323024E333030312D5039335A01
06-25-2025 17:08:49.412,6,RECV,7E000F8100011B024E313030312D313759451D
06-25-2025 17:08:49.500,7,RECV,7E000F8100011B024E313030322D394D495AF9
06-25-2025 17:08:49.500,8,RECV,7E000F81000426024E343030332D4D304A3712
06-25-2025 17:08:49.500,9,RECV,7E000F8100021F024E323030332D31394F342E
06-25-2025 17:08:49.500,10,RECV,7E000F81000322024E333030332D5335543604
06-25-2025 17:08:49.500,11,RECV,7E000F8100011B024E313030332D553331491F
06-25-2025 17:08:49.500,12,RECV,7E000F81000220024E323030342D5637333920
06-25-2025 17:08:49.500,13,RECV,7E000F81000427024E343030352D384937480D
06-25-2025 17:08:49.500,14,RECV,7E000F81000323024E333030342D4D4C4A45EC
06-25-2025 17:08:49.500,15,RECV,7E000F8100011B024E313030342D5A463949FE
06-25-2025 17:08:49.500,16,RECV,7E000F81000220024E323030352D4C305A48FA
06-25-2025 17:08:49.500,17,RECV,7E000F81000427024E343030362D3852424AF6
06-25-2025 17:08:49.500,18,RECV,7E000F8100011B024E313030352D59415833FA
06-25-2025 17:08:49.500,19,RECV,7E000F81000220024E323030362D3832553622
06-25-2025 17:08:49.501,20,RECV,7E000F81000427024E343030372D5A525236D7
06-25-2025 17:08:49.501,21,RECV,7E000F8100011B024E313030362D554448300D
06-25-2025 17:08:49.501,22,RECV,7E000F81000220024E323030372D5242384CFE
06-25-2025 17:08:49.501,23,RECV,7E000F81000323024E333030372D50585A51BE
06-25-2025 17:08:49.501,24,RECV,7E000F8100011B024E313030372D4A594A39F7
06-25-2025 17:08:49.501,25,RECV,7E000F81000220024E323030382D564B4C49DF
06-25-2025 17:08:49.501,26,RECV,7E000F81000323024E333030382D5831444201
06-25-2025 17:08:49.501,27,RECV,7E000F8100011B024E313030382D39545747F1
06-25-2025 17:08:49.501,28,RECV,7E000F81000427024E343031302D4C564150DE
06-25-2025 17:08:49.501,29,RECV,7E000F81000220024E323030392D484E5048E6
06-25-2025 17:08:49.501,30,RECV,7E000F8100011B024E313030392D5746433803
06-25-2025 17:08:49.501,31,RECV,7E000F81000220024E323031302D36575047F8
06-25-2025 17:08:49.501,32,RECV,7E000F81000323024E333031302D3538585200
06-25-2025 17:08:49.592,33,RECV,7E000F8100011B024E313031302D5A494950E7
06-25-2025 17:08:49.624,34,RECV,7E000F81000220024E323031312D5131505AEF
06-25-2025 17:08:49.624,35,RECV,7E000F8100011B024E313031312D313446492E
06-25-2025 17:08:49.624,36,RECV,7E000F81000220024E323031322D5146444DF2
