06-26-2025 20:48:42.616,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-26-2025 20:47:42.227,0,RECV,7E000F8100052D024E353030302D3847314416
06-26-2025 20:47:42.228,1,RECV,7E000F81000731024E373030302D44574241E4
06-26-2025 20:47:42.228,2,RECV,7E000F8100062F024E363030302D42584D43DC
06-26-2025 20:47:42.228,3,RECV,7E000F81000832024E383030302D4A494C36EA
06-26-2025 20:47:42.427,4,RECV,7E000F8100052D024E353030312D48415658D2
06-26-2025 20:47:42.431,5,RECV,7E000F81000731024E373030312D47575856B5
06-26-2025 20:47:42.431,6,RECV,7E000F8100062F024E363030312D54464E43DA
06-26-2025 20:47:42.431,7,RECV,7E000F81000830024E383030312D584B3953D1
06-26-2025 20:47:42.628,8,RECV,7E000F8100052C024E353030322D4148444EEE
06-26-2025 20:47:42.630,9,RECV,7E000F81000730024E373030322D4B3342370A
06-26-2025 20:47:42.630,10,RECV,7E000F8100062F024E363030322D303838550F
06-26-2025 20:47:42.638,11,RECV,7E000F8100082F024E383030322D474A5848CF
06-26-2025 20:47:42.829,12,RECV,7E000F8100052D024E353030332D4A584F32E4
06-26-2025 20:47:42.830,13,RECV,7E000F81000731024E373030332D3238425AF9
06-26-2025 20:47:42.830,14,RECV,7E000F81000632024E363030332D3633435103
06-26-2025 20:47:42.830,15,RECV,7E000F81000830024E383030332D4D554546D1
06-26-2025 20:47:43.028,16,RECV,7E000F8100052D024E353030342D3535424B0F
06-26-2025 20:47:43.028,17,RECV,7E000F81000731024E373030342D55304C51DC
06-26-2025 20:47:43.028,18,RECV,7E000F81000631024E363030342D44495839E2
06-26-2025 20:47:43.028,19,RECV,7E000F81000830024E383030342D54554E51B5
06-26-2025 20:47:43.229,20,RECV,7E000F8100052D024E353030352D4E4B4A51D1
06-26-2025 20:47:43.229,21,RECV,7E000F81000731024E373030352D45325744EB
06-26-2025 20:47:43.229,22,RECV,7E000F81000631024E363030352D36495853D5
06-26-2025 20:47:43.229,23,RECV,7E000F81000830024E383030352D485A4F30DB
06-26-2025 20:47:43.429,24,RECV,7E000F8100052D024E353030362D573130311B
06-26-2025 20:47:43.429,25,RECV,7E000F81000730024E373030362D4339353319
06-26-2025 20:47:43.429,26,RECV,7E000F81000631024E363030362D55383643F8
06-26-2025 20:47:43.429,27,RECV,7E000F8100082F024E383030362D48473452E7
06-26-2025 20:47:43.639,28,RECV,7E000F8100052D024E353030372D56573049DD
06-26-2025 20:47:43.642,29,RECV,7E000F81000731024E373030372D3935344A0F
06-26-2025 20:47:43.642,30,RECV,7E000F81000632024E363030372D30334B53FB
06-26-2025 20:47:43.642,31,RECV,7E000F8100082F024E383030372D39384357F0
06-26-2025 20:47:43.830,32,RECV,7E000F8100052D024E353030382D47594E31E3
06-26-2025 20:47:43.833,33,RECV,7E000F81000731024E373030382D33324650FF
06-26-2025 20:47:43.833,34,RECV,7E000F81000632024E363030382D414F4B44DC
06-26-2025 20:47:43.833,35,RECV,7E000F81000830024E383030382D30483357F7
06-26-2025 20:47:44.030,36,RECV,7E000F8100052D024E353030392D434F4448E3
06-26-2025 20:47:44.030,37,RECV,7E000F81000731024E373030392D4835524FDB
06-26-2025 20:47:44.030,38,RECV,7E000F81000632024E363030392D44573244E9
06-26-2025 20:47:44.040,39,RECV,7E000F81000830024E383030392D50453742EA
06-26-2025 20:47:44.230,40,RECV,7E000F8100052D024E353031302D335A4551E6
06-26-2025 20:47:44.230,41,RECV,7E000F81000731024E373031302D3732513116
06-26-2025 20:47:44.230,42,RECV,7E000F81000632024E363031302D3035323239
