05-04-2025 19:20:56.677,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:06:39.871,0,RECV,7E000F8100001A024E343030302D393634443C
05-04-2025 19:06:39.872,1,RECV,7E000F8100001A024E343030312D4E43594EEA
05-04-2025 19:06:39.879,2,RECV,7E000F8100001A024E343030322D474A5556E5
05-04-2025 19:06:39.921,3,RECV,7E000F8100001A024E343030332D34564B3318
05-04-2025 19:06:39.923,4,RECV,7E000F8100001A024E343030342D333756451A
05-04-2025 19:06:39.923,5,RECV,7E000F8100001A024E343030352D45334E5206
05-04-2025 19:06:39.924,6,RECV,7E000F8100001B024E343030362D59495531F4
05-04-2025 19:06:40.021,7,RECV,7E000F8100001A024E343030372D57324C54F3
05-04-2025 19:06:40.031,8,RECV,7E000F8100001B024E343030382D5848443600
05-04-2025 19:06:40.031,9,RECV,7E000F8100001B024E343030392D453738491C
05-04-2025 19:06:40.031,10,RECV,7E000F8100001A024E343031302D4243335416
05-04-2025 19:06:40.031,11,RECV,7E000F8100001A024E343031312D48345A4308
05-04-2025 19:06:40.043,12,RECV,7E000F8100001B024E343031322D3746365616
05-04-2025 19:06:40.043,13,RECV,7E000F8100001B024E343031332D43544345FF
05-04-2025 19:06:40.043,14,RECV,7E000F8100001B024E343031342D5439315609
05-04-2025 19:06:40.043,15,RECV,7E000F8100001B024E343031352D41574351F0
05-04-2025 19:06:40.043,16,RECV,7E000F8100001B024E343031362D3834593422
05-04-2025 19:06:40.043,17,RECV,7E000F8100001A024E343031372D4638454D0B
05-04-2025 19:06:40.043,18,RECV,7E000F8100001A024E343031382D5144474EF0
05-04-2025 19:06:40.043,19,RECV,7E000F8100001A024E343031392D36504D390D
05-04-2025 19:06:40.043,20,RECV,7E000F8100001A024E343032302D3431524129
05-04-2025 19:06:40.043,21,RECV,7E000F8100001A024E343032312D513948321C
05-04-2025 19:06:40.043,22,RECV,7E000F8100001B024E343032322D594D4941EE
05-04-2025 19:06:40.043,23,RECV,7E000F8100001A024E343032332D484F314412
05-04-2025 19:06:40.043,24,RECV,7E000F8100001A024E343032342D4C4D564BE3
05-04-2025 19:06:40.122,25,RECV,7E000F8100001A024E343032352D5648313716
05-04-2025 19:06:40.122,26,RECV,7E000F8100001A024E343032362D3746495401
05-04-2025 19:06:40.122,27,RECV,7E000F8100001A024E343032372D5752344AF3
05-04-2025 19:06:40.122,28,RECV,7E000F8100001A024E343032382D493344487D31
05-04-2025 19:06:40.122,29,RECV,7E000F8100001A024E343032392D4C344C4804
05-04-2025 19:06:40.123,30,RECV,7E000F8100001A024E343033302D394444441B
05-04-2025 19:06:40.123,31,RECV,7E000F8100001A024E343033312D5037323135
05-04-2025 19:06:40.123,32,RECV,7E000F8100001A024E343033322D523239507D31
05-04-2025 19:06:40.123,33,RECV,7E000F8100001A024E343033332D3033444D29
05-04-2025 19:06:40.123,34,RECV,7E000F8100001A024E343033342D315330577D31
05-04-2025 19:06:40.123,35,RECV,7E000F8100001A024E343033352D5833454605
05-04-2025 19:06:40.123,36,RECV,7E000F8100001A024E343033362D48495A55DA
05-04-2025 19:06:40.124,37,RECV,7E000F8100001A024E343033372D454F38410C
05-04-2025 19:06:40.124,38,RECV,7E000F8100001A024E343033382D3352543906
05-04-2025 19:06:40.124,39,RECV,7E000F8100001A024E343033392D59455934EC
05-04-2025 19:06:40.124,40,RECV,7E000F8100001A024E343034302D5448493109
05-04-2025 19:06:40.124,41,RECV,7E000F8100001A024E343034312D58594F57C7
05-04-2025 19:06:40.124,42,RECV,7E000F8100001A024E343034322D49434A3215
05-04-2025 19:06:40.124,43,RECV,7E000F8100001A024E343034332D4B4D5559D6
05-04-2025 19:06:40.125,44,RECV,7E000F8100001A024E343034342D3755375503
05-04-2025 19:06:40.125,45,RECV,7E000F8100001A024E343034352D54445457D7
05-04-2025 19:06:40.125,46,RECV,7E000F8100001A024E343034362D3650344817
05-04-2025 19:06:40.125,47,RECV,7E000F8100001A024E343034372D48573549FB
05-04-2025 19:06:40.125,48,RECV,7E000F8100001A024E343034382D5038463118
05-04-2025 19:06:40.125,49,RECV,7E000F8100001A024E343034392D52304D367D31
05-04-2025 19:06:40.227,50,RECV,7E000F8100001A024E343035302D48525A38F2
05-04-2025 19:06:40.236,51,RECV,7E000F8100001A024E343035312D4F5A3448F8
05-04-2025 19:06:40.236,52,RECV,7E000F8100001A024E343035322D4945394510
05-04-2025 19:06:40.236,53,RECV,7E000F8100001A024E343035332D545A4444E5
05-04-2025 19:06:40.236,54,RECV,7E000F8100001A024E343035342D30354D3236
05-04-2025 19:06:40.236,55,RECV,7E000F8100001A024E343035352D325A5655E2
05-04-2025 19:06:40.236,56,RECV,7E000F8100001A024E343035362D57525935E1
05-04-2025 19:06:40.236,57,RECV,7E000F8100001A024E343035372D33354A3134
05-04-2025 19:06:40.236,58,RECV,7E000F8100001A024E343035382D53595633E1
05-04-2025 19:06:40.236,59,RECV,7E000F8100001A024E343035392D51324754F7
05-04-2025 19:06:40.236,60,RECV,7E000F8100001A024E343036302D4948513209
05-04-2025 19:06:40.236,61,RECV,7E000F8100001A024E343036312D384B38507D31
05-04-2025 19:06:40.236,62,RECV,7E000F8100001A024E343036322D45354A4116
05-04-2025 19:06:40.237,63,RECV,7E000F8100001A024E343036332D58544C4ED4
05-04-2025 19:06:40.237,64,RECV,7E000F8100001A024E343036342D5237433419
05-04-2025 19:06:40.237,65,RECV,7E000F8100001A024E343036352D5639354E06
05-04-2025 19:06:40.237,66,RECV,7E000F8100001A024E343036362D54374754F1
05-04-2025 19:06:40.237,67,RECV,7E000F8100001A024E343036372D474E4B56E0
05-04-2025 19:06:40.237,68,RECV,7E000F8100001A024E343036382D55494536FC
05-04-2025 19:06:40.237,69,RECV,7E000F8100001A024E343036392D4D304B3616
05-04-2025 19:06:40.237,70,RECV,7E000F8100001A024E343037302D4E574B58D4
05-04-2025 19:06:40.237,71,RECV,7E000F8100001A024E343037312D4C355654F0
05-04-2025 19:06:40.372,72,RECV,7E000F8100001A024E343037322D3250385709
05-04-2025 19:06:40.401,73,RECV,7E000F8100001A024E343037332D475833347D33
05-04-2025 19:06:40.401,74,RECV,7E000F8100001A024E343037342D4746483310
05-04-2025 19:06:40.401,75,RECV,7E000F8100001A024E343037352D574C35310E
05-04-2025 19:06:40.401,76,RECV,7E000F8100001A024E343037362D35525A43F2
05-04-2025 19:06:40.401,77,RECV,7E000F8100001A024E343037372D4D5A5A30E4
05-04-2025 19:06:40.401,78,RECV,7E000F8100001A024E343037382D4F58524AD1
