05-04-2025 19:48:39.258,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:47:59.434,0,RECV,7E000F8100001B024E343030302D414D5055EF
05-04-2025 19:47:59.435,1,RECV,7E000F8100001D024E323030302D47475144FF
05-04-2025 19:47:59.436,2,RECV,7E000F8100001B024E343030312D4E554A3400
05-04-2025 19:47:59.536,3,RECV,7E000F8100001D024E323030312D4838395810
05-04-2025 19:47:59.536,4,RECV,7E000F8100001B024E343030322D51554A56DA
05-04-2025 19:47:59.536,5,RECV,7E000F8100001C024E323030322D34554C4A02
05-04-2025 19:47:59.536,6,RECV,7E000F8100001B024E343030332D464B303529
05-04-2025 19:47:59.536,7,RECV,7E000F8100001C024E323030332D42594247FC
05-04-2025 19:47:59.536,8,RECV,7E000F81000023024E333030322D4C5A504BD8
05-04-2025 19:47:59.537,9,RECV,7E000F8100001A024E343030342D4D573455F2
05-04-2025 19:47:59.537,10,RECV,7E000F81000023024E333030332D34544C350F
05-04-2025 19:47:59.537,11,RECV,7E000F8100001D024E323030352D4B33504609
05-04-2025 19:47:59.537,12,RECV,7E000F8100001B024E343030352D49573357F3
05-04-2025 19:47:59.538,13,RECV,7E000F8100001D024E323030362D3746335319
05-04-2025 19:47:59.538,14,RECV,7E000F8100001B024E343030362D4E503652F6
05-04-2025 19:47:59.538,15,RECV,7E000F8100001D024E323030372D3337394F29
05-04-2025 19:47:59.539,16,RECV,7E007D338100001B0010FFFFFFFFFFFFFFFF0000005348C0
05-04-2025 19:47:59.539,17,RECV,7E007D3181F9DF2002A6004E313030352D5549533478
05-04-2025 19:47:59.539,18,RECV,7E007D3181F9DF2002A7004E313030362D58424F367C
05-04-2025 19:47:59.539,19,RECV,7E000F8100001B024E343030382D314157430E
05-04-2025 19:47:59.539,20,RECV,7E000F8100001C024E323030392D3032503137
05-04-2025 19:47:59.539,21,RECV,7E000F8100001A024E343030392D4C5A4B46E3
05-04-2025 19:47:59.539,22,RECV,7E000F8100001A024E343031302D544E4347F6
05-04-2025 19:47:59.539,23,RECV,7E000F8100001B024E343031312D57574931F8
05-04-2025 19:47:59.539,24,RECV,7E000F8100001C024E323031312D41593655FC
05-04-2025 19:47:59.539,25,RECV,7E000F8100001B024E343031322D54304C311E
05-04-2025 19:47:59.540,26,RECV,7E007D3181F9DF2002AA004E313030392D514352337C
05-04-2025 19:47:59.540,27,RECV,7E000F8100001B024E343031332D345A425AF4
05-04-2025 19:47:59.631,28,RECV,7E000F8100001B024E343031352D4A4635490E
05-04-2025 19:47:59.672,29,RECV,7E000F8100001B024E343031362D4D395753EB
05-04-2025 19:47:59.672,30,RECV,7E000F8100001B024E343031392D4F413554FF
05-04-2025 19:47:59.672,31,RECV,7E000F81000023024E333031322D5447414FED
05-04-2025 19:47:59.672,32,RECV,7E000F8100001B024E343032302D51425551E7
05-04-2025 19:47:59.672,33,RECV,7E000F81000023024E333031332D4758484AE6
05-04-2025 19:47:59.673,34,RECV,7E000F8100001C024E323031362D4634365418
05-04-2025 19:47:59.673,35,RECV,7E000F8100001B024E343032312D464F5738FB
05-04-2025 19:47:59.673,36,RECV,7E000F81000023024E333031342D4B4A384306
05-04-2025 19:47:59.673,37,RECV,7E000F8100001B024E343032322D5238494704
05-04-2025 19:47:59.673,38,RECV,7E000F8100001B024E343032342D5555414DE4
05-04-2025 19:47:59.673,39,RECV,7E000F8100001C024E323031382D424D453016
05-04-2025 19:47:59.673,40,RECV,7E000F81000023024E333031372D4432415309
05-04-2025 19:47:59.673,41,RECV,7E000F8100001B024E343032352D525234327D31
05-04-2025 19:47:59.673,42,RECV,7E000F8100001D024E323031392D383542587D31
05-04-2025 19:47:59.673,43,RECV,7E000F8100001B024E343032362D5055574DD1
05-04-2025 19:47:59.673,44,RECV,7E000F81000023024E333031382D3444364B19
05-04-2025 19:47:59.673,45,RECV,7E000F8100001B024E343032372D534F4754DC
05-04-2025 19:47:59.673,46,RECV,7E000F8100001B024E343032382D3533314E31
05-04-2025 19:47:59.673,47,RECV,7E000F8100001E024E343032392D3942423720
05-04-2025 19:47:59.673,48,RECV,7E000F8100001B024E343033302D55474D44F2
05-04-2025 19:47:59.673,49,RECV,7E000F8100001A024E343033312D38425058FD
05-04-2025 19:47:59.673,50,RECV,7E000F8100001C024E323032312D3751564AF8
05-04-2025 19:47:59.673,51,RECV,7E000F8100001C024E343033322D59454956DF
05-04-2025 19:47:59.673,52,RECV,7E000F8100001D024E323032322D464A555ADF
