05-04-2025 19:26:56.737,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:26:20.401,0,RECV,7E007D3181F9DF1F0274004E313030302D5A50435296
05-04-2025 19:26:20.421,1,RECV,7E007D3181F9DF1F0275004E313030312D31585353A4
05-04-2025 19:26:20.422,2,RECV,7E007D3181F9DF1F0276004E313030322D38374745D6
05-04-2025 19:26:20.422,3,RECV,7E007D3181F9DF1F0277004E313030332D4B4E5032B4
05-04-2025 19:26:20.423,4,RECV,7E007D3181F9DF1F0278004E313030342D54354B45B4
05-04-2025 19:26:20.443,5,RECV,7E007D3181F9DF1F0279004E313030352D364C5552A2
05-04-2025 19:26:20.471,6,RECV,7E007D3181F9DF1F027A004E313030362D534B4538AE
05-04-2025 19:26:20.484,7,RECV,7E007D3181F9DF1F027B004E313030372D374A414FB6
05-04-2025 19:26:20.484,8,RECV,7E007D3181F9DF1F027C004E313030382D4C394B4EA7
05-04-2025 19:26:20.484,9,RECV,7E007D3181F9DF1F027D5D004E313030392D4A425138AE
05-04-2025 19:26:20.484,10,RECV,7E007D3181F9DF1F027D5E004E313031302D4E555A4E7F
05-04-2025 19:26:20.484,11,RECV,7E007D3181F9DF1F027F004E313031312D465A4F39A0
05-04-2025 19:26:20.484,12,RECV,7E007D3181F9DF1F0280004E313031322D42453944C2
05-04-2025 19:26:20.484,13,RECV,7E007D3181F9DF1F0281004E313031332D44325044BA
05-04-2025 19:26:20.505,14,RECV,7E007D3181F9DF1F0282004E313031342D30464135D6
05-04-2025 19:26:20.505,15,RECV,7E007D3181F9DF1F0283004E313031352D36533449BA
05-04-2025 19:26:20.516,16,RECV,7E007D3181F9DF1F0284004E313031362D38433253BE
05-04-2025 19:26:20.519,17,RECV,7E007D3181F9DF1F0285004E313031372D4F433133C6
05-04-2025 19:26:20.536,18,RECV,7E007D3181F9DF1F0286004E313031382D374B54578D
05-04-2025 19:26:20.537,19,RECV,7E007D3181F9DF1F0287004E313031392D59393135C0
05-04-2025 19:26:20.537,20,RECV,7E007D3181F9DF1F0288004E313032302D56344739B5
05-04-2025 19:26:20.551,21,RECV,7E007D3181F9DF1F0289004E313032312D523658429B
05-04-2025 19:26:20.633,22,RECV,7E007D3181F9DF1F028A004E313032322D4B4D5A4386
05-04-2025 19:26:20.652,23,RECV,7E007D3181F9DF1F028B004E313032332D494C4E35A1
05-04-2025 19:26:20.652,24,RECV,7E007D3181F9DF1F028C004E313032342D5833455790
05-04-2025 19:26:20.652,25,RECV,7E007D3181F9DF1F028D004E313032352D484F544A80
05-04-2025 19:26:20.653,26,RECV,7E007D3181F9DF1F028E004E313032362D4B513638A9
05-04-2025 19:26:20.653,27,RECV,7E007D3181F9DF1F028F004E313032372D5559585A51
05-04-2025 19:26:20.653,28,RECV,7E007D3181F9DF1F0290004E313032382D414F4D458D
05-04-2025 19:26:20.653,29,RECV,7E007D3181F9DF1F0291004E313032392D59344B399C
05-04-2025 19:26:20.653,30,RECV,7E007D3181F9DF1F0292004E313033302D324A3144C3
05-04-2025 19:26:20.653,31,RECV,7E007D3181F9DF1F0293004E313033312D47343647BA
05-04-2025 19:26:20.653,32,RECV,7E007D3181F9DF1F0294004E313033322D4539475497
05-04-2025 19:26:20.653,33,RECV,7E007D3181F9DF1F0295004E313033332D49554D4C77
05-04-2025 19:26:20.653,34,RECV,7E007D3181F9DF1F0296004E313033342D5848325981
05-04-2025 19:26:20.653,35,RECV,7E007D3181F9DF1F0297004E313033352D4D5459327D5E
05-04-2025 19:26:20.653,36,RECV,7E007D3181F9DF1F0298004E313033362D59314B498A
05-04-2025 19:26:20.653,37,RECV,7E007D3181F9DF1F0299004E313033372D4D41475180
05-04-2025 19:26:20.701,38,RECV,7E007D3181F9DF1F029A004E313033382D31323941C7
05-04-2025 19:26:20.702,39,RECV,7E007D3181F9DF1F029B004E313033392D5755514E57
05-04-2025 19:26:20.702,40,RECV,7E007D3181F9DF1F029C004E313034302D5551353698
05-04-2025 19:26:20.702,41,RECV,7E007D3181F9DF1F029D004E313034312D47514A4283
05-04-2025 19:26:20.702,42,RECV,7E007D3181F9DF1F029E004E313034322D504E57357B
05-04-2025 19:26:20.702,43,RECV,7E007D3181F9DF1F029F004E313034332D48334E36A4
05-04-2025 19:26:20.702,44,RECV,7E007D3181F9DF1F02A0004E313034342D42584A437A
05-04-2025 19:26:20.702,45,RECV,7E007D3181F9DF1F02A1004E313034352D4B594C317D5E
05-04-2025 19:26:20.756,46,RECV,7E007D3181F9DF1F02A2004E313034362D59364F318E
05-04-2025 19:26:20.809,47,RECV,7E007D3181F9DF1F02A3004E313034372D4A5059396F
05-04-2025 19:26:20.809,48,RECV,7E007D3181F9DF1F02A4004E313034382D4A34504586
05-04-2025 19:26:20.810,49,RECV,7E007D3181F9DF1F02A5004E313034392D354F434B85
05-04-2025 19:26:20.810,50,RECV,7E007D3181F9DF1F02A6004E313035302D48374B577D5D
05-04-2025 19:26:20.810,51,RECV,7E007D3181F9DF1F02A7004E313035312D4E4951476D
05-04-2025 19:26:20.810,52,RECV,7E007D3181F9DF1F02A8004E313035322D55514B4A5F
05-04-2025 19:26:20.810,53,RECV,7E007D3181F9DF1F02A9004E313035332D4C43414C7C
05-04-2025 19:26:20.810,54,RECV,7E007D3181F9DF1F02AA004E313035342D36513536A4
05-04-2025 19:26:20.810,55,RECV,7E007D3181F9DF1F02AB004E313035352D3150575963
05-04-2025 19:26:20.810,56,RECV,7E007D3181F9DF1F02AC004E313035362D5939434B72
05-04-2025 19:26:20.811,57,RECV,7E007D3181F9DF1F02AD004E313035372D564337566A
05-04-2025 19:26:20.852,58,RECV,7E007D3181F9DF1F02AE004E313035382D34475A3782
05-04-2025 19:26:20.852,59,RECV,7E007D3181F9DF1F02AF004E313035392D5A49573161
05-04-2025 19:26:20.852,60,RECV,7E007D3181F9DF1F02B0004E313036302D344639449C
05-04-2025 19:26:20.852,61,RECV,7E007D3181F9DF1F02B1004E313036312D445554584C
05-04-2025 19:26:20.852,62,RECV,7E007D3181F9DF1F02B2004E313036322D334448369A
05-04-2025 19:26:20.902,63,RECV,7E007D3181F9DF1F02B3004E313036332D5A4E455749
05-04-2025 19:26:20.903,64,RECV,7E007D3181F9DF1F02B4004E313036342D3359334983
05-04-2025 19:26:20.903,65,RECV,7E007D3181F9DF1F02B5004E313036352D4754564E4A
05-04-2025 19:26:20.903,66,RECV,7E007D3181F9DF1F02B6004E313036362D5937423580
05-04-2025 19:26:20.903,67,RECV,7E007D3181F9DF1F02B7004E313036372D3852423089
05-04-2025 19:26:20.903,68,RECV,7E007D3181F9DF1F02B8004E313036382D50434E574B
05-04-2025 19:26:20.904,69,RECV,7E007D3181F9DF1F02B9004E313036392D5056584F34
05-04-2025 19:26:20.904,70,RECV,7E007D3181F9DF1F02BA004E313037302D345145328C
05-04-2025 19:26:20.914,71,RECV,7E007D3181F9DF1F02BB004E313037312D4450505A48
05-04-2025 19:26:20.968,72,RECV,7E007D3181F9DF1F02BC004E313037322D4931575360
05-04-2025 19:26:20.969,73,RECV,7E007D3181F9DF1F02BD004E313037332D555057384E
05-04-2025 19:26:20.969,74,RECV,7E007D3181F9DF1F02BE004E313037342D5835363489
05-04-2025 19:26:20.969,75,RECV,7E007D3181F9DF1F02BF004E313037352D5153515039
05-04-2025 19:26:20.969,76,RECV,7E007D3181F9DF1F02C0004E313037362D3135503393
05-04-2025 19:26:21.002,77,RECV,7E007D3181F9DF1F02C1004E313037372D534634337A
05-04-2025 19:26:21.002,78,RECV,7E007D3181F9DF1F02C2004E313037382D354E31467D5E
05-04-2025 19:26:21.003,79,RECV,7E007D3181F9DF1F02C3004E313037392D4A5946523B
05-04-2025 19:26:21.003,80,RECV,7E007D3181F9DF1F02C4004E313038302D4B5348593E
05-04-2025 19:26:21.013,81,RECV,7E007D3181F9DF1F02C5004E313038312D5554585129
05-04-2025 19:26:21.014,82,RECV,7E007D3181F9DF1F02C6004E313038322D473843486F
05-04-2025 19:26:21.014,83,RECV,7E007D3181F9DF1F02C7004E313038332D4246364376
05-04-2025 19:26:21.014,84,RECV,7E007D3181F9DF1F02C8004E313038342D514B39554B
05-04-2025 19:26:21.014,85,RECV,7E007D3181F9DF1F02C9004E313038352D3235325585
05-04-2025 19:26:21.014,86,RECV,7E007D3181F9DF1F02CA004E313038362D58495A383E
05-04-2025 19:26:21.053,87,RECV,7E007D3181F9DF1F02CB004E313038372D304B494D5E
05-04-2025 19:26:21.053,88,RECV,7E007D3181F9DF1F02CC004E313038382D4C534B443F
05-04-2025 19:26:21.053,89,RECV,7E007D3181F9DF1F02CD004E313038392D4D34584250
05-04-2025 19:26:21.054,90,RECV,7E007D3181F9DF1F02CE004E313039302D34494F3076
05-04-2025 19:26:21.114,91,RECV,7E007D3181F9DF1F02CF004E313039312D4546563758
05-04-2025 19:26:21.121,92,RECV,7E007D3181F9DF1F02D0004E313039322D4F44324861
05-04-2025 19:26:21.121,93,RECV,7E007D3181F9DF1F02D1004E313039332D385A325355
05-04-2025 19:26:21.121,94,RECV,7E007D3181F9DF1F02D2004E313039342D314746505C
05-04-2025 19:26:21.121,95,RECV,7E007D3181F9DF1F02D3004E313039352D5950514529
05-04-2025 19:26:21.122,96,RECV,7E007D3181F9DF1F02D4004E313039362D503145415F
05-04-2025 19:26:21.122,97,RECV,7E007D3181F9DF1F02D5004E313039372D4E5038414D
05-04-2025 19:26:21.122,98,RECV,7E007D3181F9DF1F02D6004E313039382D4747375845
05-04-2025 19:26:21.122,99,RECV,7E007D3181F9DF1F02D7004E313039392D534B41463B
