05-04-2025 19:51:09.044,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:50:40.147,0,RECV,7E000F8100001B024E343030302D5444383121
05-04-2025 19:50:40.147,1,RECV,7E000F8100001D024E323030302D49565050E3
05-04-2025 19:50:40.148,2,RECV,7E000F8100001C024E323030312D37334D501B
05-04-2025 19:50:40.149,3,RECV,7E000F8100001C024E343030312D313032315C
05-04-2025 19:50:40.149,4,RECV,7E000F8100001C024E323030322D4B4C364C08
05-04-2025 19:50:40.149,5,RECV,7E007D3181F9DF2002D1004E313030332D564337366E
05-04-2025 19:50:40.149,6,RECV,7E000F8100001D024E323030332D42345A51FE
05-04-2025 19:50:40.149,7,RECV,7E007D3181F9DF2002D2004E313030342D524B5A4F2C
05-04-2025 19:50:40.149,8,RECV,7E000F8100001D024E323030342D454248351A
05-04-2025 19:50:40.149,9,RECV,7E000F8100001C024E343030322D4651324D09
05-04-2025 19:50:40.149,10,RECV,7E000F81000023024E333030342D41374A4E07
05-04-2025 19:50:40.149,11,RECV,7E007D338100001D0010FFFFFFFFFFFFFFFF0000005348BE
05-04-2025 19:50:40.150,12,RECV,7E000F8100001D024E323030372D4353413212
05-04-2025 19:50:40.150,13,RECV,7E000F8100001C024E343030342D49314F59FB
05-04-2025 19:50:40.150,14,RECV,7E007D3181F9DF2002D5004E313030372D59414A5038
05-04-2025 19:50:40.150,15,RECV,7E000F8100001D024E323030392D3556464404
05-04-2025 19:50:40.150,16,RECV,7E000F81000023024E333030362D5A424239FE
05-04-2025 19:50:40.150,17,RECV,7E000F8100001C024E343030352D5034534302
05-04-2025 19:50:40.150,18,RECV,7E000F8100001D024E323031302D5A59383105
05-04-2025 19:50:40.150,19,RECV,7E007D3181F9DF2002D6004E313030382D413534328E
05-04-2025 19:50:40.150,20,RECV,7E000F8100001C024E343030362D5A435A33F1
05-04-2025 19:50:40.150,21,RECV,7E007D3181F9DF2002D7004E313030392D3150363180
05-04-2025 19:50:40.150,22,RECV,7E000F8100001C024E343030372D4B31544901
05-04-2025 19:50:40.150,23,RECV,7E007D3181F9DF2002D8004E313031302D304A47446A
05-04-2025 19:50:40.221,24,RECV,7E000F81000023024E333030372D4A3253380D
05-04-2025 19:50:40.222,25,RECV,7E000F8100001C024E343030382D3345413030
05-04-2025 19:50:40.222,26,RECV,7E007D3181F9DF1F02D9004E313031312D4F55313960
05-04-2025 19:50:40.222,27,RECV,7E000F8100001C024E323031312D514A4852EC
05-04-2025 19:50:40.222,28,RECV,7E000F8100001C024E343030392D3359533603
05-04-2025 19:50:40.223,29,RECV,7E000F8100001C024E323031322D5941424EF6
05-04-2025 19:50:40.223,30,RECV,7E000F8100001C024E343031302D4A54374FFC
05-04-2025 19:50:40.223,31,RECV,7E000F8100001D024E323031332D50594537F9
05-04-2025 19:50:40.223,32,RECV,7E000F8100001C024E343031312D573543430D
05-04-2025 19:50:40.225,33,RECV,7E000F81000023024E333030392D58573753D9
05-04-2025 19:50:40.225,34,RECV,7E000F8100001D024E323031342D4E35554401
05-04-2025 19:50:40.225,35,RECV,7E000F81000023024E333031302D303944422B
05-04-2025 19:50:40.226,36,RECV,7E000F8100001C024E343031322D56325249FB
05-04-2025 19:50:40.226,37,RECV,7E000F8100001C024E343031332D303444591C
05-04-2025 19:50:40.226,38,RECV,7E000F8100001D024E323031352D52504C59D5
05-04-2025 19:50:40.226,39,RECV,7E007D3181F9DF2002DF004E313031372D4D4233316E
05-04-2025 19:50:40.226,40,RECV,7E000F8100001A024E343031342D4D30304E23
05-04-2025 19:50:40.226,41,RECV,7E000F8100001B024E343031362D424F4253F5
05-04-2025 19:50:40.226,42,RECV,7E000F81000023024E333031322D4F434F47F0
05-04-2025 19:50:40.226,43,RECV,7E007D3181F9DF2002E1004E313031392D5544354748
05-04-2025 19:50:40.226,44,RECV,7E000F8100001D024E323031392D5642394304
05-04-2025 19:50:40.226,45,RECV,7E007D3181F9DF2002E2004E313032302D4E4B38444F
05-04-2025 19:50:40.226,46,RECV,7E000F8100001C024E323032322D414F454505
05-04-2025 19:50:40.226,47,RECV,7E000F81000023024E333031362D544E5948D1
05-04-2025 19:50:40.226,48,RECV,7E000F8100001C024E343031392D4D454559E7
05-04-2025 19:50:40.226,49,RECV,7E000F81000023024E333031372D4F33554AF2
05-04-2025 19:50:40.314,50,RECV,7E000F81000023024E333031382D4A44384B01
05-04-2025 19:50:40.315,51,RECV,7E000F8100001C024E323032352D3336595208
05-04-2025 19:50:40.315,52,RECV,7E000F8100001C024E343032312D4A36325616
05-04-2025 19:50:40.315,53,RECV,7E000F8100001D024E323032362D49585954CC
05-04-2025 19:50:40.316,54,RECV,7E000F8100001C024E343032322D513434481C
05-04-2025 19:50:40.316,55,RECV,7E000F8100001D024E323032372D5A535243D7
05-04-2025 19:50:40.316,56,RECV,7E000F8100001C024E343032332D4631483528
05-04-2025 19:50:40.316,57,RECV,7E007D3181F9DF2002E5004E313032332D433742534F
05-04-2025 19:50:40.316,58,RECV,7E000F8100001D024E323032382D4843454BFD
05-04-2025 19:50:40.316,59,RECV,7E000F8100001E024E343032342D4E563952EA
05-04-2025 19:50:40.317,60,RECV,7E000F8100001D024E323033322D535A4534F7
05-04-2025 19:50:40.317,61,RECV,7E000F8100001C024E343032382D57444E45E9
05-04-2025 19:50:40.389,62,RECV,7E000F8100001C024E323033332D544F5A33ED
05-04-2025 19:50:40.389,63,RECV,7E000F8100001B024E343032392D4A42514FEB
05-04-2025 19:50:40.389,64,RECV,7E007D3181F9DF1F02E8004E313032362D423054454E
05-04-2025 19:50:40.389,65,RECV,7E000F8100001B024E343033302D3045574D06
05-04-2025 19:50:40.389,66,RECV,7E000F8100001D024E323033342D315456340C
05-04-2025 19:50:40.389,67,RECV,7E000F81000023024E333032362D4A394E4DF5
05-04-2025 19:50:40.389,68,RECV,7E000F8100001B024E343033312D3441384B26
05-04-2025 19:50:40.389,69,RECV,7E007D3181F9DF2002E9004E313032372D4734464D48
05-04-2025 19:50:40.389,70,RECV,7E000F8100001B024E343033332D574531450A
05-04-2025 19:50:40.389,71,RECV,7E000F8100001D024E323033362D5939424104
05-04-2025 19:50:40.389,72,RECV,7E000F8100001B024E343033342D54515853CB
05-04-2025 19:50:40.389,73,RECV,7E000F8100001C024E323033372D4655433803
05-04-2025 19:50:40.389,74,RECV,7E000F81000023024E333032372D36384B3425
05-04-2025 19:50:40.390,75,RECV,7E000F8100001A024E343033352D36564956F0
05-04-2025 19:50:40.397,76,RECV,7E000F8100001D024E323033382D4C434A56E8
05-04-2025 19:50:40.397,77,RECV,7E000F81000023024E333032382D53314A380B
05-04-2025 19:50:40.397,78,RECV,7E000F8100001B024E343033362D4A53433603
05-04-2025 19:50:40.397,79,RECV,7E000F81000023024E333032392D424B31381A
05-04-2025 19:50:40.398,80,RECV,7E000F8100001A024E343033372D4831493324
05-04-2025 19:50:40.398,81,RECV,7E000F81000023024E333033302D4D475247EB
05-04-2025 19:50:40.398,82,RECV,7E000F8100001B024E343033382D5A5A5447C8
05-04-2025 19:50:40.398,83,RECV,7E000F8100001B024E343033392D58324B42FF
05-04-2025 19:50:40.398,84,RECV,7E000F8100001D024E323034322D4E30594FF6
05-04-2025 19:50:40.398,85,RECV,7E000F81000026024E343034302D5A45565AC4
05-04-2025 19:50:40.398,86,RECV,7E000F8100001D024E323034332D444131580D
05-04-2025 19:50:40.398,87,RECV,7E000F8100001B024E343034312D4D585930EF
05-04-2025 19:50:40.398,88,RECV,7E000F8100001D024E323034342D49524958DE
05-04-2025 19:50:40.398,89,RECV,7E000F8100001B024E343034322D5644314C05
05-04-2025 19:50:40.398,90,RECV,7E000F81000023024E333033352D595A4256C8
05-04-2025 19:50:40.398,91,RECV,7E000F8100001B024E343034332D57415356DA
05-04-2025 19:50:40.398,92,RECV,7E000F8100001D024E323034362D4C465646EA
05-04-2025 19:50:40.398,93,RECV,7E000F8100001B024E343034342D46544750E9
05-04-2025 19:50:40.398,94,RECV,7E000F81000023024E333033362D4E374E43FC
05-04-2025 19:50:40.398,95,RECV,7E000F8100001B024E343034352D4B4E4353EA
05-04-2025 19:50:40.398,96,RECV,7E000F81000023024E333033372D41315451FA
05-04-2025 19:50:40.398,97,RECV,7E000F8100001A024E343034362D51434B50EA
05-04-2025 19:50:40.398,98,RECV,7E000F81000023024E333033382D4F543042FB
05-04-2025 19:50:40.398,99,RECV,7E000F8100001B024E343034372D493050311D
05-04-2025 19:50:40.399,100,RECV,7E007D3181F9DF2002F1004E313033352D3936453863
05-04-2025 19:50:40.499,101,RECV,7E000F81000023024E333033392D43395751EB
05-04-2025 19:50:40.514,102,RECV,7E000F8100001B024E343034382D5948514CD8
05-04-2025 19:50:40.514,103,RECV,7E007D3181F9DF1F02F2004E313033362D53464B4426
05-04-2025 19:50:40.514,104,RECV,7E000F8100001B024E343034392D3050574EF0
05-04-2025 19:50:40.514,105,RECV,7E000F8100001D024E323034392D54343559FF
05-04-2025 19:50:40.515,106,RECV,7E007D3181F9DF2002F3004E313033372D475A314D2C
05-04-2025 19:50:40.515,107,RECV,7E007D3181F9DF1F02F4004E313033382D5045514222
05-04-2025 19:50:40.515,108,RECV,7E000F8100001A024E343035312D35444A5901
05-04-2025 19:50:40.515,109,RECV,7E000F8100001B024E343035322D52435959D4
05-04-2025 19:50:40.515,110,RECV,7E000F81000023024E333034342D444D42310F
05-04-2025 19:50:40.515,111,RECV,7E000F81000023024E333034352D4139434114
05-04-2025 19:50:40.515,112,RECV,7E007D3181F9DF2002F5004E313033392D344B525620
05-04-2025 19:50:40.515,113,RECV,7E000F8100001D024E323035322D4B31583215
05-04-2025 19:50:40.515,114,RECV,7E000F8100001D024E323035332D4E3450390F
05-04-2025 19:50:40.515,115,RECV,7E000F81000023024E333034382D4E394946F9
05-04-2025 19:50:40.518,116,RECV,7E000F8100001B024E343035382D56374D3407
05-04-2025 19:50:40.518,117,RECV,7E000F8100001D024E323035372D4D3238540B
05-04-2025 19:50:40.518,118,RECV,7E000F8100001B024E343035392D3944415006
05-04-2025 19:50:40.518,119,RECV,7E000F81000023024E333035312D353745560E
05-04-2025 19:50:40.518,120,RECV,7E000F8100001B024E343036302D4D3633590D
05-04-2025 19:50:40.518,121,RECV,7E000F8100001C024E343036312D4D504F58D6
05-04-2025 19:50:40.518,122,RECV,7E000F8100001D024E323035392D5554363401
05-04-2025 19:50:40.518,123,RECV,7E000F8100001C024E343036322D56563155E7
05-04-2025 19:50:40.518,124,RECV,7E000F8100001B024E343036332D3232413440
05-04-2025 19:50:40.518,125,RECV,7E000F8100001C024E343036342D42485747EF
05-04-2025 19:50:40.518,126,RECV,7E000F8100001B024E343036352D5338484EF6
05-04-2025 19:50:40.604,127,RECV,7E007D3181F9DF2002FE004E313034382D4D54365314
05-04-2025 19:50:40.604,128,RECV,7E000F8100001C024E343036372D30555353E9
05-04-2025 19:50:40.604,129,RECV,7E000F81000023024E333035382D59433941F8
05-04-2025 19:50:40.604,130,RECV,7E000F8100001B024E343036382D4F4D4F52D7
05-04-2025 19:50:40.605,131,RECV,7E000F8100001C024E343036392D4C42384EFE
05-04-2025 19:50:40.605,132,RECV,7E000F8100001D024E323036322D36524456F8
05-04-2025 19:50:40.605,133,RECV,7E000F8100001D024E323036332D314F313731
05-04-2025 19:50:40.605,134,RECV,7E000F8100001B024E343037312D5A454E4BE2
05-04-2025 19:50:40.605,135,RECV,7E007D3181F9DF200203004E313035322D3751474D22
05-04-2025 19:50:40.605,136,RECV,7E000F81000023024E333036342D59344B3900
05-04-2025 19:50:40.605,137,RECV,7E007D3181F9DF200204004E313035332D3934465336
05-04-2025 19:50:40.605,138,RECV,7E000F8100001D024E323036352D49574F47E1
05-04-2025 19:50:40.605,139,RECV,7E000F8100001D024E323036362D443938520F
05-04-2025 19:50:40.605,140,RECV,7E000F81000023024E333036362D54563248EB
05-04-2025 19:50:40.605,141,RECV,7E007D3181F9DF1F0205004E313035342D4557325914
05-04-2025 19:50:40.605,142,RECV,7E000F8100001B024E343037352D434C5055E2
05-04-2025 19:50:40.605,143,RECV,7E000F81000023024E333036382D47515549D7
05-04-2025 19:50:40.605,144,RECV,7E000F8100001B024E343037362D584C3555E7
05-04-2025 19:50:40.605,145,RECV,7E000F8100001B024E343037372D3454464BFB
05-04-2025 19:50:40.605,146,RECV,7E007D3181F9DF200206004E313035352D4E3238522E
05-04-2025 19:50:40.605,147,RECV,7E000F8100001B024E343037382D43584D5AD1
05-04-2025 19:50:40.605,148,RECV,7E000F8100001C024E343037392D52504B51D3
05-04-2025 19:50:40.605,149,RECV,7E000F8100001C024E343038302D45554858DF
05-04-2025 19:50:40.605,150,RECV,7E000F8100001B024E343038312D3849564EF4
05-04-2025 19:50:40.605,151,RECV,7E000F8100001C024E343038322D3532573722
05-04-2025 19:50:40.695,152,RECV,7E000F8100001D024E323037312D58524242EC
05-04-2025 19:50:40.705,153,RECV,7E000F8100001B024E343038332D4557383112
05-04-2025 19:50:40.705,154,RECV,7E000F81000023024E333037352D365A4546F4
05-04-2025 19:50:40.705,155,RECV,7E000F8100001A024E343038342D4E59384CEC
05-04-2025 19:50:40.705,156,RECV,7E000F8100001B024E343038352D50594737EE
05-04-2025 19:50:40.705,157,RECV,7E000F8100001C024E343038362D3235535900
05-04-2025 19:50:40.705,158,RECV,7E007D3181F9DF20020E004E313036332D4857423917
05-04-2025 19:50:40.705,159,RECV,7E000F8100001B024E343039332D495633390B
05-04-2025 19:50:40.705,160,RECV,7E000F8100001A024E343039352D384C34302D
05-04-2025 19:50:40.705,161,RECV,7E007D3181F9DF200212004E313036372D4F484755F6
05-04-2025 19:50:40.705,162,RECV,7E000F8100001C024E343039362D363533383C
05-04-2025 19:50:40.705,163,RECV,7E000F8100001C024E323038352D4554354DFB
05-04-2025 19:50:40.705,164,RECV,7E000F8100001B024E343039372D5247484BE6
05-04-2025 19:50:40.705,165,RECV,7E000F8100001D024E323038362D484C4B3500
