05-04-2025 19:29:02.694,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:28:20.622,0,RECV,7E000F8100001C024E323030302D4538374629
05-04-2025 19:28:20.622,1,RECV,7E000F8100001C024E323030312D5A4A4644F4
05-04-2025 19:28:20.623,2,RECV,7E000F8100001C024E323030322D504935341F
05-04-2025 19:28:20.624,3,RECV,7E000F8100001C024E323030332D49535A55D5
05-04-2025 19:28:20.624,4,RECV,7E000F8100001C024E323030342D444444361D
05-04-2025 19:28:20.624,5,RECV,7E000F8100001C024E323030352D374A565AED
05-04-2025 19:28:20.625,6,RECV,7E000F8100001C024E323030362D4F50304707
05-04-2025 19:28:20.625,7,RECV,7E000F8100001C024E323030372D5232333530
05-04-2025 19:28:20.625,8,RECV,7E000F8100001C024E323030382D35334C4720
05-04-2025 19:28:20.625,9,RECV,7E000F8100001C024E323030392D535A5A49CA
05-04-2025 19:28:20.625,10,RECV,7E000F8100001C024E323031302D3939464228
05-04-2025 19:28:20.644,11,RECV,7E000F8100001C024E323031312D574E3552F5
05-04-2025 19:28:20.644,12,RECV,7E000F8100001C024E323031322D4B34424718
05-04-2025 19:28:20.661,13,RECV,7E000F8100001C024E323031332D41334E4C7D31
05-04-2025 19:28:20.701,14,RECV,7E000F8100001C024E323031342D534E41320A
05-04-2025 19:28:20.702,15,RECV,7E000F8100001C024E323031352D5A5A3351E5
05-04-2025 19:28:20.711,16,RECV,7E000F8100001C024E323031362D36424E3224
05-04-2025 19:28:20.711,17,RECV,7E000F8100001C024E323031372D494F35440A
05-04-2025 19:28:20.712,18,RECV,7E000F8100001C024E323031382D4743374712
05-04-2025 19:28:20.712,19,RECV,7E000F8100001C024E323031392D445031490B
05-04-2025 19:28:20.712,20,RECV,7E000F8100001C024E323032302D4F515554D8
05-04-2025 19:28:20.712,21,RECV,7E000F8100001D024E323032312D43384B3425
05-04-2025 19:28:20.713,22,RECV,7E000F8100001C024E323032322D42414D4D02
05-04-2025 19:28:20.713,23,RECV,7E000F8100001C024E323032332D3958304C7D31
05-04-2025 19:28:20.713,24,RECV,7E000F8100001D024E323032342D4D324E4609
05-04-2025 19:28:20.713,25,RECV,7E000F8100001D024E323032352D554C4F4DDE
05-04-2025 19:28:20.716,26,RECV,7E000F8100001D024E323032362D4854324507
