05-04-2025 19:39:16.407,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:38:37.551,0,RECV,7E000F8100001B024E343030302D44355A55FA
05-04-2025 19:38:37.556,1,RECV,7E000F8100001C024E323030302D464C4A4EF9
05-04-2025 19:38:37.557,2,RECV,7E000F8100001A024E343030312D58324A4509
05-04-2025 19:38:37.557,3,RECV,7E000F8100001A024E343030322D535936350A
05-04-2025 19:38:37.557,4,RECV,7E000F8100001B024E343030332D59495848DD
05-04-2025 19:38:37.557,5,RECV,7E000F8100001C024E323030332D37494D5AF9
05-04-2025 19:38:37.557,6,RECV,7E000F8100001B024E343030342D53394257F9
05-04-2025 19:38:37.557,7,RECV,7E000F8100001B024E343030352D4959334503
05-04-2025 19:38:37.558,8,RECV,7E000F8100001B024E343030362D48304E5006
05-04-2025 19:38:37.558,9,RECV,7E000F8100001C024E323030362D585A4B4BD5
05-04-2025 19:38:37.558,10,RECV,7E000F8100001B024E343030372D53585643D7
05-04-2025 19:38:37.558,11,RECV,7E000F8100001C024E323030372D3935495312
05-04-2025 19:38:37.558,12,RECV,7E000F8100001B024E343030392D57545834E2
05-04-2025 19:38:37.558,13,RECV,7E000F8100001B024E343031302D344B573912
05-04-2025 19:38:37.558,14,RECV,7E000F8100001B024E343031312D4C4E4A44F8
05-04-2025 19:38:37.558,15,RECV,7E000F8100001C024E323031312D5A55454DE0
05-04-2025 19:38:37.558,16,RECV,7E000F8100001A024E343031322D32534859FA
05-04-2025 19:38:37.558,17,RECV,7E000F8100001B024E343031332D314F30501E
05-04-2025 19:38:37.558,18,RECV,7E000F8100001D024E323031332D454D433118
05-04-2025 19:38:37.558,19,RECV,7E000F8100001B024E343031352D32415A4F00
05-04-2025 19:38:37.558,20,RECV,7E007D3181F9DF1F0245004E313030382D54584238D6
05-04-2025 19:38:37.558,21,RECV,7E000F8100001A024E343031362D41414C3519
05-04-2025 19:38:37.558,22,RECV,7E000F8100001A024E343031372D47544243FB
05-04-2025 19:38:37.558,23,RECV,7E000F8100001B024E343031382D53345559E4
05-04-2025 19:38:37.558,24,RECV,7E000F8100001B024E343031392D5746584BD8
05-04-2025 19:38:37.596,25,RECV,7E007D3181F9DF1F0246004E313030392D4F464B39E1
05-04-2025 19:38:37.598,26,RECV,7E000F8100001D024E323031372D4F41454FF6
05-04-2025 19:38:37.599,27,RECV,7E000F8100001B024E343032302D5834594FEC
05-04-2025 19:38:37.599,28,RECV,7E007D3181F9DF1F0247004E313031302D58354937F4
05-04-2025 19:38:37.599,29,RECV,7E000F8100001A024E343032312D3031364445
05-04-2025 19:38:37.599,30,RECV,7E000F8100001D024E323032322D534D37390E
05-04-2025 19:38:37.599,31,RECV,7E000F8100001D024E323032332D48344E4C07
05-04-2025 19:38:37.688,32,RECV,7E000F8100001B024E343032352D39414F341E
05-04-2025 19:38:37.689,33,RECV,7E000F8100001B024E343032362D42523857F7
05-04-2025 19:38:37.689,34,RECV,7E000F8100001D024E323032342D485633410A
05-04-2025 19:38:37.689,35,RECV,7E000F8100001B024E343032372D35584358F1
05-04-2025 19:38:37.689,36,RECV,7E007D3181F9DF1F024B004E313031342D4756534FBA
05-04-2025 19:38:37.690,37,RECV,7E000F8100001B024E343032382D5355384DEB
05-04-2025 19:38:37.690,38,RECV,7E007D3181F9DF1F024C004E313031352D48534339E0
05-04-2025 19:38:37.690,39,RECV,7E000F8100001D024E323032352D57485633F3
05-04-2025 19:38:37.691,40,RECV,7E000F8100001B024E343032392D4E424B320A
05-04-2025 19:38:37.691,41,RECV,7E007D3181F9DF1F024D004E313031362D31484A54DE
05-04-2025 19:38:37.691,42,RECV,7E000F8100001C024E323032362D4E435850E2
05-04-2025 19:38:37.691,43,RECV,7E000F8100001B024E343033302D3352434512
05-04-2025 19:38:37.691,44,RECV,7E000F8100001C024E323032372D53374A48FE
05-04-2025 19:38:37.691,45,RECV,7E007D3181F9DF1F024E004E313031372D494D5A4DB6
05-04-2025 19:38:37.691,46,RECV,7E000F8100001B024E343033312D313634344F
05-04-2025 19:38:37.691,47,RECV,7E000F8100001C024E323032382D31374B5016
05-04-2025 19:38:37.691,48,RECV,7E000F8100001B024E343033322D4B4C4759E6
05-04-2025 19:38:37.691,49,RECV,7E000F8100001C024E323032392D33485748FE
05-04-2025 19:38:37.691,50,RECV,7E000F8100001B024E343033332D3134394737
05-04-2025 19:38:37.692,51,RECV,7E007D3181F9DF1F0250004E313031392D53315537DF
05-04-2025 19:38:37.692,52,RECV,7E000F8100001C024E323033302D4937434716
05-04-2025 19:38:37.692,53,RECV,7E000F8100001B024E343033342D4247385802
05-04-2025 19:38:37.692,54,RECV,7E000F8100001C024E323033312D304E4A4512
05-04-2025 19:38:37.692,55,RECV,7E000F8100001C024E343033352D3948473819
05-04-2025 19:38:37.693,56,RECV,7E000F8100001C024E323033332D564A38390C
05-04-2025 19:38:37.784,57,RECV,7E000F8100001C024E343033372D44354A5202
05-04-2025 19:38:37.799,58,RECV,7E000F8100001C024E323033342D43484C55F0
05-04-2025 19:38:37.799,59,RECV,7E000F8100001C024E343033382D545A5453C1
05-04-2025 19:38:37.799,60,RECV,7E000F8100001B024E323033352D3646435A03
05-04-2025 19:38:37.799,61,RECV,7E000F8100001C024E343033392D4557414AEE
05-04-2025 19:38:37.799,62,RECV,7E000F8100001C024E323033362D59503341FD
05-04-2025 19:38:37.799,63,RECV,7E000F8100001A024E343034302D57565542DB
05-04-2025 19:38:37.799,64,RECV,7E000F8100001C024E343034312D42563451FF
05-04-2025 19:38:37.800,65,RECV,7E000F8100001C024E343034322D4A4C5953D9
05-04-2025 19:38:37.800,66,RECV,7E007D3181F9DF1F0256004E313032352D584A4537CE
05-04-2025 19:38:37.800,67,RECV,7E000F8100001C024E343034352D41563057FA
05-04-2025 19:38:37.800,68,RECV,7E000F8100001C024E323034302D4D394D51FB
05-04-2025 19:38:37.800,69,RECV,7E000F8100001C024E343034362D50534748E5
05-04-2025 19:38:37.800,70,RECV,7E000F8100001C024E343034372D584438370B
05-04-2025 19:38:37.800,71,RECV,7E007D3181F9DF1F0257004E313032362D4D454742CF
05-04-2025 19:38:37.800,72,RECV,7E000F8100001C024E323034322D44534C3109
05-04-2025 19:38:37.800,73,RECV,7E007D3181F9DF1F0259004E313032382D384D3842E7
05-04-2025 19:38:37.800,74,RECV,7E000F8100001C024E323034332D59334F42FF
05-04-2025 19:38:37.800,75,RECV,7E000F8100001A024E343034392D4C545055D1
05-04-2025 19:38:37.800,76,RECV,7E000F8100001C024E343035302D564C454BEA
05-04-2025 19:38:37.800,77,RECV,7E000F8100001C024E323034352D43444658F5
05-04-2025 19:38:37.800,78,RECV,7E000F8100001C024E343035312D34344F5212
05-04-2025 19:38:37.800,79,RECV,7E007D3181F9DF1F025C004E313033312D32443343FD
05-04-2025 19:38:37.800,80,RECV,7E000F8100001C024E323034372D3441373438
05-04-2025 19:38:37.800,81,RECV,7E000F8100001C024E343035332D514745320A
05-04-2025 19:38:37.877,82,RECV,7E007D3181F9DF1F025D004E313033322D45504739D2
05-04-2025 19:38:37.926,83,RECV,7E000F8100001C024E343035342D5639333026
05-04-2025 19:38:37.926,84,RECV,7E000F8100001C024E323034382D4247583204
05-04-2025 19:38:37.927,85,RECV,7E007D3181F9DF20025F004E313033342D47363757D7
05-04-2025 19:38:37.927,86,RECV,7E000F8100001C024E323035312D493246500C
05-04-2025 19:38:37.927,87,RECV,7E007D3181F9DF1F0260004E313033352D5958584C8C
05-04-2025 19:38:37.927,88,RECV,7E000F8100001C024E323035322D395A4C3904
05-04-2025 19:38:37.927,89,RECV,7E000F8100001B024E343035362D533431302F
05-04-2025 19:38:37.927,90,RECV,7E000F8100001C024E323035342D4A44533009
05-04-2025 19:38:37.927,91,RECV,7E000F8100001B024E343035372D394E5956E0
05-04-2025 19:38:37.927,92,RECV,7E000F8100001A024E343035382D5541364406
05-04-2025 19:38:37.927,93,RECV,7E000F8100001B024E343035392D51555134E9
05-04-2025 19:38:37.927,94,RECV,7E000F8100001C024E323035372D4342394316
05-04-2025 19:38:37.927,95,RECV,7E000F8100001B024E343036302D43554358E9
05-04-2025 19:38:37.927,96,RECV,7E000F8100001C024E323035382D3144483821
05-04-2025 19:38:37.927,97,RECV,7E000F8100001C024E323035392D42514C3105
05-04-2025 19:38:37.927,98,RECV,7E000F8100001C024E323036302D3738474324
05-04-2025 19:38:37.927,99,RECV,7E000F8100001B024E343036312D3433563925
