05-04-2025 19:36:21.961,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 19:35:59.217,0,RECV,7E000F8100001A024E343030302D3643314B2E
05-04-2025 19:35:59.218,1,RECV,7E000F8100001A024E343030312D4D57344703
05-04-2025 19:35:59.227,2,RECV,7E000F8100001A024E343030322D364958397D31
05-04-2025 19:35:59.228,3,RECV,7E000F8100001B024E343030332D434B544BF2
05-04-2025 19:35:59.228,4,RECV,7E000F8100001B024E343030342D584D424BEC
05-04-2025 19:35:59.330,5,RECV,7E000F8100001A024E343030352D4E3732567D31
05-04-2025 19:35:59.330,6,RECV,7E000F8100001B024E343030362D4C465155E4
05-04-2025 19:35:59.331,7,RECV,7E000F8100001D024E323030352D4D384A4509
05-04-2025 19:35:59.331,8,RECV,7E000F8100001D024E323030362D42515444F1
05-04-2025 19:35:59.331,9,RECV,7E000F8100001B024E343030372D5154545AC8
05-04-2025 19:35:59.331,10,RECV,7E000F8100001D024E323030372D3136333948
05-04-2025 19:35:59.332,11,RECV,7E000F8100001A024E343030382D42394F4E03
05-04-2025 19:35:59.332,12,RECV,7E000F8100001B024E343030392D43485A4BE9
05-04-2025 19:35:59.332,13,RECV,7E000F8100001A024E343031302D3830305337
05-04-2025 19:35:59.332,14,RECV,7E000F8100001B024E343031312D3935595306
05-04-2025 19:35:59.332,15,RECV,7E000F8100001A024E343031322D374D543810
05-04-2025 19:35:59.333,16,RECV,7E000F8100001B024E343031332D4747543606
05-04-2025 19:35:59.333,17,RECV,7E000F8100001D024E323031302D3435394B34
05-04-2025 19:35:59.333,18,RECV,7E000F8100001B024E343031342D53484E51E3
05-04-2025 19:35:59.333,19,RECV,7E007D338100001B0018FFFFFFFFFFFFFFFF0000005348B8
05-04-2025 19:35:59.334,20,RECV,7E000F8100001B024E343031352D53334D58F1
05-04-2025 19:35:59.334,21,RECV,7E000F8100001D024E323031312D3755504202
05-04-2025 19:35:59.334,22,RECV,7E000F8100001B024E343031362D38575A38FA
05-04-2025 19:35:59.334,23,RECV,7E000F8100001D024E323031322D32504F50FE
05-04-2025 19:35:59.334,24,RECV,7E000F8100001B024E343031372D524C4553E4
05-04-2025 19:35:59.334,25,RECV,7E000F8100001D024E323031332D51465252E3
05-04-2025 19:35:59.335,26,RECV,7E000F8100001B024E343031382D474A374110
05-04-2025 19:35:59.335,27,RECV,7E000F8100001B024E343031392D30555955E5
05-04-2025 19:35:59.335,28,RECV,7E000F8100001B024E343032302D5953454DE2
05-04-2025 19:35:59.335,29,RECV,7E000F8100001B024E343032312D4458544FE0
05-04-2025 19:35:59.335,30,RECV,7E000F8100001B024E343032322D3454543012
05-04-2025 19:35:59.356,31,RECV,7E000F8100001D024E323031352D3343413530
05-04-2025 19:35:59.357,32,RECV,7E000F8100001B024E343032332D464D5156E3
05-04-2025 19:35:59.357,33,RECV,7E000F8100001B024E343032342D43595333FA
05-04-2025 19:35:59.357,34,RECV,7E000F8100001D024E323031362D3056344819
05-04-2025 19:35:59.358,35,RECV,7E000F8100001B024E343032352D494E305400
05-04-2025 19:35:59.358,36,RECV,7E000F8100001A024E343032362D50584A30F9
05-04-2025 19:35:59.358,37,RECV,7E000F81000019024E343032372D5933563009
05-04-2025 19:35:59.358,38,RECV,7E000F8100001D024E323031392D4953324FFB
05-04-2025 19:35:59.358,39,RECV,7E000F8100001D024E323032302D47585155DB
05-04-2025 19:35:59.397,40,RECV,7E000F8100001D024E323032312D5649303917
05-04-2025 19:35:59.437,41,RECV,7E000F8100001D024E323032322D4134353440
05-04-2025 19:35:59.437,42,RECV,7E000F8100001B024E343032382D424F5832FD
05-04-2025 19:35:59.437,43,RECV,7E000F8100001B024E343032392D50584543E7
05-04-2025 19:35:59.437,44,RECV,7E000F8100001B024E343033302D394D4E3318
05-04-2025 19:35:59.448,45,RECV,7E000F8100001D024E323032342D3031504A21
05-04-2025 19:35:59.448,46,RECV,7E000F8100001B024E343033312D3544394A22
05-04-2025 19:35:59.448,47,RECV,7E000F8100001D024E323032352D444A5441F8
05-04-2025 19:35:59.448,48,RECV,7E000F8100001D024E323032362D435530371B
05-04-2025 19:35:59.449,49,RECV,7E000F8100001D024E323032372D56564252D9
05-04-2025 19:35:59.449,50,RECV,7E000F8100001B024E343033322D5A594D4AD3
05-04-2025 19:35:59.451,51,RECV,7E000F81000019024E343033332D4E584C33F9
05-04-2025 19:35:59.451,52,RECV,7E000F8100001D024E323032392D4446374D09
05-04-2025 19:35:59.451,53,RECV,7E000F8100001B024E343033342D59414255EA
05-04-2025 19:35:59.451,54,RECV,7E000F8100001B024E343033352D54574638F1
05-04-2025 19:35:59.451,55,RECV,7E000F8100001A024E343033362D4F464945F7
05-04-2025 19:35:59.451,56,RECV,7E000F8100001B024E343033372D484432500A
05-04-2025 19:35:59.510,57,RECV,7E000F8100001B024E343033382D4E374457F7
05-04-2025 19:35:59.510,58,RECV,7E000F8100001B024E343033392D4933414B0E
05-04-2025 19:35:59.510,59,RECV,7E000F8100001D024E323033322D574146320D
05-04-2025 19:35:59.510,60,RECV,7E000F8100001A024E343034302D573339302C
05-04-2025 19:35:59.511,61,RECV,7E000F8100001B024E343034312D4741444F02
05-04-2025 19:35:59.511,62,RECV,7E000F8100001D024E323033342D514F5034F7
05-04-2025 19:35:59.511,63,RECV,7E000F8100001B024E343034322D55474753E6
05-04-2025 19:35:59.511,64,RECV,7E000F8100001B024E343034332D5835573601
05-04-2025 19:35:59.511,65,RECV,7E000F8100001B024E343034342D4B44414406
05-04-2025 19:35:59.512,66,RECV,7E000F8100001B024E343034352D5332344F7D31
05-04-2025 19:35:59.512,67,RECV,7E000F8100001B024E343034362D584B5544DC
05-04-2025 19:35:59.513,68,RECV,7E000F8100001A024E343034372D4333365319
05-04-2025 19:35:59.513,69,RECV,7E000F8100001B024E343034382D59474C51D9
05-04-2025 19:35:59.563,70,RECV,7E000F8100001B024E343034392D44535949DC
05-04-2025 19:35:59.578,71,RECV,7E000F8100001D024E323033362D363143422D
05-04-2025 19:35:59.579,72,RECV,7E000F8100001B024E343035302D4F514544F4
05-04-2025 19:35:59.579,73,RECV,7E000F8100001D024E323033372D4441344619
05-04-2025 19:35:59.579,74,RECV,7E000F8100001B024E343035312D3345303242
05-04-2025 19:35:59.579,75,RECV,7E000F8100001B024E343035322D4B524E33FD
05-04-2025 19:35:59.580,76,RECV,7E000F8100001D024E323033382D36474C4806
05-04-2025 19:35:59.580,77,RECV,7E000F8100001B024E343035332D563441430C
05-04-2025 19:35:59.580,78,RECV,7E000F8100001D024E323033392D56475149DF
05-04-2025 19:35:59.580,79,RECV,7E000F81000019024E343035342D3255483814
05-04-2025 19:35:59.580,80,RECV,7E000F81000019024E343035352D314237521E
05-04-2025 19:35:59.580,81,RECV,7E000F8100001D024E323034322D56355955E3
05-04-2025 19:35:59.580,82,RECV,7E000F8100001B024E343035362D4C31435304
05-04-2025 19:35:59.649,83,RECV,7E000F8100001D024E323034332D384E35431D
05-04-2025 19:35:59.649,84,RECV,7E000F8100001B024E343035372D37554158F1
05-04-2025 19:35:59.649,85,RECV,7E000F8100001A024E343035382D3144504809
05-04-2025 19:35:59.649,86,RECV,7E000F8100001B024E343035392D474C44310C
05-04-2025 19:35:59.649,87,RECV,7E000F8100001B024E343036302D47594C41EF
05-04-2025 19:35:59.650,88,RECV,7E000F8100001A024E343036312D365431550C
05-04-2025 19:35:59.650,89,RECV,7E000F8100001A024E343036322D364B54337D33
05-04-2025 19:35:59.650,90,RECV,7E000F8100001B024E343036332D5637424DFD
05-04-2025 19:35:59.650,91,RECV,7E000F8100001D024E323034372D47334E51FE
05-04-2025 19:35:59.650,92,RECV,7E000F8100001B024E343036342D433245530B
05-04-2025 19:35:59.650,93,RECV,7E000F8100001D024E323034382D534F5138EB
05-04-2025 19:35:59.651,94,RECV,7E000F8100001B024E343036352D424C43390D
05-04-2025 19:35:59.651,95,RECV,7E000F8100001B024E343036362D52595158C2
05-04-2025 19:35:59.651,96,RECV,7E000F8100001D024E323034392D4C324854FB
05-04-2025 19:35:59.651,97,RECV,7E000F8100001D024E323035302D584A4C42ED
05-04-2025 19:35:59.652,98,RECV,7E000F8100001B024E343036372D4E475852D6
05-04-2025 19:35:59.652,99,RECV,7E000F8100001B024E343036382D564F304FF0
05-04-2025 19:35:59.652,100,RECV,7E000F8100001D024E323035322D353630552B
05-04-2025 19:35:59.652,101,RECV,7E000F8100001A024E343036392D423749440E
05-04-2025 19:35:59.652,102,RECV,7E000F8100001D024E323035342D41314B312B
05-04-2025 19:35:59.652,103,RECV,7E000F8100001B024E343037302D4759534DDB
05-04-2025 19:35:59.774,104,RECV,7E000F8100001D024E323035352D5651335AE4
05-04-2025 19:35:59.774,105,RECV,7E000F8100001B024E343037312D474C4746FA
05-04-2025 19:35:59.775,106,RECV,7E000F8100001B024E343037322D39573855FC
05-04-2025 19:35:59.775,107,RECV,7E000F8100001B024E343037342D3258424803
05-04-2025 19:35:59.775,108,RECV,7E000F8100001B024E343037352D4E435339F9
05-04-2025 19:35:59.775,109,RECV,7E000F8100001A024E343037362D4138384A1B
05-04-2025 19:35:59.775,110,RECV,7E000F8100001B024E343037372D4343364216
05-04-2025 19:35:59.775,111,RECV,7E000F8100001B024E343037382D55464C57D5
05-04-2025 19:35:59.775,112,RECV,7E000F8100001A024E343037392D47553652EF
05-04-2025 19:35:59.775,113,RECV,7E000F81000019024E343038302D3939564C08
05-04-2025 19:35:59.775,114,RECV,7E000F8100001A024E343038312D354130393B
05-04-2025 19:35:59.775,115,RECV,7E000F8100001B024E343038322D3455303926
05-04-2025 19:35:59.775,116,RECV,7E000F8100001A024E343038332D53345856E3
05-04-2025 19:35:59.775,117,RECV,7E000F8100001A024E343038342D3631513926
05-04-2025 19:35:59.775,118,RECV,7E000F8100001B024E343038352D514B4548EC
05-04-2025 19:35:59.775,119,RECV,7E000F8100001B024E343038362D594A514DD3
05-04-2025 19:35:59.775,120,RECV,7E000F8100001A024E343038372D56375339FB
05-04-2025 19:35:59.775,121,RECV,7E000F81000019024E343038382D56394F46F0
05-04-2025 19:35:59.775,122,RECV,7E000F81000019024E343038392D42525A48DD
05-04-2025 19:35:59.775,123,RECV,7E000F8100001B024E343039302D3556355702
05-04-2025 19:35:59.775,124,RECV,7E000F8100001B024E343039312D44495146F4
05-04-2025 19:35:59.776,125,RECV,7E000F8100001A024E343039322D3947423521
05-04-2025 19:35:59.776,126,RECV,7E000F8100001A024E343039332D48413956FF
05-04-2025 19:35:59.776,127,RECV,7E000F8100001B024E343039342D51324E3410
05-04-2025 19:35:59.776,128,RECV,7E000F8100001D024E323036382D454A374A04
