05-05-2025 16:14:47.311,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-05-2025 16:13:20.053,0,RECV,7E000F8100007D31024E343030302D52445348FB
05-05-2025 16:13:20.054,1,RECV,7E000F81000014024E333030302D43464B3125
05-05-2025 16:13:20.153,2,RECV,7E000F81000048024E373030312D4A493237F5
05-05-2025 16:13:20.154,3,RECV,7E007D338100003E000AFFFFFFFFFFFFFFFF0000005348A3
05-05-2025 16:13:20.164,4,RECV,7E007D3381000010000AFFFFFFFFFFFFFFFF0000005348D1
05-05-2025 16:13:20.164,5,RECV,7E007D3381000047000BFFFFFFFFFFFFFFFF000000534899
05-05-2025 16:13:20.204,6,RECV,7E007D338100007D33000AFFFFFFFFFFFFFFFF0000005348CE
05-05-2025 16:13:20.205,7,RECV,7E000F81000039024E383030312D3336323331
05-05-2025 16:13:20.304,8,RECV,7E000F81000010024E343030312D5133304533
05-05-2025 16:13:20.354,9,RECV,7E000F8100007D33024E333030312D43464A4512
05-05-2025 16:13:20.354,10,RECV,7E000F81000010024E343030322D4D574459EA
05-05-2025 16:13:20.404,11,RECV,7E000F81000044024E373030322D374C4842E7
05-05-2025 16:13:20.755,12,RECV,7E000F8100003E024E383030322D56383835FE
05-05-2025 16:13:20.855,13,RECV,7E000F81000048024E373030332D4F5A394AC3
05-05-2025 16:13:20.955,14,RECV,7E000F8100007D31024E343030332D3031314552
05-05-2025 16:13:20.959,15,RECV,7E000F8100007D31024E343030342D50465455E9
05-05-2025 16:13:21.005,16,RECV,7E000F8100003E024E383030332D4E43465AC7
05-05-2025 16:13:21.056,17,RECV,7E000F8100007D31024E343030352D5A4E384601
05-05-2025 16:13:21.061,18,RECV,7E000F8100007D31024E343030362D59565738E8
05-05-2025 16:13:21.106,19,RECV,7E000F8100007D31024E343030372D444A39312D
05-05-2025 16:13:21.106,20,RECV,7E000F8100007D33024E333030322D3141584F10
05-05-2025 16:13:21.206,21,RECV,7E000F81000044024E373030342D35484558D8
05-05-2025 16:13:21.256,22,RECV,7E000F81000010024E343030382D3838564718
05-05-2025 16:13:21.256,23,RECV,7E000F8100007D33024E333030332D3942483431
05-05-2025 16:13:21.307,24,RECV,7E000F8100007D33024E333030342D454F4F58EC
05-05-2025 16:13:21.356,25,RECV,7E000F8100007D33024E333030352D575A4235FE
05-05-2025 16:13:21.367,26,RECV,7E000F8100007D33024E333030362D5849485AE2
05-05-2025 16:13:21.367,27,RECV,7E000F81000038024E383030342D41585135DE
05-05-2025 16:13:21.408,28,RECV,7E000F8100007D33024E333030372D37444B500E
05-05-2025 16:13:21.458,29,RECV,7E000F8100007D31024E343030392D5535544401
05-05-2025 16:13:21.462,30,RECV,7E000F81000048024E373030352D35385044EC
05-05-2025 16:13:21.465,31,RECV,7E000F8100003E024E383030352D394E3251EC
05-05-2025 16:13:21.710,32,RECV,7E000F8100007D33024E333030382D4C4C4755EF
05-05-2025 16:13:21.810,33,RECV,7E000F81000010024E343031302D3251493729
05-05-2025 16:13:21.837,34,RECV,7E000F8100007D33024E333030392D4849493117
05-05-2025 16:13:21.910,35,RECV,7E000F8100007D33024E333031302D423139512D
05-05-2025 16:13:22.011,36,RECV,7E000F81000044024E373030362D5A565946A1
05-05-2025 16:13:22.011,37,RECV,7E000F8100007D31024E343031312D4D355A4A04
05-05-2025 16:13:22.061,38,RECV,7E000F81000045024E373030372D4659384FC8
05-05-2025 16:13:22.211,39,RECV,7E000F81000010024E343031322D48374C530C
05-05-2025 16:13:22.262,40,RECV,7E000F81000043024E373030382D31365555DE
05-05-2025 16:13:22.300,41,RECV,7E000F81000039024E383030362D5A435445C4
05-05-2025 16:13:22.311,42,RECV,7E000F81000010024E343031332D4F3551381C
05-05-2025 16:13:22.312,43,RECV,7E000F81000010024E343031342D4A5A433809
05-05-2025 16:13:22.361,44,RECV,7E000F81000010024E343031352D5A3445460E
05-05-2025 16:13:22.462,45,RECV,7E000F8100007D33024E333031312D5A364B56F8
05-05-2025 16:13:22.463,46,RECV,7E000F8100007D31024E343031362D4435485A0A
05-05-2025 16:13:22.763,47,RECV,7E000F8100007D33024E333031322D3949584A04
05-05-2025 16:13:22.763,48,RECV,7E000F8100007D33024E333031332D4C38493327
05-05-2025 16:13:22.773,49,RECV,7E000F81000043024E373030392D35384947F1
05-05-2025 16:13:22.863,50,RECV,7E000F8100007D33024E333031342D4C54424202
05-05-2025 16:13:22.914,51,RECV,7E000F81000037024E383030372D46564C48CB
05-05-2025 16:13:22.914,52,RECV,7E000F81000010024E343031372D313742502B
05-05-2025 16:13:22.964,53,RECV,7E000F8100007D33024E333031352D4B544F54E3
05-05-2025 16:13:22.967,54,RECV,7E000F8100007D31024E343031382D30515654F8
05-05-2025 16:13:22.967,55,RECV,7E000F81000038024E383030382D50354134FF
05-05-2025 16:13:22.975,56,RECV,7E000F81000044024E373031302D55573249CE
05-05-2025 16:13:23.064,57,RECV,7E000F8100007D33024E333031362D4F4F38430B
05-05-2025 16:13:23.064,58,RECV,7E000F81000045024E373031312D47424F4BD0
05-05-2025 16:13:23.114,59,RECV,7E000F8100007D31024E343031392D414341411C
05-05-2025 16:13:23.122,60,RECV,7E000F8100007D33024E333031372D5039424612
05-05-2025 16:13:23.164,61,RECV,7E000F81000039024E383031302D3051324EFE
05-05-2025 16:13:23.187,62,RECV,7E000F81000010024E343032302D3150413930
05-05-2025 16:13:23.265,63,RECV,7E000F8100007D33024E333031382D45434F5AF1
05-05-2025 16:13:23.281,64,RECV,7E000F81000039024E383031312D4753554BC4
05-05-2025 16:13:23.365,65,RECV,7E000F81000044024E373031332D56474E48BF
05-05-2025 16:13:23.465,66,RECV,7E000F8100003A024E383031322D343042391D
05-05-2025 16:13:23.565,67,RECV,7E000F81000044024E373031342D4D444B34E1
05-05-2025 16:13:23.666,68,RECV,7E000F8100007D33024E333031392D3330524B21
05-05-2025 16:13:23.666,69,RECV,7E000F81000010024E343032312D494B374B14
05-05-2025 16:13:23.716,70,RECV,7E000F81000038024E383031342D55325046DF
05-05-2025 16:13:23.816,71,RECV,7E000F81000044024E373031362D504F4B4BBA
05-05-2025 16:13:23.816,72,RECV,7E000F81000010024E343032322D4843353336
05-05-2025 16:13:23.917,73,RECV,7E000F8100007D31024E343032332D383550597D31
05-05-2025 16:13:23.966,74,RECV,7E000F81000043024E373031372D42305630F7
05-05-2025 16:13:24.017,75,RECV,7E000F8100007D31024E343032342D5851494AEA
05-05-2025 16:13:24.077,76,RECV,7E000F8100007D31024E343032352D333730315A
05-05-2025 16:13:24.167,77,RECV,7E007D338100003B0019FFFFFFFFFFFFFFFF000000534897
05-05-2025 16:13:24.167,78,RECV,7E007D33810000100024FFFFFFFFFFFFFFFF0000005348B7
05-05-2025 16:13:24.168,79,RECV,7E000F8100003A024E383031352D4B363753EE
05-05-2025 16:13:24.178,80,RECV,7E007D3381000045001DFFFFFFFFFFFFFFFF000000534889
