05-05-2025 13:15:44.478,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-05-2025 13:15:18.333,0,RECV,7E000F81000010024E323030302D304C325928
05-05-2025 13:15:18.334,1,RECV,7E000F81000039024E363030312D31524B50E3
05-05-2025 13:15:18.334,2,RECV,7E000F81000038024E363030322D344A4F59DB
05-05-2025 13:15:18.335,3,RECV,7E000F81000010024E323030312D3939343454
05-05-2025 13:15:18.383,4,RECV,7E000F81000039024E363030332D3636415200
05-05-2025 13:15:18.383,5,RECV,7E007D3381000046000BFFFFFFFFFFFFFFFF00000053489A
05-05-2025 13:15:18.383,6,RECV,7E000F81000045024E353030322D5244384ED9
05-05-2025 13:15:18.383,7,RECV,7E007D3381000010000BFFFFFFFFFFFFFFFF0000005348D0
05-05-2025 13:15:18.384,8,RECV,7E000F81000010024E323030322D4C475956EB
05-05-2025 13:15:18.384,9,RECV,7E000F81000046024E353030332D36564B53C9
05-05-2025 13:15:18.384,10,RECV,7E000F81000010024E323030332D584E314114
05-05-2025 13:15:18.424,11,RECV,7E000F81000045024E353030342D42464631F4
05-05-2025 13:15:18.436,12,RECV,7E000F81000010024E323030342D325831531D
05-05-2025 13:15:18.436,13,RECV,7E000F81000045024E353030352D5836574DC0
05-05-2025 13:15:18.437,14,RECV,7E000F81000010024E323030352D33344E591C
05-05-2025 13:15:18.437,15,RECV,7E000F81000038024E363030342D3854394EEC
05-05-2025 13:15:18.437,16,RECV,7E007D3181F9DF17021B004E313030312D5237434524
05-05-2025 13:15:18.437,17,RECV,7E000F81000045024E353030372D47324C4CDF
05-05-2025 13:15:18.483,18,RECV,7E007D3181F9DF17021C004E313030322D393247473A
05-05-2025 13:15:18.483,19,RECV,7E000F81000039024E363030352D51313754F0
05-05-2025 13:15:18.483,20,RECV,7E000F8100001D024E323030362D573058330A
05-05-2025 13:15:18.483,21,RECV,7E000F81000039024E363030372D3750354FF0
05-05-2025 13:15:18.533,22,RECV,7E000F81000045024E353030382D4A383751E5
05-05-2025 13:15:18.534,23,RECV,7E000F81000010024E323030372D56314E361D
05-05-2025 13:15:18.534,24,RECV,7E000F81000039024E363030382D4D474B45D6
05-05-2025 13:15:18.534,25,RECV,7E000F81000010024E323030382D53495645F0
05-05-2025 13:15:18.583,26,RECV,7E000F81000038024E363030392D51534736D9
05-05-2025 13:15:18.589,27,RECV,7E000F81000039024E363031302D354F374501
05-05-2025 13:15:18.589,28,RECV,7E007D3181F9DF17021D004E313030332D545330500A
05-05-2025 13:15:18.589,29,RECV,7E007D3181F9DF17021E004E313030342D574430461E
05-05-2025 13:15:18.589,30,RECV,7E007D3181F9DF16021F004E313030352D3453365918
05-05-2025 13:15:18.633,31,RECV,7E007D3181F9DF160220004E313030362D464D364B18
05-05-2025 13:15:18.634,32,RECV,7E000F81000039024E363031322D4633463010
05-05-2025 13:15:18.634,33,RECV,7E000F81000044024E353031312D414F4C31E9
05-05-2025 13:15:18.634,34,RECV,7E000F81000045024E353031322D44563249DF
05-05-2025 13:15:18.634,35,RECV,7E000F81000039024E363031332D48414D34F4
05-05-2025 13:15:18.684,36,RECV,7E000F81000010024E323030392D4755334116
05-05-2025 13:15:18.684,37,RECV,7E000F81000038024E363031342D53584E54B1
05-05-2025 13:15:18.734,38,RECV,7E000F81000010024E323031302D3957325319
05-05-2025 13:15:18.746,39,RECV,7E000F81000045024E353031332D38505A31E0
05-05-2025 13:15:18.784,40,RECV,7E000F81000039024E363031352D4836564BDD
05-05-2025 13:15:18.784,41,RECV,7E007D3181F9DF160221004E313030372D505833450A
05-05-2025 13:15:18.784,42,RECV,7E000F81000010024E323031312D304D384D2B
05-05-2025 13:15:18.784,43,RECV,7E000F81000038024E363031362D355A3148F4
05-05-2025 13:15:18.835,44,RECV,7E000F81000010024E323031322D534D4557F0
05-05-2025 13:15:18.836,45,RECV,7E000F81000045024E353031342D42454558CE
05-05-2025 13:15:18.885,46,RECV,7E000F81000038024E363031372D32505A57C8
05-05-2025 13:15:18.907,47,RECV,7E007D3181F9DF160222004E313030382D31374E363C
05-05-2025 13:15:18.935,48,RECV,7E000F81000039024E363031382D414C3454E4
05-05-2025 13:15:18.936,49,RECV,7E000F81000010024E323031332D3943524C7D31
05-05-2025 13:15:18.985,50,RECV,7E000F81000038024E363031392D484B4851CD
