05-08-2025 16:15:55.856,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-08-2025 16:15:22.022,0,RECV,7E000F8100001E024E323030312D354752430F
05-08-2025 16:15:22.023,1,RECV,7E000F8100002B024E363030322D56304E300A
05-08-2025 16:15:22.133,2,RECV,7E007D3181F9DF1D0225004E313030312D51525644E8
05-08-2025 16:15:22.133,3,RECV,7E000F81000038024E353030312D394A3159F6
05-08-2025 16:15:22.134,4,RECV,7E007D3181F9DF1D0226004E313030322D4839514A07
05-08-2025 16:15:22.134,5,RECV,7E000F8100001D024E323030322D5549325000
05-08-2025 16:15:22.134,6,RECV,7E000F81000038024E353030322D32355955ED
05-08-2025 16:15:22.134,7,RECV,7E000F8100002B024E363030342D4834414708
05-08-2025 16:15:22.134,8,RECV,7E000F8100001D024E323030332D504E5753D7
05-08-2025 16:15:22.134,9,RECV,7E000F81000038024E353030342D49324E3502
05-08-2025 16:15:22.134,10,RECV,7E000F8100002B024E363030352D46565755C3
05-08-2025 16:15:22.134,11,RECV,7E007D3381000038000EFFFFFFFFFFFFFFFF0000005348A5
05-08-2025 16:15:22.134,12,RECV,7E007D3181F9DF1E0227004E313030332D4730373042
05-08-2025 16:15:22.135,13,RECV,7E000F8100002B024E363030362D45585857BE
05-08-2025 16:15:22.135,14,RECV,7E007D338100001D000DFFFFFFFFFFFFFFFF0000005348C1
05-08-2025 16:15:22.135,15,RECV,7E007D338100002B0010FFFFFFFFFFFFFFFF0000005348B0
05-08-2025 16:15:22.135,16,RECV,7E000F8100001D024E323030342D4D5A3659E8
05-08-2025 16:15:22.135,17,RECV,7E000F8100002B024E363030372D4D41494BE7
05-08-2025 16:15:22.135,18,RECV,7E000F8100001D024E323030352D36374A4F17
05-08-2025 16:15:22.135,19,RECV,7E000F8100002B024E363030382D37375952EF
05-08-2025 16:15:22.135,20,RECV,7E000F8100001D024E323030362D374D4A440A
05-08-2025 16:15:22.135,21,RECV,7E000F81000038024E353030372D57374F4CD4
05-08-2025 16:15:22.135,22,RECV,7E000F8100001D024E323030372D4A45355403
05-08-2025 16:15:22.135,23,RECV,7E000F8100002C024E363030392D353447490D
05-08-2025 16:15:22.135,24,RECV,7E000F81000038024E353030382D56354251DE
05-08-2025 16:15:22.135,25,RECV,7E007D3181F9DF1D0229004E313030352D3933374931
05-08-2025 16:15:22.142,26,RECV,7E000F8100001D024E323030392D3647324A20
05-08-2025 16:15:22.226,27,RECV,7E000F8100003A024E353030392D354C574DD4
05-08-2025 16:15:22.251,28,RECV,7E007D3181F9DF1D022A004E313030362D5045544EE4
05-08-2025 16:15:22.251,29,RECV,7E000F81000037024E353031302D52545747C0
05-08-2025 16:15:22.251,30,RECV,7E007D3181F9DF1D022B004E313030372D4E51314306
05-08-2025 16:15:22.251,31,RECV,7E000F8100001D024E323031302D394155351D
05-08-2025 16:15:22.251,32,RECV,7E000F8100001D024E323031312D3836534C7D33
05-08-2025 16:15:22.251,33,RECV,7E000F8100002B024E363031322D4148304A0A
05-08-2025 16:15:22.251,34,RECV,7E000F8100001D024E323031322D59305356ED
05-08-2025 16:15:22.251,35,RECV,7E000F81000037024E353031332D5637544CD4
05-08-2025 16:15:22.251,36,RECV,7E007D3181F9DF1E022C004E313030382D4935554EF5
05-08-2025 16:15:22.251,37,RECV,7E000F8100001D024E323031332D5853434AE6
05-08-2025 16:15:22.251,38,RECV,7E000F81000037024E353031342D464E5755C0
05-08-2025 16:15:22.251,39,RECV,7E007D3181F9DF1E022D004E313030392D534A5330F4
05-08-2025 16:15:22.251,40,RECV,7E000F8100001E024E323031342D4731455A05
05-08-2025 16:15:22.251,41,RECV,7E007D3181F9DF1D022E004E313031302D3559453514
05-08-2025 16:15:22.252,42,RECV,7E000F81000037024E353031352D4737354903
05-08-2025 16:15:22.252,43,RECV,7E000F8100001D024E323031362D3138384C2E
05-08-2025 16:15:22.252,44,RECV,7E007D3181F9DF1D0230004E313031322D423447500B
05-08-2025 16:15:22.252,45,RECV,7E007D3181F9DF1D0231004E313031332D3736494D7D33
05-08-2025 16:15:22.252,46,RECV,7E000F8100001D024E323031372D4542583209
05-08-2025 16:15:22.252,47,RECV,7E000F8100001D024E323031382D4348315508
05-08-2025 16:15:22.252,48,RECV,7E000F8100001D024E323031392D3530385427
05-08-2025 16:15:22.252,49,RECV,7E000F8100001D024E323032302D57574452DC
05-08-2025 16:15:22.252,50,RECV,7E000F8100001D024E323032312D4F35523415
05-08-2025 16:15:22.252,51,RECV,7E000F8100002B024E363031352D58544F4CC3
05-08-2025 16:15:22.319,52,RECV,7E000F81000038024E353031382D344C413604
05-08-2025 16:15:22.322,53,RECV,7E007D3181F9DF1D0233004E313031352D56355A52DB
05-08-2025 16:15:22.322,54,RECV,7E000F8100002E024E363031362D54565443C5
05-08-2025 16:15:22.322,55,RECV,7E000F8100002B024E363031372D39594736F9
05-08-2025 16:15:22.322,56,RECV,7E000F81000037024E353031392D59335034EB
05-08-2025 16:15:22.322,57,RECV,7E007D3181F9DF1E0235004E313031372D43465757D6
05-08-2025 16:15:22.322,58,RECV,7E000F8100002B024E363031382D4150374BF4
05-08-2025 16:15:22.322,59,RECV,7E000F8100001D024E323032342D4B3334577D33
05-08-2025 16:15:22.323,60,RECV,7E000F81000038024E353032302D31325559F1
05-08-2025 16:15:22.323,61,RECV,7E000F8100002B024E363031392D49483250F3
05-08-2025 16:15:22.323,62,RECV,7E007D3181F9DF1D0236004E313031382D58474439F0
05-08-2025 16:15:22.323,63,RECV,7E000F8100002B024E363032302D594B363103
05-08-2025 16:15:22.323,64,RECV,7E007D3181F9DF1D0237004E313031392D3742583207
05-08-2025 16:15:22.323,65,RECV,7E007D3181F9DF1D0238004E313032302D4755354CF4
05-08-2025 16:15:22.323,66,RECV,7E000F8100001D024E323032352D36374D5908
05-08-2025 16:15:22.323,67,RECV,7E000F8100002B024E363032312D58545639D2
05-08-2025 16:15:22.323,68,RECV,7E007D3181F9DF1D0239004E313032312D4C334D54EF
05-08-2025 16:15:22.323,69,RECV,7E000F8100001D024E323032362D575A384CE5
05-08-2025 16:15:22.323,70,RECV,7E000F81000037024E353032322D30505649E2
05-08-2025 16:15:22.323,71,RECV,7E000F8100002B024E363032332D4D394C42F7
05-08-2025 16:15:22.323,72,RECV,7E000F8100001D024E323032372D4242514CF8
05-08-2025 16:15:22.324,73,RECV,7E000F8100002B024E363032342D5A524D30E1
05-08-2025 16:15:22.324,74,RECV,7E007D3181F9DF1D023A004E313032322D47484357E4
05-08-2025 16:15:22.324,75,RECV,7E000F81000037024E353032332D56334247EE
05-08-2025 16:15:22.324,76,RECV,7E000F8100002B024E363032352D5631534DE2
05-08-2025 16:15:22.413,77,RECV,7E007D3181F9DF1D023B004E313032332D464C4A45EA
05-08-2025 16:15:22.445,78,RECV,7E000F8100002B024E363032362D31535249E9
05-08-2025 16:15:22.445,79,RECV,7E007D3181F9DF1D023C004E313032342D3839355310
05-08-2025 16:15:22.445,80,RECV,7E000F81000037024E353032372D4537544EDE
05-08-2025 16:15:22.445,81,RECV,7E007D3181F9DF1E023D004E313032352D58574D37D3
05-08-2025 16:15:22.445,82,RECV,7E007D3181F9DF1E023E004E313032362D59585935C5
05-08-2025 16:15:22.445,83,RECV,7E007D3181F9DF1D023F004E313032372D34394B3714
05-08-2025 16:15:22.445,84,RECV,7E007D3181F9DF1D0240004E313032382D4331564AED
05-08-2025 16:15:22.445,85,RECV,7E007D3181F9DF1D0241004E313032392D394C3954ED
05-08-2025 16:15:22.446,86,RECV,7E000F81000038024E353032382D3938364A09
05-08-2025 16:15:22.446,87,RECV,7E007D3181F9DF1D0242004E313033302D4D325749E7
05-08-2025 16:15:22.446,88,RECV,7E000F81000037024E353032392D494F4E43D1
05-08-2025 16:15:22.446,89,RECV,7E000F8100002C024E363032382D49385153E0
05-08-2025 16:15:22.446,90,RECV,7E000F8100001E024E323032382D4F545141E2
05-08-2025 16:15:22.446,91,RECV,7E000F81000039024E353033302D4F424E4BD6
05-08-2025 16:15:22.446,92,RECV,7E000F81000038024E353033312D375230380F
05-08-2025 16:15:22.446,93,RECV,7E000F8100002B024E363032392D38414C5AE6
05-08-2025 16:15:22.446,94,RECV,7E000F8100002B024E363033302D5638483700
05-08-2025 16:15:22.446,95,RECV,7E000F8100001E024E323032392D41595444E4
