05-08-2025 18:44:10.869,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-08-2025 18:43:01.470,0,RECV,7E000F81000019024E343030302D544D373517
05-08-2025 18:43:01.472,1,RECV,7E000F81000021024E333030302D4B32374B1E
05-08-2025 18:43:01.479,2,RECV,7E000F81000019024E343030312D4C314A411B
05-08-2025 18:43:01.479,3,RECV,7E007D3381000021000AFFFFFFFFFFFFFFFF0000005348C0
05-08-2025 18:43:01.520,4,RECV,7E000F81000019024E343030322D3742545005
05-08-2025 18:43:01.521,5,RECV,7E007D3381000019000CFFFFFFFFFFFFFFFF0000005348C6
05-08-2025 18:43:01.521,6,RECV,7E007D3381000038000AFFFFFFFFFFFFFFFF0000005348A9
05-08-2025 18:43:01.522,7,RECV,7E000F81000021024E333030312D45584253EA
05-08-2025 18:43:01.522,8,RECV,7E007D3381000043000BFFFFFFFFFFFFFFFF00000053489D
05-08-2025 18:43:01.670,9,RECV,7E000F81000021024E333030322D544E37330F
05-08-2025 18:43:01.720,10,RECV,7E000F81000042024E373030322D50365345D8
05-08-2025 18:43:01.771,11,RECV,7E000F81000021024E333030332D4D444A48F7
05-08-2025 18:43:01.871,12,RECV,7E000F81000043024E373030332D43543045E8
05-08-2025 18:43:01.872,13,RECV,7E000F81000043024E373030342D4F564442C8
05-08-2025 18:43:01.921,14,RECV,7E000F81000038024E383030312D58565954A5
05-08-2025 18:43:01.951,15,RECV,7E000F81000019024E343030332D32445558FE
05-08-2025 18:43:02.022,16,RECV,7E000F81000019024E343030342D553448331C
05-08-2025 18:43:02.473,17,RECV,7E000F81000019024E343030352D4E39304A1E
05-08-2025 18:43:02.523,18,RECV,7E000F81000038024E383030322D37515242E3
05-08-2025 18:43:02.573,19,RECV,7E000F81000021024E333030352D43585046E7
05-08-2025 18:43:02.624,20,RECV,7E000F81000042024E373030352D413637380D
05-08-2025 18:43:02.674,21,RECV,7E000F81000019024E343030362D474644420B
05-08-2025 18:43:02.724,22,RECV,7E000F81000038024E383030332D54333756EA
05-08-2025 18:43:02.740,23,RECV,7E000F81000041024E373030362D4E433537F6
05-08-2025 18:43:02.824,24,RECV,7E000F81000021024E333030362D5257554CCD
05-08-2025 18:43:02.875,25,RECV,7E000F81000038024E383030342D3232325512
05-08-2025 18:43:02.895,26,RECV,7E000F81000041024E373030372D4A513858C7
05-08-2025 18:43:02.975,27,RECV,7E000F81000021024E333030372D4C4D4E43EC
05-08-2025 18:43:02.975,28,RECV,7E000F81000041024E373030382D514A315ACB
05-08-2025 18:43:02.975,29,RECV,7E000F81000019024E343030372D5333553909
05-08-2025 18:43:03.175,30,RECV,7E000F81000021024E333030382D38525A41F0
05-08-2025 18:43:03.225,31,RECV,7E000F81000019024E343030382D5635365704
05-08-2025 18:43:03.226,32,RECV,7E000F81000021024E333030392D48484E58DE
05-08-2025 18:43:03.376,33,RECV,7E000F81000037024E383030352D4A465934E0
05-08-2025 18:43:03.427,34,RECV,7E000F81000021024E333031302D42565732FB
05-08-2025 18:43:03.431,35,RECV,7E000F81000021024E333031312D5737593202
05-08-2025 18:43:03.431,36,RECV,7E000F81000019024E343030392D30384B3137
05-08-2025 18:43:03.437,37,RECV,7E000F81000021024E333031322D35534E4DF7
05-08-2025 18:43:03.477,38,RECV,7E000F81000019024E343031302D57374D4503
05-08-2025 18:43:03.527,39,RECV,7E000F81000040024E373030392D5A455A599F
05-08-2025 18:43:03.728,40,RECV,7E000F81000040024E373031302D4C593548D7
05-08-2025 18:43:03.728,41,RECV,7E000F81000021024E333031332D414F323027
05-08-2025 18:43:03.778,42,RECV,7E000F81000040024E373031312D56494750C2
05-08-2025 18:43:03.807,43,RECV,7E000F81000019024E343031312D59425137FF
05-08-2025 18:43:03.807,44,RECV,7E000F81000040024E373031322D4C39514ED3
05-08-2025 18:43:03.828,45,RECV,7E000F81000019024E343031322D5145533008
05-08-2025 18:43:03.828,46,RECV,7E000F81000019024E343031332D58455449E6
05-08-2025 18:43:03.878,47,RECV,7E000F81000019024E343031342D4635474A7D33
05-08-2025 18:43:03.878,48,RECV,7E000F81000036024E383030362D4746373900
05-08-2025 18:43:03.879,49,RECV,7E000F81000019024E343031352D59414645F9
05-08-2025 18:43:03.879,50,RECV,7E000F81000036024E383030372D534E3546E0
05-08-2025 18:43:04.028,51,RECV,7E000F81000036024E383030382D53445836D6
05-08-2025 18:43:04.029,52,RECV,7E000F81000021024E333031342D453433422A
05-08-2025 18:43:04.179,53,RECV,7E000F81000019024E343031362D4C4C414EF6
05-08-2025 18:43:04.181,54,RECV,7E000F81000040024E373031332D534C3231F4
05-08-2025 18:43:04.229,55,RECV,7E000F81000021024E333031352D4136553417
05-08-2025 18:43:04.279,56,RECV,7E000F8100003F024E373031342D3134344A7D33
05-08-2025 18:43:04.279,57,RECV,7E000F81000040024E373031352D4532354BFD
05-08-2025 18:43:04.329,58,RECV,7E000F81000019024E343031372D30595641FC
05-08-2025 18:43:04.379,59,RECV,7E000F81000021024E333031362D524C4549EA
05-08-2025 18:43:04.379,60,RECV,7E000F81000021024E333031372D3452373820
05-08-2025 18:43:04.380,61,RECV,7E000F81000040024E373031362D314C395AE3
05-08-2025 18:43:04.479,62,RECV,7E000F81000019024E343031382D3848444116
05-08-2025 18:43:04.480,63,RECV,7E000F81000021024E333031382D4538434E06
05-08-2025 18:43:04.680,64,RECV,7E000F81000040024E373031372D4C393744F2
05-08-2025 18:43:04.781,65,RECV,7E000F81000019024E343031392D4837504FFC
05-08-2025 18:43:04.831,66,RECV,7E000F81000040024E373031382D4A584457B4
05-08-2025 18:43:04.834,67,RECV,7E000F81000021024E333031392D394C444703
05-08-2025 18:43:04.834,68,RECV,7E000F81000019024E343032302D414E4B54F4
05-08-2025 18:43:04.931,69,RECV,7E000F81000019024E343032312D354A4D3124
05-08-2025 18:43:04.931,70,RECV,7E000F81000035024E383030392D41424B46E7
05-08-2025 18:43:04.981,71,RECV,7E000F81000019024E343032322D4435464120
05-08-2025 18:43:05.031,72,RECV,7E000F81000019024E343032332D55544B46E5
05-08-2025 18:43:05.081,73,RECV,7E000F81000021024E333032302D44514C48F2
05-08-2025 18:43:05.132,74,RECV,7E000F81000036024E383031302D32584A51DD
05-08-2025 18:43:05.132,75,RECV,7E000F81000021024E333032312D59574A56CA
05-08-2025 18:43:05.182,76,RECV,7E000F81000036024E383031312D564F5555B2
05-08-2025 18:43:05.282,77,RECV,7E000F81000036024E383031322D5459464CC1
05-08-2025 18:43:05.282,78,RECV,7E000F81000021024E333032322D59445A48DA
05-08-2025 18:43:05.382,79,RECV,7E000F81000021024E333032332D5434535AE3
05-08-2025 18:43:05.382,80,RECV,7E000F81000021024E333032342D43435245FA
05-08-2025 18:43:05.432,81,RECV,7E000F81000021024E333032352D4443345605
05-08-2025 18:43:05.433,82,RECV,7E000F81000019024E343032342D544B5838EF
05-08-2025 18:43:05.433,83,RECV,7E000F81000019024E343032352D334C433922
05-08-2025 18:43:05.482,84,RECV,7E007D33810000210024FFFFFFFFFFFFFFFF0000005348A6
05-08-2025 18:43:05.483,85,RECV,7E007D33810000190024FFFFFFFFFFFFFFFF0000005348AE
05-08-2025 18:43:05.533,86,RECV,7E007D33810000350017FFFFFFFFFFFFFFFF00000053489F
05-08-2025 18:43:05.533,87,RECV,7E000F81000021024E333032362D5A58364FDE
05-08-2025 18:43:05.583,88,RECV,7E000F81000019024E343032362D4D36334D19
05-08-2025 18:43:05.583,89,RECV,7E007D3381000040001DFFFFFFFFFFFFFFFF00000053488E
05-08-2025 18:43:05.583,90,RECV,7E000F81000040024E373031392D30594B56C6
05-08-2025 18:43:05.584,91,RECV,7E000F81000040024E373032302D3036385505
05-08-2025 18:43:05.633,92,RECV,7E000F81000019024E343032372D344C373232
05-08-2025 18:43:05.733,93,RECV,7E000F81000019024E343032382D56485450D8
05-08-2025 18:43:05.783,94,RECV,7E000F81000019024E343032392D4538534504
05-08-2025 18:43:05.786,95,RECV,7E000F81000040024E373032312D325A504CCF
05-08-2025 18:43:05.834,96,RECV,7E000F81000021024E333032372D30574D58E8
05-08-2025 18:43:05.884,97,RECV,7E000F8100003F024E373032322D4F35313210
05-08-2025 18:43:05.934,98,RECV,7E000F81000021024E333032382D57474F4CDA
05-08-2025 18:43:05.984,99,RECV,7E000F81000035024E383031332D4F34545ACF
05-08-2025 18:43:05.985,100,RECV,7E000F81000035024E383031342D554E5954AF
05-08-2025 18:43:06.034,101,RECV,7E000F81000019024E343033302D51384356FF
05-08-2025 18:43:06.035,102,RECV,7E000F81000040024E373032332D424E5A4FBC
05-08-2025 18:43:06.035,103,RECV,7E000F81000019024E343033312D50535337F3
05-08-2025 18:43:06.035,104,RECV,7E000F81000040024E373032342D54324753D4
05-08-2025 18:43:06.385,105,RECV,7E000F81000019024E343033322D3043545AFE
05-08-2025 18:43:06.435,106,RECV,7E000F81000035024E383031352D31305A49FA
05-08-2025 18:43:06.486,107,RECV,7E000F81000035024E383031362D48423741FB
05-08-2025 18:43:06.535,108,RECV,7E000F8100003F024E373032352D3644384FF3
05-08-2025 18:43:06.586,109,RECV,7E000F81000021024E333032392D36344D4B10
05-08-2025 18:43:06.596,110,RECV,7E000F81000021024E333033302D53464A5ADD
05-08-2025 18:43:06.736,111,RECV,7E000F81000036024E383031372D37474456E3
05-08-2025 18:43:06.786,112,RECV,7E000F81000037024E383031382D4F483233FD
05-08-2025 18:43:06.887,113,RECV,7E000F81000040024E373032362D5A4A5855A1
05-08-2025 18:43:07.038,114,RECV,7E000F81000021024E333033312D384F47410A
05-08-2025 18:43:07.088,115,RECV,7E000F81000041024E373032372D54384531EE
05-08-2025 18:43:07.088,116,RECV,7E000F81000041024E373032382D32585937D5
05-08-2025 18:43:07.188,117,RECV,7E000F81000019024E343033332D375A36391E
05-08-2025 18:43:07.288,118,RECV,7E000F8100003F024E373032392D4E444650C8
05-08-2025 18:43:07.338,119,RECV,7E000F8100003F024E373033302D4F305A37E8
05-08-2025 18:43:07.389,120,RECV,7E000F8100003F024E373033312D39464D35F6
05-08-2025 18:43:07.489,121,RECV,7E000F8100003F024E373033322D4C504F58B3
05-08-2025 18:43:07.494,122,RECV,7E000F81000019024E343033342D4C475953DE
05-08-2025 18:43:07.539,123,RECV,7E000F8100003F024E373033332D38555530E3
05-08-2025 18:43:07.540,124,RECV,7E000F8100003F024E373033342D31464249F2
05-08-2025 18:43:07.590,125,RECV,7E000F81000021024E333033322D31334E471F
05-08-2025 18:43:07.640,126,RECV,7E000F81000035024E383031392D344C5049E1
05-08-2025 18:43:07.690,127,RECV,7E000F81000035024E383032302D4333453215
05-08-2025 18:43:07.840,128,RECV,7E000F81000021024E333033332D364B4354FF
05-08-2025 18:43:07.941,129,RECV,7E000F81000034024E383032312D545A4452BE
05-08-2025 18:43:07.941,130,RECV,7E000F81000034024E383032322D35414B3808
05-08-2025 18:43:08.041,131,RECV,7E000F81000021024E333033342D5454545AC0
05-08-2025 18:43:08.392,132,RECV,7E000F81000019024E343033352D5239334F0F
05-08-2025 18:43:08.542,133,RECV,7E000F81000021024E333033352D59335A36F9
05-08-2025 18:43:08.592,134,RECV,7E000F8100003F024E373033352D35573452E1
05-08-2025 18:43:08.703,135,RECV,7E000F81000019024E343033362D314F593210
05-08-2025 18:43:08.729,136,RECV,7E000F8100003F024E373033362D574A5955A3
05-08-2025 18:43:08.843,137,RECV,7E000F81000019024E343033372D5A525432E8
05-08-2025 18:43:08.943,138,RECV,7E000F81000036024E383032332D54525134D3
05-08-2025 18:43:09.064,139,RECV,7E000F81000019024E343033382D50555944D7
05-08-2025 18:43:09.094,140,RECV,7E000F81000021024E333033362D57414B41F0
05-08-2025 18:43:09.244,141,RECV,7E000F81000040024E373033372D4C53484DBC
05-08-2025 18:43:09.314,142,RECV,7E000F81000021024E333033372D30514B48FF
05-08-2025 18:43:09.344,143,RECV,7E000F81000019024E343033392D3450554AF5
05-08-2025 18:43:09.344,144,RECV,7E000F81000040024E373033382D58414454BE
