05-24-2025 10:42:29.825,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-24-2025 10:39:26.140,0,RECV,7E000F81000039024E353030312D3455384BF6
05-24-2025 10:39:26.189,1,RECV,7E007D3381000031000AFFFFFFFFFFFFFFFF0000005348B0
05-24-2025 10:39:26.190,2,RECV,7E000F81000021024E323030312D3131583330
05-24-2025 10:39:26.190,3,RECV,7E007D338100003A000BFFFFFFFFFFFFFFFF0000005348A6
05-24-2025 10:39:26.239,4,RECV,7E007D3181F9DF2302A8004E313030312D514657446A
05-24-2025 10:39:26.289,5,RECV,7E000F81000031024E363030312D4436493115
05-24-2025 10:39:26.339,6,RECV,7E000F81000030024E363030322D50414F4ADF
05-24-2025 10:39:26.691,7,RECV,7E000F8100003A024E353030322D34415641F4
05-24-2025 10:39:27.092,8,RECV,7E000F81000031024E363030332D4E58384ADF
05-24-2025 10:39:27.143,9,RECV,7E000F81000022024E323030322D55594755D1
05-24-2025 10:39:27.143,10,RECV,7E000F8100003A024E353030332D44555838D6
05-24-2025 10:39:27.193,11,RECV,7E000F81000031024E363030342D3756393709
05-24-2025 10:39:27.243,12,RECV,7E000F81000022024E323030332D5243374C02
05-24-2025 10:39:27.444,13,RECV,7E000F8100003A024E353030342D58535537C7
05-24-2025 10:39:27.494,14,RECV,7E000F8100003A024E353030352D4A424934F4
05-24-2025 10:39:27.494,15,RECV,7E000F81000031024E363030352D36545039F2
05-24-2025 10:39:27.494,16,RECV,7E000F81000022024E323030342D36474C450B
05-24-2025 10:39:27.596,17,RECV,7E000F8100003A024E353030362D3158525AC7
05-24-2025 10:39:27.646,18,RECV,7E000F81000031024E363030362D46534432F5
05-24-2025 10:39:27.696,19,RECV,7E007D3181F9DF2202A9004E313030322D4A50514868
05-24-2025 10:39:27.746,20,RECV,7E000F8100003A024E353030372D374F5432EF
05-24-2025 10:39:27.797,21,RECV,7E007D3181F9DF2302AA004E313030332D5931524775
05-24-2025 10:39:27.947,22,RECV,7E000F8100003A024E353030382D4A554742D2
05-24-2025 10:39:27.948,23,RECV,7E007D3181F9DF2302AB004E313030342D5846434A6B
05-24-2025 10:39:28.049,24,RECV,7E000F8100003A024E353030392D34494F52DB
05-24-2025 10:39:28.202,25,RECV,7E000F81000031024E363030372D59505433D3
05-24-2025 10:39:28.218,26,RECV,7E000F81000022024E323030352D584E504AD8
05-24-2025 10:39:28.401,27,RECV,7E000F8100003A024E353031302D48525159BD
05-24-2025 10:39:28.703,28,RECV,7E000F81000022024E323030362D4F505943DC
05-24-2025 10:39:28.753,29,RECV,7E000F81000022024E323030372D3250374914
05-24-2025 10:39:28.765,30,RECV,7E000F81000022024E323030382D354D5248F9
05-24-2025 10:39:28.853,31,RECV,7E000F81000038024E353031312D43444B54DC
05-24-2025 10:39:28.854,32,RECV,7E000F8100002D024E363030382D37465350E6
05-24-2025 10:39:28.905,33,RECV,7E000F81000022024E323030392D463148381D
05-24-2025 10:39:29.003,34,RECV,7E007D3181F9DF2302AC004E313030352D36334233B6
05-24-2025 10:39:29.054,35,RECV,7E000F81000022024E323031302D543047450C
05-24-2025 10:39:29.154,36,RECV,7E007D3181F9DF2202AD004E313030362D32305238A7
05-24-2025 10:39:29.204,37,RECV,7E000F8100002D024E363030392D5A384358D8
05-24-2025 10:39:29.254,38,RECV,7E000F81000036024E353031322D4B4E384FE3
05-24-2025 10:39:29.404,39,RECV,7E007D3181F9DF2302AE004E313030372D3948423499
05-24-2025 10:39:29.656,40,RECV,7E000F81000036024E353031332D57424C53CA
05-24-2025 10:39:29.756,41,RECV,7E000F8100002D024E363031302D484B33367D31
05-24-2025 10:39:29.756,42,RECV,7E007D3181F9DF2302AF004E313030382D3754464F6E
05-24-2025 10:39:29.856,43,RECV,7E000F81000022024E323031312D5A48314DFB
05-24-2025 10:39:29.906,44,RECV,7E000F81000036024E353031342D4F33524CE1
05-24-2025 10:39:29.957,45,RECV,7E007D3181F9DF2302B0004E313030392D4B45534F5A
05-24-2025 10:39:30.007,46,RECV,7E000F81000036024E353031352D435A3044EF
05-24-2025 10:39:30.016,47,RECV,7E007D3181F9DF2202B1004E313031302D3657304B8C
05-24-2025 10:39:30.057,48,RECV,7E007D3181F9DF2302B2004E313031312D3336504B8D
05-24-2025 10:39:30.067,49,RECV,7E000F8100002D024E363031312D314C5048F7
05-24-2025 10:39:30.157,50,RECV,7E000F8100002D024E363031322D31455449F8
05-24-2025 10:39:30.163,51,RECV,7E007D3181F9DF2202B3004E313031322D4C37423596
05-24-2025 10:39:30.207,52,RECV,7E007D338100002D0017FFFFFFFFFFFFFFFF0000005348A7
05-24-2025 10:39:30.207,53,RECV,7E007D3381000036001AFFFFFFFFFFFFFFFF00000053489B
05-24-2025 10:39:30.308,54,RECV,7E000F8100002D024E363031332D323648302A
05-24-2025 10:39:30.358,55,RECV,7E000F81000022024E323031322D52535347DB
05-24-2025 10:39:30.508,56,RECV,7E000F8100002D024E363031342D4A484932FC
05-24-2025 10:39:30.609,57,RECV,7E000F81000022024E323031332D364A435600
05-24-2025 10:39:30.630,58,RECV,7E000F81000022024E323031342D5A36424105
05-24-2025 10:39:30.659,59,RECV,7E007D3181F9DF2202B4004E313031332D56474C4C59
05-24-2025 10:39:30.870,60,RECV,7E000F81000036024E353031362D3341423316
05-24-2025 10:39:31.111,61,RECV,7E000F81000022024E323031352D44335A4501
05-24-2025 10:39:31.512,62,RECV,7E000F8100002D024E363031352D37314C460E
05-24-2025 10:39:31.516,63,RECV,7E000F81000022024E323031362D56354B4FF1
05-24-2025 10:39:31.562,64,RECV,7E000F81000022024E323031372D32364E411E
05-24-2025 10:39:31.663,65,RECV,7E007D3181F9DF2302B5004E313031342D4155455A56
05-24-2025 10:39:31.964,66,RECV,7E007D3181F9DF2302B6004E313031352D424F324A7C
05-24-2025 10:39:32.064,67,RECV,7E000F8100002D024E363031362D4C365938F4
05-24-2025 10:39:32.114,68,RECV,7E000F81000036024E353031372D4553394CE1
05-24-2025 10:39:32.215,69,RECV,7E000F81000022024E323031382D4547334A0B
05-24-2025 10:39:32.265,70,RECV,7E007D3181F9DF2302B7004E313031362D345442328B
05-24-2025 10:39:32.291,71,RECV,7E000F81000022024E323031392D4C595338E3
