05-24-2025 10:43:14.013,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-24-2025 10:39:26.051,0,RECV,7E000F81000022024E343030302D59563253E7
05-24-2025 10:39:26.056,1,RECV,7E000F8100001B024E333030302D4245314625
05-24-2025 10:39:26.100,2,RECV,7E000F81000042024E373030312D51453148E8
05-24-2025 10:39:26.101,3,RECV,7E007D3381000039000AFFFFFFFFFFFFFFFF0000005348A8
05-24-2025 10:39:26.150,4,RECV,7E007D3381000042000BFFFFFFFFFFFFFFFF00000053489E
05-24-2025 10:39:26.168,5,RECV,7E000F81000039024E383030312D56503735ED
05-24-2025 10:39:26.351,6,RECV,7E000F8100001B024E333030312D493437442A
05-24-2025 10:39:26.351,7,RECV,7E007D3381000022000AFFFFFFFFFFFFFFFF0000005348BF
05-24-2025 10:39:26.351,8,RECV,7E000F8100001B024E333030322D4138495708
05-24-2025 10:39:26.401,9,RECV,7E007D338100001B000CFFFFFFFFFFFFFFFF0000005348C4
05-24-2025 10:39:26.602,10,RECV,7E000F81000043024E373030322D493131301A
05-24-2025 10:39:26.753,11,RECV,7E000F81000022024E343030312D43554F45EE
05-24-2025 10:39:26.903,12,RECV,7E000F8100003B024E383030322D35534D43E4
05-24-2025 10:39:27.104,13,RECV,7E000F8100001B024E333030332D45365A3615
05-24-2025 10:39:27.204,14,RECV,7E000F8100003A024E383030342D56463554D6
05-24-2025 10:39:27.304,15,RECV,7E000F81000042024E373030332D514D4358BC
05-24-2025 10:39:27.706,16,RECV,7E000F8100001B024E333030342D474D304C0F
05-24-2025 10:39:27.728,17,RECV,7E000F8100001B024E333030352D545330390E
05-24-2025 10:39:27.756,18,RECV,7E000F8100001B024E333030362D373249587D33
05-24-2025 10:39:27.756,19,RECV,7E000F8100001B024E333030372D4330335125
05-24-2025 10:39:27.857,20,RECV,7E000F81000043024E373030342D4E4A5546C0
05-24-2025 10:39:28.057,21,RECV,7E000F8100003B024E383030352D5A324234F7
05-24-2025 10:39:28.208,22,RECV,7E000F8100003B024E383030362D3254314BF6
