05-04-2025 21:41:49.191,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 21:40:42.607,0,RECV,7E000F8100001B024E343030302D41505050F1
05-04-2025 21:40:42.612,1,RECV,7E007D3181F9DF1A0229004E313030302D30304F5422
05-04-2025 21:40:42.613,2,RECV,7E000F8100001B024E343030312D50594141F6
05-04-2025 21:40:42.613,3,RECV,7E000F8100001B024E343030322D33544D3517
05-04-2025 21:40:42.613,4,RECV,7E007D3181F9DF1C022A004E313030312D4B44415001
05-04-2025 21:40:42.613,5,RECV,7E000F8100001B024E343030332D46565559D5
05-04-2025 21:40:42.613,6,RECV,7E000F81000021024E323030312D57505653CD
05-04-2025 21:40:42.613,7,RECV,7E000F81000021024E323030322D344E465400
05-04-2025 21:40:42.613,8,RECV,7E000F81000023024E333030322D3141344C27
05-04-2025 21:40:42.613,9,RECV,7E007D3181F9DF1C022B004E313030322D363336344C
05-04-2025 21:40:42.614,10,RECV,7E007D3381000021000CFFFFFFFFFFFFFFFF0000005348BE
05-04-2025 21:40:42.614,11,RECV,7E007D3381000024000CFFFFFFFFFFFFFFFF0000005348BB
05-04-2025 21:40:42.614,12,RECV,7E007D3181F9DF1C022C004E313030332D4D515248E5
05-04-2025 21:40:42.614,13,RECV,7E000F81000021024E323030332D4E4E443803
05-04-2025 21:40:42.614,14,RECV,7E000F8100001B024E343030342D334A49490F
05-04-2025 21:40:42.614,15,RECV,7E000F8100001B024E343030352D5932573803
05-04-2025 21:40:42.614,16,RECV,7E000F8100001B024E343030362D374F563010
05-04-2025 21:40:42.614,17,RECV,7E000F8100001B024E343030372D53583749F0
05-04-2025 21:40:42.614,18,RECV,7E007D3181F9DF1C022D004E313030342D4730414122
05-04-2025 21:40:42.614,19,RECV,7E000F8100001B024E343030382D4A5A5252D2
05-04-2025 21:40:42.614,20,RECV,7E000F81000023024E333030342D345A5141F7
05-04-2025 21:40:42.614,21,RECV,7E000F8100001B024E343030392D30584E340F
05-04-2025 21:40:42.614,22,RECV,7E007D3181F9DF1C022E004E313030352D55504631FD
05-04-2025 21:40:42.614,23,RECV,7E000F81000021024E323030372D41374E4908
05-04-2025 21:40:42.614,24,RECV,7E007D3181F9DF1B022F004E313030362D41364A5502
05-04-2025 21:40:42.614,25,RECV,7E007D3181F9DF1B0230004E313030372D4C4F5641E4
05-04-2025 21:40:42.614,26,RECV,7E000F81000021024E323030392D4C525457CC
05-04-2025 21:40:42.614,27,RECV,7E000F8100001B024E343031312D5A4C4E4BE1
05-04-2025 21:40:42.614,28,RECV,7E000F8100001B024E343031322D30545054F7
05-04-2025 21:40:42.614,29,RECV,7E000F8100001B024E343031332D5A563959DC
05-04-2025 21:40:42.614,30,RECV,7E000F8100001B024E343031342D52523949F7
05-04-2025 21:40:42.614,31,RECV,7E007D3181F9DF1C0233004E313031302D3947514502
05-04-2025 21:40:42.621,32,RECV,7E000F81000020024E323031312D3150533514
05-04-2025 21:40:42.646,33,RECV,7E007D3181F9DF1C0235004E313031322D443045500B
05-04-2025 21:40:42.646,34,RECV,7E007D3181F9DF1B0236004E313031332D304346497D31
05-04-2025 21:40:42.766,35,RECV,7E007D3181F9DF1C0238004E313031352D49505742DC
05-04-2025 21:40:42.818,36,RECV,7E000F81000020024E323031332D4D4F5732F6
05-04-2025 21:40:42.851,37,RECV,7E007D3181F9DF1C0239004E313031362D3856324309
05-04-2025 21:40:42.851,38,RECV,7E000F8100001B024E343031372D354C464D06
05-04-2025 21:40:42.851,39,RECV,7E000F81000023024E333030392D483330547D33
05-04-2025 21:40:42.851,40,RECV,7E000F8100001B024E343031382D4F434148FE
05-04-2025 21:40:42.851,41,RECV,7E000F81000023024E333031302D35514A4DFD
05-04-2025 21:40:42.851,42,RECV,7E000F8100001B024E343031392D4A515450D9
05-04-2025 21:40:42.851,43,RECV,7E000F8100001B024E343032302D4A44544DF1
05-04-2025 21:40:42.851,44,RECV,7E000F8100001B024E343032312D434B583900
05-04-2025 21:40:42.851,45,RECV,7E000F8100001B024E343032322D33585646F7
05-04-2025 21:40:42.851,46,RECV,7E000F8100001B024E343032332D4A485850E3
05-04-2025 21:40:42.851,47,RECV,7E000F8100001B024E343032342D58494D4CE2
05-04-2025 21:40:42.852,48,RECV,7E007D3181F9DF1C023A004E313031372D41573546F7
05-04-2025 21:40:42.852,49,RECV,7E000F8100001A024E343032352D494A4F3703
05-04-2025 21:40:42.852,50,RECV,7E007D3181F9DF1C023B004E313031382D494A564CD3
05-04-2025 21:40:42.852,51,RECV,7E000F8100001A024E343032362D4F555048DF
05-04-2025 21:40:42.852,52,RECV,7E000F81000023024E333031322D5833394D07
05-04-2025 21:40:42.852,53,RECV,7E000F81000020024E323031382D424D513006
05-04-2025 21:40:42.852,54,RECV,7E007D3181F9DF1C023C004E313031392D554B4A44D8
05-04-2025 21:40:42.852,55,RECV,7E000F81000020024E323031392D4C3439500C
05-04-2025 21:40:42.852,56,RECV,7E000F81000023024E333031332D4B51335AEE
05-04-2025 21:40:42.852,57,RECV,7E000F8100001B024E343032372D54335951E8
05-04-2025 21:40:42.852,58,RECV,7E007D3181F9DF1C023D004E313032302D364B46337D33
05-04-2025 21:40:42.852,59,RECV,7E000F8100001B024E343032382D4E364C5AEE
05-04-2025 21:40:42.852,60,RECV,7E007D3181F9DF1C023E004E313032312D3055444200
05-04-2025 21:40:42.852,61,RECV,7E000F81000023024E333031342D394F5951E4
05-04-2025 21:40:42.852,62,RECV,7E000F81000020024E323032302D3452593905
05-04-2025 21:40:42.852,63,RECV,7E000F81000023024E333031352D3741384F16
05-04-2025 21:40:42.852,64,RECV,7E000F81000020024E323032312D444239530A
05-04-2025 21:40:42.852,65,RECV,7E000F8100001A024E343033302D34435359FD
05-04-2025 21:40:42.852,66,RECV,7E000F81000023024E333031372D474D433903
