05-04-2025 21:43:35.220,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 21:42:58.486,0,RECV,7E000F8100001B024E343030302D545A4D59CE
05-04-2025 21:42:58.487,1,RECV,7E007D3181F9DF1B028D004E313030302D5236565092
05-04-2025 21:42:58.487,2,RECV,7E000F8100001B024E343030312D4242583510
05-04-2025 21:42:58.488,3,RECV,7E000F81000019024E343030322D4D564858DF
05-04-2025 21:42:58.488,4,RECV,7E000F8100001B024E343030332D57505958C7
05-04-2025 21:42:58.488,5,RECV,7E007D3181F9DF1C028F004E313030322D434F3831C0
05-04-2025 21:42:58.488,6,RECV,7E000F8100001B024E343030342D32424C3727
05-04-2025 21:42:58.488,7,RECV,7E000F8100001B024E343030352D4F52314B00
05-04-2025 21:42:58.488,8,RECV,7E007D3181F9DF1C0290004E313030332D32593345B6
05-04-2025 21:42:58.488,9,RECV,7E000F81000021024E323030312D36595756E1
05-04-2025 21:42:58.488,10,RECV,7E000F8100001A024E343030362D4D394F4701
05-04-2025 21:42:58.488,11,RECV,7E000F81000021024E323030322D44354F470D
05-04-2025 21:42:58.488,12,RECV,7E000F8100001B024E343030372D32484D4E06
05-04-2025 21:42:58.488,13,RECV,7E007D3181F9DF1C0291004E313030342D38453530D5
05-04-2025 21:42:58.488,14,RECV,7E000F8100001B024E343030382D47534758E1
05-04-2025 21:42:58.488,15,RECV,7E007D3181F9DF1B0292004E313030352D5958504C69
05-04-2025 21:42:58.488,16,RECV,7E007D338100001B0012FFFFFFFFFFFFFFFF0000005348BE
05-04-2025 21:42:58.488,17,RECV,7E000F8100001B024E343030392D394F454C00
05-04-2025 21:42:58.488,18,RECV,7E000F8100001B024E343031302D374F4E3914
05-04-2025 21:42:58.488,19,RECV,7E000F81000022024E333030322D3644493720
05-04-2025 21:42:58.488,20,RECV,7E000F8100001A024E343031322D594D4C53DB
05-04-2025 21:42:58.489,21,RECV,7E000F81000022024E333030342D30375A5205
05-04-2025 21:42:58.489,22,RECV,7E000F8100001C024E343031332D3944353239
05-04-2025 21:42:58.489,23,RECV,7E000F81000020024E323030382D4C4537410E
05-04-2025 21:42:58.489,24,RECV,7E000F81000020024E323030392D43495455E1
05-04-2025 21:42:58.580,25,RECV,7E000F81000020024E323031302D3639453733
05-04-2025 21:42:58.583,26,RECV,7E000F8100001C024E343031342D39434C58FC
05-04-2025 21:42:58.583,27,RECV,7E007D3181F9DF1C0294004E313030372D30465445A2
