05-04-2025 21:44:02.438,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-04-2025 21:42:58.396,0,RECV,7E000F8100003B024E383030302D39584948DC
05-04-2025 21:42:58.396,1,RECV,7E000F8100003B024E383030332D32344A4407
05-04-2025 21:42:58.397,2,RECV,7E000F81000046024E373030322D334E5454C9
05-04-2025 21:42:58.397,3,RECV,7E000F81000045024E373030332D314D524FD3
05-04-2025 21:42:58.436,4,RECV,7E000F81000032024E363030312D535A4B39D7
05-04-2025 21:42:58.437,5,RECV,7E000F8100003B024E383030352D514C4F4AC3
05-04-2025 21:42:58.437,6,RECV,7E000F81000030024E363030322D4A475844DC
05-04-2025 21:42:58.437,7,RECV,7E007D3381000032000CFFFFFFFFFFFFFFFF0000005348AD
05-04-2025 21:42:58.437,8,RECV,7E000F8100003B024E383030362D42424F34F1
05-04-2025 21:42:58.437,9,RECV,7E000F81000031024E363030332D39355552F2
05-04-2025 21:42:58.446,10,RECV,7E000F8100003B024E383030382D36564642E2
05-04-2025 21:42:58.446,11,RECV,7E000F81000046024E373030372D454D494EC4
05-04-2025 21:42:58.446,12,RECV,7E000F81000045024E373030382D4F4B5452AD
05-04-2025 21:42:58.496,13,RECV,7E000F81000046024E373030392D4A544752B4
05-04-2025 21:42:58.496,14,RECV,7E000F81000031024E363030352D34344A427D31
05-04-2025 21:42:58.496,15,RECV,7E000F81000045024E373031332D39593745E3
05-04-2025 21:42:58.496,16,RECV,7E000F81000030024E363030382D56414C46DA
05-04-2025 21:42:58.497,17,RECV,7E000F81000031024E363030392D444D36300A
05-04-2025 21:42:58.497,18,RECV,7E000F8100003B024E383031342D3230314422
05-04-2025 21:42:58.549,19,RECV,7E000F8100003A024E383031362D5A544950B1
05-04-2025 21:42:58.570,20,RECV,7E000F81000030024E363031312D5A44374EE6
05-04-2025 21:42:58.583,21,RECV,7E000F81000030024E363031322D3238524C00
05-04-2025 21:42:58.583,22,RECV,7E000F81000031024E363031332D564C394EDD
05-04-2025 21:42:58.583,23,RECV,7E000F81000032024E363031342D444C4933F8
05-04-2025 21:42:58.583,24,RECV,7E000F8100003B024E383031372D4F503853CC
05-04-2025 21:42:58.583,25,RECV,7E000F81000030024E363031352D4C3330391D
05-04-2025 21:42:58.583,26,RECV,7E000F8100003B024E383031382D4F31514BD9
05-04-2025 21:42:58.583,27,RECV,7E000F81000045024E373032312D41385239EE
05-04-2025 21:42:58.583,28,RECV,7E000F81000030024E363031362D4B573353DC
05-04-2025 21:42:58.583,29,RECV,7E000F81000030024E363031372D574E594FB6
