05-05-2025 00:03:47.466,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-05-2025 00:02:48.439,0,RECV,7E000F8100007D33024E343030302D4D494E47FF
05-05-2025 00:02:48.439,1,RECV,7E000F81000010024E323030302D46554F53F2
05-05-2025 00:02:48.449,2,RECV,7E000F8100001A024E333030302D4544424712
05-05-2025 00:02:48.470,3,RECV,7E000F8100007D33024E343030312D56354F311E
05-05-2025 00:02:48.470,4,RECV,7E007D338100001A000AFFFFFFFFFFFFFFFF0000005348C7
05-05-2025 00:02:48.471,5,RECV,7E007D3381000010000AFFFFFFFFFFFFFFFF0000005348D1
05-05-2025 00:02:48.539,6,RECV,7E000F8100007D33024E343030322D3035394149
05-05-2025 00:02:48.589,7,RECV,7E007D3181F9DF1A0207004E313030312D4242435926
05-05-2025 00:02:48.589,8,RECV,7E000F8100007D33024E343030332D30454E4A1A
05-05-2025 00:02:48.599,9,RECV,7E000F8100007D33024E343030342D5039533416
05-05-2025 00:02:48.690,10,RECV,7E000F8100007D33024E343030352D345849440C
05-05-2025 00:02:48.692,11,RECV,7E000F8100007D33024E343030362D54533057F6
05-05-2025 00:02:48.740,12,RECV,7E000F81000010024E323030312D503349580A
05-05-2025 00:02:48.790,13,RECV,7E000F8100001A024E333030312D4D584851E5
05-05-2025 00:02:48.900,14,RECV,7E000F8100007D33024E343030372D44534C55EB
05-05-2025 00:02:48.950,15,RECV,7E000F8100007D33024E343030382D575A5131EF
05-05-2025 00:02:49.040,16,RECV,7E007D3181F9DF1A0208004E313030322D5A3342383D
05-05-2025 00:02:49.090,17,RECV,7E000F8100007D33024E343030392D58435659D7
05-05-2025 00:02:49.091,18,RECV,7E000F8100007D33024E343031302D3451495209
05-05-2025 00:02:49.091,19,RECV,7E007D3181F9DF1A0209004E313030332D304943394D
05-05-2025 00:02:49.191,20,RECV,7E007D3181F9DF1B020A004E313030342D374345344C
05-05-2025 00:02:49.291,21,RECV,7E000F8100001A024E333030322D41545854E1
05-05-2025 00:02:49.342,22,RECV,7E007D3181F9DF1B020B004E313030352D3336533150
05-05-2025 00:02:49.363,23,RECV,7E007D3181F9DF1B020C004E313030362D4A3747482B
05-05-2025 00:02:49.391,24,RECV,7E007D3181F9DF1A020D004E313030372D53354F471C
05-05-2025 00:02:49.542,25,RECV,7E000F8100007D33024E343031312D424D304920
05-05-2025 00:02:49.693,26,RECV,7E000F81000010024E323030322D3049384636
05-05-2025 00:02:49.743,27,RECV,7E000F81000010024E323030332D3139314C45
05-05-2025 00:02:49.843,28,RECV,7E007D3181F9DF1B020F004E313030392D5A364A5704
05-05-2025 00:02:49.893,29,RECV,7E007D3181F9DF1A0210004E313031302D534C5959EC
05-05-2025 00:02:49.943,30,RECV,7E000F8100001A024E333030332D4B485953E2
05-05-2025 00:02:49.993,31,RECV,7E000F8100007D33024E343031322D4F51414204
05-05-2025 00:02:50.094,32,RECV,7E000F8100007D33024E343031332D57414E4EF2
05-05-2025 00:02:50.118,33,RECV,7E007D3181F9DF1A027D31004E313031312D4C4D354D20
05-05-2025 00:02:50.244,34,RECV,7E000F8100001A024E333030342D3032534B20
05-05-2025 00:02:50.294,35,RECV,7E007D3181F9DF1B0212004E313031322D5356453218
05-05-2025 00:02:50.345,36,RECV,7E000F8100001A024E333030352D4F374E4308
05-05-2025 00:02:50.545,37,RECV,7E000F81000010024E323030342D46465657F2
05-05-2025 00:02:50.595,38,RECV,7E000F8100007D33024E343031342D363030315E
05-05-2025 00:02:50.646,39,RECV,7E007D3181F9DF1A027D33004E313031332D45594E4209
05-05-2025 00:02:50.756,40,RECV,7E000F81000010024E323030352D3334495327
05-05-2025 00:02:50.796,41,RECV,7E000F81000010024E323030362D344B313148
05-05-2025 00:02:50.846,42,RECV,7E000F8100007D33024E343031352D5041325A07
05-05-2025 00:02:50.896,43,RECV,7E007D3181F9DF1A0214004E313031342D54504D45FF
05-05-2025 00:02:50.946,44,RECV,7E000F8100007D33024E343031362D304542597D33
05-05-2025 00:02:50.996,45,RECV,7E000F8100007D33024E343031372D573132557D33
05-05-2025 00:02:51.097,46,RECV,7E000F81000019024E333030362D574F4546EE
05-05-2025 00:02:51.097,47,RECV,7E000F8100007D33024E343031382D45575534FC
05-05-2025 00:02:51.147,48,RECV,7E000F8100007D33024E343031392D4745375607
05-05-2025 00:02:51.197,49,RECV,7E000F81000010024E323030372D334F544A08
05-05-2025 00:02:51.347,50,RECV,7E000F81000019024E333030372D3933594415
05-05-2025 00:02:51.448,51,RECV,7E007D3181F9DF1A0215004E313031352D4A4249312D
05-05-2025 00:02:51.598,52,RECV,7E007D3181F9DF1A0216004E313031362D34594F5500
05-05-2025 00:02:51.629,53,RECV,7E000F8100007D33024E343032302D4F4C474DF9
05-05-2025 00:02:51.629,54,RECV,7E000F81000010024E323030382D4E4A553604
05-05-2025 00:02:51.698,55,RECV,7E000F81000010024E323030392D54595435F0
05-05-2025 00:02:51.798,56,RECV,7E000F8100001A024E333030382D51434353F2
05-05-2025 00:02:51.849,57,RECV,7E000F8100007D33024E343032312D4348473322
05-05-2025 00:02:51.849,58,RECV,7E000F8100007D33024E343032322D4850434605
05-05-2025 00:02:51.949,59,RECV,7E000F8100007D33024E343032332D323758537D31
05-05-2025 00:02:51.999,60,RECV,7E007D3181F9DF1A0217004E313031372D54374B4910
05-05-2025 00:02:51.999,61,RECV,7E000F8100007D33024E343032342D485444350F
05-05-2025 00:02:52.049,62,RECV,7E000F8100001A024E333030392D554E303018
05-05-2025 00:02:52.149,63,RECV,7E000F8100001A024E333031302D5A36393426
05-05-2025 00:02:52.250,64,RECV,7E000F81000010024E323031302D4A5A523404
05-05-2025 00:02:52.300,65,RECV,7E000F81000010024E323031312D3457574FFC
05-05-2025 00:02:52.300,66,RECV,7E000F81000010024E323031322D594A444500
05-05-2025 00:02:52.350,67,RECV,7E007D3181F9DF1B0218004E313031382D4146423330
