05-04-2025 22:01:35.945,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-04-2025 22:00:26.467,0,RECV,7E000F8100003A024E383030322D59594F54A8
05-04-2025 22:00:26.518,1,RECV,7E007D338100002E000AFFFFFFFFFFFFFFFF0000005348B3
05-04-2025 22:00:26.523,2,RECV,7E000F81000038024E383030332D3745473803
05-04-2025 22:00:26.523,3,RECV,7E000F8100003A024E353030312D354A4E42F2
05-04-2025 22:00:26.524,4,RECV,7E000F8100002E024E363030312D47364D57EB
05-04-2025 22:00:26.524,5,RECV,7E000F8100002E024E363030322D534B5737DF
05-04-2025 22:00:26.524,6,RECV,7E000F8100002E024E363030332D4E464C36F4
05-04-2025 22:00:26.524,7,RECV,7E000F8100003A024E353030322D534C3342EC
05-04-2025 22:00:26.550,8,RECV,7E000F8100003A024E353030332D3837393720
05-04-2025 22:00:26.570,9,RECV,7E000F8100003A024E353030352D45414936F8
05-04-2025 22:00:26.571,10,RECV,7E000F8100002E024E363030342D595A3854CA
05-04-2025 22:00:26.618,11,RECV,7E000F81000044024E373030352D34483856E7
05-04-2025 22:00:26.623,12,RECV,7E000F8100003A024E353030362D4C553630F5
05-04-2025 22:00:26.623,13,RECV,7E000F81000044024E373030362D4A394939EB
05-04-2025 22:00:26.624,14,RECV,7E000F81000043024E373030372D504A5148BD
05-04-2025 22:00:26.624,15,RECV,7E000F8100003A024E353030372D42524E4BCE
05-04-2025 22:00:26.624,16,RECV,7E000F81000043024E373030382D51493731ED
05-04-2025 22:00:26.624,17,RECV,7E000F81000044024E373030392D5150484FB5
05-04-2025 22:00:26.624,18,RECV,7E000F81000038024E383030362D51514158C0
05-04-2025 22:00:26.625,19,RECV,7E000F81000044024E373031302D4331304A07
05-04-2025 22:00:26.625,20,RECV,7E000F8100002E024E363030352D35574C3000
05-04-2025 22:00:26.668,21,RECV,7E000F81000032024E363030362D38575746D7
05-04-2025 22:00:26.671,22,RECV,7E000F81000046024E373031312D4A37494CDC
05-04-2025 22:00:26.671,23,RECV,7E000F81000030024E363030372D50584346D3
05-04-2025 22:00:26.672,24,RECV,7E000F8100002F024E363030382D53595839C7
05-04-2025 22:00:26.672,25,RECV,7E000F8100003D024E353030382D4D424236F0
05-04-2025 22:00:26.672,26,RECV,7E000F8100003E024E353030392D5A554335CE
05-04-2025 22:00:26.672,27,RECV,7E000F81000047024E373031322D53355247CF
05-04-2025 22:00:26.672,28,RECV,7E000F81000032024E363030392D345A3544F9
05-04-2025 22:00:26.718,29,RECV,7E000F81000048024E373031342D46524750BE
05-04-2025 22:00:26.856,30,RECV,7E000F8100003F024E353031312D464C524DCA
05-04-2025 22:00:26.857,31,RECV,7E000F81000048024E373031352D585A4633C1
05-04-2025 22:00:26.857,32,RECV,7E000F81000033024E363031302D4935594DE3
05-04-2025 22:00:26.858,33,RECV,7E000F81000032024E363031312D4537355204
05-04-2025 22:00:26.858,34,RECV,7E000F8100003F024E383031312D48575053B6
05-04-2025 22:00:26.858,35,RECV,7E000F81000047024E373031362D37325848E3
05-04-2025 22:00:26.858,36,RECV,7E000F81000048024E373031372D43464A52C5
05-04-2025 22:00:26.858,37,RECV,7E000F81000033024E363031332D344C424FF3
05-04-2025 22:00:26.858,38,RECV,7E000F81000040024E353031342D49464358CD
05-04-2025 22:00:26.858,39,RECV,7E000F81000049024E373031382D5A51584A9B
05-04-2025 22:00:26.858,40,RECV,7E000F81000048024E373031392D524D4A39C6
05-04-2025 22:00:26.858,41,RECV,7E000F8100003E024E383031322D3554374BED
05-04-2025 22:00:26.858,42,RECV,7E000F8100003E024E383031332D3730385008
05-04-2025 22:00:26.858,43,RECV,7E000F81000049024E373032302D3952494CCF
05-04-2025 22:00:26.858,44,RECV,7E000F81000033024E363031352D5A54564EB0
05-04-2025 22:00:26.858,45,RECV,7E000F81000040024E353031362D50354E4DD5
05-04-2025 22:00:26.858,46,RECV,7E000F81000049024E373032312D59345156BA
05-04-2025 22:00:26.858,47,RECV,7E000F81000040024E353031372D49454238EC
05-04-2025 22:00:26.858,48,RECV,7E000F81000033024E363031372D33423559FD
05-04-2025 22:00:26.858,49,RECV,7E000F8100003D024E383031342D415A5937CC
05-04-2025 22:00:26.858,50,RECV,7E000F8100003F024E353031382D3151383703
05-04-2025 22:00:26.918,51,RECV,7E000F8100003E024E353031392D31514954D5
05-04-2025 22:00:26.926,52,RECV,7E000F8100003E024E383031352D33395439FC
05-04-2025 22:00:26.968,53,RECV,7E000F81000032024E363031382D564C394BDA
05-04-2025 22:00:26.969,54,RECV,7E000F81000032024E363031392D48444B4DDB
05-04-2025 22:00:26.969,55,RECV,7E000F81000032024E363032302D494C494DDC
05-04-2025 22:00:26.969,56,RECV,7E000F81000032024E363032312D335A484DE4
05-04-2025 22:00:26.969,57,RECV,7E000F81000033024E363032322D54425651C7
05-04-2025 22:00:26.969,58,RECV,7E000F81000047024E373032332D35345759D5
05-04-2025 22:00:26.969,59,RECV,7E000F81000034024E363032332D52345143E8
05-04-2025 22:00:26.969,60,RECV,7E000F8100003E024E383031382D374B3158E7
05-04-2025 22:00:26.969,61,RECV,7E000F8100003D024E383031392D393033470F
05-04-2025 22:00:26.969,62,RECV,7E000F81000047024E373032352D4E444739DA
05-04-2025 22:00:26.969,63,RECV,7E000F8100003D024E383032302D38554B5AC8
05-04-2025 22:00:26.969,64,RECV,7E000F81000032024E363032352D43494547EA
05-04-2025 22:00:26.969,65,RECV,7E000F8100003D024E383032312D4E584C52B5
05-04-2025 22:00:26.979,66,RECV,7E000F81000047024E373032362D37594833E0
