05-04-2025 22:18:17.064,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-04-2025 22:17:31.038,0,RECV,7E000F8100001A024E343030302D4B544F3401
05-04-2025 22:17:31.045,1,RECV,7E000F8100001A024E343030312D46304A560C
05-04-2025 22:17:31.046,2,RECV,7E000F8100001A024E343030322D3053393530
05-04-2025 22:17:31.088,3,RECV,7E000F8100001E024E323030312D39495758EF
05-04-2025 22:17:31.088,4,RECV,7E007D338100001E000BFFFFFFFFFFFFFFFF0000005348C2
05-04-2025 22:17:31.089,5,RECV,7E007D338100001A000CFFFFFFFFFFFFFFFF0000005348C5
05-04-2025 22:17:31.089,6,RECV,7E000F8100001A024E343030332D534B564CE0
05-04-2025 22:17:31.099,7,RECV,7E007D3181F9DF1D0243004E313030312D58524859BC
05-04-2025 22:17:31.138,8,RECV,7E000F81000022024E333030312D4137514909
05-04-2025 22:17:31.140,9,RECV,7E000F81000022024E333030322D43464A54F3
05-04-2025 22:17:31.140,10,RECV,7E000F8100001A024E343030342D52454A3707
05-04-2025 22:17:31.140,11,RECV,7E000F8100001A024E343030352D5748464AEF
05-04-2025 22:17:31.188,12,RECV,7E000F81000023024E333030332D4C314953FF
05-04-2025 22:17:31.188,13,RECV,7E000F8100001A024E343030362D54595753C6
05-04-2025 22:17:31.188,14,RECV,7E007D3181F9DF1C0245004E313030332D433151310E
05-04-2025 22:17:31.188,15,RECV,7E000F8100001F024E323030322D503231313A
05-04-2025 22:17:31.189,16,RECV,7E000F81000023024E333030342D5047474DEC
05-04-2025 22:17:31.189,17,RECV,7E000F8100001F024E323030332D435345340E
05-04-2025 22:17:31.189,18,RECV,7E000F8100001B024E343030372D57595631E4
05-04-2025 22:17:31.189,19,RECV,7E000F8100001B024E343030382D47535935F2
05-04-2025 22:17:31.199,20,RECV,7E000F8100001F024E323030342D3843355616
05-04-2025 22:17:31.200,21,RECV,7E000F8100001F024E323030352D3159374416
05-04-2025 22:17:31.210,22,RECV,7E007D3181F9DF1C0246004E313030342D57395130F1
05-04-2025 22:17:31.257,23,RECV,7E000F8100001F024E323030372D58505148D8
05-04-2025 22:17:31.270,24,RECV,7E000F81000023024E333030352D5937355001
05-04-2025 22:17:31.270,25,RECV,7E007D3181F9DF1C0247004E313030352D56535247BE
05-04-2025 22:17:31.270,26,RECV,7E007D3181F9DF1C0248004E313030362D4B4A444ADB
05-04-2025 22:17:31.270,27,RECV,7E000F8100001A024E343030392D584D5155CF
05-04-2025 22:17:31.270,28,RECV,7E000F81000023024E333030362D4E485155D9
05-04-2025 22:17:31.288,29,RECV,7E000F8100001F024E323030382D5332384615
05-04-2025 22:17:31.289,30,RECV,7E000F8100001A024E343031302D4335315227
05-04-2025 22:17:31.290,31,RECV,7E000F8100001A024E343031312D443443570F
05-04-2025 22:17:31.290,32,RECV,7E000F8100001A024E343031322D4948414806
05-04-2025 22:17:31.290,33,RECV,7E000F8100001A024E343031332D384F59320D
05-04-2025 22:17:31.339,34,RECV,7E000F8100001A024E343031342D57435A51D9
05-04-2025 22:17:31.339,35,RECV,7E000F81000023024E333030372D3039494121
05-04-2025 22:17:31.339,36,RECV,7E000F8100001A024E343031352D314B483623
05-04-2025 22:17:31.380,37,RECV,7E007D3181F9DF1C0249004E313030372D444B4D46DA
05-04-2025 22:17:31.403,38,RECV,7E000F8100001A024E343031362D315A4652F9
05-04-2025 22:17:31.403,39,RECV,7E000F8100001F024E323031302D36564D4105
05-04-2025 22:17:31.403,40,RECV,7E000F81000023024E333030392D44524A42F0
05-04-2025 22:17:31.420,41,RECV,7E000F8100001F024E323031312D56534751DD
05-04-2025 22:17:31.423,42,RECV,7E000F8100001F024E323031322D494D314115
