05-04-2025 22:20:58.099,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-04-2025 22:19:21.612,0,RECV,7E000F8100003A024E383030302D42543443F2
05-04-2025 22:19:21.615,1,RECV,7E000F81000044024E373030312D56335234E6
05-04-2025 22:19:21.617,2,RECV,7E000F8100002F024E363030312D553739357D31
05-04-2025 22:19:21.617,3,RECV,7E000F8100003B024E353030312D51473356DF
05-04-2025 22:19:21.617,4,RECV,7E007D3381000039000AFFFFFFFFFFFFFFFF0000005348A8
05-04-2025 22:19:21.623,5,RECV,7E007D338100003B000BFFFFFFFFFFFFFFFF0000005348A5
05-04-2025 22:19:21.623,6,RECV,7E007D338100002F000BFFFFFFFFFFFFFFFF0000005348B1
05-04-2025 22:19:21.624,7,RECV,7E000F8100002F024E363030322D4442324210
05-04-2025 22:19:21.624,8,RECV,7E000F81000044024E373030322D53364737ED
05-04-2025 22:19:21.624,9,RECV,7E000F81000044024E373030332D36314355F4
05-04-2025 22:19:21.624,10,RECV,7E000F8100003A024E383030312D4A4C4639E9
05-04-2025 22:19:21.662,11,RECV,7E000F8100003B024E353030322D354F4A4EE3
05-04-2025 22:19:21.694,12,RECV,7E000F81000030024E363030332D4F444343EF
05-04-2025 22:19:21.712,13,RECV,7E000F81000044024E373030352D4B384152DB
05-04-2025 22:19:21.712,14,RECV,7E000F81000039024E383030322D464C454ADD
05-04-2025 22:19:21.712,15,RECV,7E000F8100002F024E363030342D53584C5AB7
05-04-2025 22:19:21.712,16,RECV,7E000F8100003A024E383030332D57344953D5
05-04-2025 22:19:21.712,17,RECV,7E000F8100002F024E363030352D554A4B37E6
05-04-2025 22:19:21.712,18,RECV,7E000F8100003B024E353030332D4E424C33EF
05-04-2025 22:19:21.712,19,RECV,7E000F8100003A024E383030342D454C4354D3
05-04-2025 22:19:21.712,20,RECV,7E000F8100003B024E353030342D4E4A4752CC
