05-09-2025 03:43:44.077,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-09-2025 03:42:52.237,0,RECV,7E000F8100002F024E363030302D55544D58BE
05-09-2025 03:42:52.237,1,RECV,7E000F81000034024E383030312D55305A55D0
05-09-2025 03:42:52.287,2,RECV,7E007D338100003E000AFFFFFFFFFFFFFFFF0000005348A3
05-09-2025 03:42:52.287,3,RECV,7E007D338100002D000AFFFFFFFFFFFFFFFF0000005348B4
05-09-2025 03:42:52.287,4,RECV,7E000F8100002D024E363030312D544B3252EA
05-09-2025 03:42:52.287,5,RECV,7E000F81000038024E353030312D4D325750DD
05-09-2025 03:42:52.287,6,RECV,7E007D3381000035000BFFFFFFFFFFFFFFFF0000005348AB
05-09-2025 03:42:52.287,7,RECV,7E000F8100002A024E363030322D54464B4DDD
05-09-2025 03:42:52.349,8,RECV,7E000F8100003E024E373030322D43545835D6
05-09-2025 03:42:52.359,9,RECV,7E000F81000036024E383030322D5A465332DC
05-09-2025 03:42:52.359,10,RECV,7E000F8100003E024E373030342D45534330ED
05-09-2025 03:42:52.359,11,RECV,7E000F8100002D024E363030332D54315056E0
05-09-2025 03:42:52.359,12,RECV,7E000F81000039024E353030322D42474445EF
05-09-2025 03:42:52.359,13,RECV,7E000F8100003F024E373030352D46483349EC
05-09-2025 03:42:52.360,14,RECV,7E000F81000039024E353030332D32544D4CE1
05-09-2025 03:42:52.360,15,RECV,7E000F8100003F024E373030362D42345343E9
05-09-2025 03:42:52.360,16,RECV,7E000F8100002B024E363030342D59354856E0
05-09-2025 03:42:52.360,17,RECV,7E000F8100003F024E373030372D4E4C5A35CB
05-09-2025 03:42:52.360,18,RECV,7E000F8100002D024E363030352D48483748FA
05-09-2025 03:42:52.360,19,RECV,7E000F8100003E024E373030382D3936384B02
05-09-2025 03:42:52.390,20,RECV,7E000F8100002B024E363030362D56384650E6
05-09-2025 03:42:52.391,21,RECV,7E000F81000035024E383030332D5A4B3756CF
05-09-2025 03:42:52.391,22,RECV,7E000F81000039024E353030342D4545515ACA
05-09-2025 03:42:52.391,23,RECV,7E000F81000029024E363030372D5733493305
05-09-2025 03:42:52.391,24,RECV,7E000F81000029024E363030382D524A353801
05-09-2025 03:42:52.391,25,RECV,7E000F8100003F024E373031302D324E423800
05-09-2025 03:42:52.391,26,RECV,7E000F8100002A024E363030392D30424E4503
05-09-2025 03:42:52.391,27,RECV,7E000F81000038024E353030362D57434638E6
05-09-2025 03:42:52.391,28,RECV,7E000F81000029024E363031302D374B414A04
05-09-2025 03:42:52.391,29,RECV,7E000F8100003F024E373031332D5039343901
05-09-2025 03:42:52.391,30,RECV,7E000F81000038024E353030372D4531305205
05-09-2025 03:42:52.431,31,RECV,7E000F81000038024E353030382D50334942EE
05-09-2025 03:42:52.433,32,RECV,7E000F81000035024E383030342D595A5853A2
05-09-2025 03:42:52.433,33,RECV,7E000F81000034024E383030352D5751524CBA
05-09-2025 03:42:52.433,34,RECV,7E000F81000038024E353030392D4D374E49E0
05-09-2025 03:42:52.433,35,RECV,7E000F8100003F024E373031352D4F575239C4
05-09-2025 03:42:52.437,36,RECV,7E000F81000029024E363031312D5A334F4FE5
05-09-2025 03:42:52.437,37,RECV,7E000F81000034024E383030362D50443959D9
05-09-2025 03:42:52.437,38,RECV,7E000F8100003E024E373031362D54434552C7
05-09-2025 03:42:52.487,39,RECV,7E000F8100002A024E363031322D37464E5AE9
05-09-2025 03:42:52.540,40,RECV,7E000F81000035024E383030372D3259394DEC
05-09-2025 03:42:52.540,41,RECV,7E000F81000039024E353031302D3047323227
05-09-2025 03:42:52.540,42,RECV,7E000F81000034024E383030382D3733505AE9
05-09-2025 03:42:52.540,43,RECV,7E000F81000034024E383030392D38383759FC
05-09-2025 03:42:52.540,44,RECV,7E000F81000034024E383031302D414C373709
05-09-2025 03:42:52.540,45,RECV,7E000F8100003E024E373031382D53504933D4
05-09-2025 03:42:52.540,46,RECV,7E000F81000034024E383031322D3949564DDD
05-09-2025 03:42:52.540,47,RECV,7E000F81000034024E383031332D32445059E2
05-09-2025 03:42:52.541,48,RECV,7E000F8100003F024E373031392D304D4631FD
05-09-2025 03:42:52.541,49,RECV,7E000F81000038024E353031322D4F304552EB
05-09-2025 03:42:52.541,50,RECV,7E000F8100002A024E363031332D354E464CF8
05-09-2025 03:42:52.548,51,RECV,7E000F81000039024E353031342D4E4A4E51C7
05-09-2025 03:42:52.548,52,RECV,7E000F8100003F024E373032302D4E33544CD8
05-09-2025 03:42:52.548,53,RECV,7E000F8100003F024E373032312D384A4348EB
05-09-2025 03:42:52.587,54,RECV,7E000F8100002B024E363031342D44334C54F4
05-09-2025 03:42:52.587,55,RECV,7E000F81000035024E383031342D42304C3908
05-09-2025 03:42:52.587,56,RECV,7E000F8100002A024E363031352D354A384E06
05-09-2025 03:42:52.587,57,RECV,7E000F81000034024E383031352D4F514C30E3
05-09-2025 03:42:52.648,58,RECV,7E000F81000035024E383031362D5A503958C2
05-09-2025 03:42:52.649,59,RECV,7E000F8100003F024E373032332D34544C47DB
05-09-2025 03:42:52.649,60,RECV,7E000F81000039024E353031352D4C5A4739D7
05-09-2025 03:42:52.649,61,RECV,7E000F81000035024E383031372D5A32383701
05-09-2025 03:42:52.649,62,RECV,7E000F81000040024E373032342D324E3357EA
05-09-2025 03:42:52.649,63,RECV,7E000F8100003F024E373032352D57315552C5
05-09-2025 03:42:52.650,64,RECV,7E000F8100003A024E353031362D5654384CCD
05-09-2025 03:42:52.650,65,RECV,7E000F81000039024E353031372D5A4C4547C9
05-09-2025 03:42:52.650,66,RECV,7E000F8100003F024E373032362D51445642C6
05-09-2025 03:42:52.650,67,RECV,7E000F8100003F024E373032372D41414F57CA
05-09-2025 03:42:52.651,68,RECV,7E000F8100002A024E363031362D414B4247F5
05-09-2025 03:42:52.651,69,RECV,7E000F8100003A024E353031382D424B4D44DB
05-09-2025 03:42:52.688,70,RECV,7E000F81000036024E383031392D4D424C4ED0
05-09-2025 03:42:52.731,71,RECV,7E000F8100002D024E363031372D4B47303212
05-09-2025 03:42:52.731,72,RECV,7E000F8100003A024E353031392D585A3654BC
05-09-2025 03:42:52.731,73,RECV,7E000F8100002A024E363031382D4E36323022
05-09-2025 03:42:52.731,74,RECV,7E000F8100002A024E363031392D564F394DDC
05-09-2025 03:42:52.731,75,RECV,7E000F8100003F024E373032392D36584C53C3
05-09-2025 03:42:52.732,76,RECV,7E000F81000036024E383032302D3446444CF7
05-09-2025 03:42:52.732,77,RECV,7E000F8100003A024E353032312D59393144F8
05-09-2025 03:42:52.732,78,RECV,7E000F81000040024E373033302D4E4E5448BF
05-09-2025 03:42:52.732,79,RECV,7E000F81000035024E383032312D4F395944DC
05-09-2025 03:42:52.732,80,RECV,7E000F81000036024E383032322D34534B46E7
05-09-2025 03:42:52.733,81,RECV,7E000F8100002A024E363032302D43593749F3
05-09-2025 03:42:52.733,82,RECV,7E000F8100003A024E353032322D47583649E0
05-09-2025 03:42:52.791,83,RECV,7E000F81000040024E373033322D59414E4CC1
05-09-2025 03:42:52.839,84,RECV,7E000F8100002A024E363032312D474B4B4EE3
05-09-2025 03:42:52.872,85,RECV,7E000F8100003A024E353032332D53343751EE
05-09-2025 03:42:52.872,86,RECV,7E000F81000036024E383032332D5342344AEB
05-09-2025 03:42:52.872,87,RECV,7E000F8100002A024E363032322D3639593114
05-09-2025 03:42:52.872,88,RECV,7E000F8100003A024E353032352D4B574F50BA
05-09-2025 03:42:52.872,89,RECV,7E000F8100003A024E353032362D49494953CC
05-09-2025 03:42:52.872,90,RECV,7E000F8100003A024E353032372D37444147F6
05-09-2025 03:42:52.872,91,RECV,7E000F8100003A024E353032382D3834354B0C
05-09-2025 03:42:52.872,92,RECV,7E000F8100002A024E363032332D4E593255DE
05-09-2025 03:42:52.872,93,RECV,7E000F81000035024E383032352D5733564ECF
05-09-2025 03:42:52.872,94,RECV,7E000F81000039024E353032392D32514C46E3
05-09-2025 03:42:52.872,95,RECV,7E000F81000035024E383032362D504F4E59B6
05-09-2025 03:42:52.872,96,RECV,7E000F81000039024E353033302D3638383327
05-09-2025 03:42:52.872,97,RECV,7E000F8100003A024E353033312D4C495646CD
05-09-2025 03:42:52.872,98,RECV,7E000F8100002A024E363032342D4247393712
05-09-2025 03:42:52.872,99,RECV,7E000F8100002A024E363032352D5A424C32F0
05-09-2025 03:42:52.873,100,RECV,7E000F81000035024E383032382D414B5051CD
05-09-2025 03:42:52.873,101,RECV,7E000F8100003F024E373033342D574B3259C7
05-09-2025 03:42:52.873,102,RECV,7E000F81000035024E383032392D454D3733FD
05-09-2025 03:42:52.873,103,RECV,7E000F81000039024E353033332D32433556FD
05-09-2025 03:42:52.888,104,RECV,7E000F8100003A024E353033342D4143424DE8
05-09-2025 03:42:52.888,105,RECV,7E000F8100003F024E373033362D33554350D7
05-09-2025 03:42:52.888,106,RECV,7E000F81000039024E353033352D5A374C48D6
05-09-2025 03:42:52.959,107,RECV,7E000F8100002B024E363032362D54515437D8
05-09-2025 03:42:52.964,108,RECV,7E000F81000039024E353033362D37534234FA
05-09-2025 03:42:52.964,109,RECV,7E000F81000035024E383033302D58504B58B6
05-09-2025 03:42:52.964,110,RECV,7E000F8100003F024E373033372D4332464FE7
05-09-2025 03:42:52.964,111,RECV,7E000F81000035024E383033312D4836363418
05-09-2025 03:42:52.964,112,RECV,7E000F8100002A024E363032372D56305337F8
05-09-2025 03:42:52.964,113,RECV,7E000F81000040024E373033382D33464F52D5
05-09-2025 03:42:52.964,114,RECV,7E000F81000039024E353033372D4C463643EE
05-09-2025 03:42:52.964,115,RECV,7E000F8100002A024E363032382D4754314EED
05-09-2025 03:42:52.964,116,RECV,7E000F8100003F024E373034302D4D493243EC
