05-09-2025 14:23:33.085,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-09-2025 14:22:54.130,0,RECV,7E000F8100001A024E343030302D4132504818
05-09-2025 14:22:54.131,1,RECV,7E000F81000021024E333030312D56595534E4
05-09-2025 14:22:54.132,2,RECV,7E007D3381000021000BFFFFFFFFFFFFFFFF0000005348BF
05-09-2025 14:22:54.133,3,RECV,7E007D338100001A000AFFFFFFFFFFFFFFFF0000005348C7
05-09-2025 14:22:54.139,4,RECV,7E007D338100001D000AFFFFFFFFFFFFFFFF0000005348C4
05-09-2025 14:22:54.140,5,RECV,7E000F8100001A024E343030312D4339494518
05-09-2025 14:22:54.140,6,RECV,7E000F81000021024E333030322D48465458E1
05-09-2025 14:22:54.178,7,RECV,7E000F81000021024E333030332D38354A451E
05-09-2025 14:22:54.229,8,RECV,7E000F8100001A024E343030322D5652324CFB
05-09-2025 14:22:54.229,9,RECV,7E000F8100001A024E343030332D5A554958D0
05-09-2025 14:22:54.239,10,RECV,7E007D3181F9DF1D02DE004E313030312D384C48524E
05-09-2025 14:22:54.279,11,RECV,7E000F8100001A024E343030342D434336392A
05-09-2025 14:22:54.280,12,RECV,7E000F8100001A024E343030352D45364A4514
05-09-2025 14:22:54.329,13,RECV,7E007D3181F9DF1D02E0004E313030332D4E5134593C
05-09-2025 14:22:54.347,14,RECV,7E000F8100001A024E343030362D52523554F0
05-09-2025 14:22:54.379,15,RECV,7E000F81000021024E333030342D3634354F2B
05-09-2025 14:22:54.379,16,RECV,7E000F8100001D024E323030322D525A4C4ADE
05-09-2025 14:22:54.399,17,RECV,7E007D3181F9DF1D02E1004E313030342D4A3630595D
05-09-2025 14:22:54.399,18,RECV,7E000F81000021024E333030362D36534C43FF
05-09-2025 14:22:54.399,19,RECV,7E000F8100001A024E343030372D47375350FB
05-09-2025 14:22:54.429,20,RECV,7E007D3181F9DF1D02E2004E313030352D4441364861
05-09-2025 14:22:54.429,21,RECV,7E007D3181F9DF1D02E3004E313030362D343230329A
05-09-2025 14:22:54.479,22,RECV,7E000F8100001A024E343030382D42434D59F0
05-09-2025 14:22:54.505,23,RECV,7E000F8100001A024E343030392D303643373A
05-09-2025 14:22:54.529,24,RECV,7E000F8100001E024E323030332D575A3354E6
05-09-2025 14:22:54.529,25,RECV,7E007D3181F9DF1D02E4004E313030372D5452314E3B
05-09-2025 14:22:54.579,26,RECV,7E007D3181F9DF1D02E5004E313030382D574F423343
05-09-2025 14:22:54.582,27,RECV,7E007D3181F9DF1D02E6004E313030392D31424A5748
05-09-2025 14:22:54.590,28,RECV,7E007D3181F9DF1D02E7004E313031302D4B4F45592B
05-09-2025 14:22:54.590,29,RECV,7E007D3181F9DF1D02E8004E313031312D3335465A59
05-09-2025 14:22:54.629,30,RECV,7E000F81000021024E333030372D584E5234EA
05-09-2025 14:22:54.630,31,RECV,7E000F81000021024E333030382D4D384358F5
05-09-2025 14:22:54.640,32,RECV,7E000F8100001A024E343031302D4C554E35FE
05-09-2025 14:22:54.640,33,RECV,7E000F81000021024E333030392D4E5A4E47D7
05-09-2025 14:22:54.680,34,RECV,7E000F81000021024E333031302D59534E44DE
05-09-2025 14:22:54.680,35,RECV,7E007D3181F9DF1E02E9004E313031322D5047313363
05-09-2025 14:22:54.680,36,RECV,7E000F8100001D024E323030342D345247470A
05-09-2025 14:22:54.681,37,RECV,7E000F81000021024E333031312D324D4D4C03
05-09-2025 14:22:54.731,38,RECV,7E000F8100001D024E323030352D4137414D17
05-09-2025 14:22:54.731,39,RECV,7E000F8100001D024E323030362D37494F50FD
05-09-2025 14:22:54.731,40,RECV,7E000F8100001D024E323030372D51455645EA
05-09-2025 14:22:54.731,41,RECV,7E000F8100001D024E323030382D51453953F8
05-09-2025 14:22:54.752,42,RECV,7E000F8100001D024E323030392D57504842E8
05-09-2025 14:22:54.781,43,RECV,7E000F81000021024E333031322D484F364A03
05-09-2025 14:22:54.831,44,RECV,7E000F81000021024E333031332D45395758EC
05-09-2025 14:22:54.831,45,RECV,7E000F8100001A024E343031312D594F423601
05-09-2025 14:22:54.831,46,RECV,7E007D3181F9DF1D02EA004E313031332D595A4B5708
