05-03-2025 18:03:38.728,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:03:05.962,0,RECV,7E000F8100003F024E383030302D3657344DEC
05-03-2025 18:03:05.964,1,RECV,7E000F81000049024E373030302D5051424EC0
05-03-2025 18:03:05.965,2,RECV,7E000F8100003F024E383030312D48304F57DB
05-03-2025 18:03:05.966,3,RECV,7E000F8100003F024E383030322D46575057B4
05-03-2025 18:03:05.966,4,RECV,7E000F8100003F024E383030332D334A4C37F7
05-03-2025 18:03:05.966,5,RECV,7E000F8100004A024E373030312D3148514ADB
05-03-2025 18:03:05.967,6,RECV,7E000F8100003F024E383030342D53544557B3
05-03-2025 18:03:05.967,7,RECV,7E000F8100003F024E383030352D4544554FC8
05-03-2025 18:03:05.967,8,RECV,7E000F8100003F024E383030362D31583845EE
05-03-2025 18:03:05.967,9,RECV,7E000F8100003E024E383030372D594B4D5AA9
05-03-2025 18:03:05.967,10,RECV,7E000F8100003F024E383030382D50475947BB
05-03-2025 18:03:05.968,11,RECV,7E000F8100003F024E383030392D47523859C7
05-03-2025 18:03:05.968,12,RECV,7E007D338100003E007D33FFFFFFFFFFFFFFFF00000053489A
05-03-2025 18:03:05.968,13,RECV,7E000F8100004A024E373030362D3047373309
05-03-2025 18:03:05.969,14,RECV,7E000F8100003F024E383031302D34334D3312
05-03-2025 18:03:05.969,15,RECV,7E000F8100003F024E383031312D31305858E7
05-03-2025 18:03:05.969,16,RECV,7E000F8100003E024E383031322D4F425752BE
05-03-2025 18:03:05.969,17,RECV,7E000F8100003E024E383031332D394F3550EA
05-03-2025 18:03:05.969,18,RECV,7E000F8100003E024E383031342D58574758A8
05-03-2025 18:03:05.969,19,RECV,7E000F8100003E024E383031352D37524541E6
05-03-2025 18:03:05.969,20,RECV,7E000F8100003E024E383031362D3644444FE7
05-03-2025 18:03:05.969,21,RECV,7E000F8100003E024E383031372D54514355B6
05-03-2025 18:03:05.970,22,RECV,7E000F81000049024E373031332D30314F4BF2
05-03-2025 18:03:05.970,23,RECV,7E000F8100004A024E373031342D5044434CC8
05-03-2025 18:03:05.970,24,RECV,7E000F8100004A024E373031352D4F443533EF
05-03-2025 18:03:05.977,25,RECV,7E000F8100003E024E383031382D41564F42CA
05-03-2025 18:03:05.980,26,RECV,7E000F8100004A024E373031362D5337304FE0
05-03-2025 18:03:05.980,27,RECV,7E000F81000049024E373031372D51343143F0
05-03-2025 18:03:05.980,28,RECV,7E000F8100003D024E383031392D48553844D9
05-03-2025 18:03:05.980,29,RECV,7E000F8100003E024E383032302D4141354DF5
05-03-2025 18:03:05.999,30,RECV,7E000F8100003E024E383032312D44474256D5
05-03-2025 18:03:05.999,31,RECV,7E000F81000048024E373031392D49455A33CD
05-03-2025 18:03:05.999,32,RECV,7E000F8100003D024E383032322D424C4E52CA
05-03-2025 18:03:05.999,33,RECV,7E000F8100003C024E383032332D304F334402
05-03-2025 18:03:06.000,34,RECV,7E000F8100003D024E383032342D47585045C2
05-03-2025 18:03:06.000,35,RECV,7E000F8100003D024E383032352D34515856C2
05-03-2025 18:03:06.000,36,RECV,7E000F81000049024E373032342D374C3537FC
05-03-2025 18:03:06.062,37,RECV,7E000F8100003D024E383032362D5A335A43CA
05-03-2025 18:03:06.062,38,RECV,7E000F81000049024E373032352D34574953C3
05-03-2025 18:03:06.062,39,RECV,7E000F8100003D024E383032372D49533631F0
05-03-2025 18:03:06.112,40,RECV,7E000F81000048024E373032362D4C554350B6
05-03-2025 18:03:06.113,41,RECV,7E000F8100003D024E383032382D55324D57C7
05-03-2025 18:03:06.113,42,RECV,7E000F8100003D024E383032392D4A48534FBD
05-03-2025 18:03:06.113,43,RECV,7E000F8100003C024E383033302D3349445AE0
05-03-2025 18:03:06.113,44,RECV,7E000F8100003D024E383033312D34555632E7
05-03-2025 18:03:06.113,45,RECV,7E000F8100003D024E383033322D46545647C0
05-03-2025 18:03:06.114,46,RECV,7E000F8100003D024E383033332D4C573748D4
05-03-2025 18:03:06.114,47,RECV,7E000F8100003D024E383033342D34545642D5
05-03-2025 18:03:06.114,48,RECV,7E000F8100003D024E383033352D5A544752AD
05-03-2025 18:03:06.114,49,RECV,7E000F8100003D024E383033362D31514435F8
05-03-2025 18:03:06.114,50,RECV,7E000F8100003C024E383033372D53395935D9
05-03-2025 18:03:06.115,51,RECV,7E000F8100003D024E383033382D54375846C8
05-03-2025 18:03:06.115,52,RECV,7E000F8100003C024E383033392D48425237DE
05-03-2025 18:03:06.116,53,RECV,7E000F8100003E024E383034302D37515650C9
05-03-2025 18:03:06.117,54,RECV,7E000F8100003E024E383034312D4A585446BA
05-03-2025 18:03:06.117,55,RECV,7E000F8100003E024E383034322D574A5A48B2
05-03-2025 18:03:06.118,56,RECV,7E000F8100003D024E383034332D4A445041D6
05-03-2025 18:03:06.118,57,RECV,7E000F8100003D024E383034342D4C4D3947DB
05-03-2025 18:03:06.118,58,RECV,7E000F8100003D024E383034352D56504F4DB1
05-03-2025 18:03:06.118,59,RECV,7E000F8100003D024E383034362D51393459DB
05-03-2025 18:03:06.119,60,RECV,7E000F81000048024E373034332D4641304EE6
05-03-2025 18:03:06.119,61,RECV,7E000F81000048024E373034342D30565558B7
05-03-2025 18:03:06.212,62,RECV,7E000F8100003D024E383034372D324C5545D9
05-03-2025 18:03:06.214,63,RECV,7E000F8100003D024E383034382D444A4B57C0
05-03-2025 18:03:06.214,64,RECV,7E000F8100003D024E383034392D5A43565AA2
05-03-2025 18:03:06.214,65,RECV,7E000F8100003D024E383035302D4F564E4EB6
05-03-2025 18:03:06.214,66,RECV,7E000F8100003D024E383035312D35504B52D4
05-03-2025 18:03:06.214,67,RECV,7E000F8100003D024E383035322D55484856BA
05-03-2025 18:03:06.214,68,RECV,7E000F8100003D024E383035332D56354A51CE
05-03-2025 18:03:06.214,69,RECV,7E000F8100003D024E383035342D30534330FD
05-03-2025 18:03:06.214,70,RECV,7E000F8100003D024E383035352D54355241D6
05-03-2025 18:03:06.214,71,RECV,7E000F81000047024E373035322D55514B35C6
05-03-2025 18:03:06.214,72,RECV,7E000F8100003D024E383035362D3931325005
05-03-2025 18:03:06.214,73,RECV,7E000F81000048024E373035332D37313658F4
05-03-2025 18:03:06.214,74,RECV,7E000F81000048024E373035342D4B59394AC2
05-03-2025 18:03:06.214,75,RECV,7E000F8100003D024E383035372D39514639E7
05-03-2025 18:03:06.214,76,RECV,7E000F8100003E024E383035382D4E33424CDF
05-03-2025 18:03:06.214,77,RECV,7E000F8100003D024E383035392D49413849E3
05-03-2025 18:03:06.214,78,RECV,7E000F8100003E024E383036302D3457304AF0
05-03-2025 18:03:06.214,79,RECV,7E000F81000049024E373035362D375A4932DA
05-03-2025 18:03:06.234,80,RECV,7E000F8100003E024E383036322D315A5551C2
05-03-2025 18:03:06.234,81,RECV,7E000F8100003E024E383036332D514B3152D3
05-03-2025 18:03:06.234,82,RECV,7E000F8100003E024E383036342D484D4144D7
05-03-2025 18:03:06.234,83,RECV,7E000F8100003E024E383036352D51423758CE
05-03-2025 18:03:06.234,84,RECV,7E000F8100003E024E383036362D4C4C4244D1
05-03-2025 18:03:06.234,85,RECV,7E000F8100003D024E383036382D54343247ED
05-03-2025 18:03:06.318,86,RECV,7E000F8100003E024E383036392D56374241DC
05-03-2025 18:03:06.367,87,RECV,7E000F8100003E024E383037302D34515543D7
05-03-2025 18:03:06.367,88,RECV,7E000F81000049024E373036312D58474E4AB3
05-03-2025 18:03:06.367,89,RECV,7E000F81000049024E373036322D38395841DF
05-03-2025 18:03:06.367,90,RECV,7E000F8100003E024E383037312D51314147E9
05-03-2025 18:03:06.367,91,RECV,7E000F81000049024E373036332D4E513344D2
05-03-2025 18:03:06.367,92,RECV,7E000F8100003E024E383037322D44563950CF
05-03-2025 18:03:06.367,93,RECV,7E000F8100003E024E383037332D4B47384ADD
05-03-2025 18:03:06.367,94,RECV,7E000F8100003E024E383037342D545A4633C9
05-03-2025 18:03:06.367,95,RECV,7E000F8100004A024E373036362D4253374CCC
05-03-2025 18:03:06.367,96,RECV,7E000F8100003D024E383037352D5556595399
05-03-2025 18:03:06.367,97,RECV,7E000F81000049024E373036382D32584145D3
05-03-2025 18:03:06.368,98,RECV,7E000F8100003F024E383037362D3548394CEB
05-03-2025 18:03:06.368,99,RECV,7E000F8100003E024E383037372D394A4C51CD
05-03-2025 18:03:06.368,100,RECV,7E000F8100003E024E383037382D334A353901
05-03-2025 18:03:06.380,101,RECV,7E000F8100003E024E383037392D34334949F2
05-03-2025 18:03:06.381,102,RECV,7E000F8100004A024E373036392D39414E35E4
05-03-2025 18:03:06.382,103,RECV,7E000F8100003D024E383038302D47564B44C8
05-03-2025 18:03:06.382,104,RECV,7E000F8100004A024E373037302D45314E44E1
05-03-2025 18:03:06.382,105,RECV,7E000F8100003F024E383038312D59574F51A1
05-03-2025 18:03:06.382,106,RECV,7E000F81000049024E373037312D454A4735DE
05-03-2025 18:03:06.382,107,RECV,7E000F81000049024E373037322D51455943B6
05-03-2025 18:03:06.382,108,RECV,7E000F81000049024E373037332D58325357B3
05-03-2025 18:03:06.382,109,RECV,7E000F8100003E024E383038322D5047464EC6
05-03-2025 18:03:06.382,110,RECV,7E000F81000049024E373037342D57354739DA
05-03-2025 18:03:06.382,111,RECV,7E000F8100003F024E383038332D30424B36FC
05-03-2025 18:03:06.382,112,RECV,7E000F8100003E024E383038342D564A4145C9
05-03-2025 18:03:06.382,113,RECV,7E000F8100003E024E383038352D32463759E6
05-03-2025 18:03:06.382,114,RECV,7E000F8100003E024E383038362D424F4D4AC5
05-03-2025 18:03:06.382,115,RECV,7E000F8100004A024E373037382D344B3136FB
05-03-2025 18:03:06.382,116,RECV,7E000F8100004A024E373037392D4D364D33DD
05-03-2025 18:03:06.390,117,RECV,7E000F8100003F024E383038372D323436311E
05-03-2025 18:03:06.390,118,RECV,7E000F8100003F024E383038382D4F4E544DAC
05-03-2025 18:03:06.390,119,RECV,7E000F8100003F024E383038392D3857464DC7
05-03-2025 18:03:06.390,120,RECV,7E000F8100003F024E383039302D344A4351DF
