05-03-2025 18:13:57.447,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:13:18.724,0,RECV,7E000F8100003F024E383030302D4C3031430A
05-03-2025 18:13:18.725,1,RECV,7E000F81000035024E363030302D4455314DEF
05-03-2025 18:13:18.806,2,RECV,7E000F8100004A024E373030302D5338364DE2
05-03-2025 18:13:18.809,3,RECV,7E000F8100003E024E383030312D4C4A5537D8
05-03-2025 18:13:18.810,4,RECV,7E000F8100003F024E383030322D59584D5AA0
05-03-2025 18:13:18.810,5,RECV,7E000F81000034024E363030312D55505736D4
05-03-2025 18:13:18.810,6,RECV,7E000F8100003F024E383030332D5A393542ED
05-03-2025 18:13:18.810,7,RECV,7E000F8100004A024E373030332D57535337B9
05-03-2025 18:13:18.810,8,RECV,7E007D338100003F000DFFFFFFFFFFFFFFFF00000053489F
05-03-2025 18:13:18.810,9,RECV,7E000F81000034024E363030322D4D344D50E7
05-03-2025 18:13:18.810,10,RECV,7E000F8100003E024E383030342D54514D4CB9
05-03-2025 18:13:18.810,11,RECV,7E000F8100004A024E373030352D4B594A55A8
05-03-2025 18:13:18.810,12,RECV,7E000F8100003E024E383030352D48443057E3
05-03-2025 18:13:18.810,13,RECV,7E000F81000034024E363030332D5A5A4E47BB
05-03-2025 18:13:18.810,14,RECV,7E000F8100003F024E383030362D35325948EC
05-03-2025 18:13:18.810,15,RECV,7E000F81000035024E363030342D4F454A44E0
05-03-2025 18:13:18.810,16,RECV,7E000F81000034024E363030352D46394E5ADB
05-03-2025 18:13:18.810,17,RECV,7E000F81000034024E363030362D4E463650E7
05-03-2025 18:13:18.810,18,RECV,7E000F81000035024E363030372D50315131FC
05-03-2025 18:13:18.810,19,RECV,7E000F81000034024E363030382D32355458EC
05-03-2025 18:13:18.811,20,RECV,7E000F81000035024E363030392D4150554EC9
05-03-2025 18:13:18.811,21,RECV,7E007D3381000034007D33FFFFFFFFFFFFFFFF0000005348A4
05-03-2025 18:13:18.811,22,RECV,7E000F81000035024E363031302D3643543206
05-03-2025 18:13:18.811,23,RECV,7E000F81000036024E363031312D4E5A424ACF
05-03-2025 18:13:18.811,24,RECV,7E000F81000035024E363031322D54454A50D0
05-03-2025 18:13:18.811,25,RECV,7E000F81000036024E363031332D4E38584AD9
05-03-2025 18:13:18.811,26,RECV,7E000F81000034024E363031342D56365044E2
05-03-2025 18:13:18.900,27,RECV,7E000F81000034024E363031352D374933321C
05-03-2025 18:13:18.900,28,RECV,7E000F8100004A024E373031342D474C4C59B3
05-03-2025 18:13:18.900,29,RECV,7E000F81000034024E363031362D3349473508
05-03-2025 18:13:18.900,30,RECV,7E000F8100003F024E383031342D3452454BDF
05-03-2025 18:13:18.900,31,RECV,7E000F81000040024E383031352D394E3249F1
05-03-2025 18:13:18.900,32,RECV,7E000F8100004A024E373031352D5A434B34CE
05-03-2025 18:13:18.901,33,RECV,7E000F8100003F024E383031362D474D3435F6
05-03-2025 18:13:18.901,34,RECV,7E000F8100003F024E383031372D4E4C5A57A7
05-03-2025 18:13:18.901,35,RECV,7E000F8100004A024E373031362D32565558B4
05-03-2025 18:13:18.901,36,RECV,7E000F8100003F024E383031382D30364449FE
05-03-2025 18:13:18.901,37,RECV,7E000F81000034024E363031372D4F454B36EA
05-03-2025 18:13:18.901,38,RECV,7E000F81000034024E363031382D52585458A8
05-03-2025 18:13:18.901,39,RECV,7E000F8100004A024E373031372D33474948DD
05-03-2025 18:13:18.901,40,RECV,7E000F8100003F024E383032312D3137354A10
05-03-2025 18:13:18.901,41,RECV,7E000F81000035024E363031392D3630514EF7
05-03-2025 18:13:18.901,42,RECV,7E000F8100003E024E383032332D4E524F56B1
05-03-2025 18:13:18.901,43,RECV,7E000F8100003E024E383032342D4F573248D5
05-03-2025 18:13:18.901,44,RECV,7E000F81000034024E363032302D5A47494CCF
05-03-2025 18:13:18.901,45,RECV,7E000F8100003F024E383032352D44444F34E8
05-03-2025 18:13:18.901,46,RECV,7E000F8100003F024E383032362D45473433FF
05-03-2025 18:13:18.901,47,RECV,7E000F8100003F024E383032372D47324F38F1
05-03-2025 18:13:18.901,48,RECV,7E000F81000034024E363032312D554F3739F0
05-03-2025 18:13:18.901,49,RECV,7E000F8100003F024E383032382D45323259EE
05-03-2025 18:13:18.901,50,RECV,7E000F8100003F024E383032392D54475638C6
05-03-2025 18:13:18.902,51,RECV,7E000F81000035024E363032322D375A4848E1
05-03-2025 18:13:18.902,52,RECV,7E000F8100003F024E383033302D50424746D8
05-03-2025 18:13:19.003,53,RECV,7E000F81000034024E363032332D43523741F5
05-03-2025 18:13:19.008,54,RECV,7E000F8100003E024E383033312D46354E53DB
05-03-2025 18:13:19.008,55,RECV,7E000F81000035024E363032342D4C314554EA
05-03-2025 18:13:19.008,56,RECV,7E000F8100003F024E383033322D5348384ED4
05-03-2025 18:13:19.008,57,RECV,7E000F81000034024E363032352D38414A52EB
05-03-2025 18:13:19.008,58,RECV,7E000F8100003F024E383033332D4549554FC2
05-03-2025 18:13:19.008,59,RECV,7E000F8100003F024E383033342D53354137F3
05-03-2025 18:13:19.008,60,RECV,7E000F81000035024E363032362D52324E50DC
05-03-2025 18:13:19.008,61,RECV,7E000F8100003E024E383033352D424E5341CF
05-03-2025 18:13:19.008,62,RECV,7E000F81000034024E363032372D3359314DF4
05-03-2025 18:13:19.009,63,RECV,7E000F81000034024E363032382D49544F52BF
05-03-2025 18:13:19.009,64,RECV,7E000F81000035024E363032392D4749333008
05-03-2025 18:13:19.009,65,RECV,7E000F8100003F024E383033392D3031333624
05-03-2025 18:13:19.009,66,RECV,7E000F81000034024E363033302D3037355315
05-03-2025 18:13:19.009,67,RECV,7E000F8100003F024E383034302D35533944F1
05-03-2025 18:13:19.009,68,RECV,7E000F81000034024E363033312D464F4D54CD
05-03-2025 18:13:19.009,69,RECV,7E000F8100004A024E373033322D414B4145D9
05-03-2025 18:13:19.009,70,RECV,7E000F8100003E024E383034322D31475445E4
05-03-2025 18:13:19.009,71,RECV,7E000F81000034024E363033322D43445244E5
05-03-2025 18:13:19.009,72,RECV,7E000F8100003F024E383034332D35464C50DC
05-03-2025 18:13:19.009,73,RECV,7E000F81000034024E363033332D59433641EE
