05-03-2025 17:49:03.688,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 17:45:55.185,0,RECV,7E000F8100004D024E373030302D36523353DF
05-03-2025 17:45:55.191,1,RECV,7E000F8100004D024E373030312D504A3934E5
05-03-2025 17:45:55.192,2,RECV,7E000F8100004D024E373030322D36414948E3
05-03-2025 17:45:55.237,3,RECV,7E000F8100004D024E373030332D39484550D4
05-03-2025 17:45:55.238,4,RECV,7E000F8100004D024E373030342D4F544F37C0
05-03-2025 17:45:55.238,5,RECV,7E000F8100004D024E373030352D55344157C7
05-03-2025 17:45:55.238,6,RECV,7E000F8100004D024E373030362D49353537FD
05-03-2025 17:45:55.238,7,RECV,7E000F8100004D024E373030372D4F423847D6
05-03-2025 17:45:55.238,8,RECV,7E000F8100004D024E373030382D56595837A7
05-03-2025 17:45:55.238,9,RECV,7E000F8100004D024E373030392D37463243F2
05-03-2025 17:45:55.239,10,RECV,7E000F8100004C024E373031302D4E4B4C4FB9
05-03-2025 17:45:55.239,11,RECV,7E000F8100004D024E373031312D5A4B4854AA
05-03-2025 17:45:55.239,12,RECV,7E000F8100004D024E373031322D4E355156C0
05-03-2025 17:45:55.260,13,RECV,7E000F8100004C024E373031342D49574A48B7
05-03-2025 17:45:55.260,14,RECV,7E000F8100004C024E373031352D524C4D31CC
05-03-2025 17:45:55.260,15,RECV,7E000F8100004C024E373031362D4A4C514DB3
05-03-2025 17:45:55.270,16,RECV,7E000F8100004C024E373031372D38535050BB
05-03-2025 17:45:55.271,17,RECV,7E000F8100004D024E373031382D46585437BB
05-03-2025 17:45:55.271,18,RECV,7E000F8100004C024E373031392D48563931DC
05-03-2025 17:45:55.286,19,RECV,7E000F8100004C024E373032312D4C425355B5
05-03-2025 17:45:55.287,20,RECV,7E000F8100004D024E373032322D4B4B3851CA
05-03-2025 17:45:55.341,21,RECV,7E000F8100004B024E373032332D58584A5898
05-03-2025 17:45:55.374,22,RECV,7E000F8100004C024E373032342D59494B4BB0
05-03-2025 17:45:55.375,23,RECV,7E000F8100004B024E373032352D58464139D0
05-03-2025 17:45:55.375,24,RECV,7E000F8100004D024E373032362D4D33414FD5
05-03-2025 17:45:55.375,25,RECV,7E000F8100004C024E373032372D42564444C5
05-03-2025 17:45:55.375,26,RECV,7E000F8100004C024E373032382D4A523750C1
05-03-2025 17:45:55.375,27,RECV,7E000F8100004C024E373032392D4C433747D6
05-03-2025 17:45:55.391,28,RECV,7E000F8100004C024E373033302D49304247E9
05-03-2025 17:45:55.392,29,RECV,7E000F8100004B024E373033312D3535334608
05-03-2025 17:45:55.392,30,RECV,7E000F8100004C024E373033322D5A493443CF
05-03-2025 17:45:55.392,31,RECV,7E000F8100004C024E373033332D3637323910
05-03-2025 17:45:55.393,32,RECV,7E000F8100004B024E373033342D484B4E48BF
05-03-2025 17:45:55.393,33,RECV,7E000F8100004B024E373033352D30434D37F0
05-03-2025 17:45:55.441,34,RECV,7E000F8100004B024E373033362D5A57584B92
05-03-2025 17:45:55.442,35,RECV,7E000F8100004B024E373033372D47464631E1
05-03-2025 17:45:55.442,36,RECV,7E000F8100004C024E373033382D34465653C0
05-03-2025 17:45:55.442,37,RECV,7E000F8100004B024E373033392D464B3637E5
05-03-2025 17:45:55.442,38,RECV,7E000F8100004C024E373034302D304E5145D6
05-03-2025 17:45:55.442,39,RECV,7E000F8100004B024E373034312D3435354B01
05-03-2025 17:45:55.442,40,RECV,7E000F8100004C024E373034322D38414F50D0
05-03-2025 17:45:55.482,41,RECV,7E000F8100004C024E373034332D434B5843BE
05-03-2025 17:45:55.487,42,RECV,7E000F8100004C024E373034342D3638534DD8
05-03-2025 17:45:55.487,43,RECV,7E000F8100004B024E373034352D384A5249C9
05-03-2025 17:45:55.487,44,RECV,7E000F8100004C024E373034362D46565335C0
