05-03-2025 17:50:58.846,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 17:50:38.538,0,RECV,7E000F81000045024E353030302D49385759C6
05-03-2025 17:50:38.549,1,RECV,7E000F81000045024E353030312D53584F37C5
05-03-2025 17:50:38.549,2,RECV,7E000F81000045024E353030322D33493446FF
05-03-2025 17:50:38.549,3,RECV,7E000F81000045024E353030332D5931363400
05-03-2025 17:50:38.561,4,RECV,7E000F81000045024E353030342D4E414258CA
05-03-2025 17:50:38.586,5,RECV,7E000F81000045024E353030352D42595048BF
05-03-2025 17:50:38.586,6,RECV,7E000F81000044024E353030362D5350504CB3
05-03-2025 17:50:38.586,7,RECV,7E000F81000045024E353030372D57535132C3
05-03-2025 17:50:38.638,8,RECV,7E000F81000045024E353030382D364B3751E6
05-03-2025 17:50:38.679,9,RECV,7E000F81000045024E353030392D30573350E4
05-03-2025 17:50:38.679,10,RECV,7E000F81000045024E353031302D594F4A36CE
05-03-2025 17:50:38.680,11,RECV,7E000F81000045024E353031312D37374850EF
05-03-2025 17:50:38.680,12,RECV,7E000F81000045024E353031322D5A473931E9
05-03-2025 17:50:38.680,13,RECV,7E000F81000045024E353031332D35574A4DD0
05-03-2025 17:50:38.680,14,RECV,7E000F81000046024E353031342D39485959BE
05-03-2025 17:50:38.681,15,RECV,7E000F81000045024E353031352D56444759B7
05-03-2025 17:50:38.681,16,RECV,7E000F81000045024E353031362D584E3338DF
05-03-2025 17:50:38.682,17,RECV,7E000F81000045024E353031372D314F3447F4
05-03-2025 17:50:38.682,18,RECV,7E000F81000045024E353031382D53415832D0
05-03-2025 17:50:38.682,19,RECV,7E000F81000045024E353031392D53594343BB
05-03-2025 17:50:38.683,20,RECV,7E000F81000045024E353032302D43554752C4
05-03-2025 17:50:38.683,21,RECV,7E000F81000045024E353032312D48365536EB
05-03-2025 17:50:38.683,22,RECV,7E000F81000045024E353032322D57513452C5
05-03-2025 17:50:38.683,23,RECV,7E000F81000045024E353032332D3036334118
05-03-2025 17:50:38.683,24,RECV,7E000F81000045024E353032342D55463144E1
05-03-2025 17:50:38.683,25,RECV,7E000F81000045024E353032352D414F534BC2
05-03-2025 17:50:38.683,26,RECV,7E000F81000045024E353032362D42483952DA
05-03-2025 17:50:38.739,27,RECV,7E000F81000044024E353032372D54374352CF
05-03-2025 17:50:38.758,28,RECV,7E000F81000044024E353032382D31555242D4
05-03-2025 17:50:38.758,29,RECV,7E000F81000044024E353032392D55594C589B
05-03-2025 17:50:38.758,30,RECV,7E000F81000045024E353033302D5041454CD2
05-03-2025 17:50:38.758,31,RECV,7E000F81000044024E353033312D4B444C4ACF
05-03-2025 17:50:38.759,32,RECV,7E000F81000044024E353033322D4433323317
05-03-2025 17:50:38.759,33,RECV,7E000F81000044024E353033332D335A535AB8
05-03-2025 17:50:38.789,34,RECV,7E000F81000044024E353033342D43374F38F0
05-03-2025 17:50:38.789,35,RECV,7E000F81000044024E353033352D4B5A4E31CC
05-03-2025 17:50:38.789,36,RECV,7E000F81000044024E353033362D31335053E8
05-03-2025 17:50:38.789,37,RECV,7E000F81000044024E353033372D3143414CED
05-03-2025 17:50:38.789,38,RECV,7E000F81000044024E353033382D4E564131D7
05-03-2025 17:50:38.789,39,RECV,7E000F81000044024E353033392D3338364EFD
05-03-2025 17:50:38.799,40,RECV,7E000F81000044024E353034302D58353948E6
05-03-2025 17:50:38.801,41,RECV,7E000F81000044024E353034312D41554E57B8
05-03-2025 17:50:38.801,42,RECV,7E000F81000044024E353034322D5047584EB5
05-03-2025 17:50:38.839,43,RECV,7E000F81000044024E353034332D50574B49B6
05-03-2025 17:50:38.839,44,RECV,7E000F81000044024E353034342D4854574BB2
05-03-2025 17:50:38.839,45,RECV,7E000F81000044024E353034352D4A345346D8
05-03-2025 17:50:38.839,46,RECV,7E000F81000044024E353034362D35574538E5
05-03-2025 17:50:38.839,47,RECV,7E000F81000044024E353034372D524D5441B9
05-03-2025 17:50:38.839,48,RECV,7E000F81000044024E353034382D38563158D5
05-03-2025 17:50:38.839,49,RECV,7E000F81000044024E353034392D53415751AF
05-03-2025 17:50:38.889,50,RECV,7E000F81000044024E353035302D35584333F0
05-03-2025 17:50:38.927,51,RECV,7E000F81000044024E353035312D59543433DE
05-03-2025 17:50:38.927,52,RECV,7E000F81000044024E353035322D504B5734CB
05-03-2025 17:50:38.927,53,RECV,7E000F81000044024E353035332D464E4E33DB
05-03-2025 17:50:38.927,54,RECV,7E000F81000044024E353035342D4A485647C0
05-03-2025 17:50:38.927,55,RECV,7E000F81000041024E353035352D34434B4EE1
05-03-2025 17:50:38.927,56,RECV,7E000F81000044024E353035362D4749464ACD
05-03-2025 17:50:38.939,57,RECV,7E000F81000044024E353035372D30584546D9
05-03-2025 17:50:38.939,58,RECV,7E000F81000044024E353035382D36505330E2
05-03-2025 17:50:38.939,59,RECV,7E000F81000044024E353035392D5455374AC0
05-03-2025 17:50:38.980,60,RECV,7E000F81000045024E353036302D534C4641CB
05-03-2025 17:50:38.980,61,RECV,7E000F81000044024E353036312D46424D36E6
05-03-2025 17:50:38.980,62,RECV,7E000F81000045024E353036322D314633327D33
05-03-2025 17:50:38.980,63,RECV,7E000F81000044024E353036332D47454C38DF
05-03-2025 17:50:38.980,64,RECV,7E000F81000045024E353036342D554F5747AB
05-03-2025 17:50:38.980,65,RECV,7E000F81000044024E353036352D43385356C9
05-03-2025 17:50:38.980,66,RECV,7E000F81000044024E353036362D43515355B0
05-03-2025 17:50:38.981,67,RECV,7E000F81000045024E353036372D36444C39EB
05-03-2025 17:50:38.981,68,RECV,7E000F81000044024E353036382D5254344DC3
05-03-2025 17:50:39.001,69,RECV,7E000F81000045024E353036392D48484441D3
05-03-2025 17:50:39.006,70,RECV,7E000F81000045024E353037312D3857304AE6
05-03-2025 17:50:39.022,71,RECV,7E000F81000044024E353037322D50474E42C8
05-03-2025 17:50:39.071,72,RECV,7E000F81000044024E353037332D5A4E5550A1
05-03-2025 17:50:39.071,73,RECV,7E000F81000045024E353037342D554A424FBC
05-03-2025 17:50:39.071,74,RECV,7E000F81000045024E353037352D55543652BA
05-03-2025 17:50:39.071,75,RECV,7E000F81000044024E353037362D4F54484EB2
05-03-2025 17:50:39.071,76,RECV,7E000F81000044024E353037372D4C444832E0
05-03-2025 17:50:39.089,77,RECV,7E000F81000045024E353037382D4C354B32EA
05-03-2025 17:50:39.091,78,RECV,7E000F81000044024E353037392D4939464ED2
05-03-2025 17:50:39.091,79,RECV,7E000F81000045024E353038302D3730335203
05-03-2025 17:50:39.092,80,RECV,7E000F81000045024E353038312D45475936D3
05-03-2025 17:50:39.092,81,RECV,7E000F81000045024E353038322D38493753E2
05-03-2025 17:50:39.092,82,RECV,7E000F81000045024E353038332D36525841CB
05-03-2025 17:50:39.092,83,RECV,7E000F81000045024E353038342D5A525832B5
05-03-2025 17:50:39.092,84,RECV,7E000F81000044024E353038352D4D585A37B5
05-03-2025 17:50:39.151,85,RECV,7E000F81000045024E353038362D4C354B41DC
05-03-2025 17:50:39.151,86,RECV,7E000F81000045024E353038372D544D4B37C5
05-03-2025 17:50:39.156,87,RECV,7E000F81000044024E353038382D30464343EC
05-03-2025 17:50:39.157,88,RECV,7E000F81000045024E353038392D5533594CB9
05-03-2025 17:50:39.157,89,RECV,7E000F81000045024E353039302D51414F50BD
