05-03-2025 18:08:17.169,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:06:36.167,0,RECV,7E000F81000035024E363030302D30454F53EF
05-03-2025 18:06:36.190,1,RECV,7E000F81000035024E363030312D34585352D4
05-03-2025 18:06:36.205,2,RECV,7E000F81000035024E363030322D49445753CD
05-03-2025 18:06:36.206,3,RECV,7E000F81000034024E363030332D51594C4BC3
05-03-2025 18:06:36.206,4,RECV,7E000F81000036024E363030342D54425434E3
05-03-2025 18:06:36.206,5,RECV,7E000F81000035024E363030352D53395846D7
05-03-2025 18:06:36.206,6,RECV,7E000F81000035024E363030362D4C4B3154E4
05-03-2025 18:06:36.206,7,RECV,7E000F81000035024E363030372D30574349EC
05-03-2025 18:06:36.206,8,RECV,7E000F81000040024E353030362D434B574FC2
05-03-2025 18:06:36.290,9,RECV,7E000F81000034024E363030382D58453350DF
05-03-2025 18:06:36.291,10,RECV,7E000F81000041024E353030372D474D3136F9
05-03-2025 18:06:36.291,11,RECV,7E000F81000035024E363030392D4B553037F6
05-03-2025 18:06:36.291,12,RECV,7E000F8100003E024E353030382D4C564D34D3
05-03-2025 18:06:36.291,13,RECV,7E000F81000035024E363031302D5A363159EB
05-03-2025 18:06:36.291,14,RECV,7E000F81000035024E363031312D394D5546E3
05-03-2025 18:06:36.291,15,RECV,7E000F8100003E024E353030392D4E463143ED
05-03-2025 18:06:36.291,16,RECV,7E000F81000035024E363031322D344B333819
05-03-2025 18:06:36.291,17,RECV,7E000F81000040024E353031302D46513653DB
05-03-2025 18:06:36.291,18,RECV,7E007D33810000350016FFFFFFFFFFFFFFFF0000005348A0
05-03-2025 18:06:36.291,19,RECV,7E000F8100004B024E373031352D4A464456BF
05-03-2025 18:06:36.291,20,RECV,7E000F81000036024E363031332D32593750EF
05-03-2025 18:06:36.291,21,RECV,7E000F8100004A024E373031362D47583830E2
05-03-2025 18:06:36.291,22,RECV,7E000F81000035024E363031342D33355359ED
05-03-2025 18:06:36.291,23,RECV,7E000F8100004A024E373031372D5542324ED1
05-03-2025 18:06:36.291,24,RECV,7E000F81000049024E373031382D334E4B37E5
05-03-2025 18:06:36.291,25,RECV,7E000F81000041024E353031312D383431302C
05-03-2025 18:06:36.292,26,RECV,7E000F81000034024E363031352D544C554FBD
05-03-2025 18:06:36.292,27,RECV,7E000F8100004A024E373032302D584E3735DC
05-03-2025 18:06:36.292,28,RECV,7E000F81000041024E353031322D3431323130
05-03-2025 18:06:36.292,29,RECV,7E000F8100003F024E353031332D484F5449C5
05-03-2025 18:06:36.292,30,RECV,7E000F81000035024E363031362D47595536D4
05-03-2025 18:06:36.292,31,RECV,7E000F81000040024E353031342D35594534F0
05-03-2025 18:06:36.292,32,RECV,7E000F81000034024E363031372D363644301F
05-03-2025 18:06:36.292,33,RECV,7E000F81000035024E363031382D324546330D
05-03-2025 18:06:36.292,34,RECV,7E000F81000034024E363031392D384430420F
05-03-2025 18:06:36.383,35,RECV,7E000F81000035024E363032302D33513351FC
05-03-2025 18:06:36.420,36,RECV,7E000F81000040024E353031392D37583848E3
05-03-2025 18:06:36.421,37,RECV,7E000F81000034024E363032312D4E533349E7
05-03-2025 18:06:36.421,38,RECV,7E000F8100004A024E373032372D30513534FD
05-03-2025 18:06:36.421,39,RECV,7E000F81000035024E363032322D36594A49E0
05-03-2025 18:06:36.421,40,RECV,7E000F81000034024E363032332D484D4536F2
05-03-2025 18:06:36.421,41,RECV,7E000F81000034024E363032342D57475149C9
05-03-2025 18:06:36.421,42,RECV,7E000F81000035024E363032352D51354939F7
05-03-2025 18:06:36.421,43,RECV,7E000F81000035024E363032362D344E353710
05-03-2025 18:06:36.421,44,RECV,7E000F81000035024E363032372D5745514DC3
05-03-2025 18:06:36.421,45,RECV,7E000F81000049024E373032382D5758364FB3
05-03-2025 18:06:36.421,46,RECV,7E000F81000040024E353032352D49544339DC
05-03-2025 18:06:36.421,47,RECV,7E000F81000034024E363032382D4A414F4DD6
05-03-2025 18:06:36.421,48,RECV,7E000F81000033024E363032392D32504257E2
05-03-2025 18:06:36.421,49,RECV,7E000F81000040024E353032372D4D354B57CF
05-03-2025 18:06:36.421,50,RECV,7E000F81000040024E353032382D52424B50C3
05-03-2025 18:06:36.421,51,RECV,7E000F81000033024E363033302D54335146E7
05-03-2025 18:06:36.421,52,RECV,7E000F81000049024E373033322D49364F43DB
05-03-2025 18:06:36.421,53,RECV,7E000F81000040024E353033302D384C4B45E5
05-03-2025 18:06:36.421,54,RECV,7E000F81000049024E373033332D4E544C50AD
05-03-2025 18:06:36.421,55,RECV,7E000F81000040024E353033312D544E564BB5
05-03-2025 18:06:36.421,56,RECV,7E000F81000049024E373033342D504D554AAE
05-03-2025 18:06:36.421,57,RECV,7E000F81000034024E363033312D445A4738E6
05-03-2025 18:06:36.421,58,RECV,7E000F81000041024E353033332D53585545B0
05-03-2025 18:06:36.421,59,RECV,7E000F81000035024E363033322D48594E44CE
05-03-2025 18:06:36.421,60,RECV,7E000F81000035024E363033332D34384C4CFC
05-03-2025 18:06:36.478,61,RECV,7E000F8100003F024E353033352D5538365AD8
05-03-2025 18:06:36.479,62,RECV,7E000F81000040024E353033362D4D48575AAD
05-03-2025 18:06:36.479,63,RECV,7E000F81000040024E353033372D53575538BB
05-03-2025 18:06:36.479,64,RECV,7E000F81000040024E353033382D41524743D4
05-03-2025 18:06:36.479,65,RECV,7E000F81000034024E363033342D33515450D8
05-03-2025 18:06:36.479,66,RECV,7E000F81000034024E363033352D545A4B31D5
05-03-2025 18:06:36.479,67,RECV,7E000F81000034024E363033362D4E364241F7
05-03-2025 18:06:36.479,68,RECV,7E000F81000049024E373034302D33375736F6
05-03-2025 18:06:36.479,69,RECV,7E000F81000041024E353034312D4B4E5739CD
05-03-2025 18:06:36.479,70,RECV,7E000F81000049024E373034312D37574333E8
05-03-2025 18:06:36.479,71,RECV,7E000F81000040024E353034322D43524956C2
05-03-2025 18:06:36.479,72,RECV,7E000F81000034024E363033372D41545548CB
05-03-2025 18:06:36.479,73,RECV,7E000F81000034024E363033382D4A41413000
05-03-2025 18:06:36.479,74,RECV,7E000F81000034024E363033392D37435549E3
