05-03-2025 18:35:25.386,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-03-2025 18:34:20.982,0,RECV,7E000F81000035024E363030302D43554242EA
05-03-2025 18:34:20.982,1,RECV,7E000F81000035024E363030312D474C454BE2
05-03-2025 18:34:20.983,2,RECV,7E000F81000034024E363030322D36485A57D6
05-03-2025 18:34:21.073,3,RECV,7E000F81000042024E383030322D4B444351D2
05-03-2025 18:34:21.079,4,RECV,7E000F81000036024E363030332D423536480D
05-03-2025 18:34:21.079,5,RECV,7E000F8100004B024E373030322D39564D57BA
05-03-2025 18:34:21.079,6,RECV,7E000F8100003E024E383030332D343839391A
05-03-2025 18:34:21.080,7,RECV,7E000F81000035024E363030342D5141353407
05-03-2025 18:34:21.080,8,RECV,7E000F81000036024E363030352D394D4449ED
05-03-2025 18:34:21.080,9,RECV,7E000F8100003E024E383030352D4F334332FF
05-03-2025 18:34:21.080,10,RECV,7E000F81000043024E353030332D4C504355C2
05-03-2025 18:34:21.080,11,RECV,7E000F81000036024E363030362D43414F35F7
05-03-2025 18:34:21.080,12,RECV,7E000F81000043024E353030342D424E323201
05-03-2025 18:34:21.080,13,RECV,7E000F81000035024E363030372D5532413205
05-03-2025 18:34:21.080,14,RECV,7E007D3381000036007D31FFFFFFFFFFFFFFFF0000005348A4
05-03-2025 18:34:21.080,15,RECV,7E000F81000035024E363030382D4954355AD2
05-03-2025 18:34:21.080,16,RECV,7E000F8100003F024E353030372D4B394F34EF
05-03-2025 18:34:21.080,17,RECV,7E000F81000036024E363030392D59393553E2
05-03-2025 18:34:21.080,18,RECV,7E000F81000040024E353030382D56435138D2
05-03-2025 18:34:21.080,19,RECV,7E000F81000042024E383030382D4C384144E6
05-03-2025 18:34:21.080,20,RECV,7E000F81000037024E363031302D3143474503
05-03-2025 18:34:21.081,21,RECV,7E000F81000036024E363031312D33514141FD
05-03-2025 18:34:21.081,22,RECV,7E000F81000043024E353031302D48575033D6
05-03-2025 18:34:21.081,23,RECV,7E000F81000042024E383030392D3948484BDA
05-03-2025 18:34:21.081,24,RECV,7E000F81000037024E363031322D314C5444EC
05-03-2025 18:34:21.081,25,RECV,7E000F81000041024E383031302D46584F4CBE
05-03-2025 18:34:21.081,26,RECV,7E000F81000036024E363031332D43524D46D9
05-03-2025 18:34:21.081,27,RECV,7E000F81000042024E383031312D4C465835D6
05-03-2025 18:34:21.081,28,RECV,7E000F81000038024E363031342D37495532F7
05-03-2025 18:34:21.168,29,RECV,7E000F81000038024E363031352D4D534A41D2
05-03-2025 18:34:21.169,30,RECV,7E000F81000038024E363031362D4E573555CD
05-03-2025 18:34:21.169,31,RECV,7E000F81000037024E363031372D394B484EE2
05-03-2025 18:34:21.170,32,RECV,7E000F81000039024E363031382D56543446D5
05-03-2025 18:34:21.170,33,RECV,7E000F81000038024E363031392D414A504CD2
05-03-2025 18:34:21.170,34,RECV,7E000F81000043024E383031372D52344654CE
