5ms,4NB14NB2_SRS,454,262,129,112,244,123,125,156,0.478,0.324
10ms,4NB14NB2_SRS,492,368,318,259,371,232,231,277,0.719,0.555
15ms,4NB14NB2_SRS,495,397,296,362,430,310,299,339,0.775,0.689
20ms,4NB14NB2_SRS,498,460,368,373,431,406,397,378,0.850,0.806
25ms,4NB14NB2_SRS,499,490,405,406,461,392,412,413,0.900,0.839
30ms,4NB14NB2_SRS,500,478,439,425,474,431,409,416,0.921,0.865
35ms,4NB14NB2_SRS,497,359,429,444,458,396,428,436,0.865,0.859
40ms,4NB14NB2_SRS,497,484,488,461,466,437,439,445,0.965,0.893
50ms,4NB14NB2_SRS,451,356,497,440,480,463,462,446,0.872,0.925
60ms,4NB14NB2_SRS,452,361,495,465,470,372,366,474,0.886,0.841
80ms,4NB14NB2_SRS,498,467,500,476,471,448,465,457,0.971,0.920
100ms,4NB14NB2_SRS,491,500,500,484,456,415,485,470,0.988,0.913
150ms,4NB14NB2_SRS,472,473,498,497,472,415,414,475,0.970,0.888
200ms,4NB14NB2_SRS,489,497,499,498,476,428,426,473,0.992,0.901
250ms,4NB14NB2_SRS,500,479,500,497,476,465,456,471,0.988,0.934
300ms,4NB14NB2_SRS,499,475,500,500,489,478,471,468,0.987,0.953
350ms,4NB14NB2_SRS,395,339,400,400,393,345,328,379,0.767,0.723
400ms,4NB14NB2_SRS,490,453,499,498,478,448,445,464,0.970,0.917
500ms,4NB14NB2_SRS,496,447,499,496,485,460,458,465,0.969,0.934
