07-14-2025 17:39:31.033,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

07-14-2025 17:38:22.031,0,RECV,7E000F81000421024E343030302D3056385406
07-14-2025 17:38:22.031,1,RECV,7E000F8100031C024E333030302D51345552F3
07-14-2025 17:38:22.032,2,RECV,7E000F81000123024E313030302D335345371A
07-14-2025 17:38:22.231,3,RECV,7E000F81000421024E343030312D3132594E0D
07-14-2025 17:38:22.232,4,RECV,7E000F8100031C024E333030312D47375459F3
07-14-2025 17:38:22.232,5,RECV,7E000F81000123024E313030312D5338573702
07-14-2025 17:38:22.432,6,RECV,7E000F81000421024E343030322D4532433428
07-14-2025 17:38:22.437,7,RECV,7E000F8100031C024E333030322D3739574E08
07-14-2025 17:38:22.437,8,RECV,7E000F81000123024E313030322D325A4F49F6
07-14-2025 17:38:22.633,9,RECV,7E000F81000421024E343030332D544F324AF6
07-14-2025 17:38:22.644,10,RECV,7E000F8100031C024E333030332D534B4651E7
07-14-2025 17:38:22.644,11,RECV,7E000F81000123024E313030332D4138395314
07-14-2025 17:38:22.834,12,RECV,7E000F81000421024E343030342D4A4A5943E4
07-14-2025 17:38:22.844,13,RECV,7E000F8100031C024E333030342D3958313029
07-14-2025 17:38:22.844,14,RECV,7E000F81000123024E313030342D4253463508
07-14-2025 17:38:23.034,15,RECV,7E000F81000421024E343030352D325933447D31
07-14-2025 17:38:23.049,16,RECV,7E000F8100031C024E333030352D3631504B18
07-14-2025 17:38:23.051,17,RECV,7E000F81000123024E313030352D4A454D4FEC
07-14-2025 17:38:23.235,18,RECV,7E000F81000421024E343030362D37523259FE
07-14-2025 17:38:23.248,19,RECV,7E000F8100031C024E333030362D4147375505
07-14-2025 17:38:23.248,20,RECV,7E000F81000123024E313030362D50514853DA
07-14-2025 17:38:23.436,21,RECV,7E000F81000421024E343030372D5A424C45E4
07-14-2025 17:38:23.436,22,RECV,7E000F8100031C024E333030372D3552494107
07-14-2025 17:38:23.436,23,RECV,7E000F81000123024E313030372D37444A311F
07-14-2025 17:38:23.637,24,RECV,7E000F81000421024E343030382D3053503904
07-14-2025 17:38:23.649,25,RECV,7E000F8100031C024E333030382D5A395748E5
07-14-2025 17:38:23.649,26,RECV,7E000F81000123024E313030382D4231453923
07-14-2025 17:38:23.838,27,RECV,7E000F81000421024E343030392D364A543209
07-14-2025 17:38:23.851,28,RECV,7E000F8100031C024E333030392D36554552F4
07-14-2025 17:38:23.851,29,RECV,7E000F81000123024E313030392D4C4143370C
07-14-2025 17:38:24.039,30,RECV,7E000F81000422024E343031302D544C5145E0
07-14-2025 17:38:24.049,31,RECV,7E000F8100031C024E333031302D333152392F
07-14-2025 17:38:24.049,32,RECV,7E000F81000123024E313031302D55445A38F0
07-14-2025 17:38:24.239,33,RECV,7E000F81000422024E343031312D3759474CF2
07-14-2025 17:38:24.251,34,RECV,7E000F8100031C024E333031312D50534942EF
07-14-2025 17:38:24.290,35,RECV,7E000F81000123024E313031312D483042332D
07-14-2025 17:38:24.440,36,RECV,7E000F81000422024E343031322D564F3257E6
07-14-2025 17:38:24.450,37,RECV,7E000F8100031C024E333031322D51345A46F7
07-14-2025 17:38:24.450,38,RECV,7E000F81000123024E313031322D44414356FB
07-14-2025 17:38:24.641,39,RECV,7E000F81000422024E343031332D55375151E5
07-14-2025 17:38:24.655,40,RECV,7E000F8100031C024E333031332D434A4C4DF5
07-14-2025 17:38:24.656,41,RECV,7E000F81000122024E313031332D485033331B
07-14-2025 17:38:24.842,42,RECV,7E000F81000422024E343031342D43424551F7
07-14-2025 17:38:24.852,43,RECV,7E000F8100031C024E333031342D3752524EF1
07-14-2025 17:38:24.852,44,RECV,7E000F81000123024E313031342D4B5631327D33
07-14-2025 17:38:25.042,45,RECV,7E000F81000422024E343031352D4B345A51E7
07-14-2025 17:38:25.055,46,RECV,7E000F8100031C024E333031352D4345335905
07-14-2025 17:38:25.055,47,RECV,7E000F81000123024E313031352D4D4B5447E3
07-14-2025 17:38:25.243,48,RECV,7E000F81000422024E343031362D3445573808
07-14-2025 17:38:25.254,49,RECV,7E000F8100031C024E333031362D3350504500
07-14-2025 17:38:25.293,50,RECV,7E000F81000122024E313031362D4641375206
07-14-2025 17:38:25.443,51,RECV,7E000F81000422024E343031372D4E34564FE8
07-14-2025 17:38:25.443,52,RECV,7E000F8100031C024E333031372D58394753EC
07-14-2025 17:38:25.444,53,RECV,7E000F81000123024E313031372D573443370F
07-14-2025 17:38:25.644,54,RECV,7E000F81000422024E343031382D3249384A7D31
07-14-2025 17:38:25.654,55,RECV,7E000F8100031C024E333031382D5255343407
07-14-2025 17:38:25.658,56,RECV,7E000F81000122024E313031382D463545371D
07-14-2025 17:38:25.845,57,RECV,7E000F81000422024E343031392D3334584A04
07-14-2025 17:38:25.845,58,RECV,7E000F8100031C024E333031392D594A454BE2
07-14-2025 17:38:25.865,59,RECV,7E000F81000123024E313031392D4851334CFA
07-14-2025 17:38:26.045,60,RECV,7E000F81000422024E343032302D503632302D
07-14-2025 17:38:26.095,61,RECV,7E000F8100031C024E333032302D3939315723
07-14-2025 17:38:26.095,62,RECV,7E000F81000123024E313032302D50475056DD
07-14-2025 17:38:26.246,63,RECV,7E000F81000422024E343032312D4D4A423605
07-14-2025 17:38:26.266,64,RECV,7E000F8100031C024E333032312D4734495206
07-14-2025 17:38:26.269,65,RECV,7E000F81000123024E313032312D495730387D31
07-14-2025 17:38:26.446,66,RECV,7E000F81000422024E343032322D47504458E0
07-14-2025 17:38:26.497,67,RECV,7E000F8100031C024E333032322D47394E4D00
07-14-2025 17:38:26.497,68,RECV,7E000F81000123024E313032322D4D555554CD
07-14-2025 17:38:26.647,69,RECV,7E000F81000422024E343032332D4D523452ED
07-14-2025 17:38:26.697,70,RECV,7E000F8100031C024E333032332D45364E351C
07-14-2025 17:38:26.700,71,RECV,7E000F81000123024E313032332D49494F44F2
07-14-2025 17:38:26.847,72,RECV,7E000F81000422024E343032342D4D474D42EE
07-14-2025 17:38:26.898,73,RECV,7E000F8100031C024E333032342D57584231F7
07-14-2025 17:38:26.899,74,RECV,7E000F81000123024E313032342D3549445004
07-14-2025 17:38:27.048,75,RECV,7E000F81000422024E343032352D314C413121
07-14-2025 17:38:27.105,76,RECV,7E000F8100031C024E333032352D5552544ECF
07-14-2025 17:38:27.105,77,RECV,7E000F81000123024E313032352D56335242F8
07-14-2025 17:38:27.249,78,RECV,7E000F81000422024E343032362D58444F30F4
07-14-2025 17:38:27.269,79,RECV,7E000F8100031C024E333032362D53354B4202
07-14-2025 17:38:27.269,80,RECV,7E000F81000122024E313032362D59443744FD
07-14-2025 17:38:27.449,81,RECV,7E000F81000422024E343032372D3851314E06
07-14-2025 17:38:27.499,82,RECV,7E000F8100031C024E333032372D4745393918
07-14-2025 17:38:27.504,83,RECV,7E000F81000123024E313032372D394357360A
07-14-2025 17:38:27.650,84,RECV,7E000F81000422024E343032382D4E4E4F32F0
07-14-2025 17:38:27.700,85,RECV,7E000F8100031C024E333032382D5259474BD8
