07-14-2025 15:31:07.394,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

07-14-2025 15:28:43.004,0,RECV,7E000F81000734024E373030302D3038533410
07-14-2025 15:28:43.009,1,RECV,7E000F8100062A024E363030302D50574535EA
07-14-2025 15:28:43.010,2,RECV,7E000F81000525024E353030302D50304256FA
07-14-2025 15:28:43.104,3,RECV,7E000F8100052C024E353030312D325A4F51DE
07-14-2025 15:28:43.104,4,RECV,7E000F81000634024E363030322D30505549E1
07-14-2025 15:28:43.104,5,RECV,7E000F8100052E024E353030322D354F3953F7
07-14-2025 15:28:43.104,6,RECV,7E000F8100052C024E353030332D584E5251BF
07-14-2025 15:28:43.104,7,RECV,7E000F81000834024E383030332D55554C57AD
07-14-2025 15:28:43.105,8,RECV,7E000F8100052F024E353030342D31544459E2
07-14-2025 15:28:43.105,9,RECV,7E000F81000833024E383030352D414C4353D6
07-14-2025 15:28:43.105,10,RECV,7E000F81000635024E363030362D47345331FB
07-14-2025 15:28:43.105,11,RECV,7E000F8100052F024E353030352D49515246D1
07-14-2025 15:28:43.105,12,RECV,7E000F81000634024E363030372D47504932E8
07-14-2025 15:28:43.105,13,RECV,7E000F81000734024E373030362D59465649BB
07-14-2025 15:28:43.106,14,RECV,7E000F8100052D024E353030362D5443564BCC
07-14-2025 15:28:43.106,15,RECV,7E000F81000734024E373030372D39565932DE
07-14-2025 15:28:43.106,16,RECV,7E000F8100052E024E353030382D56535858A8
07-14-2025 15:28:43.106,17,RECV,7E000F81000834024E383031302D34524D49E0
07-14-2025 15:28:43.107,18,RECV,7E000F8100052E024E353030392D4337394D00
07-14-2025 15:28:43.107,19,RECV,7E000F81000531024E353031302D3838303035
07-14-2025 15:28:43.107,20,RECV,7E000F8100052F024E353031312D53445437E4
07-14-2025 15:28:43.107,21,RECV,7E000F81000834024E383031342D434F5633DD
07-14-2025 15:28:43.107,22,RECV,7E000F81000532024E353031322D47454F4CDB
07-14-2025 15:28:43.107,23,RECV,7E000F81000735024E373031332D44505136DF
07-14-2025 15:28:43.107,24,RECV,7E000F81000532024E353031332D55584630DE
07-14-2025 15:28:43.107,25,RECV,7E000F8100052F024E353031342D574E5139D4
07-14-2025 15:28:43.107,26,RECV,7E000F81000834024E383031372D34543252E9
07-14-2025 15:28:43.107,27,RECV,7E000F81000532024E353031352D484D3152E7
07-14-2025 15:28:43.107,28,RECV,7E000F81000735024E373031362D5151394FCD
07-14-2025 15:28:43.107,29,RECV,7E000F8100052E024E353031372D35435A56D9
07-14-2025 15:28:43.107,30,RECV,7E000F8100052F024E353031382D4149315AEA
07-14-2025 15:28:43.107,31,RECV,7E000F81000635024E363032302D5857554CAE
07-14-2025 15:28:43.117,32,RECV,7E000F81000831024E383032332D5751394DCD
07-14-2025 15:28:43.117,33,RECV,7E000F8100052F024E353032302D524F4555CB
07-14-2025 15:28:43.117,34,RECV,7E000F8100052F024E353032312D383443457D31
07-14-2025 15:28:43.117,35,RECV,7E000F81000530024E353032322D4E365441EA
07-14-2025 15:28:43.154,36,RECV,7E000F81000834024E383032392D4651584FB4
07-14-2025 15:28:43.154,37,RECV,7E000F8100052D024E353032352D554A5A49C1
07-14-2025 15:28:43.155,38,RECV,7E000F81000834024E383033302D4F394A39EF
07-14-2025 15:28:43.155,39,RECV,7E000F81000833024E383033312D52535736C8
07-14-2025 15:28:43.204,40,RECV,7E000F8100052F024E353033302D3531485205
07-14-2025 15:28:43.263,41,RECV,7E000F81000734024E373033302D59485556B0
07-14-2025 15:28:43.287,42,RECV,7E000F81000734024E373033312D4736333318
07-14-2025 15:28:43.288,43,RECV,7E000F81000635024E363033342D46593156D3
07-14-2025 15:28:43.288,44,RECV,7E000F8100052F024E353033322D5144333407
07-14-2025 15:28:43.288,45,RECV,7E000F81000734024E373033322D39545032EB
07-14-2025 15:28:43.288,46,RECV,7E000F81000833024E383033382D34435034F8
07-14-2025 15:28:43.288,47,RECV,7E000F8100052F024E353033332D39455442EE
07-14-2025 15:28:43.288,48,RECV,7E000F81000633024E363033362D474B4841DE
07-14-2025 15:28:43.288,49,RECV,7E000F8100052F024E353033342D434E3546F5
07-14-2025 15:28:43.288,50,RECV,7E000F81000833024E383034312D56544433D8
07-14-2025 15:28:43.288,51,RECV,7E000F8100052F024E353033352D4F4C5355BD
07-14-2025 15:28:43.288,52,RECV,7E000F8100052E024E353033362D49593648E0
07-14-2025 15:28:43.288,53,RECV,7E000F8100052F024E353033372D57474141DE
07-14-2025 15:28:43.288,54,RECV,7E000F81000735024E373033372D35564444E1
07-14-2025 15:28:43.288,55,RECV,7E000F81000833024E383034342D53375245D5
07-14-2025 15:28:43.288,56,RECV,7E000F81000530024E353033382D55464630EB
07-14-2025 15:28:43.288,57,RECV,7E000F81000530024E353033392D31544637F9
07-14-2025 15:28:43.288,58,RECV,7E000F81000633024E363034312D304D5A53D3
07-14-2025 15:28:43.288,59,RECV,7E000F81000833024E383034362D45454433F3
07-14-2025 15:28:43.288,60,RECV,7E000F8100052F024E353034302D39545851CE
07-14-2025 15:28:43.288,61,RECV,7E000F81000833024E383034372D38425856CB
07-14-2025 15:28:43.288,62,RECV,7E000F81000834024E383034382D57435146C0
07-14-2025 15:28:43.289,63,RECV,7E000F8100052F024E353034312D4C45484AE0
07-14-2025 15:28:43.289,64,RECV,7E000F8100052F024E353034322D4F415A4CCC
07-14-2025 15:28:43.289,65,RECV,7E000F81000833024E383034392D5644584DB2
07-14-2025 15:28:43.289,66,RECV,7E000F81000531024E353034332D47494944E2
07-14-2025 15:28:43.289,67,RECV,7E000F81000531024E353034342D46383657F3
07-14-2025 15:28:43.368,68,RECV,7E000F8100052F024E353034352D4B564752C5
07-14-2025 15:28:43.409,69,RECV,7E000F81000736024E373034352D4A434D50CA
07-14-2025 15:28:43.409,70,RECV,7E000F8100052E024E353034362D55544C49C1
07-14-2025 15:28:43.410,71,RECV,7E000F8100052F024E353034372D584E5756AA
07-14-2025 15:28:43.410,72,RECV,7E000F81000631024E363035302D57564741CA
07-14-2025 15:28:43.410,73,RECV,7E000F81000530024E353034382D5551564DB2
07-14-2025 15:28:43.410,74,RECV,7E000F81000634024E363035312D4C4E5251BE
07-14-2025 15:28:43.410,75,RECV,7E000F81000530024E353034392D5543494DCC
07-14-2025 15:28:43.410,76,RECV,7E000F81000835024E383035382D5A514149BA
07-14-2025 15:28:43.410,77,RECV,7E000F81000530024E353035302D544B4E32E3
07-14-2025 15:28:43.410,78,RECV,7E000F81000735024E373035302D5235434BE4
07-14-2025 15:28:43.410,79,RECV,7E000F81000532024E353035312D42474C48E2
07-14-2025 15:28:43.410,80,RECV,7E000F81000833024E383036302D41424937F5
07-14-2025 15:28:43.410,81,RECV,7E000F8100052B024E353035322D494C4559D2
07-14-2025 15:28:43.410,82,RECV,7E000F81000529024E353035332D54524251CD
07-14-2025 15:28:43.410,83,RECV,7E000F8100052F024E353035342D584E524FB8
07-14-2025 15:28:43.410,84,RECV,7E000F81000633024E363035372D4D4E4436E1
07-14-2025 15:28:43.410,85,RECV,7E000F81000832024E383036342D50464749CF
07-14-2025 15:28:43.410,86,RECV,7E000F8100052E024E353035352D5151374CDA
07-14-2025 15:28:43.410,87,RECV,7E000F81000833024E383036352D4A4A424BD2
07-14-2025 15:28:43.410,88,RECV,7E000F81000531024E353035362D4157504BC8
07-14-2025 15:28:43.410,89,RECV,7E000F81000634024E363035392D45554A59B6
07-14-2025 15:28:43.410,90,RECV,7E000F81000834024E383036362D5855384CC0
07-14-2025 15:28:43.410,91,RECV,7E000F81000737024E373035362D43584341D2
07-14-2025 15:28:43.410,92,RECV,7E000F81000735024E373035372D374B393601
07-14-2025 15:28:43.410,93,RECV,7E000F81000529024E353035392D4953414BD8
