09-08-2025 00:01:36.867,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

09-08-2025 00:01:15.241,0,RECV,7E000F8100041C024E343030302D4738523517
09-08-2025 00:01:15.292,1,RECV,7E000F8100041C024E343030312D365642420C
09-08-2025 00:01:15.292,2,RECV,7E000F8100041C024E343030322D474E5043F3
09-08-2025 00:01:15.294,3,RECV,7E000F8100041C024E343030332D4D3249450D
09-08-2025 00:01:15.294,4,RECV,7E000F8100041C024E343030342D414D4646FF
09-08-2025 00:01:15.294,5,RECV,7E000F8100041C024E343030352D354C314224
09-08-2025 00:01:15.294,6,RECV,7E000F8100041C024E343030362D41595938EC
09-08-2025 00:01:15.294,7,RECV,7E000F8100041C024E343030372D5739354110
09-08-2025 00:01:15.294,8,RECV,7E000F8100041C024E343030382D35374D3725
09-08-2025 00:01:15.342,9,RECV,7E000F8100041C024E343030392D3441353436
09-08-2025 00:01:15.342,10,RECV,7E000F8100041C024E343031302D44533353FF
09-08-2025 00:01:15.342,11,RECV,7E000F8100041C024E343031312D355453310E
09-08-2025 00:01:15.343,12,RECV,7E000F8100041C024E343031322D4C374C4DFE
09-08-2025 00:01:15.343,13,RECV,7E000F8100041C024E343031332D4846375103
09-08-2025 00:01:15.343,14,RECV,7E000F8100041C024E343031342D55304354FC
09-08-2025 00:01:15.343,15,RECV,7E000F8100041C024E343031352D4643353227
09-08-2025 00:01:15.343,16,RECV,7E000F8100041C024E343031362D4243574BEF
09-08-2025 00:01:15.354,17,RECV,7E000F8100041C024E343031372D463933550E
09-08-2025 00:01:15.354,18,RECV,7E000F8100041C024E343031382D4B485547E5
09-08-2025 00:01:15.354,19,RECV,7E000F8100041C024E343031392D4C495947DE
09-08-2025 00:01:15.392,20,RECV,7E000F8100041C024E343032302D3335423938
09-08-2025 00:01:15.393,21,RECV,7E000F8100041C024E343032312D424D345601
09-08-2025 00:01:15.393,22,RECV,7E000F8100041C024E343032322D4434304130
09-08-2025 00:01:15.393,23,RECV,7E000F8100041C024E343032332D4B4933331E
09-08-2025 00:01:15.393,24,RECV,7E000F8100041C024E343032342D52565547D3
09-08-2025 00:01:15.403,25,RECV,7E000F8100041C024E343032352D5648463002
09-08-2025 00:01:15.404,26,RECV,7E000F8100041C024E343032362D4B3436312F
09-08-2025 00:01:15.404,27,RECV,7E000F8100041C024E343032372D30374A4320
09-08-2025 00:01:15.444,28,RECV,7E000F8100041C024E343032382D3243504D01
09-08-2025 00:01:15.445,29,RECV,7E000F8100041C024E343032392D47505635F0
09-08-2025 00:01:15.445,30,RECV,7E000F8100041C024E343033302D3852394F08
09-08-2025 00:01:15.445,31,RECV,7E000F8100041C024E343033312D4F455048ED
09-08-2025 00:01:15.445,32,RECV,7E000F8100041C024E343033322D58564F53C8
09-08-2025 00:01:15.454,33,RECV,7E000F8100041C024E343033332D5A32453412
09-08-2025 00:01:15.455,34,RECV,7E000F8100041C024E343033342D494F5950D5
09-08-2025 00:01:15.455,35,RECV,7E000F8100041C024E343033352D4F595755C1
09-08-2025 00:01:15.468,36,RECV,7E000F8100041C024E343033362D39513359FE
09-08-2025 00:01:15.501,37,RECV,7E000F8100041C024E343033372D5842524FD8
09-08-2025 00:01:15.501,38,RECV,7E000F8100041C024E343033382D524F344BF2
09-08-2025 00:01:15.501,39,RECV,7E000F8100041C024E343033392D514C4E4DD9
09-08-2025 00:01:15.501,40,RECV,7E000F8100041C024E343034302D54394755F0
09-08-2025 00:01:15.501,41,RECV,7E000F8100041C024E343034312D4D494C49ED
09-08-2025 00:01:15.501,42,RECV,7E000F8100041C024E343034322D4452424CF3
09-08-2025 00:01:15.501,43,RECV,7E000F8100041C024E343034332D43415453EB
09-08-2025 00:01:15.543,44,RECV,7E000F8100041C024E343034342D494F4452E7
09-08-2025 00:01:15.543,45,RECV,7E000F8100041C024E343034352D32574D56E8
09-08-2025 00:01:15.543,46,RECV,7E000F8100041C024E343034362D43364E301C
09-08-2025 00:01:15.543,47,RECV,7E000F8100041C024E343034372D473944410D
09-08-2025 00:01:15.544,48,RECV,7E000F8100041C024E343034382D3130534D10
09-08-2025 00:01:15.544,49,RECV,7E000F8100041C024E343034392D415A4C39F0
09-08-2025 00:01:15.544,50,RECV,7E000F8100041C024E343035302D53344955F3
09-08-2025 00:01:15.565,51,RECV,7E000F8100041C024E343035312D44555855D1
09-08-2025 00:01:15.567,52,RECV,7E000F8100041C024E343035322D35414E4909
09-08-2025 00:01:15.568,53,RECV,7E000F8100041C024E343035332D4C425342F2
09-08-2025 00:01:15.575,54,RECV,7E000F8100041C024E343035342D4C4B374402
09-08-2025 00:01:15.576,55,RECV,7E000F8100041C024E343035352D4254324803
09-08-2025 00:01:15.576,56,RECV,7E000F8100041C024E343035362D3653325007
09-08-2025 00:01:15.593,57,RECV,7E000F8100041C024E343035372D43485350E3
09-08-2025 00:01:15.593,58,RECV,7E000F8100041C024E343035382D4741304612
09-08-2025 00:01:15.614,59,RECV,7E000F8100041C024E343035392D325330477D33
09-08-2025 00:01:15.614,60,RECV,7E000F8100041C024E343036302D4555564CDB
09-08-2025 00:01:15.614,61,RECV,7E000F8100041C024E343036312D364F394612
09-08-2025 00:01:15.643,62,RECV,7E000F8100041C024E343036322D56424F4EE0
09-08-2025 00:01:15.688,63,RECV,7E000F8100041C024E343036332D57465A4DD0
