09-07-2025 23:44:27.601,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

09-07-2025 23:43:56.628,0,RECV,7E000F8100063A024E363030302D56424D49CD
09-07-2025 23:43:56.631,1,RECV,7E000F8100063A024E363030312D51563153CF
09-07-2025 23:43:56.679,2,RECV,7E000F8100063A024E363030322D305431360E
09-07-2025 23:43:56.700,3,RECV,7E000F8100063A024E363030332D4E374D45E1
09-07-2025 23:43:56.701,4,RECV,7E000F8100063A024E363030342D504A3744E2
09-07-2025 23:43:56.701,5,RECV,7E000F8100063A024E363030352D41574251CB
09-07-2025 23:43:56.701,6,RECV,7E000F8100063A024E363030362D50413457D9
09-07-2025 23:43:56.701,7,RECV,7E000F8100063A024E363030372D32495A42DD
09-07-2025 23:43:56.701,8,RECV,7E000F8100063A024E363030382D41564A59B9
09-07-2025 23:43:56.701,9,RECV,7E000F8100063A024E363030392D5633374FE3
09-07-2025 23:43:56.701,10,RECV,7E000F8100063A024E363031302D58303255EB
09-07-2025 23:43:56.701,11,RECV,7E000F8100063A024E363031312D4F504842D0
09-07-2025 23:43:56.702,12,RECV,7E000F8100063A024E363031322D4B494953C8
09-07-2025 23:43:56.702,13,RECV,7E000F8100063A024E363031332D4D384E5ACA
09-07-2025 23:43:56.702,14,RECV,7E000F8100063A024E363031342D46475639DA
09-07-2025 23:43:56.712,15,RECV,7E000F8100063A024E363031352D41454A4DD8
09-07-2025 23:43:56.716,16,RECV,7E000F8100063A024E363031362D41494538ED
09-07-2025 23:43:56.743,17,RECV,7E000F8100063A024E363031372D39583448E6
09-07-2025 23:43:56.743,18,RECV,7E000F8100063A024E363031382D5753545A9A
09-07-2025 23:43:56.744,19,RECV,7E000F8100063A024E363031392D565A3658B3
09-07-2025 23:43:56.744,20,RECV,7E000F8100063A024E363032302D534D4F52B8
09-07-2025 23:43:56.744,21,RECV,7E000F8100063A024E363032312D5A305533E6
09-07-2025 23:43:56.779,22,RECV,7E000F8100063A024E363032322D4255454CCF
09-07-2025 23:43:56.780,23,RECV,7E000F8100063A024E363032332D47473657DB
09-07-2025 23:43:56.780,24,RECV,7E000F8100063A024E363032342D434F4135ED
09-07-2025 23:43:56.781,25,RECV,7E000F8100063A024E363032352D4F5A3353C5
09-07-2025 23:43:56.800,26,RECV,7E000F8100063A024E363032362D34563658DB
09-07-2025 23:43:56.803,27,RECV,7E000F8100063A024E363032372D4B585A4BAA
09-07-2025 23:43:56.830,28,RECV,7E000F8100063A024E363032382D45394656D7
09-07-2025 23:43:56.830,29,RECV,7E000F8100063A024E363032392D59364631EA
09-07-2025 23:43:56.830,30,RECV,7E000F8100063A024E363033302D31544537F7
09-07-2025 23:43:56.830,31,RECV,7E000F8100063A024E363033312D4B4A4731EA
09-07-2025 23:43:56.879,32,RECV,7E000F8100063A024E363033322D5A41364ADB
09-07-2025 23:43:56.889,33,RECV,7E000F8100063A024E363033332D514D5446BD
09-07-2025 23:43:56.889,34,RECV,7E000F8100063A024E363033342D4E4E5741C0
09-07-2025 23:43:56.889,35,RECV,7E000F8100063B024E363033352D41493253E3
09-07-2025 23:43:56.889,36,RECV,7E000F8100063B024E363033362D54543546CE
09-07-2025 23:43:56.889,37,RECV,7E000F8100063A024E363033372D4A463656D5
09-07-2025 23:43:56.890,38,RECV,7E000F8100063A024E363033382D41444746DE
09-07-2025 23:43:56.891,39,RECV,7E000F8100063A024E363033392D5855364EBE
09-07-2025 23:43:56.891,40,RECV,7E000F8100063B024E363034302D53523457C6
09-07-2025 23:43:56.930,41,RECV,7E000F8100063B024E363034312D3533385302
09-07-2025 23:43:56.930,42,RECV,7E000F8100063B024E363034322D4F395A34DE
09-07-2025 23:43:56.930,43,RECV,7E000F8100063B024E363034332D33364259EF
09-07-2025 23:43:56.931,44,RECV,7E000F8100063B024E363034342D3839354606
09-07-2025 23:43:56.980,45,RECV,7E000F8100063B024E363034352D444A3545E9
09-07-2025 23:43:56.980,46,RECV,7E000F8100063A024E363034362D375A524EC0
09-07-2025 23:43:56.981,47,RECV,7E000F8100063A024E363034372D384A5549D0
09-07-2025 23:43:56.981,48,RECV,7E000F8100063A024E363034382D52314452D6
09-07-2025 23:43:56.987,49,RECV,7E000F8100063A024E363034392D43364148EC
09-07-2025 23:43:56.987,50,RECV,7E000F8100063A024E363035302D39384F4BEB
09-07-2025 23:43:57.030,51,RECV,7E000F8100063A024E363035312D3658334BE9
09-07-2025 23:43:57.032,52,RECV,7E000F8100063A024E363035322D52445330DB
09-07-2025 23:43:57.032,53,RECV,7E000F8100063A024E363035332D4B494637E2
09-07-2025 23:43:57.032,54,RECV,7E000F8100063A024E363035342D43505455B6
09-07-2025 23:43:57.032,55,RECV,7E000F8100063A024E363035352D4D423245EB
09-07-2025 23:43:57.032,56,RECV,7E000F8100063A024E363035362D5345574EB3
09-07-2025 23:43:57.032,57,RECV,7E000F8100063A024E363035372D53433837EA
09-07-2025 23:43:57.032,58,RECV,7E000F8100063A024E363035382D4F4A3750CE
09-07-2025 23:43:57.080,59,RECV,7E000F8100063A024E363035392D484D3656CC
09-07-2025 23:43:57.080,60,RECV,7E000F8100063A024E363036302D47583837E7
09-07-2025 23:43:57.080,61,RECV,7E000F8100063A024E363036312D33315043FD
09-07-2025 23:43:57.080,62,RECV,7E000F8100063B024E363036322D39464735F7
09-07-2025 23:43:57.080,63,RECV,7E000F8100063B024E363036332D50324549E1
09-07-2025 23:43:57.080,64,RECV,7E000F8100063B024E363036342D33464A4CE1
