06-02-2025 16:18:02.910,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-02-2025 16:17:16.934,0,RECV,7E007D318100011D02BE004E313030302D4543324E5C
06-02-2025 16:17:16.935,1,RECV,7E007D318100053702E8004E353030302D564E3455EB
06-02-2025 16:17:16.955,2,RECV,7E007D318100063002BD004E363030312D36444C354C
06-02-2025 16:17:16.955,3,RECV,7E007D318100011D02BF004E313030312D534A505124
06-02-2025 16:17:16.955,4,RECV,7E007D318100011D02C0004E313030322D523737346C
06-02-2025 16:17:17.067,5,RECV,7E007D318100063002BF004E363030322D4442373651
06-02-2025 16:17:17.086,6,RECV,7E007D318100063402C0004E363030332D4A4E55430E
06-02-2025 16:17:17.086,7,RECV,7E007D318100011D02C1004E313030332D383332546D
06-02-2025 16:17:17.086,8,RECV,7E007D318100022D02EC004E323030332D4E495043F7
06-02-2025 16:17:17.086,9,RECV,7E007D318100011D02C2004E313030342D4A59494D23
06-02-2025 16:17:17.086,10,RECV,7E007D318100022802ED004E323030342D54334B59F9
06-02-2025 16:17:17.086,11,RECV,7E007D318100053702EF004E353030352D4B4B4A5AD2
06-02-2025 16:17:17.086,12,RECV,7E007D318100011E02C4004E313030352D4D52315533
06-02-2025 16:17:17.086,13,RECV,7E007D318100063002C4004E363030362D335439304B
06-02-2025 16:17:17.086,14,RECV,7E007D318100022802F0004E323030352D344B47477D33
06-02-2025 16:17:17.086,15,RECV,7E007D318100011E02C6004E313030362D36474B4A43
06-02-2025 16:17:17.086,16,RECV,7E007D318100063002C5004E363030372D383858571A
06-02-2025 16:17:17.086,17,RECV,7E007D318100053A02F1004E353030372D544C564BC4
06-02-2025 16:17:17.086,18,RECV,7E007D318100022802F1004E323030362D55485253DC
06-02-2025 16:17:17.086,19,RECV,7E007D318100011E02C7004E313030372D594C53312A
06-02-2025 16:17:17.086,20,RECV,7E007D318100063002C6004E363030382D56354F510C
06-02-2025 16:17:17.086,21,RECV,7E007D318100053A02F2004E353030382D5439474DE2
06-02-2025 16:17:17.086,22,RECV,7E007D318100022802F2004E323030372D49524749F1
06-02-2025 16:17:17.086,23,RECV,7E007D318100011E02C8004E313030382D3348503353
06-02-2025 16:17:17.086,24,RECV,7E007D318100063002C7004E363030392D58544256F1
06-02-2025 16:17:17.086,25,RECV,7E007D318100053702F3004E353030392D4C5A4A53C1
06-02-2025 16:17:17.086,26,RECV,7E007D318100022802F3004E323030382D3432334F32
06-02-2025 16:17:17.164,27,RECV,7E007D318100011E02C9004E313030392D554B425914
06-02-2025 16:17:17.164,28,RECV,7E007D318100063002C8004E363031302D4636384D3B
06-02-2025 16:17:17.164,29,RECV,7E007D318100053702F4004E353031302D3549454602
06-02-2025 16:17:17.164,30,RECV,7E007D318100022802F4004E323030392D50524554DD
