06-02-2025 15:18:04.874,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-02-2025 15:16:41.728,0,RECV,7E007D318100042202E4004E343030302D584B563109
06-02-2025 15:16:41.728,1,RECV,7E007D318100031902A4004E333030302D4234553083
06-02-2025 15:16:41.728,2,RECV,7E007D318100042202E5004E343030312D49535647F8
06-02-2025 15:16:41.728,3,RECV,7E007D318100031902A5004E333030312D4D465A335C
06-02-2025 15:16:41.728,4,RECV,7E007D318100042202E6004E343030322D4D54584DE9
06-02-2025 15:16:41.728,5,RECV,7E007D318100031902A6004E333030322D5438424C60
06-02-2025 15:16:41.728,6,RECV,7E007D318100042202E7004E343030332D3239544A24
06-02-2025 15:16:41.729,7,RECV,7E007D318100031902A7004E333030332D354E56356A
06-02-2025 15:16:41.729,8,RECV,7E007D318100073E0288004E373030332D4F4B423658
06-02-2025 15:16:41.729,9,RECV,7E007D318100042202E8004E343030342D5A574D35F8
06-02-2025 15:16:41.729,10,RECV,7E007D318100031902A8004E333030342D42544E4949
06-02-2025 15:16:41.729,11,RECV,7E007D318100073C0289004E373030342D3052444361
06-02-2025 15:16:41.729,12,RECV,7E007D318100031902A9004E333030352D3044354982
06-02-2025 15:16:41.729,13,RECV,7E007D318100073E028A004E373030352D4E48565A20
06-02-2025 15:16:41.729,14,RECV,7E007D318100031902AA004E333030362D394647416B
06-02-2025 15:16:41.729,15,RECV,7E007D318100031902AB004E333030372D4A444E573D
06-02-2025 15:16:41.729,16,RECV,7E007D318100031902AC004E333030382D49464D385A
06-02-2025 15:16:41.729,17,RECV,7E007D318100031902AD004E333030392D35374C565E
06-02-2025 15:16:41.729,18,RECV,7E007D318100031902AE004E333031302D41514C4154
06-02-2025 15:16:41.729,19,RECV,7E007D318100073E028F004E373030392D38434C5046
06-02-2025 15:16:41.729,20,RECV,7E007D318100031902AF004E333031312D4837384278
06-02-2025 15:16:41.729,21,RECV,7E007D318100031902B0004E333031322D3830314690
06-02-2025 15:16:41.810,22,RECV,7E007D318100031902B1004E333031332D4839333881
06-02-2025 15:16:41.813,23,RECV,7E007D318100031902B2004E333031342D3936423387
06-02-2025 15:16:41.813,24,RECV,7E007D318100031902B3004E333031352D4148483860
06-02-2025 15:16:41.813,25,RECV,7E007D318100031902B4004E333031362D4537304972
06-02-2025 15:16:41.813,26,RECV,7E007D318100031902B5004E333031372D4D444A4C3E
06-02-2025 15:16:41.813,27,RECV,7E007D318100031902B6004E333031382D47364F3364
06-02-2025 15:16:41.813,28,RECV,7E007D318100031902B7004E333031392D59554E382D
06-02-2025 15:16:41.813,29,RECV,7E007D318100042202F8004E343032302D454656310B
06-02-2025 15:16:41.813,30,RECV,7E007D318100031902B8004E333032302D50564F4C27
06-02-2025 15:16:41.813,31,RECV,7E007D318100031902B9004E333032312D355A463160
06-02-2025 15:16:41.813,32,RECV,7E007D318100042202FB004E343032332D5A4F4750D7
06-02-2025 15:16:41.813,33,RECV,7E007D318100031902BA004E333032322D4F4432455A
06-02-2025 15:16:41.813,34,RECV,7E007D318100042102FD004E343032352D315848390A
06-02-2025 15:16:41.813,35,RECV,7E007D318100073E029E004E373032342D4D33584930
06-02-2025 15:16:41.813,36,RECV,7E007D318100031902BB004E333032332D4E56564721
06-02-2025 15:16:41.813,37,RECV,7E007D318100073E029F004E373032352D58315A5814
06-02-2025 15:16:41.813,38,RECV,7E007D318100031902BC004E333032342D49594C561C
06-02-2025 15:16:41.813,39,RECV,7E007D318100073E02A0004E373032362D474A46472F
06-02-2025 15:16:41.813,40,RECV,7E007D31810004220201004E343032382D38534F33FF
06-02-2025 15:16:41.813,41,RECV,7E007D318100031902BD004E333032352D5A37345742
06-02-2025 15:16:41.813,42,RECV,7E007D318100073E02A1004E373032372D414232573F
06-02-2025 15:16:41.813,43,RECV,7E007D31810004220202004E343032392D5737544EDA
06-02-2025 15:16:41.813,44,RECV,7E007D318100031902BE004E333032362D4B38565033
06-02-2025 15:16:41.905,45,RECV,7E007D318100073E02A2004E373032382D5254354628
06-02-2025 15:16:41.907,46,RECV,7E007D318100083502D6004E383033302D5246434404
06-02-2025 15:16:41.907,47,RECV,7E007D318100031902BF004E333032372D46444F4B36
06-02-2025 15:16:41.907,48,RECV,7E007D318100083502D7004E383033312D385A4D49F9
06-02-2025 15:16:41.907,49,RECV,7E007D318100031902C0004E333032382D4E52434332
06-02-2025 15:16:41.907,50,RECV,7E007D318100083502D8004E383033322D41334F4B7D31
06-02-2025 15:16:41.907,51,RECV,7E007D318100083502D9004E383033332D4E51304D01
06-02-2025 15:16:41.907,52,RECV,7E007D318100031902C2004E333032392D564C34522D
06-02-2025 15:16:41.907,53,RECV,7E007D318100073C02A6004E373033322D4F4945452A
06-02-2025 15:16:41.907,54,RECV,7E007D318100083502DA004E383033342D37485057F5
06-02-2025 15:16:41.907,55,RECV,7E007D318100031902C3004E333033302D36575A3540
06-02-2025 15:16:41.907,56,RECV,7E007D318100083702DB004E383033352D4D514E41EA
06-02-2025 15:16:41.907,57,RECV,7E007D318100031902C4004E333033312D4D594D4126
06-02-2025 15:16:41.907,58,RECV,7E007D318100083702DC004E383033362D44574C44EA
06-02-2025 15:16:41.907,59,RECV,7E007D318100031902C5004E333033322D3245565734
06-02-2025 15:16:41.907,60,RECV,7E007D318100083402DD004E383033372D30444E3321
06-02-2025 15:16:41.907,61,RECV,7E007D318100031902C6004E333033332D4F4C443047
06-02-2025 15:16:41.907,62,RECV,7E007D318100083402DE004E383033382D49554A30FC
06-02-2025 15:16:41.907,63,RECV,7E007D318100031902C7004E333033342D5337365A3A
06-02-2025 15:16:41.908,64,RECV,7E007D318100083502DF004E383033392D4445355201
06-02-2025 15:16:41.908,65,RECV,7E007D318100031902C8004E333033352D4B57523925
06-02-2025 15:16:41.908,66,RECV,7E007D318100083502E0004E383034302D5135344816
06-02-2025 15:16:42.008,67,RECV,7E007D318100031902C9004E333033362D5253593022
06-02-2025 15:16:42.009,68,RECV,7E007D318100083602E1004E383034312D455A534ED5
06-02-2025 15:16:42.010,69,RECV,7E007D318100031902CA004E333033372D4A394C3847
06-02-2025 15:16:42.010,70,RECV,7E007D318100083402E2004E383034322D41554F55DB
06-02-2025 15:16:42.010,71,RECV,7E007D318100083402E3004E383034332D5330394C0B
06-02-2025 15:16:42.010,72,RECV,7E007D318100083402E4004E383034342D4D49304506
06-02-2025 15:16:42.010,73,RECV,7E007D318100083402E5004E383034352D3131384134
06-02-2025 15:16:42.010,74,RECV,7E007D318100083502E6004E383034362D36395955EF
06-02-2025 15:16:42.010,75,RECV,7E007D318100083502E7004E383034372D56415A36E3
06-02-2025 15:16:42.010,76,RECV,7E007D318100083502E8004E383034382D3931413429
06-02-2025 15:16:42.010,77,RECV,7E007D318100073C02B5004E373034372D4D4444560C
06-02-2025 15:16:42.010,78,RECV,7E007D318100031902D3004E333034362D3853495120
06-02-2025 15:16:42.010,79,RECV,7E007D318100083402EB004E383035312D4B503747F3
06-02-2025 15:16:42.010,80,RECV,7E007D318100083502EC004E383035322D4C4E3351EB
06-02-2025 15:16:42.010,81,RECV,7E007D318100083502ED004E383035332D5A393246FC
06-02-2025 15:16:42.010,82,RECV,7E007D318100083502EE004E383035342D3833513019
06-02-2025 15:16:42.010,83,RECV,7E007D318100031902D7004E333035302D38505A471D
06-02-2025 15:16:42.010,84,RECV,7E007D318100031902D8004E333035312D364955511F
06-02-2025 15:16:42.010,85,RECV,7E007D318100031902DA004E333035332D505A544DF5
06-02-2025 15:16:42.010,86,RECV,7E007D318100031902DB004E333035342D4E3455567D31
06-02-2025 15:16:42.010,87,RECV,7E007D318100031902DC004E333035352D54545152F1
06-02-2025 15:16:42.010,88,RECV,7E007D318100031902DD004E333035362D5A554748FC
06-02-2025 15:16:42.010,89,RECV,7E007D318100031902DE004E333035372D585034322A
06-02-2025 15:16:42.101,90,RECV,7E007D318100031902DF004E333035382D36384D5328
06-02-2025 15:16:42.133,91,RECV,7E007D318100073C02C3004E373036312D4833434D22
06-02-2025 15:16:42.149,92,RECV,7E007D318100031902E0004E333035392D4437445322
06-02-2025 15:16:42.149,93,RECV,7E007D318100031902E1004E333036302D4A3041552B
06-02-2025 15:16:42.149,94,RECV,7E007D318100031902E2004E333036312D58594B59E4
06-02-2025 15:16:42.149,95,RECV,7E007D318100031902E3004E333036322D34304E4E37
06-02-2025 15:16:42.149,96,RECV,7E007D318100031902E4004E333036332D4B48553518
06-02-2025 15:16:42.149,97,RECV,7E007D318100031902E5004E333036342D5745535AEA
06-02-2025 15:16:42.149,98,RECV,7E007D3181000422022A004E343036382D4339314EE4
06-02-2025 15:16:42.149,99,RECV,7E007D3181000422022B004E343036392D49574E559A
06-02-2025 15:16:42.149,100,RECV,7E007D3181000422022C004E343037302D32564653C3
06-02-2025 15:16:42.149,101,RECV,7E007D3181000422022D004E343037312D57393749D2
06-02-2025 15:16:42.149,102,RECV,7E007D3181000422022E004E343037322D36364457D9
06-02-2025 15:16:42.149,103,RECV,7E007D3181000421022F004E343037332D394D5032D7
06-02-2025 15:16:42.149,104,RECV,7E007D31810004210230004E343037342D324F4A45CD
06-02-2025 15:16:42.149,105,RECV,7E007D31810004210231004E343037352D46474A41C3
06-02-2025 15:16:42.149,106,RECV,7E007D318100031902EE004E333037332D3051585AF7
06-02-2025 15:16:42.149,107,RECV,7E007D318100031902EF004E333037342D3846424A1E
06-02-2025 15:16:42.149,108,RECV,7E007D318100031902F0004E333037352D5A554534FE
06-02-2025 15:16:42.149,109,RECV,7E007D318100073E02D4004E373037382D52514359D3
06-02-2025 15:16:42.149,110,RECV,7E007D318100073E02D5004E373037392D47514454E0
06-02-2025 15:16:42.149,111,RECV,7E007D318100073E02D6004E373038302D5735414A00
06-02-2025 15:16:42.195,112,RECV,7E007D318100031902F4004E333037392D48545449E5
06-02-2025 15:16:42.195,113,RECV,7E007D318100073E02D8004E373038322D4F563346F5
06-02-2025 15:16:42.195,114,RECV,7E007D318100073D02D9004E373038332D4A545332EF
06-02-2025 15:16:42.195,115,RECV,7E007D3181000422023B004E343038352D49444F51A2
06-02-2025 15:16:42.195,116,RECV,7E007D3181000422023C004E343038362D42433733DE
06-02-2025 15:16:42.196,117,RECV,7E007D3181000422023D004E343038372D3146364BD3
06-02-2025 15:16:42.196,118,RECV,7E007D318100031902F9004E333038342D5A4235301C
06-02-2025 15:16:42.196,119,RECV,7E007D3181000422023F004E343038392D47464A5799
06-02-2025 15:16:42.196,120,RECV,7E007D318100031902FB004E333038362D54535842D8
06-02-2025 15:16:42.196,121,RECV,7E007D318100031902FC004E333038372D4E53443002
06-02-2025 15:16:42.196,122,RECV,7E007D318100031902FD004E333038382D4935474C04
06-02-2025 15:16:42.196,123,RECV,7E007D318100031902FE004E333038392D43475759D9
06-02-2025 15:16:42.196,124,RECV,7E007D318100031902FF004E333039302D58304259F7
06-02-2025 15:16:42.196,125,RECV,7E007D31810003190201004E333039312D514D4E41EA
06-02-2025 15:16:42.196,126,RECV,7E007D31810003190202004E333039322D59314F3606
06-02-2025 15:16:42.197,127,RECV,7E007D31810003190203004E333039332D4231395512
06-02-2025 15:16:42.197,128,RECV,7E007D31810003190204004E333039342D4D584634F2
06-02-2025 15:16:42.197,129,RECV,7E007D31810003190205004E333039352D5955394BDD
06-02-2025 15:16:42.197,130,RECV,7E007D318100073D02E8004E373039382D44544344DE
06-02-2025 15:16:42.197,131,RECV,7E007D31810003190207004E333039372D4B484242F4
06-02-2025 15:16:42.197,132,RECV,7E007D31810003190208004E333039382D4150375AE7
06-02-2025 15:16:42.197,133,RECV,7E007D31810003190209004E333039392D315336321B
