06-02-2025 19:29:12.961,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-02-2025 19:27:45.075,0,RECV,7E007D31810003190291004E333030302D314931479F
06-02-2025 19:27:45.076,1,RECV,7E007D318100073B0283004E373030302D374738437C
06-02-2025 19:27:45.577,2,RECV,7E007D318100083302B8004E383030312D574A5A50FA
06-02-2025 19:27:45.578,3,RECV,7E007D318100041D0275004E343030312D46365A537D5D
06-02-2025 19:27:45.579,4,RECV,7E007D31810003190292004E333030312D3656393793
06-02-2025 19:27:45.579,5,RECV,7E007D318100073B0286004E373030312D454B444756
06-02-2025 19:27:46.079,6,RECV,7E007D318100083302B9004E383030322D3839594831
06-02-2025 19:27:46.079,7,RECV,7E007D318100041D0277004E343030322D4547454A88
06-02-2025 19:27:46.080,8,RECV,7E007D31810003190294004E333030322D4336514D75
06-02-2025 19:27:46.571,9,RECV,7E007D318100083902BA004E383030332D51304E4824
06-02-2025 19:27:46.572,10,RECV,7E007D318100041D0279004E343030332D4C5051466D
06-02-2025 19:27:46.572,11,RECV,7E007D31810003190296004E333030332D393258596D
06-02-2025 19:27:46.574,12,RECV,7E007D31810007400288004E373030332D58314A474E
06-02-2025 19:27:47.083,13,RECV,7E007D318100083702BB004E383030342D3334443957
06-02-2025 19:27:47.083,14,RECV,7E007D318100041D027A004E343030342D3152545077
06-02-2025 19:27:47.084,15,RECV,7E007D31810003190297004E333030342D48574E3664
06-02-2025 19:27:47.545,16,RECV,7E007D318100083602BC004E383030352D594252321B
06-02-2025 19:27:47.545,17,RECV,7E007D318100041D027B004E343030352D4144314C9A
06-02-2025 19:27:47.545,18,RECV,7E007D31810003190298004E333030352D3630354B9F
06-02-2025 19:27:48.087,19,RECV,7E007D318100083502BD004E383030362D5639595001
06-02-2025 19:27:48.087,20,RECV,7E007D318100041D027C004E343030362D35463335B7
06-02-2025 19:27:48.089,21,RECV,7E007D31810003190299004E333030362D5346345066
06-02-2025 19:27:48.089,22,RECV,7E007D318100073E028B004E373030362D4930564352
06-02-2025 19:27:48.538,23,RECV,7E007D318100083502BE004E383030372D4544545604
06-02-2025 19:27:48.559,24,RECV,7E007D318100041D027D5D004E343030372D364C483896
06-02-2025 19:27:48.560,25,RECV,7E007D3181000319029A004E333030372D5359494547
06-02-2025 19:27:48.560,26,RECV,7E007D318100073D028C004E373030372D5353544128
06-02-2025 19:27:49.040,27,RECV,7E007D318100083402BF004E383030382D4749355918
06-02-2025 19:27:49.090,28,RECV,7E007D318100041D027D5E004E343030382D533652308B
06-02-2025 19:27:49.091,29,RECV,7E007D3181000319029B004E333030382D4A354E5959
06-02-2025 19:27:49.092,30,RECV,7E007D318100073D028D004E373030382D3438414C68
06-02-2025 19:27:49.542,31,RECV,7E007D318100083302C2004E383030392D5536303840
06-02-2025 19:27:49.549,32,RECV,7E007D318100041D027F004E343030392D384358378A
06-02-2025 19:27:49.562,33,RECV,7E007D3181000319029C004E333030392D4239574D5E
06-02-2025 19:27:49.562,34,RECV,7E007D318100073C0290004E373030392D3442594A45
06-02-2025 19:27:50.044,35,RECV,7E007D318100083302C3004E383031302D3741345836
06-02-2025 19:27:50.054,36,RECV,7E007D318100041D0281004E343031302D4C30594481
06-02-2025 19:27:50.054,37,RECV,7E007D3181000319029E004E333031302D3943393797
06-02-2025 19:27:50.054,38,RECV,7E007D318100073C0291004E373031302D4642563156
06-02-2025 19:27:50.546,39,RECV,7E007D318100083902C4004E383031312D5130524E7D31
06-02-2025 19:27:50.596,40,RECV,7E007D318100041D0283004E343031312D30324C36B3
06-02-2025 19:27:50.597,41,RECV,7E007D318100031902A0004E333031312D574C385154
06-02-2025 19:27:50.597,42,RECV,7E007D318100073F0292004E373031312D424F355941
06-02-2025 19:27:51.048,43,RECV,7E007D318100083702C5004E383031322D324D574319
06-02-2025 19:27:51.048,44,RECV,7E007D318100041D0284004E343031322D344D534978
06-02-2025 19:27:51.098,45,RECV,7E007D318100031902A1004E333031322D4E525A394B
06-02-2025 19:27:51.098,46,RECV,7E007D318100073F0293004E373031322D474F4F4D2C
06-02-2025 19:27:51.550,47,RECV,7E007D318100083502C6004E383031332D47495A4CFC
06-02-2025 19:27:51.560,48,RECV,7E007D318100041D0285004E343031332D5055444565
06-02-2025 19:27:51.560,49,RECV,7E007D318100031902A2004E333031332D3731394C8F
06-02-2025 19:27:51.580,50,RECV,7E007D318100073F0294004E373031332D434257354B
06-02-2025 19:27:52.052,51,RECV,7E007D318100083602C7004E383031342D46514959F6
06-02-2025 19:27:52.102,52,RECV,7E007D318100041D0286004E343031342D30313148B7
06-02-2025 19:27:52.102,53,RECV,7E007D318100031902A3004E333031342D4254443967
06-02-2025 19:27:52.103,54,RECV,7E007D318100073F0295004E373031342D583657482D
06-02-2025 19:27:52.554,55,RECV,7E007D318100083502C8004E383031352D3657384524
06-02-2025 19:27:52.554,56,RECV,7E007D318100041D0287004E343031352D5A514B5049
06-02-2025 19:27:52.604,57,RECV,7E007D318100031902A4004E333031352D5A4F393066
06-02-2025 19:27:52.607,58,RECV,7E007D318100073E0296004E373031352D4F3730584B
06-02-2025 19:27:53.056,59,RECV,7E007D318100083602C9004E383031362D4444483625
06-02-2025 19:27:53.067,60,RECV,7E007D318100041D0288004E343031362D4D30425777
06-02-2025 19:27:53.069,61,RECV,7E007D318100031902A5004E333031362D3651344972
06-02-2025 19:27:53.107,62,RECV,7E007D318100073F0298004E373031362D4C42594A24
06-02-2025 19:27:53.558,63,RECV,7E007D318100083402CC004E383031372D534D4E4FEC
06-02-2025 19:27:53.558,64,RECV,7E007D318100041D0289004E343031372D563250466D
06-02-2025 19:27:53.608,65,RECV,7E007D318100031902A6004E333031372D4851355353
06-02-2025 19:27:54.060,66,RECV,7E007D318100083A02CD004E383031382D42454C50FE
06-02-2025 19:27:54.060,67,RECV,7E007D318100041D028B004E343031382D414B374283
06-02-2025 19:27:54.110,68,RECV,7E007D318100031902A8004E333031382D4344584D45
06-02-2025 19:27:54.110,69,RECV,7E007D318100073E029B004E373031382D5846393347
06-02-2025 19:27:54.562,70,RECV,7E007D318100083302CE004E383031392D5A335253F4
06-02-2025 19:27:54.573,71,RECV,7E007D318100041D028C004E343031392D505153573B
06-02-2025 19:27:54.573,72,RECV,7E007D318100031902AA004E333031392D3350543562
06-02-2025 19:27:54.583,73,RECV,7E007D318100073B029C004E373031392D5849464724
06-02-2025 19:27:55.065,74,RECV,7E007D318100083902CF004E383032302D575638330F
06-02-2025 19:27:55.065,75,RECV,7E007D318100041D028D004E343032302D3041325298
06-02-2025 19:27:55.115,76,RECV,7E007D318100031902AB004E333032302D3141384982
06-02-2025 19:27:55.115,77,RECV,7E007D3181000740029D004E373032302D58414B541C
06-02-2025 19:27:55.567,78,RECV,7E007D318100083702D0004E383032312D424C394F7D31
06-02-2025 19:27:55.567,79,RECV,7E007D318100041D028E004E343032312D595155414B
06-02-2025 19:27:55.617,80,RECV,7E007D318100031902AC004E333032312D4F4739396B
06-02-2025 19:27:55.618,81,RECV,7E007D3181000741029E004E373032312D49304D3952
06-02-2025 19:27:56.069,82,RECV,7E007D318100083302D1004E383032322D4F3037363D
06-02-2025 19:27:56.069,83,RECV,7E007D318100041D028F004E343032322D4931593086
06-02-2025 19:27:56.090,84,RECV,7E007D318100031902AD004E333032322D4F31575644
06-02-2025 19:27:56.116,85,RECV,7E007D318100073D029F004E373032322D5553315228
06-02-2025 19:27:56.571,86,RECV,7E007D318100083402D2004E383032332D3847574808
06-02-2025 19:27:56.571,87,RECV,7E007D318100041D0290004E343032332D4B30533782
06-02-2025 19:27:56.621,88,RECV,7E007D318100031902AE004E333032332D55554C5029
06-02-2025 19:27:56.622,89,RECV,7E007D318100073B02A0004E373032332D4B51464E23
06-02-2025 19:27:57.073,90,RECV,7E007D318100083A02D3004E383032342D52514B3000
06-02-2025 19:27:57.073,91,RECV,7E007D318100041D0291004E343032342D4A3646417D5E
06-02-2025 19:27:57.123,92,RECV,7E007D318100031902AF004E333032342D5355324C47
06-02-2025 19:27:57.123,93,RECV,7E007D318100074202A2004E373032342D5446444427
06-02-2025 19:27:57.574,94,RECV,7E007D318100083902D6004E383032352D3744435805
06-02-2025 19:27:57.575,95,RECV,7E007D318100041D0292004E343032352D5259314364
06-02-2025 19:27:57.595,96,RECV,7E007D318100031902B1004E333032352D464336307B
06-02-2025 19:27:57.596,97,RECV,7E007D318100074102A4004E373032352D3741374652
06-02-2025 19:27:58.077,98,RECV,7E007D318100083802D7004E383032362D4341554CF5
06-02-2025 19:27:58.077,99,RECV,7E007D318100041D0294004E343032362D5030435865
06-02-2025 19:27:58.127,100,RECV,7E007D318100031902B2004E333032362D5031504750
06-02-2025 19:27:58.127,101,RECV,7E007D318100074002A5004E373032362D595648351A
06-02-2025 19:27:58.579,102,RECV,7E007D318100083802D8004E383032372D56314554F8
06-02-2025 19:27:58.579,103,RECV,7E007D318100041D0296004E343032372D30344234A3
06-02-2025 19:27:58.599,104,RECV,7E007D318100031902B4004E333032372D5935454A48
06-02-2025 19:27:58.600,105,RECV,7E007D318100074102A6004E373032372D364248542F
06-02-2025 19:27:59.081,106,RECV,7E007D318100083802D9004E383032382D44444255F7
06-02-2025 19:27:59.082,107,RECV,7E007D318100041D0297004E343032382D5643365755
