06-09-2025 17:16:30.320,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-09-2025 17:13:44.883,0,RECV,7E000F81000630024E363030302D32585439EE
06-09-2025 17:13:44.884,1,RECV,7E000F8100031A024E333030302D4754393815
06-09-2025 17:13:44.884,2,RECV,7E000F81000537024E353030302D4F484333F3
06-09-2025 17:13:44.985,3,RECV,7E000F81000630024E363030312D3442355AFF
06-09-2025 17:13:44.993,4,RECV,7E000F8100031A024E333030312D4A4230491B
06-09-2025 17:13:44.994,5,RECV,7E000F81000537024E353030312D49575A51B4
06-09-2025 17:13:45.084,6,RECV,7E000F81000630024E363030322D57334954DC
06-09-2025 17:13:45.084,7,RECV,7E000F8100031A024E333030322D304747332E
06-09-2025 17:13:45.084,8,RECV,7E000F81000537024E353030322D5A35484CDB
06-09-2025 17:13:45.184,9,RECV,7E000F81000631024E363030332D35583859E3
06-09-2025 17:13:45.186,10,RECV,7E000F8100031A024E333030332D363145333F
06-09-2025 17:13:45.285,11,RECV,7E000F81000630024E363030342D45344647FB
06-09-2025 17:13:45.285,12,RECV,7E000F8100031A024E333030342D37574D317D31
06-09-2025 17:13:45.385,13,RECV,7E000F81000630024E363030352D5537315AE9
06-09-2025 17:13:45.395,14,RECV,7E000F8100031A024E333030352D433349510C
06-09-2025 17:13:45.485,15,RECV,7E000F81000630024E363030362D4A46495ACC
06-09-2025 17:13:45.486,16,RECV,7E000F8100031A024E333030362D4C5A35320E
06-09-2025 17:13:45.585,17,RECV,7E000F81000630024E363030372D55544E39CE
06-09-2025 17:13:45.585,18,RECV,7E000F81000536024E353030372D49365347E1
06-09-2025 17:13:45.585,19,RECV,7E000F8100031A024E333030372D5A43343217
06-09-2025 17:13:45.685,20,RECV,7E000F81000630024E363030382D3132465400
06-09-2025 17:13:45.686,21,RECV,7E000F81000536024E353030382D344A4A4CE5
06-09-2025 17:13:45.735,22,RECV,7E000F8100031A024E333030382D4C38314B19
06-09-2025 17:13:45.796,23,RECV,7E000F81000631024E363030392D45305238FC
06-09-2025 17:13:45.796,24,RECV,7E000F81000537024E353030392D4B4B5A43C4
06-09-2025 17:13:45.796,25,RECV,7E000F8100031A024E333030392D4E5A4152DD
06-09-2025 17:13:45.886,26,RECV,7E000F81000630024E363031302D363858300E
06-09-2025 17:13:45.886,27,RECV,7E000F81000537024E353031302D3355385AE5
06-09-2025 17:13:45.886,28,RECV,7E000F8100031A024E333031302D434954360A
06-09-2025 17:13:45.987,29,RECV,7E000F8100062F024E363031312D4A4F4653D2
06-09-2025 17:13:45.997,30,RECV,7E000F8100031A024E333031312D3145355024
06-09-2025 17:13:46.097,31,RECV,7E000F8100062F024E363031322D394730341F
06-09-2025 17:13:46.098,32,RECV,7E000F8100031A024E333031322D3047334B29
06-09-2025 17:13:46.188,33,RECV,7E000F8100031A024E333031332D49394F51FB
06-09-2025 17:13:46.288,34,RECV,7E000F81000630024E363031342D42595537D9
06-09-2025 17:13:46.308,35,RECV,7E000F8100031A024E333031342D335238451A
06-09-2025 17:13:46.398,36,RECV,7E000F8100062F024E363031352D3032473522
06-09-2025 17:13:46.402,37,RECV,7E000F8100031A024E333031352D49564555E2
06-09-2025 17:13:46.538,38,RECV,7E000F8100062F024E363031362D383431481A
06-09-2025 17:13:46.538,39,RECV,7E000F8100031A024E333031362D3131445420
06-09-2025 17:13:46.588,40,RECV,7E000F8100062F024E363031372D36584D4DD6
06-09-2025 17:13:46.609,41,RECV,7E000F8100031A024E333031372D4E314B56F9
06-09-2025 17:13:46.709,42,RECV,7E000F81000536024E353031382D4B383053F2
06-09-2025 17:13:46.709,43,RECV,7E000F81000630024E363031382D4C563236F2
06-09-2025 17:13:46.709,44,RECV,7E000F8100031A024E333031382D58495939E5
06-09-2025 17:13:46.841,45,RECV,7E000F81000536024E353031392D37464B54DB
06-09-2025 17:13:46.853,46,RECV,7E000F81000630024E363031392D56414A37E3
06-09-2025 17:13:46.853,47,RECV,7E000F8100031A024E333031392D53524F31F2
06-09-2025 17:13:46.941,48,RECV,7E000F81000535024E353032302D57355A4CCE
06-09-2025 17:13:46.941,49,RECV,7E000F8100062F024E363032302D4E435A4CCD
06-09-2025 17:13:46.941,50,RECV,7E000F8100031A024E333032302D4642303631
06-09-2025 17:13:47.011,51,RECV,7E000F81000536024E353032312D304E4648F2
06-09-2025 17:13:47.018,52,RECV,7E000F8100062F024E363032312D38574D45E2
06-09-2025 17:13:47.018,53,RECV,7E000F8100031A024E333032312D3439455814
06-09-2025 17:13:47.141,54,RECV,7E000F81000536024E353032322D36544545E9
06-09-2025 17:13:47.142,55,RECV,7E000F8100062F024E363032322D364D4D56DC
06-09-2025 17:13:47.142,56,RECV,7E000F8100031A024E333032322D46335158FB
06-09-2025 17:13:47.242,57,RECV,7E000F81000535024E353032332D4746313906
06-09-2025 17:13:47.246,58,RECV,7E000F8100062F024E363032332D39534F45E1
06-09-2025 17:13:47.246,59,RECV,7E000F8100031A024E333032332D3143344C28
06-09-2025 17:13:47.312,60,RECV,7E000F81000535024E353032342D4E4C5042D0
06-09-2025 17:13:47.322,61,RECV,7E000F8100062F024E363032342D4A585A50B4
06-09-2025 17:13:47.322,62,RECV,7E000F8100031A024E333032342D35324D3433
06-09-2025 17:13:47.442,63,RECV,7E000F81000535024E353032352D42565152C0
06-09-2025 17:13:47.468,64,RECV,7E000F8100062E024E363032352D4845304BF8
06-09-2025 17:13:47.468,65,RECV,7E000F8100031A024E333032352D54554836F3
06-09-2025 17:13:47.543,66,RECV,7E000F81000535024E353032362D5941514BC4
06-09-2025 17:13:47.548,67,RECV,7E000F8100062E024E363032362D58593244D8
06-09-2025 17:13:47.548,68,RECV,7E000F8100031A024E333032362D514E5943DE
06-09-2025 17:13:47.643,69,RECV,7E000F81000535024E353032372D3644384BFC
06-09-2025 17:13:47.643,70,RECV,7E000F8100062E024E363032372D3251554BDB
06-09-2025 17:13:47.643,71,RECV,7E000F8100031A024E333032372D543131550D
06-09-2025 17:13:47.743,72,RECV,7E000F81000534024E353032382D47393653F0
06-09-2025 17:13:47.745,73,RECV,7E000F8100062E024E363032382D5843574CBF
06-09-2025 17:13:47.745,74,RECV,7E000F8100031A024E333032382D4F304F4CFD
06-09-2025 17:13:47.843,75,RECV,7E000F81000535024E353032392D47555654B1
06-09-2025 17:13:47.843,76,RECV,7E000F8100062E024E363032392D574E3335EF
06-09-2025 17:13:47.843,77,RECV,7E000F8100031A024E333032392D53475730F5
06-09-2025 17:13:47.943,78,RECV,7E000F81000534024E353033302D4D48363500
06-09-2025 17:13:47.943,79,RECV,7E000F8100062E024E363033302D35464453F2
06-09-2025 17:13:47.944,80,RECV,7E000F8100031A024E333033302D44465949F2
06-09-2025 17:13:48.043,81,RECV,7E000F81000534024E353033312D47444332FF
06-09-2025 17:13:48.043,82,RECV,7E000F8100062E024E363033312D49504951D0
06-09-2025 17:13:48.044,83,RECV,7E000F8100031A024E333033312D324A465A01
06-09-2025 17:13:48.144,84,RECV,7E000F81000535024E353033322D504F5A42C2
06-09-2025 17:13:48.145,85,RECV,7E000F8100062E024E363033322D535A4455BC
